date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,66.31,65.2,64.94,66.33,76362
2014-01-02,65.28,64.63,64.42,65.67,74121
2014-01-05,64.91,64.73,64.47,65.14,79713
2014-01-06,64.65,64.71,64.56,65.39,51573
2014-01-07,64.69,64.8,64.39,65.01,38322
2014-01-08,65.07,64.85,64.4,65.07,66120
2014-01-09,65.05,64.37,63.99,65.05,54477
2014-01-12,64.34,64.08,63.58,64.74,81827
2014-01-13,64.37,64.4,63.2,64.58,89444
2014-01-14,64.4,64.49,64.16,64.92,86278
2014-01-15,64.66,64.66,64.02,64.79,59506
2014-01-16,64.6,64.96,64.5,65.1,54552
2014-01-20,65.4,66.29,65.1425,66.67,86474
2014-01-21,66.49,66.23,66.105,66.6,76442
2014-01-22,66.06,65.52,65,66.06,63457
2014-01-23,65.42,65.41,65.24,65.8685,85844
2014-01-26,65.41,64.72,64.48,66.07,60184
2014-01-27,65.11,65.11,64.35,65.42,57923
2014-01-28,64.95,64.05,63.83,65.62,259015
2014-01-29,63.89,64.55,63.176,64.71,91779
2014-01-30,63.83,64.26,63.78,65.05,174023
2014-02-02,64.37,63.22,63.19,64.69,170241
2014-02-03,63.39,63.77,62.24,64.22,150099
2014-02-04,63.69,63.12,62.9901,64.514,91651
2014-02-05,63.1,63.45,62.48,63.54,173830
2014-02-06,63.31,63.44,63.14,64.145,64226
2014-02-09,63.68,63.77,63.14,64.35,112231
2014-02-10,63.37,64.46,63.23,64.58,53633
2014-02-11,64.15,64.21,64.08,65.15,128908
2014-02-12,63.91,63.99,63.62,64.914,247740
2014-02-13,64.04,64.4,64.03,64.51,60304
2014-02-17,64.53,64.21,64.01,64.53,158375
2014-02-18,63.99,62.8,62.52,64,117380
2014-02-19,62.69,62.46,62.07,62.69,94851
2014-02-20,62.65,62.57,62.06,62.89,120079
2014-02-23,62.67,63.58,62.67,64.14,151615
2014-02-24,63.66,63.31,63.05,63.66,123655
2014-02-25,63.47,63.82,63.22,64.09,124351
2014-02-26,63.89,64.19,63.5,64.44,107015
2014-02-27,64.4,64.73,64.22,65.54,109220
2014-03-02,64.48,64.59,64.06,64.93,170438
2014-03-03,65.05,65.38,64.79,66.27,218835
2014-03-04,65.14,65.25,64.6,65.62,211887
2014-03-05,65.4,65.65,65.32,66.2,99157
2014-03-06,65.87,66.59,65.76,66.67,215873
2014-03-09,66.64,66.94,66.4,67.11,128702
2014-03-10,67.07,66.83,66.31,67.07,151243
2014-03-11,66.92,67.2,66.04,67.36,113317
2014-03-12,67.2,67.065,66.972,68.022,128731
2014-03-13,67.1,67.19,66.88,67.8,93535
2014-03-16,67.46,67.99,67.41,68.09,84047
2014-03-17,67.95,68.22,67.54,68.46,129507
2014-03-18,68.28,68.54,67.61,69.33,118999
2014-03-19,68.42,69.67,68.42,70.28,99311
2014-03-20,69.86,69.62,69.51,70.78,427583
2014-03-23,69.87,69.34,68.97,70.36,101528
2014-03-24,69.35,69.68,69.12,69.87,117934
2014-03-25,69.81,69.25,69.13,70,154731
2014-03-26,69.46,67.86,67.81,69.5,80834
2014-03-27,68.08,68.2,67.9301,68.712,80540
2014-03-30,68.53,69.05,68.35,69.18,84864
2014-03-31,69.2,69.66,68.51,70.05,78576
2014-04-01,69.91,70.15,69.21,70.46,158395
2014-04-02,70.37,70.72,70.0001,71.1,175816
2014-04-03,70.73,69.41,69.31,71.05,146519
2014-04-06,69.48,69.34,68.82,69.79,104042
2014-04-07,68.21,67.67,67.556,69.12,184570
2014-04-08,67.89,67.55,67.1,67.89,89716
2014-04-09,67.39,66.26,65.67,67.98,181276
2014-04-10,66.26,67.01,65.181,67.12,147700
2014-04-13,67.33,66.94,66.52,67.55,111165
2014-04-14,66.97,66.73,65.9,67.57,213518
2014-04-15,66.96,66.84,66.53,67.09,64124
2014-04-16,67.07,67.01,66.37,67.07,108698
2014-04-20,66.97,67.11,66.53,67.4,85311
2014-04-21,67.2,67.73,66.97,68.365,84039
2014-04-22,67.61,67.71,67.47,68.08,77596
2014-04-23,68.08,67.09,66.9,68.32,67919
2014-04-24,67.05,66.1,66.09,67.13,73016
2014-04-27,66.34,66,65.5,66.545,65315
2014-04-28,65.96,65.75,65.3,66.29,74079
2014-04-29,65.75,65.42,64.85,65.99,202210
2014-04-30,65.42,64.72,64.1,65.71,159381
2014-05-01,64.71,64.91,64.61,66.61,81651
2014-05-04,64.67,64.7,64.41,65.1,138759
2014-05-05,64.6,63.81,63.75,65.06,111249
2014-05-06,63.93,64.71,63.6,64.88,102386
2014-05-07,64.74,64.53,64.39,65.24,64761
