date,open_price,close_price,lowest_price,highest_price,volume
2017-03-08,20,16.8,16.55,21.908,160300
2017-03-09,17.74,19.25,17.26,19.75,50859
2017-03-12,19.86,19.7,19.01,19.86,17032
2017-03-13,19.45,18.3375,18.1162,19.5,6020
2017-03-14,19.4,18.78,18.55,19.4,11908
2017-03-15,18.8,18.75,18.75,19.2377,4143
2017-03-16,20,19.8,17.01,20,18481
2017-03-19,19.008,19.3863,19,20,10687
2017-03-20,19.1516,18.5,18.5,19.1807,6911
2017-03-21,18.7,18.53,18.5,19.7,58713
2017-03-22,19.35,19.2,18.5,19.35,31423
2017-03-23,19.2221,18.6,18.6,19.2221,8591
2017-03-26,18.56,19.44,18.56,19.44,12523
2017-03-27,19.35,19.561,19.35,20.49,8948
2017-03-28,19.55,19.67,19.55,20.155,11687
2017-03-29,19.6,19.79,19.6,20.1,2021
2017-03-30,19.801,19.93,19.8,19.985,2850
2017-04-02,20,19.76,19.4,20,2608
2017-04-03,19.85,19.91,19.4683,19.99,5438
2017-04-04,19.99,19.8,19.8,19.99,2211
2017-04-05,19.93,19.87,19.711,19.93,2565
2017-04-06,19.95,20.1,19.85,20.1,3386
2017-04-09,19.97,19.97,19.85,19.9791,3801
2017-04-10,19.8,19.99,19.8,19.99,2357
2017-04-11,20,19.95,19.95,20.0063,2103
2017-04-12,19.94,20.5,19.94,20.94,13651
2017-04-16,20.61,20.6,20.001,20.61,3309
2017-04-17,20.8588,20.99,20.5,20.99,6277
2017-04-18,21,21.6,20.96,21.62,7665
2017-04-19,21.5,21.49,21.49,21.74,5579
2017-04-20,21.2226,21.7,21.2226,21.7,2278
2017-04-23,21.27,21.6247,21.26,21.6247,1660
2017-04-24,21.58,21.57,21.3,21.58,4462
2017-04-25,21.7499,22.86,21.57,22.96,5915
2017-04-26,22.9665,25,22.6704,28.05,32293
2017-04-27,25.89,24.64,24.5001,25.9622,4549
2017-04-30,25.33,24.99,24.51,25.5,5235
2017-05-01,25.27,26,24.881,26,5859
2017-05-02,26.77,26.2,25.4842,26.77,2630
2017-05-03,26.95,26.9899,26.65,26.9899,1626
2017-05-04,26.99,26.32,25.88,27.1,8330
2017-05-07,26.91,26.4,26,26.91,3400
2017-05-08,26.2638,26.32,25.95,26.32,1097
2017-05-09,26.136,25.86,25.5,26.136,3655
2017-05-10,25.82,25.82,25.82,25.82,608
2017-05-11,25.93,26.35,25.81,26.9709,5676
2017-05-14,26.6206,26.8,26.41,27.06,2984
2017-05-15,26.8,27.44,26,27.4899,2036
2017-05-16,27.13,26.9,26.6,27.4,3218
2017-05-17,27.25,27.5,27.01,27.5,2364
2017-05-18,26.9,27.9686,26.7,28.32,5048
2017-05-21,28.33,29.2499,28.299,29.4892,7017
2017-05-22,29.49,29.81,28.722,30.99,7080
2017-05-23,29.99,30.15,29.525,30.99,12712
2017-05-24,27.8319,31.8,27.8319,31.8,6823
2017-05-25,32.2735,31.675,30.6,32.2735,2715
2017-05-29,31.04,32.25,31.04,33.01,3055
2017-05-30,34.35,34.9,33.7748,35.2,3255
2017-05-31,35.3,38.3,35.3,41.1599,11077
2017-06-01,38.47,42.6,38.47,43.9999,22710
2017-06-04,42.15,43.4,42,43.88,11281
2017-06-05,43.99,43.75,36.47,45,22617
2017-06-06,43.75,42.19,42,44.24,12897
2017-06-07,42.08,43.32,42.08,43.5799,3887
2017-06-08,42.99,43.5,42.5,43.5,6185
2017-06-11,42.78,42.33,42.03,44.98,7433
2017-06-12,42,37.44,37.03,42.26,7539
2017-06-13,38,34.3,34,38,21278
2017-06-14,34.3,35.325,34.3,36,8379
2017-06-15,35.5011,36.8,33.2788,38.3347,11173
2017-06-18,37.75,33.71,33.1597,37.75,5895
2017-06-19,34,31.6,31.6,34,6197
2017-06-20,31.52,30.015,28,31.52,16219
2017-06-21,30.08,32.5,30.08,33.31,5215
2017-06-22,33.19,35.7,33.19,36.89,11865
2017-06-25,35.74,38.1,35.74,38.99,10951
2017-06-26,39.11,39,38.81,39.8098,4812
2017-06-27,41,41.8,40.5055,41.9283,23729
2017-06-28,41.69,42.9,41.69,43.2,9914
2017-06-29,42.1,42.875,42.1,43.4,5572
2017-07-02,43,48.35,40.6,48.49,7050
2017-07-04,48.03,45.88,41.01,48.03,11861
2017-07-05,48,44.9,42.6,48,1423
2017-07-06,44.5,42.9,41.0005,44.5,4393
2017-07-09,42.45,39.99,39.51,42.45,5085
2017-07-10,39.56,38.81,38.41,39.97,5535
2017-07-11,39,42,39,42.6447,4190
