date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,129.99,129.75,128.62,130.49,30811
2014-01-02,129.84,131.46,127.01,131.93,19619
2014-01-05,131.45,129.52,128.35,132,37675
2014-01-06,130.3,129.81,127.33,130.8,28554
2014-01-07,130.35,128.42,127.7601,130.45,23327
2014-01-08,128.93,128.43,127.31,128.93,17186
2014-01-09,129.03,134,128.286,134.18,50177
2014-01-12,133.36,133.82,133,135.83,32248
2014-01-13,133.92,136.09,133.5,136.33,26619
2014-01-14,136.51,136.89,135.4,138.71,34165
2014-01-15,136.58,140.55,136.05,141.52,40626
2014-01-16,142.57,139.12,138.351,143.23,42076
2014-01-20,140.67,139.48,138.86,141.105,27180
2014-01-21,140.27,138.56,138.27,141,15391
2014-01-22,138.44,134.35,133.24,138.44,30283
2014-01-23,134.09,131.69,130.23,134.09,19425
2014-01-26,132.35,130.26,130.26,132.72,26913
2014-01-27,128.32,129.12,127.6,130.78,33433
2014-01-28,128.6,128.73,127.7,129.83,28575
2014-01-29,130.33,132.15,130.0424,132.74,30331
2014-01-30,130.5,139.18,129.47,149.86,118160
2014-02-02,138.05,133.4,131.705,138.85,43136
2014-02-03,132.58,131.7,127.84,132.85,58982
2014-02-04,130.57,129.57,128.75,135.02,42228
2014-02-05,130,129.64,127.5,130.51,19902
2014-02-06,129.56,129.84,129.1,131.27,21327
2014-02-09,130,129.35,128,130,31243
2014-02-10,129.35,131.8,129.35,132.16,19960
2014-02-11,131.54,131.9,130.95,132.1999,13891
2014-02-12,131.28,133.95,131.28,134.44,22082
2014-02-13,134.4,134.01,133.04,134.7,14568
2014-02-17,134.7,134.56,133.95,136.93,38097
2014-02-18,133.73,130.4,129.82,133.88,13978
2014-02-19,130.5,133.73,130.5,135.59,15808
2014-02-20,134.64,133.2,132.14,134.698,19982
2014-02-23,132.81,133.38,132.81,134.96,23164
2014-02-24,133.2,133.35,132.726,134.4,13549
2014-02-25,133.35,134.48,133.1,134.84,45939
