date,open_price,close_price,lowest_price,highest_price,volume
2014-01-02,6.02,6.04,6.02,6.21,539
2014-01-05,6.055,6.13,6,6.5,7391
2014-01-06,6.1,6.4,6.08,6.4,2732
2014-01-08,6.051,6.14,6.051,6.4,1000
2014-01-09,6.4,6.49,6.32,6.5,3015
2014-01-12,6.1,6.3,6.1,6.49,2522
2014-01-13,6.31,6.3,6.29,6.31,5688
2014-01-14,6.25,6.3,6.25,6.48,4401
2014-01-15,6.1001,6.3,6.1001,6.43,3539
2014-01-16,6.36,6.18,6.18,6.46,700
2014-01-20,6.18,6.32,6.18,6.32,900
2014-01-21,6.2,6.3,6.2,6.3,4300
2014-01-22,6.1101,6.3,6.1101,6.49,1828
2014-01-23,6.24,6.3,6.2,6.45,6620
2014-01-26,6.45,6.3,6.12,6.45,3541
2014-01-27,6.45,6.3,6.234,6.5,29733
2014-01-28,6.3,6.3,6.3,6.3,1800
2014-01-29,6.35,6.3,6.2801,6.48,4900
2014-01-30,6.21,6.2,6.2,6.29,2802
2014-02-02,6.26,6.18,6.18,6.43,3772
2014-02-03,6.37,6.2,6.05,6.39,4689
2014-02-04,6.04,6.29,6.04,6.29,3500
2014-02-05,6.26,6.26,6.2,6.5,3190
2014-02-06,6.41,6.42,6.41,6.43,394
2014-02-09,6.35,6.34,6.34,6.45,1175
2014-02-10,6.3,6.3,6.2701,6.31,2993
2014-02-11,6.33,6.2,6.2,6.39,984
2014-02-12,6.02,6.11,6.02,6.3,10132
2014-02-13,6.19,6.14,6.11,6.3,1755
2014-02-17,6.25,6.29,6.23,6.29,1903
2014-02-18,6.216,6.25,6.2,6.29,932
2014-02-19,6.25,6.3,6.25,6.3,2659
2014-02-20,6.2501,6.26,6.25,6.3,4723
2014-02-23,6.2501,6.3,6.25,6.3,5477
2014-02-24,6.3,6.3,6.3,6.3,301
2014-02-25,6.1401,6.18,6.1401,6.3,6675
2014-02-26,6.2757,6.29,6.2757,6.29,201
2014-03-02,6.29,6.3,6.29,6.3,403
2014-03-03,6.3,6.3,6.3,6.3,1602
2014-03-04,6.2555,6.25,6.25,6.3,400
2014-03-06,6.3,6.3,6.3,6.3,100
2014-03-09,6.2501,6.25,6.25,6.2501,1300
2014-03-11,6.25,6.25,6.25,6.25,1500
2014-03-12,6.25,6.25,6.25,6.25,314
2014-03-13,6.2,6.2,6.2,6.2,3734
2014-03-16,6.12,6.12,6.11,6.25,1386
2014-03-17,6.24,6.13,6.1,6.25,6362
2014-03-18,6.2,6.11,6.11,6.2,4040
2014-03-19,6.1,6.11,6.1,6.11,1922
2014-03-20,6.1001,6.21,6.1,6.23,1182
2014-03-23,6.21,6.2101,6.21,6.2101,3314
2014-03-25,6.1,6.07,6.07,6.1,1292
2014-03-26,5.99,6.075,5.9,6.075,6191
2014-03-30,6,6.13,6,6.13,2200
2014-04-03,5.92,6.08,5.92,6.09,6137
2014-04-07,5.88,6.098,5.88,6.22,787
2014-04-08,6,6.2,6,6.25,4733
2014-04-09,6.2,6.23,5.88,6.24,9655
2014-04-10,6.07,6.19,6.07,6.19,1219
2014-04-13,6.0001,6.0001,6,6.1,3162
2014-04-14,6.1968,6.19,6.18,6.1968,1601
2014-04-15,6.0388,6.1,6.0137,6.1,2248
2014-04-16,6.19,6.19,6.19,6.19,107
2014-04-21,6.1,6.1,6.01,6.19,2500
2014-04-23,6.05,6.11,6.03,6.13,4478
2014-04-24,6.0342,6.0342,6.0342,6.0342,750
2014-04-30,6.01,5.96,5.8288,6.19,7307
2014-05-04,5.95,6.02,5.63,6.05,10512
2014-05-06,5.99,5.89,5.45,6.02,12826
2014-05-07,6.0499,6.03,5.9,6.05,6101
2014-05-08,6,5.9999,5.9,6,2672
2014-05-11,5.94,6.03,5.91,6.05,8971
2014-05-12,6.04,6.07,6.04,6.07,1617
2014-05-13,6.02,6.05,5.91,6.06,42511
2014-05-14,6.05,6.04,5.9925,6.07,3792
2014-05-15,6.05,5.7,5.7,6.1,16213
2014-05-18,5.85,6.07,5.85,6.0999,5154
2014-05-19,6.1,6.1,6.05,6.1,2868
2014-05-20,6,6,6,6,1287
2014-05-21,6,6.015,6,6.1,1491
2014-05-22,6.04,6.0115,6.0101,6.04,2726
2014-05-26,6.04,6.23,6.02,6.23,2540
2014-05-27,6,6.02,6,6.12,4768
2014-06-01,6.0001,6.1,6,6.1,5484
2014-06-03,6.02,6.02,6.02,6.02,135
2014-06-04,6.066,6.066,6.066,6.066,100
2014-06-05,6.18,6.08,6.08,6.25,9091
2014-06-08,6.06,6.06,6.06,6.06,2080
2014-06-10,6.0881,6.0881,6.0881,6.0881,110
2014-06-11,6.0001,6.09,6.0001,6.09,1344
2014-06-12,6.09,6.152,6.08,6.28,8028
2014-06-15,6.055,6.14,6,6.15,1325
2014-06-17,6.15,6.28,6.1,6.28,3200
2014-06-18,6.29,6.1,6.0101,6.3,3610
2014-06-19,6.11,6.2,6,6.22,11065
2014-06-22,6.17,6.02,6.02,6.17,4387
2014-06-23,6.12,6.13,6,6.2,10694
2014-06-24,6.14,6.06,6.03,6.19,3311
2014-06-25,6.06,6.06,6,6.3,16719
2014-06-26,6.18,6.3,6.12,6.3,8727
2014-06-29,6.18,6.31,6,6.31,7644
2014-06-30,6.27,6.06,6,6.27,7346
2014-07-01,6.07,6.26,6.07,6.45,11880
2014-07-02,6.14,6.42,6.1,6.45,10628
2014-07-06,6.38,6.38,6.38,6.38,364
2014-07-07,6.35,6.25,6.25,6.41,7250
2014-07-08,6.27,6.27,6.25,6.45,3115
2014-07-09,6.35,6.27,6.27,6.4,2530
2014-07-10,6.27,6.28,6.25,6.45,4200
2014-07-13,6.25,6.25,6.25,6.393,7489
2014-07-14,6.32,6.25,6.25,6.32,2491
2014-07-15,6.31,6.26,6.25,6.36,6600
2014-07-16,6.43,6.96,6.43,7.13,33846
2014-07-17,7.03,6.69,6.641,7.03,3542
2014-07-20,6.69,6.65,6.65,6.9999,6519
2014-07-21,6.79,6.7,6.66,6.88,8621
2014-07-22,6.33,6.61,6.33,6.64,739
2014-07-23,6.82,6.47,6.47,6.82,814
2014-07-24,6.34,6.44,6.3,6.75,1403
2014-07-27,6.97,6.97,6.97,6.97,185
2014-07-28,6.69,6.45,6.33,6.9699,2627
2014-07-29,6.61,6.61,6.61,6.61,107
2014-07-30,6.97,6.89,6.34,6.97,2281
2014-07-31,6.8,6.74,6.31,6.8,3288
2014-08-03,6.35,6.55,6.35,6.73,24382
2014-08-04,6.36,6.5,6.36,6.6,4754
2014-08-05,6.5,6.37,6.3601,6.5,6378
2014-08-06,6.38,6.37,6.35,6.55,5215
2014-08-07,6.69,6.73,6.4534,6.73,766
2014-08-10,6.47,6.555,6.45,6.58,3163
2014-08-12,6.4,6.43,6.4,6.5,3781
2014-08-13,6.525,6.431,6.431,6.57,1200
2014-08-14,6.4351,6.5,6.43,6.5,4100
2014-08-17,6.67,6.51,6.51,6.67,249
2014-08-19,6.4327,6.69,6.4327,6.69,400
2014-08-20,6.69,6.69,6.69,6.69,362
2014-08-21,6.49,6.56,6.48,6.62,1385
2014-08-28,6.5,6.5,6.5,6.5,1536
2014-09-01,6.5,6.555,6.5,6.555,4144
2014-09-03,6.7,6.58,6.35,6.7,21339
2014-09-04,6.6301,6.6301,6.6301,6.6301,368
2014-09-07,6.26,6.5,6.26,6.5,3108
2014-09-08,6.52,6.54,6.52,6.54,1295
2014-09-10,6.5,6.57,6.5,6.62,2650
2014-09-14,6.6,6.6,6.6,6.6,115
2014-09-15,6.7399,6.7399,6.7399,6.7399,183
2014-09-17,6.5,6.5,6.5,6.52,1112
2014-09-18,6.65,6.65,6.65,6.65,199
2014-09-21,6.69,6.66,6.3075,6.69,924
2014-09-22,6.29,6.66,6.27,6.66,1048
2014-09-23,6.56,6.7,6.51,6.7,7132
2014-09-28,6.7,6.7,6.7,6.7,1400
2014-09-30,6.7,7.0999,6.7,7.1,19721
2014-10-01,6.35,6.7,6.3,7.1,27396
2014-10-02,7.07,7.07,7.07,7.07,100
2014-10-05,6.7001,6.7,6.7,6.75,1014
2014-10-06,6.7,6.97,6.7,7.1,1857
2014-10-07,6.54,6.91,6.54,6.9912,1144
2014-10-12,6.58,6.59,6.58,6.74,1248
2014-10-13,6.51,6.55,6.51,6.58,2029
2014-10-14,6.4,6.73,6.4,6.73,1882
2014-10-15,6.6001,6.6,6.6,6.73,1798
2014-10-16,6.4,6.71,6.4,6.73,1004
2014-10-19,6.4,6.72,6.4,6.74,488
2014-10-20,6.68,6.62,6.62,6.75,540
2014-10-21,6.64,6.64,6.64,6.64,166
2014-10-22,6.8101,6.8101,6.8101,6.8101,306
2014-10-23,6.81,6.81,6.81,6.81,153
2014-10-26,6.93,6.8,6.8,6.93,684
2014-10-27,6.8,6.975,6.8,7.156,10859
