date,open_price,close_price,lowest_price,highest_price,volume
2018-06-05,5.5101,5.6001,5.5101,5.7,18745
2018-06-06,5.695,5.695,5.695,5.695,117
2018-06-07,5.75,5.69,5.5501,5.75,11658
2018-06-10,5.55,5.55,5.532,5.55,11800
2018-06-11,5.55,5.533,5.501,5.55,10367
2018-06-12,5.55,5.5001,5.5001,5.55,6924
2018-06-13,5.5,5.54,5.5,5.5499,7499
2018-06-14,5.6,5.6388,5.6,5.6388,643
2018-06-17,5.5001,5.5,5.3517,5.5199,8146
2018-06-18,5.42,5.45,5.416,5.45,26570
2018-06-19,5.45,5.45,5.4234,5.45,8900
2018-06-20,5.4892,5.817,5.4835,5.8376,6672
2018-06-21,5.83,5.8975,5.7397,5.9,16304
2018-06-24,5.8247,5.8,5.8,5.85,7303
2018-06-25,5.7577,5.651,5.651,5.7577,5700
2018-06-26,5.8,5.651,5.651,5.85,23385
2018-06-27,5.68,5.68,5.68,5.68,500
2018-06-28,5.7,5.7001,5.69,5.7001,6882
2018-07-01,5.6,5.69,5.55,5.6954,16412
2018-07-02,5.67,5.7,5.551,5.7,8624
2018-07-04,5.71,5.4892,5.35,5.71,33258
2018-07-05,5.592,5.566,5.566,5.592,5100
2018-07-08,5.5724,5.84,5.57,5.84,28820
2018-07-09,5.84,5.8,5.7186,5.84,7540
2018-07-10,5.8119,5.83,5.8,5.839,8971
2018-07-11,5.84,6.02,5.84,6.1499,50552
2018-07-15,5.9,6.0517,5.9,6.0517,284
2018-07-16,5.75,6.08,5.749,6.0898,9800
2018-07-17,5.8526,6.141,5.8526,6.15,14515
2018-07-18,6.1099,6.17,6.001,6.22,48268
2018-07-19,6.18,6.3,6.1755,6.35,12208
2018-07-22,6.041,6.23,6.0401,6.25,22221
2018-07-23,6.1543,6.17,6.09,6.229,9783
2018-07-24,6,6.145,6,6.145,337
2018-07-25,6.07,6.01,5.95,6.0937,29178
2018-07-26,6.02,5.995,5.931,6.02,5206
2018-07-29,5.95,5.83,5.83,5.95,2946
2018-07-30,6.1198,5.8807,5.861,6.1208,59066
2018-07-31,5.96,5.9372,5.86,6.26,23135
2018-08-01,5.75,5.99,5.75,6.13,6622
2018-08-02,5.9614,5.991,5.9614,5.991,2384
2018-08-05,5.8453,5.98,5.8453,5.98,347
2018-08-06,5.91,5.91,5.91,5.9101,5220
2018-08-08,5.83,5.83,5.81,5.858,10594
2018-08-09,5.75,5.791,5.6199,5.7974,13002
2018-08-12,5.8,5.9001,5.8,6.25,10828
2018-08-13,5.88,5.7,5.55,5.88,10634
2018-08-14,5.6656,5.68,5.6499,5.68,6960
2018-08-15,5.688,5.6,5.5804,5.7,15692
2018-08-16,5.6281,5.57,4.981,5.6281,24725
2018-08-19,5.281,5.3,5.25,5.427,16522
2018-08-20,5.217,5.2575,5.217,5.2612,9198
2018-08-21,5.249,5.2,5.1245,5.249,40290
2018-08-22,5.15,5.1439,5,5.15,16442
2018-08-23,5.15,5.35,5.15,5.35,10547
2018-08-26,5.32,5.32,5.32,5.32,157
2018-08-27,5.32,5.49,5.266,5.51,23710
2018-08-28,5.6,5.5722,5.385,5.6,10937
2018-08-29,5.55,5.62,5.353,5.65,33432
2018-08-30,5.64,5.31,5.31,5.64,398
2018-09-03,5.6,5.47,5.322,5.6,7144
2018-09-04,5.47,5.6,5.47,5.6,3883
2018-09-05,5.6,5.65,5.5718,5.65,47116
2018-09-06,5.6,5.6086,5.6,5.6192,33410
2018-09-09,5.64,5.7,5.62,5.85,21813
2018-09-10,5.73,6,5.73,6.225,54604
2018-09-11,5.91,5.75,5.6101,6.29,20096
2018-09-12,5.85,6.25,5.65,6.25,22284
2018-09-13,5.85,5.83,5.6,6.09,19874
2018-09-16,6.1,5.93,5.9,6.25,28349
2018-09-17,6,5.97,5.73,6.05,22249
2018-09-18,5.83,5.98,5.75,6,20109
2018-09-19,6,5.87,5.82,6.3,16558
2018-09-20,5.9,5.31,5.2,5.93,47789
2018-09-23,5.35,5.5,5.35,5.61,7048
2018-09-24,5.49,5.53,5.38,5.585,4573
2018-09-25,5.56,5.74,5.56,5.74,9914
2018-09-26,5.75,5.54,5.4773,5.75,7422
2018-09-27,5.63,5.67,5.55,5.87,29316
2018-09-30,5.69,5.75,5.69,5.7888,2673
2018-10-01,5.6869,5.91,5.6869,5.91,556
2018-10-02,5.6168,5.63,5.6168,5.86,1090
2018-10-03,5.72,5.84,5.59,5.84,1258
2018-10-04,5.5065,5.46,5.43,5.75,14999
2018-10-07,5.52,5.75,5.52,5.75,1432
2018-10-08,5.4672,5.55,5.4672,5.73,2746
2018-10-09,5.4916,5.36,5.36,5.5324,2024
2018-10-10,5.42,5.55,5.42,5.584,5235
2018-10-11,5.5,5.435,5.435,5.5065,3619
2018-10-14,5.48,5.55,5.4799,5.55,8621
2018-10-15,5.5,5.58,5.5,5.58,222
2018-10-16,5.5145,5.5,5.5,5.5145,965
2018-10-17,5.55,5.55,5.5,5.55,1039
2018-10-18,5.431,5.6,5.43,5.6,8426
2018-10-21,5.59,5.44,5.43,5.601,5508
2018-10-22,5.43,5.38,5.22,5.43,3081
2018-10-23,5.3,5.32,5.3,5.3741,2718
2018-10-24,5.21,5.21,5.21,5.21,510
2018-10-25,5.3373,5.21,5.21,5.3489,7325
2018-10-28,5.19,5,4.906,5.19,9844
2018-10-29,5,5.03,4.9142,5.03,4548
2018-10-30,5.04,5.12,5,5.13,12316
2018-10-31,5.12,5.007,4.9001,5.12,4883
2018-11-01,5.07,5.12,5.07,5.12,1302
2018-11-04,5.0449,5.02,5.02,5.0449,1049
2018-11-05,5.0881,4.9,4.9,5.0881,986
2018-11-06,4.75,4.08,4.012,4.75,50080
2018-11-07,3.65,4.15,3.62,4.35,31120
2018-11-08,4.2292,4.2,4.16,4.28,18216
2018-11-11,4.22,3.88,3.43,4.221,27809
2018-11-12,3.6211,4.2,3.6211,4.222,2834
2018-11-13,4.2001,4.2,4,4.217,13699
2018-11-14,4.3,4.175,4.035,4.3,1207
2018-11-15,4.035,4.347,4,4.347,1735
2018-11-18,4.14,3.76,3.68,4.2243,18255
2018-11-19,3.6683,3.71,3.6683,3.9,2006
2018-11-20,3.7,3.7,3.7,4.12,5532
2018-11-22,3.85,4,3.85,4,3843
2018-11-25,3.7185,3.8712,3.7185,3.99,1383
2018-11-26,3.8948,3.84,3.84,3.8948,811
2018-11-27,3.9999,4.0922,3.995,4.0922,1866
2018-11-29,4.08,3.97,3.76,4.245,10357
2018-12-02,3.95,4.1,3.95,4.1,941
2018-12-05,4,3.93,3.93,4.05,1471
2018-12-06,4.075,4.1,4.075,4.1,500
2018-12-09,4,3.85,3.85,4,4081
2018-12-10,4.099,3.9923,3.85,4.099,8400
2018-12-11,3.86,3.8989,3.76,3.8989,12944
2018-12-13,3.81,4.31,3.7,4.31,5099
2018-12-16,4.31,3.9404,3.9404,4.31,1629
2018-12-18,3.98,3.98,3.98,3.98,185
2018-12-19,4.25,4.25,4.25,4.25,163
2018-12-20,4.05,4.05,4.05,4.05,470
2018-12-23,3.65,3.55,3.55,3.85,4608
2018-12-25,3.99,3.9,3.9,3.99,702
2018-12-27,3.75,3.7722,3.55,3.855,13404
2018-12-30,3.78,4,3.78,4.0601,11954
2019-01-01,4,5.49,3.6094,5.49,40102
