date,open_price,close_price,lowest_price,highest_price,volume
2017-08-07,13,12.3,11.5,13,154596
2017-08-08,12.34,11.98,11.9,12.362,99678
2017-08-09,11.44,11.13,10.81,11.78,54568
2017-08-10,11.1,12.09,11.1,12.15,66861
2017-08-13,12.15,12.2592,12.1,13.1052,78993
2017-08-14,12.3,13.184,12.02,13.27,153414
2017-08-15,12.85,12.8641,12.8001,13.225,98575
2017-08-16,12.98,12.89,12.76,12.98,54411
2017-08-17,12.97,12.9,12.7883,12.97,61689
2017-08-20,12.9,12.81,12.7127,12.91,45144
2017-08-21,12.86,12.5,12.0644,12.86,56317
2017-08-22,12.6,12.54,12.23,12.7,28924
2017-08-23,12.5651,12.52,12.12,12.57,91522
2017-08-24,12.55,12.5,12.2,12.7511,117509
2017-08-27,12.32,12.37,12.3,12.52,72353
2017-08-28,12.34,12.34,12.2,12.48,70057
2017-08-29,12.4,12.39,12.27,12.49,83108
2017-08-30,12.46,12.4,12.39,12.47,64585
2017-08-31,12.46,12.35,12.3,12.46,60490
2017-09-04,12.3,12.32,12.25,12.38,74246
2017-09-05,12.36,12.69,12.31,13.4812,132255
2017-09-06,12.78,12.7,12.36,12.78,75028
2017-09-07,12.73,12.73,12.36,12.73,59443
2017-09-10,12.6,12.77,12.5,12.78,59534
2017-09-11,12.8,12.81,12.7,12.92,70510
2017-09-12,12.83,13.62,12.787,13.6492,184733
2017-09-13,13.72,13.7,13.56,13.8,111494
2017-09-14,13.79,14.26,13.77,14.26,172537
2017-09-17,14.2,14.72,14.15,14.72,178845
2017-09-18,14.73,15.02,14.7,15.06,171975
2017-09-19,15.16,15,14.55,15.16,167323
2017-09-20,15.09,15.04,14.85,15.11,134396
2017-09-21,15.0001,14.96,14.74,15.15,183445
2017-09-24,14.9999,15.98,14.99,16.63,215971
2017-09-25,16.23,18.12,16.23,18.9448,247536
2017-09-26,17.51,20.04,17.51,20.04,237601
2017-09-27,19.85,20.04,19.47,20.05,244088
2017-09-28,19.89,19.96,19.48,19.98,150314
2017-10-01,19.91,21.05,19.71,21.31,174944
2017-10-02,20.94,20.85,18.4569,21.4,173454
2017-10-03,21,23.2,19.45,23.27,315114
2017-10-04,23.02,23.11,19.98,23.25,292910
2017-10-05,22.76,22.9,22.03,24.75,169621
2017-10-08,23.01,23.67,22.54,23.98,223600
2017-10-09,23.55,23.51,22.5,23.84,243590
2017-10-10,23.45,23.48,22.55,23.6328,182878
2017-10-11,23.47,22.8,22.1,23.5999,154486
2017-10-12,22.71,22.55,22.4,23.01,83373
2017-10-15,22.73,22.9,22.2,22.95,148214
2017-10-16,22.98,22.46,22.36,22.98,130148
