date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,18.77,18.77,18.48,18.89,415651
2014-01-02,18.92,19.19,18.84,19.31,846810
2014-01-05,19.35,19.3,19.19,19.64,2170937.0
2014-01-06,19.25,19.03,18.72,19.26,403948
2014-01-07,18.74,18.99,18.74,19.1,322184
2014-01-08,19,18.93,18.856,19.24,706063
2014-01-09,18.95,18.67,18.39,19.1375,481507
2014-01-12,18.88,18.35,18.35,18.88,162244
2014-01-13,18.29,17.96,17.73,18.29,261230
2014-01-14,18,18.43,17.78,18.49,242535
2014-01-15,18.31,18.68,18.25,18.71,388209
2014-01-16,18.44,18.3,18.19,18.55,164106
2014-01-20,18.32,18.25,18.12,18.5,249688
2014-01-21,18.23,18.37,18.14,18.44,428353
2014-01-22,18.19,17.88,17.78,18.49,192773
2014-01-23,17.74,17.81,17.5,18.01,374540
2014-01-26,17.96,17.31,16.86,17.96,493181
2014-01-27,17.41,17.61,17.138,18.05,365244
2014-01-28,17.49,17.34,17.08,17.772,375458
2014-01-29,17.57,17.51,17.195,17.57,409768
2014-01-30,17.3,17.93,17.13,18.03,719009
2014-02-02,17.93,18,17.65,18.77,941755
2014-02-03,18.08,18.26,17.81,18.58,345677
2014-02-04,18.26,18.5,17.94,18.66,788997
2014-02-05,18.48,18.46,18.2,18.71,555212
2014-02-06,18.28,18.21,18.09,18.7,292684
2014-02-09,18.16,18.58,18.16,18.9,412692
2014-02-10,18.54,18.89,18.2804,18.99,372342
2014-02-11,18.86,18.6,18.52,19.34,172756
2014-02-12,18.41,18.77,18.34,18.91,192572
2014-02-13,18.71,18.81,18.7,19,220635
2014-02-17,18.84,19.02,18.83,19.1,286042
2014-02-18,18.94,18.94,18.76,19.17,110773
2014-02-19,18.975,18.97,18.63,19.21,1037555.0
2014-02-20,23.5,21.92,21.82,24.38,2770947.0
2014-02-23,22.05,22.92,22.04,23.05,960775
2014-02-24,22.88,23,22.7,23.41,458209
2014-02-25,23.04,23.36,22.944,23.51,421521
2014-02-26,23.52,23.63,23.18,23.83,345170
2014-02-27,23.7,24.22,23.3,24.22,550695
2014-03-02,23.94,24.24,23.55,24.52,637669
2014-03-03,24.38,24.13,23.96,24.725,446413
2014-03-04,24.26,24.05,23.79,24.99,356110
2014-03-05,23.98,23.49,23.2,24.07,361190
2014-03-06,23.72,22.9,22.79,23.72,463265
2014-03-09,22.88,22.71,22.61,23.36,448735
