date,open_price,close_price,lowest_price,highest_price,volume
2014-03-06,27.15,30,27.1,33,11373596.0
2014-03-09,30.8,30,29.79,30.97,2291368.0
2014-03-10,29.87,27.8,27.77,29.87,894338
2014-03-11,27.15,29.52,25.75,29.655,839173
2014-03-12,29.16,26.95,26.7,29.98,630305
2014-03-13,26.9,26.55,26.35,27.27,534267
2014-03-16,26.78,30,26.65,30.25,712951
2014-03-17,29.72,29.43,28.71,30.49,446587
2014-03-18,29.28,27.1,26.8535,29.43,523827
2014-03-19,27.1,27.42,26.83,28,250606
2014-03-20,27.37,26.17,24.6837,28.1853,549559
2014-03-23,26,23.01,22.7101,26.29,938189
2014-03-24,23.13,25.76,23.13,26.22,691621
2014-03-25,25.89,24.85,24.51,26.39,464302
2014-03-26,24.77,25.53,23.3,25.675,367194
2014-03-27,25.46,25.37,24.71,25.5958,65149
2014-03-30,25.72,24.65,24.53,25.88,136279
2014-03-31,24.46,24.09,23.66,24.69,861316
2014-04-01,24.11,24.06,23.968,24.73,270615
2014-04-02,24.15,22.65,22.26,24.45,212272
2014-04-03,23.05,20.6,19.921,23.1258,664444
2014-04-06,20.24,20.41,20,20.68,1070010.0
2014-04-07,20.45,20.6,20.25,21.1,364767
2014-04-08,20.99,21.18,20.67,21.31,277921
2014-04-09,21.1,21.01,20.61,21.46,546770
2014-04-10,20.8,19.86,19.7,20.8,474986
2014-04-13,20.17,20.27,20.05,20.495,147332
2014-04-14,20.49,20.3,18.51,20.49,587449
2014-04-15,20.48,19.55,19.14,20.5,358633
2014-04-16,19.4,19.32,18.75,19.64,428048
2014-04-20,19.33,18.88,18.43,19.33,329120
2014-04-21,18.9,20.04,18.75,20.35,267316
2014-04-22,20.04,20.81,19.82,21.34,349415
2014-04-23,20.95,18.65,18.51,20.95,725303
2014-04-24,18.57,17.51,17.085,18.72,592770
2014-04-27,17.58,17.41,15.84,17.69,1008061.0
2014-04-28,17.49,17.32,16.72,17.5,733897
2014-04-29,17.18,16.82,16.7,17.32,416336
2014-04-30,16.78,17.93,16.78,18.0299,297431
2014-05-01,17.92,18,17.31,18.05,258964
2014-05-04,17.67,17.92,17.35,17.97,439344
2014-05-05,17.93,17.76,17.5447,18.128,458282
2014-05-06,17.88,16.46,15.99,17.88,743737
2014-05-07,17,17.13,15.56,17.45,1157575.0
2014-05-08,17.36,17.81,16.99,18,347468
2014-05-11,17.99,17.03,16.71,18,445701
2014-05-12,17.36,17.58,17.22,17.95,116526
2014-05-13,17.58,20,17.58,21.45,756097
2014-05-14,20.14,19.84,19.1501,20.636,372629
2014-05-15,19.99,19.25,19.24,19.99,90897
2014-05-18,19.11,18.24,18.1401,19.32,163523
2014-05-19,18.33,19.73,18.1301,19.8753,111987
2014-05-20,19.64,20.13,19.42,20.63,187080
2014-05-21,20.34,20.85,20.34,22.25,423438
2014-05-22,20.81,22.03,20.8,22.5,458128
2014-05-26,22.48,22.26,22.04,23.45,251472
2014-05-27,22.18,22.65,21.92,22.91,103946
2014-05-28,22.88,24.46,22.61,25.32,266018
2014-05-29,24.33,25.82,24.15,26.35,283785
2014-06-01,26.81,30.17,25.77,30.6,803766
2014-06-02,29.56,29.48,27.27,32.67,1891407.0
2014-06-03,28.33,27.9,27.3118,28.6453,574264
2014-06-04,27.64,27.71,25.76,28.15,328536
2014-06-05,27.96,27.31,27.1,28.39,258313
2014-06-08,26.99,27.83,26.77,28.25,297691
2014-06-09,25.65,24.88,23.5,26.095,691930
2014-06-10,24.75,25.92,24.2,26.445,334489
2014-06-11,26.47,25.8,24.53,26.47,290714
2014-06-12,26.12,27,26.12,28,423347
2014-06-15,26.1432,27,26.1432,28.05,767252
2014-06-16,26.66,27,26.65,27.07,315090
2014-06-17,26.9,26.98,26.64,27.58,255357
2014-06-18,26.9,26.95,26.68,27.4092,283208
2014-06-19,26.95,27,26.68,27.5,923370
2014-06-22,27.08,27,26.7,27.39,387416
2014-06-23,26.8,25.93,25.234,28.36,454658
2014-06-24,25.79,26.9,25.5314,27,140078
2014-06-25,26.67,27,26.35,27.0499,124776
2014-06-26,26.98,26.46,26.46,27.49,1329466.0
2014-06-29,26.67,26.31,25.75,26.9,269830
2014-06-30,26.27,24.44,24.2,26.5,298663
2014-07-01,24.39,22.37,22.26,24.663,402526
2014-07-02,22.37,23.36,22.3,23.49,144896
2014-07-06,23.28,23.99,23.0247,24.33,298153
2014-07-07,24.15,25.12,23.57,25.31,434521
2014-07-08,25.36,25.07,24.61,25.65,151611
2014-07-09,24.51,24.84,24.37,25.39,136743
2014-07-10,24.73,25.28,24.67,25.82,106050
2014-07-13,25.55,25.18,24.95,25.8499,133649
2014-07-14,25.24,24.61,24.2,25.24,155821
2014-07-15,24.85,24.64,24.303,24.85,104775
2014-07-16,24.84,24.3,23.97,24.93,201807
2014-07-17,24.19,24.8,23.8,24.95,217123
2014-07-20,24.8,24.4,24.29,24.8,104221
2014-07-21,24.4,24.54,23.88,24.68,122947
2014-07-22,24.5,24.44,24.21,24.69,101197
2014-07-23,24.33,24.15,23.41,24.5,332223
2014-07-24,24.07,23.59,23.2,24.08,173165
2014-07-27,23.15,23.06,22.55,23.6175,332962
2014-07-28,23.05,21.97,21.87,23.3,133002
2014-07-29,21.89,21.35,21,22.21,127144
2014-07-30,20.96,20.53,20.13,21.28,247882
2014-07-31,20.54,19.85,19.42,20.57,209361
2014-08-03,19.98,19.45,18.96,20.1599,274754
2014-08-04,19.1,19.66,18.65,20.07,294464
2014-08-05,19.23,19.49,19,19.85,245035
2014-08-06,18.66,14.91,14.9,18.66,1627678.0
2014-08-07,14.99,14.98,14.29,15.1999,413181
2014-08-10,15.15,14.96,14.7,15.5,412419
2014-08-11,14.82,14.5,14.4,14.83,189233
2014-08-12,14.5,14.48,14.4,14.65,128233
2014-08-13,14.83,14.93,14.68,15.094,586549
2014-08-14,15,14.5,14.3,15,471228
2014-08-17,14.61,14.29,14.26,14.75,154635
2014-08-18,14.41,13.23,13.07,14.46,759015
2014-08-19,13.25,13.05,13.03,13.5,216569
2014-08-20,13.05,12.24,12.19,13.11,1299492.0
2014-08-21,12.27,12.67,11.61,13.14,936928
2014-08-24,12.7,12.72,12.13,12.829,377248
2014-08-25,12.87,13,12.33,13.1,294334
2014-08-26,12.99,13.14,12.714,13.29,225167
2014-08-27,13.28,13.96,13.024,14.23,359193
2014-08-28,14.56,15.28,14.36,15.46,831603
2014-09-01,15.4,16.28,15.4,16.33,412855
2014-09-02,15.84,14.96,14.51,15.84,1923657.0
2014-09-03,14.96,15.62,14.7,16.15,2278396.0
2014-09-04,15.65,16.33,15.45,16.49,1148602.0
2014-09-07,16.5,15.22,14.8,16.5,1417053.0
2014-09-08,15.2,14.89,14.34,15.2,1114818.0
2014-09-09,14.91,15.05,14.3,15.1,575315
2014-09-10,14.89,14.09,14.02,14.89,660097
2014-09-11,14.03,13.8,13.51,14.18,398085
2014-09-14,13.75,13.28,13.01,13.88,452940
2014-09-15,13.24,13.65,13,13.71,474576
2014-09-16,13.69,13.36,13.08,13.8085,448753
2014-09-17,13.37,13.23,13.19,13.62,177677
2014-09-18,13.21,13.1,12.84,13.37,348308
2014-09-21,12.82,12.66,12.47,13.15,451096
2014-09-22,12.55,12.67,12.385,12.91,214425
2014-09-23,12.57,12.73,12.39,12.75,209462
2014-09-24,12.75,12.45,12.05,12.75,465254
2014-09-25,12.46,12.11,11.81,12.4874,446614
2014-09-28,11.85,12.14,11.85,12.49,469739
2014-09-29,12,11.96,11.672,12.17,322045
2014-09-30,11.88,12,11.88,12.3,373578
2014-10-01,11.95,12.3,11.75,12.32,585394
2014-10-02,12.38,13.3,12.12,13.42,916763
2014-10-05,13.37,13.2,12.99,13.45,728533
2014-10-06,13.11,12.79,12.6301,13.14,583864
