date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,49.55,49.41,48.8,50.03,2202996.0
2014-01-02,49.3,45.53,44.6,49.59,8370765.0
2014-01-05,45.74,44.43,44.35,46.14,4049215.0
2014-01-06,44.87,46.02,44.78,46.85,3416989.0
2014-01-07,46.41,44.51,43.6,46.98,6549157.0
2014-01-08,44.1,40.49,38.3,44.3997,22228492.0
2014-01-09,40.97,38.95,37.41,41.3,14380036.0
2014-01-12,39.33,39.14,38.64,40.59,8243867.0
2014-01-13,39.31,40.1,38.59,40.38,7907776.0
2014-01-14,40.46,40.34,39.874,41.66,5973378.0
2014-01-15,41.9,41.15,40.25,41.9,4546050.0
2014-01-16,42.47,40.57,40.33,42.48,4520724.0
2014-01-20,41.08,41.93,41.08,42.42,4684724.0
2014-01-21,42.72,43.06,42.36,43.79,4269223.0
2014-01-22,40.78,41.17,39.16,42.89,8269665.0
2014-01-23,40.95,39.61,39.55,41.3,6484523.0
2014-01-26,39.65,37.86,35.96,40.01,7593770.0
2014-01-27,38.77,40.26,38.7501,40.6805,6305589.0
2014-01-28,40.26,39.14,38.48,40.26,2910460.0
2014-01-29,39.88,39.61,39.41,40.57,1925734.0
2014-01-30,38.52,39.51,38.36,40.2,1693516.0
2014-02-02,39.5,37.17,36.67,39.95,3380115.0
2014-02-03,37.5,39.08,37.5,39.73,3754194.0
2014-02-04,39.12,38.65,37.01,39.39,2573999.0
2014-02-05,38.8,38.67,38.33,39.3,2309825.0
2014-02-06,39.08,39.5,38.86,40.32,2787121.0
2014-02-09,40,40.72,39.38,40.92,3068689.0
2014-02-10,41.39,41.62,40.5,42.08,5779849.0
2014-02-11,42,41.72,40.13,42.0499,7822041.0
2014-02-12,38.84,45.99,38.81,47.63,23100529.0
2014-02-13,46.12,45.83,44.45,46.12,5878258.0
2014-02-17,46,51.11,45.98,51.23,10498808.0
2014-02-18,50.4,48.74,48.19,52.5,7442066.0
2014-02-19,49.5,49.7,49.16,50.9899,3731444.0
2014-02-20,49.59,49.28,49.08,50.4,2332664.0
2014-02-23,49.09,50.1,49.02,50.93,2713884.0
2014-02-24,49.4,50.05,48.2,50.105,3223460.0
2014-02-25,51.27,52.21,50.07,52.87,5757299.0
2014-02-26,54.01,55.75,53.9,56.86,6993004.0
2014-02-27,55.12,54.01,53,55.69,4182306.0
2014-03-02,52.5,53.3,51.89,54.16,2619605.0
2014-03-03,54.5,53.14,52.66,54.5,4446156.0
2014-03-04,53.88,53.01,52.63,53.98,2754004.0
2014-03-05,53.25,53.74,52.807,54.19,2840494.0
2014-03-06,53.29,52.59,51.6,53.94,1984931.0
2014-03-09,51.59,49.73,48.73,51.99,4816547.0
2014-03-10,50.28,49.57,49.4,51.17,2828181.0
2014-03-11,49.28,51.34,48.33,51.45,2358677.0
2014-03-12,51.71,49.36,48.8,52.39,4008397.0
2014-03-13,49.41,50.06,49.05,51.14,2723268.0
2014-03-16,50.34,49.77,48.57,50.919,2813285.0
2014-03-17,50,51.19,49.4,51.5,1981615.0
2014-03-18,51.01,50.03,49.48,51.81,3732371.0
2014-03-19,49.81,49.48,49.09,51.5,3330323.0
2014-03-20,50.75,49.49,49.1,51.05,3013121.0
2014-03-23,47.95,47.79,47.11,49.95,5798826.0
2014-03-24,47.82,47.95,46.57,48.82,2689557.0
2014-03-25,48.7,47.75,47.24,49.65,3307661.0
2014-03-26,47.8,47.01,46.13,48.44,2349287.0
2014-03-27,47.49,48.37,47.49,50.3999,3551080.0
2014-03-30,49,50.42,48.87,51.09,2941630.0
2014-03-31,50.43,51.41,50.23,52.5,3265457.0
2014-04-01,51.55,52.17,51.41,52.99,2421575.0
2014-04-02,53.43,52.88,51.66,54.75,5565286.0
2014-04-03,52.85,50.02,49.73,52.98,4438598.0
2014-04-06,52.29,50.25,49.2,52.97,5412268.0
2014-04-07,52.26,55.48,52.1,55.74,6593973.0
2014-04-08,55.62,55.85,53.43,56.12,4486784.0
2014-04-09,55.62,54.03,53.55,56.47,3404904.0
2014-04-10,53.15,53.83,52.5,55.75,4547460.0
2014-04-13,54.48,54.37,52.98,55.29,1980493.0
2014-04-14,54.41,50.83,48.379,54.82,6417389.0
