date,open_price,close_price,lowest_price,highest_price,volume
2018-02-15,10,10,10,10.04,3758331.0
2018-02-19,10.02,10,10,10.02,157867
2018-02-20,10,10,10,10.01,50315
2018-02-21,10,10,10,10.01,46220
2018-02-22,10.0001,10.035,10,10.0499,22222
2018-02-25,10,10.03,10,10.03,292854
2018-02-26,10,10.05,10,10.05,10210
2018-02-27,10.05,10.0338,10.0338,10.05,240
2018-02-28,10,10.05,10,10.05,1849
2018-03-01,10.05,10.1,10.05,10.2,54184
2018-03-04,10.18,10.075,10.075,10.2,9537
2018-03-07,10.115,10.05,10.05,10.115,6489
2018-03-08,10.14,10.15,10.05,10.15,3863
2018-03-11,10.0978,10.15,10.05,10.15,2920
2018-03-12,10.1117,10.15,10.06,10.2,11635
2018-03-13,10.12,10.12,10.12,10.15,2323
2018-03-14,10.12,10.15,10.12,10.15,2612
2018-03-15,10.12,10.19,10.12,10.19,571
2018-03-18,10.15,10.15,10.14,10.15,5411
2018-03-19,10.135,10.135,10.135,10.135,225
2018-03-20,10.12,10.1,10.1,10.13,31198
2018-03-21,10.1,10.1,10.1,10.1,81053
2018-03-22,10.06,10.05,10.05,10.06,22788
2018-03-26,10.05,10.05,10.05,10.06,3431
2018-03-27,10.05,10.05,10.05,10.05,1678
2018-03-28,10.0501,10.0501,10.0501,10.0501,1200
2018-04-01,10.05,10.06,10.05,10.06,414
2018-04-03,10.1026,10.05,10.05,10.1026,101169
2018-04-17,10.1,10.1,10.1,10.1,233
2018-04-24,10.12,10.11,10.11,10.12,361
2018-05-02,10.068,10.062,10.0501,10.068,997
2018-05-06,10.0508,10.05,10.05,10.0508,3600
2018-05-07,10.05,10.08,10.05,10.08,28203
2018-05-08,10.08,10.08,10.08,10.08,6000
2018-05-09,10.18,10.18,10.18,10.18,197
2018-05-10,10.19,10.2,10.06,10.2,37752
2018-05-13,10.2,10.19,10.19,10.2,2017
2018-05-14,10.1993,10.2,10.1993,10.2,200
2018-05-16,10.2,10.2,10.06,10.2,2449
2018-05-28,10.2,10.2,10.2,10.2,1050
2018-05-30,10.2,10.2,10.143,10.2,1500
2018-05-31,10.06,10.2,10.06,10.2,800
2018-06-03,10.19,10.2,10.19,10.2,350
2018-06-07,10.11,10.11,10.11,10.11,350
2018-06-10,10.07,10.08,10.07,10.1,880
2018-06-11,10.12,10.12,10.12,10.12,5000
2018-06-13,10.13,10.12,10.12,10.13,7925
2018-06-20,10.12,10.12,10.12,10.12,4679
2018-06-24,10.1029,10.1029,10.1029,10.1029,1000
2018-06-25,10.1794,10.1794,10.1794,10.1794,557
2018-06-26,10.12,10.12,10.12,10.12,10321
2018-06-27,10.15,10.15,10.15,10.15,272943
2018-07-09,10.13,10.13,10.13,10.13,420
2018-07-11,10.121,10.121,10.121,10.121,1002
2018-07-15,10.12,10.141,10.12,10.141,2000
2018-07-18,10.0802,10.0802,10.0802,10.0802,100
2018-07-25,10.1,10.1,10.1,10.1,468
