date,open_price,close_price,lowest_price,highest_price,volume
2017-09-14,10.07,10.13,10.07,10.18,406423
2017-09-17,10.15,10.1689,10.1201,10.17,89571
2017-09-18,10.15,10.15,10.15,10.17,41342
2017-09-19,10.2,10.18,10.16,10.2,21785
2017-09-20,10.16,10.17,10.1593,10.18,10990
2017-09-21,10.15,10.16,10.15,10.17,11982
2017-09-24,10.16,10.15,10.14,10.17,46964
2017-09-25,10.14,10.16,10.14,10.16,16563
2017-09-26,10.68,10.15,10.15,10.68,1142
2017-09-27,10.3,10.18,10.125,10.3,149358
2017-09-28,10.1834,10.22,10.1834,10.22,5038
2017-10-01,10.2478,10.2,10.1659,10.2478,1947
2017-10-02,10.2,10.1988,10.1988,10.2,7510
2017-10-03,10.2,10.2,10.2,10.2,5242
2017-10-04,10.2,10.2,10.2,10.2,239
2017-10-05,10.19,10.17,10.17,10.2,6900
2017-10-09,10.17,10.17,10.17,10.17,721
2017-10-11,10.2,10.24,10.2,10.3,110238
2017-10-12,10.24,10.35,10.23,10.4,277902
2017-10-15,10.36,10.35,10.35,10.39,102460
2017-10-16,10.34,10.37,10.34,10.4,141700
2017-10-17,10.35,10.53,10.35,10.78,124800
2017-10-18,10.5,10.5,10.5,10.5,900
2017-10-19,10.5499,10.46,10.45,10.5499,700
2017-10-22,10.55,10.5,10.49,10.55,5376
2017-10-24,10.58,10.47,10.46,10.58,1000
2017-10-29,10.47,10.47,10.47,10.47,530
2017-10-30,10.3788,10.4999,10.3788,10.5,15610
2017-10-31,10.42,10.42,10.42,10.42,100
2017-11-05,10.49,10.4,10.35,10.49,26299
2017-11-06,10.4,10.44,10.4,10.47,2500
2017-11-07,10.45,10.45,10.45,10.45,20000
2017-11-12,10.5,10.49,10.4001,10.5,1084
2017-11-14,10.4,10.4,10.4,10.4,100000
2017-11-15,10.35,10.35,10.35,10.35,400
2017-11-16,10.39,10.39,10.39,10.39,5500
2017-11-20,10.1501,10.4992,10.1501,10.4992,933
2017-11-27,10.42,10.42,10.42,10.42,69800
2017-11-29,10.46,10.46,10.46,10.46,33000
2017-12-03,10.48,10.48,10.48,10.48,400
2017-12-04,10.5,10.48,10.48,10.8,221079
2017-12-05,10.596,10.52,10.52,10.596,50500
2017-12-06,10.55,10.55,10.54,10.55,50100
2017-12-12,10.55,10.55,10.55,10.55,2500
2017-12-19,10.5347,10.5347,10.5347,10.5347,1000
2018-01-03,10.56,10.56,10.56,10.56,50000
2018-01-08,10.56,10.56,10.56,10.56,8200
2018-01-10,10.75,10.75,10.75,10.75,100
2018-01-17,10.68,10.68,10.68,10.68,900
2018-01-21,10.7,10.7,10.7,10.7,75092
2018-01-22,10.7,10.7,10.7,10.7,46326
2018-01-28,10.63,10.63,10.63,10.63,100
2018-02-06,10.62,10.6,10.6,10.62,1200
2018-02-07,10.6884,10.6884,10.6884,10.6884,200
2018-02-08,10.78,10.799,10.78,10.799,200
2018-02-11,10.7785,10.7785,10.7785,10.7785,150
2018-02-12,10.7999,10.7999,10.7999,10.7999,125
2018-03-01,10.55,10.74,10.55,10.74,450
2018-03-08,10.74,10.74,10.74,10.74,100
2018-03-21,10.72,10.72,10.72,10.72,100
2018-03-28,10.75,10.75,10.75,10.75,25450
2018-04-05,10.75,10.75,10.75,10.75,1000
2018-04-09,10.75,10.75,10.75,10.75,500
2018-04-17,10.75,10.78,10.75,10.78,650
2018-04-19,10.74,10.74,10.74,10.74,100
2018-04-23,10.85,10.62,10.62,10.85,445
2018-04-24,10.71,10.7492,10.7,10.7492,700
2018-04-26,10.7,10.7,10.7,10.7,100
2018-04-29,10.72,10.72,10.72,10.72,100
2018-04-30,10.74,10.74,10.74,10.74,100
2018-05-01,10.76,10.76,10.76,10.76,100
2018-05-02,10.74,10.74,10.74,10.74,100
2018-05-03,10.7,10.7,10.7,10.7,100
2018-05-06,10.7,10.7,10.7,10.7,100
2018-05-08,10.76,10.76,10.76,10.76,100
2018-05-09,10.75,10.75,10.75,10.75,100
2018-05-10,10.75,10.68,10.68,10.75,6510
2018-05-13,10.7,10.6,10.6,10.7,10847
2018-05-30,10.7,10.7,10.7,10.7,609
2018-06-28,13.5,12,12,13.5,650
2018-07-11,12,12,12,12,100
2018-07-15,12,12,12,12,150
2018-07-18,10.8,10.8,10.8,10.8,100
2018-08-19,10.7,10.7,10.7,10.7,100
2018-09-04,11.4,11.4,11.4,11.4,3500
2018-09-12,11,11.1,11,11.1,301
2018-09-26,11,11,11,11,100
2018-10-03,10.7027,11,10.7027,11,200
2018-10-07,10.7027,10.98,10.7027,10.98,300
2018-10-14,10.9,10.9,10.9,10.9,100
2018-10-31,10.71,10.7085,10.7,10.71,7354
2018-11-04,10.61,10.61,10.61,10.61,400
2018-11-07,10.3013,10.6,10.3013,10.6,6612
2018-11-15,11,11,11,11,254
2018-12-06,10,10,10,10,650
2018-12-10,10.2,10.25,10.2,10.25,651
