date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,95.943,96.1713,95.5056,96.9999,10540.25
2014-01-02,96.3999,96.8571,95.343,96.8856,10235.75
2014-01-05,96.9714,96.3714,95.6571,96.9999,10288.95
2014-01-06,96.4857,98.0571,96.1428,99.1428,14671.3
2014-01-07,98.1144,97.2858,96.8571,98.1144,10645.95
2014-01-08,97.7142,98.1429,97.6572,99.7209,13465.9
2014-01-09,98.457,97.9143,96.7428,98.457,20567.4
2014-01-12,97.2858,94.743,94.0572,97.8543,10870.65
2014-01-13,94.9428,95.8857,94.9428,97.1142,9614.15
2014-01-14,96.1143,96.7143,95.8572,97.4001,10421.6
2014-01-15,96.7143,95.9142,95.7429,97.4001,6513.85
2014-01-16,96.2286,95.8857,95.7144,96.9144,12710.25
2014-01-20,96.5142,95.8287,94.9143,96.8856,10319.05
2014-01-21,95.8857,96.1713,95.7144,96.8571,7807.1
2014-01-22,96,96.3144,95.7144,96.9144,9591.75
2014-01-23,95.5143,96.2286,93.9999,96.3999,51834.3
2014-01-26,96.0858,95.2857,95.2314,96.5715,11985.75
2014-01-27,95.4858,96.2856,94.6287,96.4287,14703.85
2014-01-28,95.1714,91.8,90.8574,96.9144,15695.75
2014-01-29,92.3142,95.7486,88.857,96.3999,15804.25
2014-01-30,94.3428,92.4858,91.143,95.8857,10593.45
2014-02-02,92.8287,92.2287,91.5885,94.083,26533.85
2014-02-03,88.9428,90.8856,88.6857,93.9429,47951.05
2014-02-04,90.7428,90.6,89.3715,91.9143,31398.15
2014-02-05,91.143,89.4858,88.2285,91.2285,41343.4
2014-02-06,90,90.2001,89.0001,91.0056,24476.55
2014-02-09,90.4857,88.5714,86.4285,90.5313,21229.95
2014-02-10,89.0001,90.9714,88.4001,91.4571,32106.55
2014-02-11,91.1142,84.9999,84.9429,91.6857,30388.75
2014-02-12,84.4857,84.9429,83.0856,86.7429,26531.75
2014-02-13,84.9999,85.0572,82.9143,85.8858,29733.9
2014-02-17,84.3144,85.6857,84.1428,86.0001,27632.85
2014-02-18,85.4286,84.6,84.1143,86.403,24965.85
2014-02-19,84.9429,84.7713,84.3306,86.3715,14841.4
2014-02-20,85.2285,84.2286,83.5713,85.4286,31209.15
2014-02-23,83.8857,86.2287,83.6856,86.8287,29707.65
2014-02-24,86.2287,83.1144,82.9572,86.2287,14551.95
2014-02-25,83.0856,83.2287,82.7256,84.6858,11143.3
2014-02-26,82.8858,81.8001,81.4572,83.0856,12862.85
2014-02-27,81.8856,81.9999,81.2001,85.1715,25432.75
2014-03-02,81.5715,80.4285,80.0286,82.2858,11326
2014-03-03,81.4287,82.4001,80.7717,83.457,25748.45
2014-03-04,81.8856,81.5715,81.4287,82.257,11085.2
2014-03-05,82.0572,82.0287,80.403,82.2,14518.7
2014-03-06,82.6287,82.857,81.6858,83.9571,21778.75
2014-03-09,82.857,83.3856,81.1599,84.7143,24731.7
2014-03-10,83.9142,81.4857,80.9472,84.6759,19727.4
2014-03-11,80.9142,81,80.1714,82.5285,11819.85
2014-03-12,81,79.6287,78.7428,81,26298.3
2014-03-13,79.7142,79.5714,79.2858,80.0001,9821.7
2014-03-16,79.857,81.0285,79.7142,81.1143,12631.15
2014-03-17,81.1428,82.2,80.8857,82.4856,11003.65
2014-03-18,82.1715,81.1713,80.8287,82.1715,13801.9
2014-03-19,80.7999,81.7143,80.3199,82.5429,5703.6
2014-03-20,82.257,82.3713,81.4572,84.057,25358.55
2014-03-23,81.9714,80.8287,79.2858,82.3713,21105
2014-03-24,81.2286,81.1428,79.2972,83.4285,23049.95
2014-03-25,81.4857,79.743,79.2,82.4001,18193.35
2014-03-26,79.86,81.3144,79.857,81.6858,8588.65
2014-03-27,81.2571,80.1999,80.0001,81.7713,11806.2
2014-03-30,80.2572,80.0286,80.0001,81.2001,15609.65
2014-03-31,80.0571,80.2857,79.1715,80.6856,10523.1
2014-04-01,80.4858,80.3715,79.6572,80.8857,9813.3
2014-04-02,80.5428,80.343,79.857,80.9715,7058.8
2014-04-03,80.6286,78.7428,78.5715,80.6286,11766.65
2014-04-06,78.6,78.3429,77.7144,79.2285,15262.45
2014-04-07,78.6858,81.4287,78.6858,82.2,6952.4
2014-04-08,81.8001,80.343,79.2,81.8001,6873.3
2014-04-09,79.9428,79.4001,78.0858,80.1144,13721.75
2014-04-10,79.0287,79.5999,78.4857,81.0423,12882.1
2014-04-13,80.4858,80.6001,79.4571,81.5715,9442.3
2014-04-14,80.4858,80.0856,78.2856,81.4056,12265.4
2014-04-15,80.8857,81.5142,80.7144,82.0287,3806.6
2014-04-16,81.5142,81.5715,80.457,81.7143,3529.75
2014-04-20,81.3714,81.0858,80.46,82.371,4270.35
2014-04-21,80.7999,80.0571,79.857,80.7999,5250.7
2014-04-22,79.743,80.7429,79.743,81.8571,6847.4
2014-04-23,80.7999,80.7429,80.7144,82.1142,7057.75
2014-04-24,80.7144,80.7429,80.6571,81.7713,8286.6
2014-04-27,81.3144,80.8287,80.5713,81.6543,8155.35
2014-04-28,81.1143,80.0001,79.3428,81.6,10214.05
2014-04-29,80.0001,80.7429,79.3143,81.1713,11485.95
2014-04-30,80.2572,80.7144,79.6857,80.8572,16264.15
2014-05-01,80.6001,81.5142,80.6001,81.9999,5106.85
2014-05-04,81.2856,81.8856,80.9142,82.5429,6426.7
2014-05-05,81.543,81.8001,81.3144,82.5714,10722.6
2014-05-06,74.1999,75.7713,72.7713,76.3428,35606.2
2014-05-07,72.8856,74.2572,72.8856,75.2571,19195.75
2014-05-08,73.743,75.1713,73.743,77.0001,15981.35
2014-05-11,75.3429,77.7999,74.943,78,10962
