date,open_price,close_price,lowest_price,highest_price,volume
2018-01-03,76.2,77.4,70.6,80.562,445.75
2018-01-04,75,80,74.63,87,765.85
2018-01-07,81.8,78.414,76.942,81.8,459.8
2018-01-08,79.8,80.6,79.8,85,719.5
2018-01-09,81,80.902,77.604,81,298.15
2018-01-10,80,79.8,79.8,81.54,346.4
2018-01-11,80.8,81.396,80.8,85.356,900.95
2018-01-15,81.8,83.6,81.8,84.6,750.15
2018-01-16,86.8,81.2,81.2,86.8,401.4
2018-01-17,81,82.6,79.8,82.7,1427.2
2018-01-18,83.6,83.2,83.2,87.814,383.15
2018-01-21,83.4,87.4,83.4,87.4,1280.4
2018-01-22,87.4,85.2,85.2,89,598.2
2018-01-23,82.43,86.4,82.02,87,689.5
2018-01-24,90.8,86.002,86,90.8,98.3
2018-01-25,87.02,84.6,81,87.02,1139.2
2018-01-28,84.2,84,84,91.832,231.2
2018-01-29,84.4,86.4,84.4,86.4,648.95
2018-01-30,89.58,101.02,87.52,115.984,7900.6
2018-01-31,109.6,106,100.2,109.6,4228.05
2018-02-01,107.6,105.4,103.002,116.78,4010.95
2018-02-04,105.4,104.47,102.2,114.8,943.1
2018-02-05,102,97,95,104.77,1310.9
2018-02-06,96.4,99.6,95.076,99.8,1084.55
2018-02-07,99.598,102.2,95,106.988,1368.3
2018-02-08,97.8,102,97.8,109.798,3132.15
2018-02-11,102.4,102.398,101,125,2344.8
2018-02-12,102,100,99,110,1587.8
2018-02-13,100,102,95,108.8,4234.9
2018-02-14,103.1,101.798,95.26,103.2,1488.25
2018-02-15,101.6,104,101.6,108.716,543.35
2018-02-19,102.3,102,97.324,102.53,574
2018-02-20,102,100.158,99.6,102.49,1222.55
2018-02-21,99.4,100,96.122,102,1285.95
2018-02-22,100.68,99.4,99.01,101,1072.1
2018-02-25,101.4,99,99,102,1590
2018-02-26,100.398,105.398,99.406,105.8,1774.8
2018-02-27,102.53,107.8,102.53,109.2,1305.25
2018-02-28,108.6,126.6,107.992,126.8,5101.2
2018-03-01,124,124.02,120,129.8,1703.65
2018-03-04,125,130,125,151.292,6167.8
2018-03-05,133.2,137.802,131.808,145,2782.8
2018-03-06,140,143,139.012,145.282,1754.1
2018-03-07,150,146,145,155,2496.3
2018-03-08,147.4,137,131.6,149.6,1024.1
2018-03-11,138,130,124.8,138.09,1077.7
2018-03-12,135.2,138.6,130.002,139,714.65
2018-03-13,139,142.6,136.1,147.98,2047.9
2018-03-14,143,147.8,143,152,1509.6
2018-03-15,150.6,155,144.644,155,1431.65
2018-03-18,155,145.278,145,155,1222.85
2018-03-19,143.444,149.6,143.068,154,4770.35
2018-03-20,150,147,145,152,1549.4
2018-03-21,145.4,145.8,144,147.4,753.05
2018-03-22,147,148,145,151,966.8
2018-03-25,150.8,148.6,144.4,150.8,493.2
2018-03-26,144.288,144,140,145.548,766.2
2018-03-27,144,141.8,140.2,145.94,307.9
2018-03-28,140.166,140,135.1,141.02,1255.25
2018-04-01,139.8,141,139.8,141.98,934.3
2018-04-02,140,140,130.1,145,2904.9
2018-04-03,140.6,144.8,132.2,144.8,464.7
2018-04-04,137.504,145,136.602,148.6,1546.4
2018-04-05,145.8,144.356,140.002,145.8,401.45
2018-04-08,143.002,142.072,142,144.398,96.9
2018-04-09,144.2,143,140,144.496,1635.85
2018-04-10,140.056,139,137.2,142,1039.8
2018-04-11,141.6,132,129,141.6,1534.3
2018-04-12,133,142.8,133,142.8,984.7
2018-04-15,142.8,136.468,136.468,142.8,51.15
2018-04-16,134.6,143.8,134.6,144,321.7
2018-04-17,140,136,136,141.828,691.05
2018-04-18,136.2,139.916,136,143.284,169.05
2018-04-19,140,140,140,142,597.7
2018-04-22,141,138.2,136.992,144,440.15
2018-04-23,138,143.6,138,144,1718.85
2018-04-24,143.6,143,141,143.6,842.65
2018-04-25,141.2,140.8,140.8,143,303.6
2018-04-26,140,142,134.6,142,903.25
2018-04-29,141.616,143.2,141.616,145.8,290.6
2018-04-30,139.948,141.8,137.4,144,705.8
2018-05-01,141.68,141,141,143,446.5
2018-05-02,142,140,140,142,133.95
2018-05-03,137.2,141.4,137.2,143,488.35
2018-05-06,137.6,140.8,136,142.1,506.85
2018-05-07,140,140.2,140,141,298.5
2018-05-08,138.8,139.016,138,139.596,220.1
2018-05-09,138.2,141.92,138.2,143,768.8
2018-05-10,143,142.2,140.62,143.298,629.6
2018-05-13,141.6,150,137.002,150,1939.2
2018-05-14,150,148,143.02,150.2,398.7
2018-05-15,146.4,147.8,146.4,150.98,673.1
2018-05-16,139.716,148,139.716,148,454.6
2018-05-17,147,140.2,139.8,147,693.9
2018-05-20,140,143,140,144.1,329.6
2018-05-21,142,135.4,135.4,143.4,369.5
2018-05-22,139.4,138,136.652,139.4,828.6
2018-05-23,136.056,138.2,136.056,139,452.35
2018-05-24,137.2,137.032,136.23,138.998,316.55
2018-05-28,139.5,139,138.4,141.892,127.3
2018-05-29,137.432,136.2,136,138.3,311.1
2018-05-30,137.9,136.2,136,137.9,154
2018-05-31,136.354,145.4,136.2,145.4,995.05
2018-06-03,144,146,143.5,146,987.2
2018-06-04,144.6,146.6,144.6,150,1619.15
2018-06-05,145.4,142.8,139,148,1813.7
2018-06-06,143.2,149,141.056,150,782.35
2018-06-07,149.814,140,139.8,149.814,444.15
2018-06-10,139.8,141.8,139.8,144.6,321.35
2018-06-11,142.2,146.6,141.04,147,191.3
2018-06-12,146.8,143,140.2,146.8,789.45
2018-06-13,143.8,140,140,145,488.35
2018-06-14,140,141.6,140,146.68,862.5
2018-06-17,143.6,140.4,140.4,145.4,117
2018-06-18,141.122,147.8,141.122,151.8,1611.45
2018-06-19,147,158,147,160,1862.1
