date,open_price,close_price,lowest_price,highest_price,volume
2015-09-30,11.6,12.94,11.08,13.43,1830301.0
2015-10-01,12.94,17.48,12.06,18.19,412715
2015-10-04,17.81,18.53,17.5,20,219159
2015-10-05,19.02,18,16.801,24.09,149816
2015-10-06,17.8,17.79,17,18.49,80661
2015-10-07,17.9,17.62,17,18.4,62338
2015-10-08,18.01,17.6,17.25,18.01,17109
2015-10-11,17.6,18.65,16.41,19.59,97153
2015-10-12,18.55,22.14,18.47,23.47,44352
2015-10-13,22.07,21.25,20.66,25.87,146115
2015-10-14,21.45,21.55,20.57,22.22,82344
2015-10-15,21.14,21.9,21.14,22.01,128500
2015-10-18,21.42,22.43,21.03,22.649,144793
2015-10-19,22.81,23.49,21.53,23.49,114034
2015-10-20,23.41,22.38,22,25.63,131297
2015-10-21,22.12,21.94,20.05,23,98323
2015-10-22,21.69,20.56,20.26,21.69,132329
2015-10-25,20.87,20.29,19.28,21.82,101517
2015-10-26,19.82,20.295,19.82,20.93,63954
2015-10-27,21.03,20.88,20.25,21.03,54234
2015-10-28,20.46,20.75,20.2001,21.15,52693
2015-10-29,20.97,17.88,17.82,22.169,109805
2015-11-01,18.87,16.49,15.5,19.388,124615
2015-11-02,16.4,18.99,16.36,19.2,87567
2015-11-03,18.66,18.48,16.9,19.01,62338
2015-11-04,17.99,16.91,16.19,18.88,62358
2015-11-05,16.42,16.84,16.34,17.2,33559
2015-11-08,16.94,17,16.45,17.82,68446
2015-11-09,16.6,16.65,16.45,17.33,56845
2015-11-10,16.94,16.43,16.3,17.62,34504
2015-11-11,16.31,15.77,15.55,16.31,92957
2015-11-12,15.54,15.06,14.61,15.95,60146
2015-11-15,15.4,14.92,14.9,15.732,37952
2015-11-16,15,14.91,14.61,15.422,64721
2015-11-17,14.77,14.37,14.02,15.0004,60692
2015-11-18,14.25,14.17,14.1,14.9,65681
2015-11-19,14.14,13.78,13.63,14.61,75860
2015-11-22,13.85,13.99,13.76,14.38,145716
2015-11-23,14.19,13.5,13.08,14.19,202692
2015-11-24,12.77,13.5,12.5,14,98645
2015-11-26,12.84,13.89,12.8115,14,42413
2015-11-29,14,13.88,13.25,14.2499,76230
2015-11-30,14.02,14.04,13.84,14.55,60926
2015-12-01,14.0899,13.6,13.19,14.0899,28422
2015-12-02,13.695,13.47,13.0413,13.7,129302
2015-12-03,13.465,13,12.56,13.75,145597
2015-12-06,13.31,12.65,12.625,13.31,84417
2015-12-07,12.65,12.9,12.547,13.22,70761
2015-12-08,13.72,14.3,13.05,14.84,94158
2015-12-09,14.19,13.57,13.4,14.71,101453
2015-12-10,13.5001,13.35,12.843,14.25,204247
2015-12-13,13.5,12.28,11.6101,13.85,163378
2015-12-14,13.11,12.6,12.0101,13.4183,108659
2015-12-15,12.73,12.49,11.61,13.1,181033
2015-12-16,12.61,12.56,11.93,13.75,162231
2015-12-17,12.23,12.56,12,13.75,1247946.0
2015-12-20,12.81,12.06,11.76,13.3,112722
2015-12-21,12.17,12.8,11.61,12.93,128439
2015-12-22,12.85,13.25,12.11,13.5899,87250
2015-12-23,13.19,13.01,12.66,13.19,20390
2015-12-27,13.74,13.22,12.94,13.8,68987
2015-12-28,13.08,12.86,12.29,13.38,92490
2015-12-29,12.75,12.65,12.3001,13.06,96706
2015-12-30,12.71,12.5,12.26,13.07,114454
2016-01-03,12.29,12.4,11.75,12.7,75705
2016-01-04,12.4,13.43,12.09,13.86,46884
2016-01-05,13.16,13.76,12.6801,13.86,30689
2016-01-06,13.48,12.61,12.08,13.48,49937
2016-01-07,12.64,12.85,12.29,13.4,29741
2016-01-10,12.89,12.15,11.84,13.265,75028
2016-01-11,12.25,12.44,11.89,12.65,52952
2016-01-12,12.36,11.83,11.75,12.64,48566
2016-01-13,12.01,11.42,11.35,12.17,42687
2016-01-14,11.25,10.9,9.4201,11.65,224119
2016-01-18,11.07,10.27,9.71,11.07,70101
2016-01-19,10.04,10.11,9.5201,10.51,59723
2016-01-20,9.97,9.64,9.27,10.45,166759
2016-01-21,9.81,9.8,9.41,10.07,59798
2016-01-24,9.68,9.57,9.49,10.76,49267
2016-01-25,9.69,10.6,9.52,10.81,45944
2016-01-26,10.49,10.35,10.1,11.05,32537
2016-01-27,10.76,10,9.89,11.01,18722
2016-01-28,10.51,11.11,10.51,12,94412
2016-01-31,10.94,9.93,9.26,10.94,96276
2016-02-01,9.76,9.77,9.72,10.39,18947
2016-02-02,9.91,9.67,9.38,10.89,26629
2016-02-03,9.58,10.05,9.5,10.29,34803
2016-02-04,10.3,9.07,9,10.7,42305
2016-02-07,9.01,7.31,7.019,9.27,156254
2016-02-08,7.15,6.8,6.45,7.3299,60933
2016-02-09,6.98,7.39,6.98,9,87608
2016-02-10,7.21,6.66,6.6,7.22,131659
2016-02-11,7.26,6.9,6.795,7.26,205327
2016-02-15,7.05,6.99,6.66,7.49,70854
2016-02-16,6.98,6.69,6.25,7.4,190559
2016-02-17,6.62,6.87,6.62,7,61599
2016-02-18,6.93,6.61,6.46,6.93,66449
2016-02-21,6.81,7.05,6.65,8.25,141511
2016-02-22,6.94,6.96,6.67,7.46,242050
2016-02-23,6.83,6.73,6.2315,7.395,251330
2016-02-24,6.8,7.04,6.75,7.1686,16550
2016-02-25,6.98,7.09,6.87,7.43,38019
2016-02-28,7.15,7.16,7.15,7.585,25783
2016-02-29,7.67,7.24,7.1805,7.67,44079
2016-03-01,7.72,7.94,7.31,8.17,70669
2016-03-02,8.005,8.88,8.005,9,69589
2016-03-03,9,9.99,8.971,10.47,103474
2016-03-06,9.94,9.75,9.46,10.19,50773
2016-03-07,9.74,9.25,9.04,10.79,50304
2016-03-08,9.74,8.37,8.0701,10.2826,83160
2016-03-09,8.37,7.89,7.8,8.37,60324
2016-03-10,7.9,7.48,6.83,7.98,640658
2016-03-13,7.42,7.42,7.13,7.77,74840
2016-03-14,7.44,7.31,7.036,8.4165,139081
2016-03-15,7.5,7.52,7.2,8.03,131107
2016-03-16,7.44,7.29,7.21,7.44,78770
2016-03-17,7.38,7.31,7.24,7.66,147689
2016-03-20,7.5,7.42,7.3,8.08,248311
2016-03-21,7.38,7.49,7.29,7.7299,52018
2016-03-22,7.53,6.87,6.52,7.7,112133
2016-03-23,6.9,6.97,6.9,7.5399,95217
2016-03-27,7.5,7.84,7.1501,8.28,426036
2016-03-28,7.83,8.44,7.6,8.86,466089
2016-03-29,8.52,9.5,8.52,9.56,273268
2016-03-30,9.6,9.15,8.52,9.948,192127
2016-03-31,9.07,9.23,9.0037,9.75,126677
2016-04-03,9.2,8.78,8.68,9.29,117512
2016-04-04,8.7,8.75,8.61,9.08,123791
2016-04-05,9.01,8.95,8.8,9.15,169945
2016-04-06,8.88,9.03,8.79,9.395,107927
2016-04-07,9.13,8.77,8.6,9.13,66501
2016-04-10,8.8,8.62,8.5,9.04,84554
2016-04-11,8.56,8.64,8.51,8.79,101293
2016-04-12,8.83,9.22,8.64,9.67,242207
2016-04-13,9.28,8.98,8.91,9.28,145854
2016-04-14,8.9,9.12,8.55,9.3,149512
2016-04-17,9.03,9.03,8.93,9.132,91186
2016-04-18,9.02,8.75,8.55,9.03,87429
2016-04-19,8.75,8.31,8.14,8.85,112610
2016-04-20,8.44,9.08,8.3,9.3,94135
2016-04-21,9.11,8.9,8.7501,9.2199,49236
2016-04-24,9.03,9.13,8.91,9.21,32176
2016-04-25,9.1,9.06,8.68,9.19,65449
2016-04-26,9.15,8.73,8.68,9.15,58885
2016-04-27,8.73,8.46,8.4,8.81,81552
2016-04-28,8.46,8.23,8.21,8.61,95361
2016-05-01,8.19,8.41,8.19,8.7999,68383
2016-05-02,8.45,8.13,8.02,8.86,139883
2016-05-03,8.1,8.06,8.0001,8.43,69968
2016-05-04,8.08,7.96,7.82,8.22,70832
2016-05-05,7.91,7.98,7.6601,8.36,79543
2016-05-08,7.85,8.48,7.85,8.73,209492
2016-05-09,8.45,8.89,8.3,9.04,57710
2016-05-10,8.84,8.19,7.9,8.8799,67079
2016-05-11,8.15,7.97,7.86,8.23,42605
2016-05-12,8.28,7.79,7.69,8.28,68366
2016-05-15,7.79,7.73,7.5,7.9699,94246
2016-05-16,7.65,7.55,7.49,8.18,79679
2016-05-17,7.46,7.63,7.43,7.74,62246
2016-05-18,7.65,7.8,7.51,7.9987,62743
2016-05-19,7.81,8.34,7.56,8.37,59323
2016-05-22,8.42,8.44,8.36,8.77,73152
2016-05-23,8.46,8.29,8.16,8.55,59408
2016-05-24,8.46,8.14,8.06,8.47,59168
2016-05-25,8.28,8,7.94,8.38,115266
2016-05-26,8.1,8.05,7.97,8.32,59547
2016-05-30,8.05,8.28,8.05,8.42,106348
2016-05-31,8.28,9.89,8.17,9.91,242340
2016-06-01,9.78,9.77,9.6031,10.1399,101636
2016-06-02,9.82,9.36,9.25,9.82,48121
2016-06-05,9.29,9.89,9.24,9.96,68573
2016-06-06,9.89,9.99,9.55,10.29,97461
2016-06-07,10,10.02,9.76,10.06,61053
2016-06-08,10.06,9.98,9.7,10.1,55936
2016-06-09,9.81,10.25,9.2,10.4999,130758
2016-06-12,10.25,9.15,9,10.635,134023
2016-06-13,8.91,8.56,8.35,9.11,77722
2016-06-14,8.57,8.98,8.57,9.3999,77621
2016-06-15,8.95,9.23,8.44,9.38,124135
2016-06-16,9.17,8.99,8.64,9.38,277616
2016-06-19,9.06,9.78,8.905,9.98,97354
2016-06-20,9.84,9.34,9.16,10.23,49168
2016-06-21,9.39,9.43,9.2,9.73,44262
2016-06-22,9.58,9.81,9.5114,9.99,48781
2016-06-23,9.1,9.19,8.821,9.59,853210
2016-06-26,9.13,8.78,8.5,9.13,70380
2016-06-27,8.96,9.44,8.74,9.53,99518
2016-06-28,9.53,9.82,9.16,10.033,164983
2016-06-29,9.9,10.11,9.03,10.13,92014
2016-06-30,10.14,10.65,9.82,10.94,49191
2016-07-04,10.63,10,9.9,10.63,48383
2016-07-05,9.99,9.77,9.2,10.07,84725
2016-07-06,9.78,9.87,9.43,10.32,41727
2016-07-07,9.56,9.73,9.56,10.37,97566
2016-07-10,9.79,9.61,9.47,9.8,60912
2016-07-11,9.74,10.18,9.55,10.49,82206
2016-07-12,10.3,9.79,9.74,10.34,22484
2016-07-13,9.91,9.91,9.46,10.12,33034
2016-07-14,10,9.95,9.5,10.086,47897
2016-07-17,9.93,9.93,9.72,10.06,28699
