date,open_price,close_price,lowest_price,highest_price,volume
2018-04-25,414,464,412,478.8,24796.075
2018-04-26,479.2,456,444.4,519.6,8912.925
2018-04-29,458,490.8,456,495.6,2255.325
2018-04-30,520,530.4,509.6,544,9731.65
2018-05-01,539.2,538,538,567.996,6101.025
2018-05-02,549.6,541.2,529.2,556,2835.2
2018-05-03,541.996,522.4,492.868,541.996,3294.75
2018-05-06,527.6,536.4,520,548,2071.35
2018-05-07,540.4,551.2,530.4,562.4,2435.2
2018-05-08,540.4,590.4,540.4,611.528,3898.45
2018-05-09,594,595.2,588.8,619.98,2995.8
2018-05-10,578,590.4,565.6,640,1649.175
2018-05-13,600,623.6,600,625.6,1750.275
2018-05-14,634.4,634.4,621.2,640,1738.825
2018-05-15,620.4,622.4,572,643.2,2786.375
2018-05-16,630.8,647.6,621.8,647.6,1384.575
2018-05-17,649.76,625.6,625.6,652.8,860.375
2018-05-20,627.6,591.6,571.2,634.8,2689.775
2018-05-21,590.8,568.4,568.4,592.8,1379.6
2018-05-22,566,586.8,566,603.2,5026.775
2018-05-23,597.6,600.8,578.804,640,2612.4
2018-05-24,594.8,588.4,580.812,605,779.075
2018-05-28,588.8,566,560,593.2,978.425
2018-05-29,561.6,564.4,560,582.8,1080.375
2018-05-30,562.8,596.4,562.8,610,2822.025
2018-05-31,602.8,600,578.4,610,1102.825
2018-06-03,607.2,586,564.4,608,1544.4
2018-06-04,590.4,601.6,580.8,607.6,1467.875
2018-06-05,600.8,658.8,600.8,675.2,4925.4
2018-06-06,666,678,644,715.2,2440.825
2018-06-07,676,697.6,527.2,731.2,8874
2018-06-10,704.8,761.6,702.44,780,8880.25
2018-06-11,764,823.6,748,860,7356.975
2018-06-12,809.2,812.4,800,870.4,11380.225
2018-06-13,807.2,860.4,780.04,902.8,8289.975
2018-06-14,876,930.8,867.12,984,22109.1
2018-06-17,932,834,817.6,932.4,7438.9
2018-06-18,824.4,768,748.04,825.6,7984.75
2018-06-19,768,756.4,730.04,798.4,5425.775
2018-06-20,760,752.4,720,770.76,6065.3
2018-06-21,758,771.2,704.6,788,65197.125
2018-06-24,736.4,754,695.4,768,5776.425
2018-06-25,800,786.8,720.4,816,7497.925
2018-06-26,771.2,742.8,732.8,791.58,7384.9
2018-06-27,742.8,733.2,720.8,768,6674.4
2018-06-28,780,682.8,680,780,6329.725
2018-07-01,684.8,662.4,646.4,711.6,4161.45
2018-07-02,728.4,694.4,684.4,728.4,1868.325
