date,open_price,close_price,lowest_price,highest_price,volume
2016-07-19,27.41,27.41,27.41,27.41,200
2016-07-20,27.45,27.45,27.45,27.45,600
2016-07-24,27.3,27.2948,27.2948,27.3,1960
2016-07-27,27.55,27.55,27.55,27.55,200
2016-08-01,27.415,27.425,27.415,27.425,564
2016-08-07,28.295,28.295,28.295,28.295,412
2016-08-08,28.49,28.468,28.468,28.49,1338
2016-08-09,28.58,28.58,28.58,28.58,200
2016-08-10,28.715,28.715,28.715,28.715,536
2016-08-16,28.8,28.7875,28.5894,28.8,2752
2016-08-18,28.805,28.805,28.805,28.805,512
2016-08-21,28.79,28.6,28.6,28.79,750
2016-08-22,28.72,28.72,28.72,28.72,200
2016-08-23,28.51,28.5,28.5,28.58,11258
2016-08-28,28.365,28.385,28.365,28.385,6720
2016-08-30,28.395,28.26,28.26,28.395,720
2016-08-31,28.295,28.34,28.295,28.34,508
2016-09-01,28.655,28.655,28.655,28.655,512
2016-09-06,29.44,29.41,29.41,29.45,6892
2016-09-07,29.45,29.325,29.325,29.45,1290
2016-09-08,28.935,28.435,28.435,28.935,41824
2016-09-11,28.095,28.02,28.02,28.095,512
2016-09-15,28.075,28.075,28.075,28.075,200
2016-09-18,28.475,28.475,28.475,28.475,25288
2016-09-22,29.17,29.17,29.17,29.17,306
2016-09-25,28.81,28.55,28.55,28.81,11650
2016-09-26,28.815,28.9,28.815,28.9,696
2016-09-27,28.97,29.115,28.765,29.115,3906
2016-09-28,29.05,28.77,28.765,29.05,7864
2016-09-29,28.75,28.835,28.75,28.89,7204
2016-10-02,28.82,29,28.82,29,2684
2016-10-03,29,28.825,28.825,29,3054
2016-10-04,29.005,28.97,28.945,29.005,1526
2016-10-05,28.905,29.075,28.905,29.095,4730
2016-10-06,29.065,28.96,28.83,29.065,1800
2016-10-10,28.835,28.66,28.66,28.835,800
2016-10-11,28.495,28.6,28.47,28.61,2200
2016-10-12,28.305,28.4545,28.16,28.4545,4020
2016-10-13,28.505,28.4249,28.4025,28.505,1546
2016-10-16,28.395,28.425,28.395,28.425,1492
2016-10-19,29.02,29.005,29.005,29.034,2246
2016-10-20,28.845,28.8406,28.8406,28.845,2012
2016-10-23,29.295,29.085,29.085,29.295,1144
2016-10-26,28.5895,28.68,28.578,28.68,1584
2016-10-27,28.57,28.42,28.38,28.605,3624
2016-10-31,28.65,28.37,28.21,28.65,6410
2016-11-01,27.985,27.985,27.985,27.985,450
2016-11-02,28.04,28.04,28.04,28.04,200
2016-11-03,27.795,27.87,27.795,27.945,1090
2016-11-06,28.68,28.68,28.68,28.68,1000
2016-11-07,28.57,28.5651,28.5651,28.57,1028
2016-11-08,28.38,28.15,28.05,28.38,6250
2016-11-09,28.105,27.3285,27.3285,28.105,1368
2016-11-10,26.7724,26.735,26.735,26.7724,1844
2016-11-13,26.48,26.5094,26.375,26.52,4210
2016-11-15,26.725,26.744,26.725,26.7598,1176
2016-11-16,26.945,26.945,26.945,26.945,918
2016-11-17,26.955,26.955,26.955,26.955,796
2016-11-20,27.105,26.9806,26.96,27.105,1926
2016-11-21,27.265,27.3001,27.2051,27.3001,936
2016-11-22,27.09,27.085,26.96,27.09,968
2016-11-27,27.305,27.305,27.305,27.305,280
2016-12-04,27.125,27.125,27.125,27.125,280
2016-12-08,27.6941,27.6941,27.6941,27.6941,518
2016-12-11,27.7,27.5514,27.545,27.7,1058
2016-12-15,27.12,27.125,27.12,27.125,794
2016-12-18,27.07,26.918,26.918,27.07,2122
2016-12-19,26.985,26.985,26.985,26.985,15394
2016-12-20,26.875,26.8516,26.8516,26.875,4196
2016-12-22,26.76,26.76,26.76,26.76,470
2016-12-26,26.835,26.808,26.808,26.835,3980
2016-12-27,26.845,26.93,26.845,27.005,21206
2016-12-28,27.19,27.3081,27.19,27.33,3714
2016-12-29,27.145,27.1376,27.1376,27.145,856
2017-01-03,27.7248,27.7248,27.7248,27.7248,548
2017-01-04,27.99,28.03,27.9,28.03,2988
2017-01-09,28.11,28.11,28.11,28.11,326
2017-01-10,28.125,28.345,28.07,28.345,4022
2017-01-11,28.445,28.51,28.425,28.51,9112
2017-01-12,28.395,28.3892,28.3892,28.395,1086
2017-01-16,28.5,28.5,28.5,28.5,836
2017-01-18,28.33,28.31,28.22,28.33,2148
2017-01-19,28.3836,28.34,28.265,28.3836,1124
2017-01-22,28.41,28.7249,28.41,28.7249,1314
2017-01-23,28.935,28.865,28.85,28.935,1422
2017-01-24,29.1026,29.1026,29.1026,29.1026,650
2017-01-25,29.065,29.05,29.05,29.065,778
2017-01-26,29.05,29.03,29.03,29.05,658
2017-01-29,28.81,28.84,28.81,28.84,3038
2017-02-01,29.08,29.0696,29.0696,29.08,948
2017-02-06,29.335,29.16,29.155,29.335,2326
2017-02-07,29.26,29.26,29.26,29.26,1366
2017-02-09,29.62,29.62,29.62,29.62,884
2017-02-12,29.75,29.7448,29.7448,29.75,600
2017-02-13,29.8,29.745,29.725,29.8,5328
2017-02-14,29.83,29.825,29.825,29.83,1978
2017-02-15,30.12,29.975,29.9726,30.12,3378
2017-02-16,29.7535,29.755,29.7535,29.755,1172
2017-02-20,29.995,30.1331,29.995,30.14,2988
2017-02-21,30.235,30.22,30.105,30.235,7084
2017-02-22,30.2995,30.225,30.21,30.2995,2836
2017-02-23,29.95,29.8901,29.85,29.95,8016
2017-02-26,29.825,29.77,29.77,29.86,61152
2017-02-28,29.95,29.995,29.95,29.995,9598
2017-03-01,29.865,29.584,29.584,29.865,16972
2017-03-02,29.71,29.813,29.695,29.815,3626
2017-03-05,29.79,29.795,29.775,29.825,4350
2017-03-06,29.95,29.815,29.815,29.95,2944
2017-03-07,29.83,29.705,29.705,29.83,1954
2017-03-08,29.545,29.415,29.385,29.545,2386
2017-03-09,29.745,29.69,29.59,29.745,3124
2017-03-12,30.06,30.11,30.0552,30.115,4648
2017-03-13,30.09,29.97,29.97,30.09,2050
2017-03-14,30.055,30.635,30.055,30.645,13076
2017-03-15,30.905,30.8756,30.8756,30.905,1496
2017-03-16,30.84,30.825,30.78,30.865,21980
2017-03-19,30.94,31.1,30.93,31.15,10380
2017-03-20,31.19,30.8159,30.8,31.19,2564
2017-03-21,30.77,30.93,30.69,30.95,7978
2017-03-22,30.895,30.98,30.895,31.055,3606
2017-03-23,31.02,31.085,31.02,31.12,11692
2017-03-26,30.875,30.995,30.8175,31.013,39086
2017-03-27,30.985,31.0737,30.985,31.0795,1926
2017-03-28,30.995,31.05,30.9867,31.1,8976
2017-03-29,30.985,30.885,30.885,31.005,17812
2017-03-30,30.75,30.65,30.585,30.75,23680
2017-04-02,30.755,30.675,30.605,30.795,11558
2017-04-03,30.705,30.7535,30.66,30.81,14222
2017-04-04,30.85,30.725,30.72,30.93,47904
2017-04-05,30.745,30.625,30.625,30.745,5754
2017-04-06,30.615,30.57,30.57,30.6574,9546
2017-04-09,30.49,30.37,30.2795,30.94,6016
2017-04-10,30.475,30.38,30.15,30.475,5512
2017-04-11,30.505,30.515,30.375,30.515,6246
2017-04-12,30.6,30.41,30.41,30.605,6758
2017-04-16,30.595,30.67,30.51,30.67,5016
2017-04-17,30.445,30.42,30.335,30.445,3894
2017-04-18,30.445,30.315,30.315,30.495,7548
2017-04-19,30.605,30.5985,30.525,30.605,6694
2017-04-20,30.68,30.57,30.535,30.68,3046
2017-04-23,31.09,30.965,30.95,31.09,2352
2017-04-24,31.17,31.2585,31.17,31.2585,4690
2017-04-25,31.117,31.135,31.075,31.135,2732
2017-04-26,31.12,31.07,31.07,31.13,8778
2017-04-27,31.075,31.16,31.055,31.1674,3886
2017-04-30,31.245,31.27,31.2,31.335,5122
2017-05-01,31.38,31.41,31.38,31.41,850
2017-05-02,31.42,31.3,31.3,31.42,2742
2017-05-03,31.105,31.045,31.015,31.145,6016
2017-05-04,31.08,31.235,31.06,31.235,10230
2017-05-07,31.44,31.3002,31.2945,31.44,5304
2017-05-08,31.61,31.535,31.535,31.68,17700
2017-05-09,31.67,31.64,31.64,31.725,73470
2017-05-10,31.65,31.815,31.65,31.82,17526
2017-05-11,31.905,31.91,31.895,31.955,4576
2017-05-14,32.145,32.1725,32.14,32.2144,13142
2017-05-15,32.255,32.2141,32.17,32.255,88494
2017-05-16,32.04,31.74,31.715,32.04,11964
2017-05-17,31.205,31.25,31.0945,31.445,19146
2017-05-18,31.66,31.855,31.66,31.895,33398
2017-05-21,31.865,31.89,31.8595,31.905,21242
2017-05-22,31.99,31.8705,31.8331,31.99,67274
2017-05-23,31.965,32.06,31.95,32.06,9776
2017-05-24,32.275,32.195,32.18,32.295,12238
2017-05-25,32.29,32.295,32.29,32.345,15096
2017-05-29,32.2,32.145,32.115,32.2,27740
2017-05-30,32.045,31.98,31.98,32.07,62568
2017-05-31,32,32.195,31.995,32.205,37408
2017-06-01,32.445,32.37,32.3575,32.445,8090
2017-06-04,32.435,32.395,32.334,32.435,11136
2017-06-05,32.32,32.355,32.32,32.375,12968
2017-06-06,32.385,32.31,32.2563,32.425,121566
2017-06-07,32.535,32.58,32.45,32.58,67106
2017-06-08,32.685,32.29,32.2,32.685,18924
2017-06-11,32.205,31.985,31.985,32.205,19642
2017-06-12,32.165,32.26,32.165,32.265,13564
2017-06-13,32.4425,32.2,32.16,32.4425,64700
2017-06-14,31.935,31.965,31.785,31.965,12646
2017-06-15,31.91,31.99,31.8852,31.995,24638
2017-06-18,32.23,32.305,32.23,32.31,38042
2017-06-19,32.435,31.7,31.7,32.435,121548
2017-06-20,31.865,31.808,31.775,31.865,13496
2017-06-21,31.995,31.985,31.905,32.09,19990
2017-06-22,32.075,32.125,32,32.16,8190
2017-06-25,32.46,32.395,32.3518,32.5,19122
2017-06-26,32.2,32.09,32.04,32.32,12990
2017-06-27,32.105,32.32,32.1001,32.335,12842
2017-06-28,32.1266,31.88,31.795,32.1266,17104
2017-06-29,32.115,32.125,32.04,32.145,11330
2017-07-02,32.2881,32.18,32.175,32.2948,6978
2017-07-04,32.125,32.15,32.002,32.17,19102
2017-07-05,31.985,31.86,31.855,31.99,11402
2017-07-06,31.95,31.97,31.8483,31.9875,11016
2017-07-09,32.035,32.145,32.035,32.155,9716
2017-07-10,32.335,32.45,32.33,32.47,27394
2017-07-11,32.89,33.055,32.885,33.065,6226
2017-07-12,33.13,33.175,33.13,33.1831,12548
2017-07-13,33.47,33.53,33.455,33.565,118520
2017-07-16,33.53,33.465,33.4435,33.53,465546
2017-07-17,33.54,33.6083,33.485,33.615,73100
2017-07-18,33.87,33.815,33.7912,33.87,33366
2017-07-19,33.83,33.815,33.81,33.88,95188
2017-07-20,33.87,33.84,33.77,33.87,9908
2017-07-23,33.92,33.9344,33.884,33.9344,8016
2017-07-24,33.92,33.8661,33.865,33.92,18342
2017-07-25,33.885,34.075,33.825,34.075,31418
2017-07-26,34.2049,33.895,33.805,34.2049,11738
2017-07-27,33.74,33.84,33.7249,33.84,9778
2017-07-30,33.98,33.91,33.86,33.98,22564
2017-07-31,34.105,34.1,34.045,34.13,184018
2017-08-01,34.18,34.135,34,34.18,8386
2017-08-02,33.985,33.93,33.835,33.985,26518
2017-08-03,34.065,34.06,33.975,34.065,6060
2017-08-06,34.19,34.285,34.19,34.285,10428
2017-08-07,34.465,34.335,34.32,34.575,43882
2017-08-08,34.03,34.07,33.95,34.129,102176
2017-08-09,33.85,33.335,33.335,33.85,37480
2017-08-10,33.295,33.41,33.28,33.47,9096
2017-08-13,33.755,33.765,33.685,33.85,13406
2017-08-14,33.69,33.77,33.665,33.805,11470
2017-08-15,34.025,34.025,33.955,34.025,13530
2017-08-16,33.9,33.66,33.66,33.9,4718
2017-08-17,33.675,33.8204,33.63,33.9099,5584
2017-08-20,33.89,33.945,33.835,33.975,13986
2017-08-21,34.15,34.355,34.15,34.405,12266
2017-08-22,34.335,34.515,34.335,34.515,10582
2017-08-23,34.5795,34.585,34.515,34.665,8998
2017-08-24,34.8,34.77,34.715,34.84,10494
2017-08-27,34.79,34.605,34.6049,34.79,4476
2017-08-28,34.36,34.587,34.36,34.6195,21526
2017-08-29,34.62,34.7,34.62,34.7245,22498
2017-08-30,34.725,34.7423,34.68,34.755,26142
2017-08-31,34.815,34.815,34.78,34.84,8442
2017-09-04,34.64,34.46,34.3,34.655,19672
2017-09-05,34.555,34.61,34.5135,34.6453,28162
2017-09-06,34.735,34.831,34.735,34.835,8104
