date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,3.7501,3.77,3.75,3.77,26878
2014-01-02,3.73,3.73,3.73,3.73,126
2014-01-05,3.78,3.8,3.75,3.83,32646
2014-01-06,3.8,3.78,3.75,3.8,23249
2014-01-07,3.75,3.82,3.75,3.82,30379
2014-01-08,3.8,3.8,3.8,3.8,19087
2014-01-09,3.8,3.82,3.781,3.82,5004
2014-01-12,3.79,3.79,3.79,3.79,143
2014-01-13,3.82,3.79,3.79,3.82,4200
2014-01-14,3.8,3.82,3.8,3.83,19415
2014-01-15,3.84,3.82,3.8,3.84,3052
2014-01-16,3.81,3.8,3.8,3.81,6492
2014-01-20,3.79,3.84,3.79,3.84,9786
2014-01-21,3.8,3.95,3.8,3.95,37427
2014-01-22,3.82,3.93,3.82,3.98,9513
2014-01-23,3.86,3.92,3.86,3.92,14845
2014-01-26,3.98,4.04,3.97,4.04,6901
2014-01-27,4.0499,4.05,3.95,4.05,7960
2014-01-28,4,3.98,3.98,4,3348
2014-01-29,3.93,3.951,3.9265,4.07,16200
2014-01-30,3.99,3.98,3.9,3.99,6692
2014-02-02,3.9848,4,3.9604,4.01,9259
2014-02-03,4.005,4.04,4,4.05,6804
2014-02-04,4.0496,4.02,3.91,4.0496,13224
2014-02-05,4.05,4,3.9837,4.05,7102
2014-02-06,3.9328,3.99,3.9,4,24339
2014-02-09,4,4,3.9,4,6058
2014-02-10,4,3.97,3.966,4.01,5929
2014-02-11,3.96,3.9793,3.95,3.9793,8450
2014-02-12,3.98,3.98,3.9001,3.98,12584
2014-02-13,3.98,3.98,3.95,3.98,3320
2014-02-17,3.931,4.04,3.931,4.04,6950
2014-02-18,4.04,4.04,4.03,4.04,2130
2014-02-19,4.02,4,3.96,4.02,23332
2014-02-20,3.98,4.01,3.98,4.04,5520
2014-02-23,4.0399,4.03,4.02,4.0399,3661
2014-02-24,4.01,4,3.9,4.01,11153
2014-02-25,4,4,3.99,4,7867
2014-02-26,4,4,4,4.0099,7400
2014-02-27,4,4,3.9901,4.02,16502
2014-03-02,4,3.995,3.93,4,6953
2014-03-03,3.999,3.99,3.96,4,9814
2014-03-04,3.989,3.99,3.97,3.99,2200
2014-03-05,3.96,3.99,3.96,4,16700
2014-03-06,4.05,4.02,4.01,4.1,13017
2014-03-09,4.011,4,3.99,4.02,28740
2014-03-10,4.0287,4.0287,4.0287,4.0287,1026
2014-03-11,4.015,3.98,3.98,4.015,2112
2014-03-13,4.03,4.04,4.03,4.04,2100
2014-03-16,4.0263,3.98,3.98,4.0263,7188
2014-03-18,3.96,3.96,3.96,3.99,3505
2014-03-19,4.01,3.98,3.98,4.01,2042
2014-03-20,4,4.02,3.97,4.02,12164
2014-03-23,4.01,4,4,4.038,12654
2014-03-24,4.03,4.0204,4.0204,4.04,5080
2014-03-25,4.04,4.04,4.04,4.04,2176
