date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,19.71,19.81,19.58,19.86,3115394.0
2014-01-02,19.86,20.3,19.83,20.35,3360212.0
2014-01-05,20.33,20.27,20.19,20.565,4826211.0
2014-01-06,20.39,20.685,20.3,20.76,3985845.0
2014-01-07,20.67,20.71,20.56,20.84,3643985.0
2014-01-08,20.92,20.94,20.8,21.08,2542978.0
2014-01-09,21,20.91,20.77,21.1,2657282.0
2014-01-12,20.87,20.55,20.5,20.981,2596579.0
2014-01-13,20.66,20.95,20.51,20.98,2462037.0
2014-01-14,21.01,21.19,20.95,21.22,2817002.0
2014-01-15,21.06,21.29,21.05,21.475,2637376.0
2014-01-16,21.3,21.02,21,21.33,3051642.0
2014-01-20,21.21,21.33,21.13,21.59,4436563.0
2014-01-21,21.38,21.51,21.33,21.58,3589381.0
2014-01-22,21.38,21.04,20.54,21.47,6680883.0
2014-01-23,21.33,20.97,20.18,21.6,10078719.0
2014-01-26,21.3,20.07,20.06,21.32,7510518.0
2014-01-27,20.23,20.37,20.09,20.47,4287174.0
2014-01-28,20.25,19.9,19.82,20.25,5110789.0
2014-01-29,20.08,20.35,19.98,20.39,2906365.0
2014-01-30,20,20.02,19.79,20.164,3087639.0
2014-02-02,20.03,19.04,18.97,20.12,4648370.0
2014-02-03,19.19,19.39,19.081,19.78,4079264.0
2014-02-04,19.34,19.23,18.86,19.49,4319340.0
2014-02-05,19.25,19.76,19.22,19.81,2958523.0
2014-02-06,19.84,20.27,19.79,20.54,5804865.0
2014-02-09,20.34,20.63,20.2,20.76,5395021.0
2014-02-10,20.64,21.04,20.64,21.09,4377613.0
2014-02-11,21.07,21.3,20.9,21.36,2563065.0
2014-02-12,21.13,21.79,21.04,21.82,4403462.0
2014-02-13,21.82,21.81,21.59,22.02,4905799.0
2014-02-17,21.78,22.53,21.77,22.55,5190147.0
2014-02-18,22.46,22.5,22.315,22.99,6716027.0
2014-02-19,22.43,22.73,22.19,22.78,2910943.0
2014-02-20,22.8,22.37,22.34,22.85,3822871.0
2014-02-23,22.48,22.71,22.04,22.97,3709137.0
2014-02-24,22.74,22.55,22.41,22.75,1998129.0
2014-02-25,22.65,22.33,22.24,22.74,2145973.0
2014-02-26,22.27,22.3,22.02,22.44,2573756.0
2014-02-27,22.3,22.47,22.09,22.5,4171943.0
2014-03-02,22.16,21.97,21.86,22.32,2788870.0
2014-03-03,22.33,23.16,22.26,23.25,4476859.0
2014-03-04,23.1,23.24,22.98,23.25,1775301.0
2014-03-05,23.33,23.4,23.23,23.69,2406945.0
2014-03-06,23.56,23.5,23.265,23.725,1913194.0
2014-03-09,23.45,23.48,23.32,23.7,2809052.0
2014-03-10,23.5,23.27,23.25,24.09,4023110.0
2014-03-11,23.16,23.57,22.91,23.61,3121757.0
2014-03-12,23.68,23.26,23.12,23.82,2266318.0
2014-03-13,23.24,23.49,23.16,23.64,2247070.0
2014-03-16,23.75,23.76,23.63,23.93,2327813.0
2014-03-17,23.92,24.43,23.8425,24.43,3515071.0
2014-03-18,24.4,24.67,23.92,24.72,4728742.0
2014-03-19,24.6,25.14,24.565,25.33,4842472.0
