date,open_price,close_price,lowest_price,highest_price,volume
2014-11-02,9.5,9.33,9,11.5,19016
2014-11-03,8.7501,9,8.7501,9.1,2420
2014-11-04,8.99,9.275,8.99,9.275,4208
2014-11-05,9.5,9.275,9.275,9.5,5928
2014-11-06,9.5,9.5,9.475,9.5,3330
2014-11-09,9.5,10,9.4354,10,5064
2014-11-10,9.5,9.25,9.25,9.5,4600
2014-11-11,9.2505,9.25,9.25,9.255,6484
2014-11-12,9.2505,9.2501,9.25,9.2505,3000
2014-11-13,9.25,9.4724,9.25,9.5,6070
2014-11-16,9.5,9.31,9.31,9.5,4200
2014-11-17,9.5,9.325,9.325,9.5,2300
2014-11-18,9.325,9.25,9.25,9.325,6970
2014-11-19,9.215,9.22,9.215,9.24,2300
2014-11-20,9.2,9.1995,9.1995,9.2,2100
2014-11-23,9.125,9.0905,9.0718,9.1255,27844
2014-11-24,9,9.075,9,9.5,29608
2014-11-25,9,9.491,9,9.491,1218
2014-11-27,9.2,9.2,9.2,9.2,2000
2014-11-30,9.125,9.375,9.0407,9.375,39064
2014-12-01,9.34,9.4,9.315,9.4,3618
2014-12-02,9.375,9.39,9.35,9.5,16130
2014-12-03,9.335,9.5,9.335,9.5,5318
2014-12-04,9.475,9.475,9.475,9.475,200
2014-12-07,9.45,9.45,9.45,9.45,200
2014-12-08,9.25,9.425,9.05,9.45,17400
2014-12-09,9.45,9.4172,9.275,9.45,3706
2014-12-10,9.45,9.445,9.275,9.45,20170
2014-12-11,9.4495,9.4,9.275,9.45,14812
2014-12-14,9.4,9.375,9.275,9.4,6740
2014-12-15,9.375,9.275,9.275,9.395,9520
2014-12-16,9.375,9.325,9.3,9.375,3884
2014-12-17,9.325,9.25,9.25,9.325,3658
2014-12-18,9.3,9.25,9.13,9.3,6400
2014-12-21,9.245,9.175,9.105,9.245,2200
2014-12-22,9.25,9,9,9.25,20482
2014-12-23,9.055,8.925,8.925,9.075,187022
2014-12-25,8.955,9,8.9,9,83024
2014-12-28,8.995,9.015,8.91,9.04,6336
2014-12-29,8.9743,9.05,8.95,9.05,3760
2014-12-30,8.955,9.07,8.955,9.07,12054
2015-01-01,8.9874,9.07,8.975,9.07,21200
2015-01-04,8.97,8.98,8.95,9.09,28300
2015-01-05,8.97,8.9,8.88,9.075,35742
2015-01-06,8.915,8.95,8.9,9.025,30400
2015-01-07,8.93,8.95,8.93,9.025,29524
2015-01-08,8.95,8.94,8.935,8.965,20200
2015-01-11,8.95,8.96,8.945,9.015,21828
2015-01-12,8.99,8.94,8.935,8.99,18200
2015-01-13,8.88,8.935,8.88,8.96,5800
2015-01-14,8.9055,8.905,8.905,8.975,34400
2015-01-15,8.933,8.91,8.85,8.985,32672
2015-01-19,8.9895,8.9895,8.845,8.9895,1538
2015-01-20,8.87,8.875,8.845,8.895,2200
2015-01-21,8.911,8.91,8.91,8.945,2060
2015-01-22,8.9163,8.946,8.9163,8.946,6094
2015-01-25,8.95,8.925,8.925,8.95,9600
2015-01-26,8.9125,8.91,8.91,8.9125,2732
2015-01-27,8.91,8.91,8.91,8.913,3932
2015-01-28,8.91,8.945,8.91,8.945,5900
2015-01-29,8.9256,8.91,8.91,8.9362,17448
2015-02-01,8.89,8.92,8.89,8.92,6200
2015-02-02,8.94,8.95,8.915,8.95,41394
2015-02-03,8.96,8.96,8.905,8.96,11208
2015-02-04,9,9.05,8.975,9.05,35600
2015-02-05,9.125,9.075,9.0351,9.125,37700
2015-02-08,8.955,8.98,8.955,9.16,1360
2015-02-09,9.045,8.98,8.9475,9.045,41152
2015-02-10,9.03,9.035,8.985,9.035,12300
2015-02-11,9.045,9,9,9.045,10930
2015-02-16,8.905,8.88,8.88,8.905,2634
2015-02-17,8.9505,8.9065,8.9065,8.9687,19322
2015-02-18,8.9,8.925,8.89,9.03,8850
2015-02-19,8.95,8.945,8.9,8.955,30252
2015-02-22,8.945,8.89,8.875,9.225,169636
2015-02-23,9,8.965,8.9488,9,17234
2015-02-24,9,8.885,8.81,9,10286
2015-02-25,8.98,8.975,8.875,8.98,12114
2015-02-26,8.78,8.97,8.78,8.98,3248
2015-03-01,8.98,8.9,8.795,8.98,1626
2015-03-02,8.91,8.925,8.91,8.975,4972
2015-03-03,8.825,8.9,8.81,8.925,2562
2015-03-04,8.835,8.8,8.7925,8.915,8070
2015-03-05,8.78,8.87,8.78,8.91,3686
2015-03-08,8.785,8.85,8.78,8.895,8670
2015-03-09,8.845,8.83,8.78,8.875,14872
2015-03-10,8.875,8.895,8.7869,8.895,12180
2015-03-11,8.89,9.15,8.89,9.25,34358
2015-03-12,9.25,9.17,9.005,9.25,25382
2015-03-15,9.225,9.095,9.05,9.225,22956
2015-03-16,9.015,9.065,9.005,9.215,25264
2015-03-17,9.025,9.225,9.025,9.225,10086
2015-03-18,9.045,9.145,9.025,9.215,25852
2015-03-19,9.21,9.585,9.1853,9.625,153420
2015-03-22,9.48,9.56,9.24,9.625,8774
2015-03-23,9.6,9.7,9.575,9.75,13062
2015-03-24,9.75,9.75,9.7495,9.75,2028
2015-03-25,9.875,9.875,9.875,9.875,1080
2015-03-26,9.845,9.825,9.75,9.845,734
2015-03-29,9.1305,9.75,9.1305,9.75,1832
2015-03-30,9.1305,9.875,9.1305,9.875,2844
2015-03-31,9.75,9.725,9.22,9.75,1348
2015-04-01,9.845,9.62,9.1755,9.845,3100
2015-04-05,9.42,9.45,9.38,9.4771,3700
2015-04-06,9.45,9.43,9.1788,9.45,1702
2015-04-07,9.215,9.385,9.205,9.385,2526
2015-04-08,9.375,9.39,9.225,9.435,3474
2015-04-09,9.33,9.295,9.275,9.45,11384
2015-04-12,9.2755,9.345,9.2755,9.345,936
2015-04-13,9.3003,9.35,9.3003,9.35,980
2015-04-14,9.375,9.5,9.375,9.5,9572
2015-04-15,9.499,9.5,9.499,9.5,972
2015-04-16,9.5,9.515,9.495,9.515,2286
2015-04-19,9.567,9.575,9.567,9.575,3186
2015-04-20,9.4795,9.575,9.475,9.575,2648
2015-04-21,9.48,9.48,9.47,9.49,13222
2015-04-22,9.4253,9.3901,9.3855,9.4253,1468
2015-04-23,9.4695,9.6,9.4695,9.6,10066
2015-04-26,9.5465,9.505,9.5,9.575,6408
2015-04-27,9.5,9.5,9.5,9.5,600
2015-04-29,9.5,9.5001,9.5,9.575,5810
2015-04-30,9.5745,9.45,9.38,9.575,11370
2015-05-03,9.39,9.515,9.39,9.535,7530
2015-05-04,9.38,9.38,9.38,9.38,656
2015-05-05,9.475,9.475,9.475,9.475,982
2015-05-06,9.475,9.5,9.475,9.5,3746
2015-05-07,9.52,9.475,9.475,9.52,820
2015-05-11,9.45,9.385,9.385,9.46,5294
2015-05-12,9.4,9.43,9.4,9.435,5334
2015-05-13,9.4,9.45,9.4,9.45,10444
2015-05-14,9.4495,9.387,9.3805,9.4495,4596
2015-05-17,9.44,9.44,9.44,9.44,1256
2015-05-18,9.4,9.49,9.4,9.49,15184
2015-05-19,9.4745,9.475,9.425,9.475,9490
2015-05-20,9.38,9.45,9.38,9.45,6400
2015-05-21,9.4001,9.47,9.4001,9.47,2524
2015-05-25,9.47,9.45,9.4,9.47,13718
2015-05-26,9.46,9.43,9.38,9.475,24882
2015-05-27,9.47,9.475,9.465,9.475,5582
2015-05-28,9.38,9.42,9.38,9.42,3374
2015-05-31,9.425,9.46,9.42,9.475,25292
2015-06-01,9.46,9.4563,9.4563,9.46,426
2015-06-02,9.46,9.45,9.44,9.46,20992
2015-06-03,9.3751,9.445,9.3751,9.445,10004
2015-06-04,9.445,9.41,9.38,9.445,23264
2015-06-07,9.45,9.47,9.385,9.47,15946
2015-06-08,9.39,9.47,9.39,9.47,1512
2015-06-09,9.4,9.41,9.385,9.465,6688
2015-06-10,9.39,9.47,9.3751,9.47,5324
2015-06-11,9.475,9.475,9.405,9.475,5406
2015-06-14,9.475,9.5,9.475,9.5,3906
2015-06-15,9.46,9.495,9.355,9.5,11902
2015-06-16,9.44,9.35,9.35,9.44,8546
2015-06-17,9.355,9.445,9.355,9.505,2946
2015-06-18,9.395,9.375,9.36,9.525,12364
2015-06-21,9.52,9.447,9.3751,9.52,5168
2015-06-22,9.495,9.42,9.38,9.4965,9064
2015-06-23,9.385,9.44,9.385,9.44,1992
2015-06-24,9.525,9.875,9.525,9.875,21530
2015-06-25,9.75,9.745,9.6555,9.77,50394
2015-06-28,9.53,9.895,9.53,9.96,4832
2015-06-29,9.875,9.75,9.75,9.94,26802
2015-06-30,9.7551,9.9,9.7551,9.94,4400
2015-07-01,9.808,9.78,9.78,9.875,5126
2015-07-05,9.9395,9.9395,9.9395,9.9395,4324
2015-07-06,9.94,9.825,9.825,9.94,1150
2015-07-07,9.8113,9.815,9.75,9.82,4216
2015-07-08,9.825,9.775,9.775,9.845,10860
2015-07-09,9.8,9.8,9.8,9.8,400
2015-07-12,9.79,9.79,9.79,9.79,600
2015-07-13,9.75,9.76,9.75,9.7688,3990
2015-07-14,9.77,10,9.77,10.12,48538
2015-07-15,9.95,10,9.95,10.025,2702
2015-07-16,10.008,10,10,10.05,10816
2015-07-19,10.005,10.03,10,10.05,9252
2015-07-20,10.045,10.0495,10,10.05,10964
2015-07-21,10.045,10.05,10,10.12,5404
2015-07-22,10.125,10.13,10.125,10.4995,9032
2015-07-23,11,10.995,10.9,11.081,6304
2015-07-26,10.995,10.875,10.7551,10.995,4922
2015-07-30,10.2501,10.79,10.25,10.87,6752
2015-08-02,10.79,10.715,10.65,10.7901,2904
2015-08-03,10.595,10.25,10.185,10.595,6116
2015-08-05,10.6,11,10.344,11,968578
2015-08-06,10.755,10.695,10.68,10.975,184194
2015-08-09,10.83,10.65,10.625,10.95,33358
2015-08-10,10.625,10.745,10.6,10.79,39134
2015-08-11,10.635,10.79,10.635,10.79,71844
2015-08-12,10.75,10.7,10.665,10.7575,161388
2015-08-13,10.75,10.7,10.652,10.75,27534
2015-08-16,10.75,10.665,10.665,10.75,67280
2015-08-17,10.665,10.7,10.5851,10.7,19094
2015-08-18,10.7,10.635,10.5875,10.7,32114
2015-08-19,10.5,10.7,10.475,10.75,45572
2015-08-20,10.675,10.72,10.58,10.725,24450
2015-08-23,10.65,10.49,10.455,10.65,113142
2015-08-24,10.44,10.295,10.275,10.485,71876
2015-08-25,10.385,10.24,9.945,10.445,58114
2015-08-26,9.935,10.72,9.935,10.795,151362
2015-08-27,10.71,10.685,10.625,10.71,51772
2015-08-30,10.625,10.6,10.4,10.625,42714
2015-08-31,10.5,10.4,10.36,10.6,17780
2015-09-01,10.49,10.575,10.49,10.6,52520
2015-09-02,10.6,10.675,10.475,10.8,63704
2015-09-03,10.65,10.66,10.4304,10.66,44822
2015-09-07,10.685,10.95,10.655,11.25,171018
2015-09-08,11.0001,11.16,10.86,11.2125,101026
2015-09-09,11.2,11.51,10.9075,11.64,61940
2015-09-10,11.525,11.9,11.13,12.215,125268
2015-09-13,11.9,12.03,11.795,12.14,119886
2015-09-14,12.145,12.165,11.905,12.365,61194
2015-09-15,12.19,12.1,12.025,12.245,72654
2015-09-16,12.12,12.09,12.025,12.125,52106
2015-09-17,11.985,11.87,11.565,12.235,619178
2015-09-20,12.01,11.855,11.765,12.0525,38280
2015-09-21,11.825,11.905,11.755,11.985,23016
2015-09-22,11.76,11.99,11.755,12,56072
2015-09-23,11.955,12.075,11.78,12.075,84398
2015-09-24,12.045,11.625,11.555,12.05,71550
