date,open_price,close_price,lowest_price,highest_price,volume
2014-05-11,5.5001,5.882,5.5,6,7451
2014-05-12,5.95,5.5498,5.25,5.95,13686
2014-05-13,5.55,5.3,5.25,5.82,8246
2014-05-14,5.35,5.2,5.1999,5.35,3238
2014-05-15,5.25,5.285,5.2,5.3,12752
2014-05-18,6.0375,5.13,4.76,6.0375,6514
2014-05-19,4.93,4.94,4.93,5.15,10952
2014-05-20,5.4899,4.9,4.9,5.4899,6543
2014-05-21,5.2636,4.85,4.82,5.2636,7278
2014-05-22,4.9501,4.92,4.92,4.97,4070
2014-05-26,4.9101,4.705,4.52,4.95,24443
2014-05-27,5.16,5.2498,4.69,5.8,55369
2014-05-28,5.4999,4.9499,4.9,5.5,11134
2014-05-29,4.98,5.02,4.95,5.102,6542
2014-06-01,5.24,5.14,4.95,5.25,6635
2014-06-02,4.9452,4.875,4.75,5,13966
2014-06-03,4.91,4.79,4.65,4.91,13973
2014-06-04,4.7,4.59,4.35,4.7,8020
2014-06-05,4.4001,4.12,4.009,4.6,43977
2014-06-08,4.06,4.01,3.8,4.06,24216
2014-06-09,3.94,4,3.75,4.1,10175
2014-06-10,3.9899,3.99,3.85,3.99,2935
2014-06-11,4,4,3.9314,4,7504
2014-06-12,3.6,4,3.6,4,13803
2014-06-15,4,4.85,4,5.2499,44562
2014-06-16,5.1,5,4.8,5.1,29596
2014-06-17,5.09,5.15,4.83,5.15,29451
2014-06-18,5.15,5.3,5,5.4,62515
2014-06-19,5.2479,4.32,4.32,5.27,99204
2014-06-22,4.66,4.11,4.08,4.66,44914
2014-06-23,4.11,4.11,4.05,4.3,46782
2014-06-24,4.09,4.15,4.08,4.23,17510
2014-06-25,4.11,4.24,4.08,4.24,4673
2014-06-26,4.24,4.25,4.06,4.31,8081
2014-06-29,4.49,4.25,4.11,4.51,13564
2014-06-30,4.3,4.24,4.1125,4.4899,16153
2014-07-01,4.44,4.26,4.1001,4.44,9026
2014-07-02,4.4,4.41,4.25,4.43,17089
2014-07-06,4.4,4.29,4,4.4,8383
2014-07-07,4.19,4.1,4.03,4.25,9298
2014-07-08,4.1,4.24,4.08,4.27,4350
2014-07-09,4.24,4.1,4.03,4.25,14209
2014-07-10,4.02,4.1,4.0101,4.28,1552
2014-07-13,4.06,4.13,3.85,4.13,19896
2014-07-14,4.0101,4,4,4.28,7935
2014-07-15,4.03,3.99,3.93,4.03,5357
2014-07-16,4,3.98,3.9,4.04,18904
2014-07-17,3.88,3.9234,3.87,3.95,16739
2014-07-20,3.8981,3.77,3.55,3.92,12426
2014-07-21,3.56,3.39,3.03,3.606,45435
2014-07-22,3.25,3.32,3.07,3.34,15435
2014-07-23,3.21,3.45,3.2,3.76,2210
2014-07-24,3.84,3.4175,3.25,3.84,31348
2014-07-27,3.42,3.35,3.1,3.6903,11977
2014-07-28,3.18,3.4,3.18,3.55,7063
2014-07-29,3.25,3.4222,3.25,3.45,10498
2014-07-30,3.51,3.65,3.26,3.65,16800
2014-07-31,3.83,3.5,3.26,3.84,22668
2014-08-03,3.6,3.65,3.39,3.8,18427
2014-08-04,3.4499,3.7,3.27,3.8,19553
2014-08-05,3.84,4.1,3.8,4.1,26860
2014-08-06,4.09,4.2,4.0899,4.2,11290
2014-08-07,4.13,4.2,3.79,4.2,16130
2014-08-10,4.33,4.2844,3.65,4.525,15631
2014-08-11,4.1,4.24,4,4.28,5610
2014-08-12,4.3,4.1001,4.0305,4.32,3347
2014-08-13,4.09,4.1,3.98,4.29,10548
2014-08-14,4.2129,4.22,3.98,4.24,10203
2014-08-17,4.02,3.8901,3.83,4.23,7184
2014-08-18,4.033,4.2,3.9301,4.22,1281
2014-08-19,4,4.17,4,4.19,2821
2014-08-20,4.18,4.1899,4.01,4.2,4020
2014-08-21,4.06,4.2799,4.06,4.3,457
2014-08-24,4.23,4.19,4.05,4.2501,16537
2014-08-25,4.15,4.2,4.15,4.25,10315
2014-08-26,4.2,4.2,4.0942,4.2001,14313
2014-08-27,4.23,4.135,4.1,4.25,3440
2014-08-28,4.28,4.2105,4.08,4.29,10465
2014-09-01,4.28,4.35,4.225,4.35,3470
2014-09-02,4.27,4.43,4.2601,4.43,4255
2014-09-03,4.46,4.43,4.28,4.46,9735
2014-09-04,4.45,4.41,4.25,4.46,11903
2014-09-07,4.47,4.46,4.26,4.49,9739
2014-09-08,4.48,4.21,4.19,4.48,5516
2014-09-09,4.2329,4.44,4.21,4.5,4556
2014-09-10,4.29,4.37,4.24,4.45,4261
2014-09-11,4.44,4.45,4.23,4.45,3537
2014-09-14,4.44,4.26,4.23,4.44,8364
2014-09-15,4.25,4.08,4.01,4.35,16967
2014-09-16,4,3.45,3.3101,4.01,22418
2014-09-17,3.3,3.45,3.2,3.65,34021
2014-09-18,3.3,3.27,3.21,3.84,49432
2014-09-21,3.11,3.15,3.1,3.24,17295
2014-09-22,3.13,3.04,3.01,3.13,12699
2014-09-23,3.24,3.12,3.05,3.24,6651
2014-09-24,3.25,3.27,3.25,4.48,465524
2014-09-25,3.42,3.25,3.1,3.42,66930
2014-09-28,3.0701,3.185,3.07,3.29,25980
2014-09-29,3.09,3.33,3.09,3.4,23961
2014-09-30,3.1601,3.0856,3.0856,3.31,25904
2014-10-01,3.1452,2.96,2.82,3.15,27002
2014-10-02,3,2.86,2.7301,3.14,12688
2014-10-05,3.04,2.95,2.91,3.26,8963
2014-10-06,2.96,2.7978,2.6495,2.96,7536
2014-10-07,2.85,2.55,2.5,2.85,29706
2014-10-08,2.65,2.3,2.27,2.68,30479
2014-10-09,2.28,2.3,2.27,2.3,20336
2014-10-12,2.3,2.282,2.21,2.33,2082
2014-10-13,2.25,2.35,2.18,2.4,12997
2014-10-14,2.66,2.45,2.32,2.66,6300
2014-10-15,2.43,2.52,2.32,2.58,9331
2014-10-16,2.47,2.35,2.35,2.47,8748
2014-10-20,2.4,2.42,2.34,2.83,20401
2014-10-21,2.47,2.49,2.47,2.64,10104
2014-10-22,2.45,2.44,2.33,2.56,4050
2014-10-23,2.32,2.32,2.19,2.5,38652
2014-10-26,2.3,2.33,2.25,2.34,3555
2014-10-27,2.1501,2.2,1.97,2.3,19839
2014-10-28,2.26,2.2,2.14,2.37,9735
2014-10-29,2.2,2.21,2.16,2.46,14100
2014-10-30,2.4,2.35,2.09,2.43,31849
2014-11-02,2.35,2.29,2.1863,2.43,11100
2014-11-03,2.2899,2.4,2.2227,2.45,2184
2014-11-04,2.4001,2.79,2.3406,2.79,22452
2014-11-05,2.54,2.99,2.51,3,45307
2014-11-06,2.97,3,2.9477,3,5120
2014-11-09,2.99,2.98,2.7851,3.0799,16389
2014-11-10,2.5101,2.97,2.5101,3.12,5695
2014-11-11,2.85,2.95,2.75,3.02,15125
2014-11-12,2.85,2.68,2.5962,2.872,3581
2014-11-13,2.9,2.58,2.5601,2.9,7043
2014-11-16,2.87,2.51,2.3,2.9,17543
2014-11-17,2.38,2.3,2.3,2.4399,5836
2014-11-18,2.32,2.34,2.32,2.5,1760
2014-11-19,2.27,2.4,2.2501,2.41,2750
2014-11-20,2.49,2.48,2.4001,2.49,400
2014-11-23,2.449,2.71,2.449,2.7715,8989
2014-11-24,2.6699,2.56,2.5,2.69,9940
2014-11-25,2.55,2.679,2.5497,2.68,18060
2014-11-27,2.4994,2.6,2.4994,2.7,23924
2014-11-30,2.56,2.38,2.3197,2.66,29346
2014-12-01,2.5,2.37,2.37,2.77,6783
2014-12-02,2.25,2.5,2.24,2.69,8301
2014-12-03,2.47,2.4,2.4,2.65,3050
2014-12-04,2.3814,2.56,2.25,2.56,3794
2014-12-07,2.56,2.56,2.5101,2.8299,22929
2014-12-08,2.57,2.51,2.4301,2.77,6200
2014-12-09,2.52,2.5,2.3222,2.7,3843
2014-12-10,2.51,2.39,2.34,2.51,9672
2014-12-11,2.5,2.5,2.5,2.7302,17195
2014-12-14,2.38,2.5,2.32,2.67,11606
