date,open_price,close_price,lowest_price,highest_price,volume
2017-02-13,100.01,100.01,100.01,100.01,58500
2017-02-14,100.01,100.01,100.01,100.01,3100
2017-02-15,100.01,100.01,100.01,100.01,2100
2017-02-22,100.01,100.01,100.01,100.01,25000
2017-03-08,100.05,100.05,100.05,100.05,1000
2017-03-12,100.05,100.05,100.05,100.05,1400
2017-04-06,100.06,100.06,100.06,100.06,50000
2017-04-09,100.06,100.06,100.06,100.06,12000
2017-04-27,100.1,100.1,100.1,100.1,2400
2017-06-22,100.1,100.1,100.1,100.1,1900
2017-08-01,99.9,99.9,99.9,99.9,425
2017-08-30,100.1,100.1,100.1,100.1,10000
2017-09-26,99.99,99.99,99.99,99.99,529
2017-10-19,100.04,100.04,100.04,100.04,2000
2017-11-19,100.04,100.04,100.04,100.04,4700
2018-03-20,100.04,100.04,100.04,100.04,1000
2018-04-19,99.96,99.96,99.96,99.96,124
2018-04-29,100.04,100.04,100.04,100.04,900
2018-12-27,99.96,99.96,99.96,99.96,11000
2018-12-30,99.96,99.96,99.96,99.96,10911
2019-01-31,100.04,100.04,100.04,100.04,183
2019-02-06,100.04,100.04,100.04,100.04,117
2019-02-20,99.96,99.96,99.96,99.96,34900
2019-02-24,99.96,99.96,99.96,99.96,910
2019-03-03,99.96,99.96,99.96,99.96,3700
