date,open_price,close_price,lowest_price,highest_price,volume
2014-01-06,20.05,20.05,20.05,20.05,400
2014-01-07,19.984,19.984,19.984,19.984,230
2014-01-12,20,19.93,19.93,20,1081
2014-01-14,20.06,20.05,20.0499,20.06,1440
2014-01-16,20.09,19.97,19.97,20.09,2310
2014-01-21,20.04,20.06,20.04,20.06,1102
2014-01-22,19.9,19.9,19.9,19.9,961
2014-01-23,19.7099,19.71,19.7099,19.71,500
2014-01-26,19.54,19.54,19.54,19.54,501
2014-01-27,19.544,19.544,19.544,19.544,1000
2014-01-28,19.4699,19.38,19.38,19.47,800
2014-01-29,19.49,19.49,19.49,19.49,125
2014-01-30,19.3299,19.3299,19.3299,19.3299,100
2014-02-02,19.23,19.05,19.05,19.23,6017
2014-02-04,19.02,19.01,19.01,19.04,1451
2014-02-06,19.283,19.309,19.283,19.309,3000
2014-02-09,19.3599,19.3599,19.3599,19.3599,482
2014-02-11,19.5199,19.51,19.5,19.52,1537
2014-02-12,19.55,19.5145,19.5145,19.56,725
2014-02-13,19.67,19.6999,19.67,19.7,1200
2014-02-17,19.7,19.69,19.676,19.7,4780
2014-02-18,19.64,19.603,19.594,19.64,3250
2014-02-20,19.67,19.623,19.623,19.67,815
2014-02-23,19.7,19.69,19.69,19.73,3160
2014-02-24,19.7,19.6799,19.6799,19.7,2454
2014-02-25,19.7,19.7,19.7,19.7,561
2014-02-26,19.72,19.72,19.72,19.72,320
2014-02-27,19.89,19.8899,19.8899,19.89,1401
2014-03-02,19.7101,19.72,19.7,19.74,8041
2014-03-03,19.9299,19.9499,19.9299,19.95,1665
2014-03-04,19.91,19.9099,19.9,19.91,9917
2014-03-05,19.9399,19.94,19.9399,19.9499,1756
2014-03-06,19.923,19.8927,19.8927,19.923,1319
2014-03-09,19.95,19.903,19.903,19.95,1768
2014-03-10,19.8699,19.87,19.8699,19.87,3078
2014-03-11,19.87,19.88,19.87,19.88,2837
2014-03-12,19.88,19.77,19.77,19.88,3594
2014-03-16,19.89,19.88,19.82,19.89,1050
2014-03-17,19.97,19.9643,19.91,19.99,3575
2014-03-19,19.8567,19.95,19.8567,19.95,1862
2014-03-23,19.87,19.84,19.84,19.87,1985
2014-03-24,19.92,19.92,19.92,19.92,400
2014-03-25,19.97,19.92,19.9001,19.97,2545
2014-03-27,19.9299,19.8699,19.8699,19.9299,1899
2014-03-30,20.0199,20.0399,19.9927,20.04,3146
2014-03-31,20.05,20.04,20.04,20.05,339
2014-04-02,20.13,20.13,20.13,20.13,150
2014-04-03,20.14,20.03,20.03,20.14,425
2014-04-06,19.9,19.87,19.87,19.9,1422
2014-04-07,19.93,19.93,19.93,19.93,625
2014-04-08,19.92,19.92,19.92,19.92,101
2014-04-09,19.9801,19.87,19.87,19.9801,1101
2014-04-10,19.8,19.73,19.7241,19.8,1010
2014-04-14,19.99,19.99,19.99,19.99,250
2014-04-15,20,19.99,19.99,20.05,1556
2014-04-20,20.16,20.17,20.07,20.17,1806
2014-04-21,20.26,20.26,20.26,20.26,300
2014-04-22,20.15,20.15,20.15,20.15,238
2014-04-24,20.07,20,19.97,20.09,22565
2014-04-27,20,20.13,19.92,20.18,20600
2014-04-28,20.12,20.14,20.11,20.22,1800
2014-04-30,20.2,20.16,20.07,20.25,30301
2014-05-01,20.2,20.17,20.13,20.24,3364
2014-05-04,20.05,20.1,20.04,20.2001,26321
2014-05-05,20.12,20.02,20.02,20.12,1306
2014-05-06,20.01,20.04,19.99,20.145,51654
2014-05-07,20.06,20.05,20.05,20.21,22642
2014-05-08,20.06,20.01,20.01,20.12,148028
2014-05-11,20.1,20.15,20.1,20.23,183189
2014-05-12,20.19,20.1729,20.15,20.27,59825
2014-05-13,20.15,20.1,20.1,20.25,7226
2014-05-14,20.07,19.94,19.93,20.08,29315
2014-05-15,19.95,20.03,19.95,20.039,5194
2014-05-18,20.04,20.04,20.03,20.11,10400
2014-05-19,20.02,20,19.98,20.02,2300
2014-05-20,20,20.03,19.98,20.05,19800
2014-05-21,20.02,20.06,20.02,20.14,22795
2014-05-26,20.27,20.27,20.2299,20.29,56924
2014-05-27,20.3001,20.28,20.21,20.32,45700
2014-05-28,20.26,20.31,20.25,20.37,106700
2014-05-29,20.3301,20.36,20.2605,20.38,20652
2014-06-01,20.31,20.37,20.3,20.38,40500
2014-06-02,20.33,20.37,20.3,20.38,29514
2014-06-03,20.34,20.3445,20.3299,20.36,5501
2014-06-04,20.34,20.34,20.32,20.39,23100
2014-06-05,20.44,20.47,20.41,20.49,38802
2014-06-08,20.47,20.47,20.45,20.53,27276
2014-06-09,20.41,20.49,20.41,20.54,37895
2014-06-10,20.46,20.47,20.4199,20.51,56602
2014-06-11,20.44,20.432,20.36,20.48,40300
2014-06-12,20.45,20.441,20.4387,20.49,8719
2014-06-15,20.66,20.44,20.4299,20.66,10200
2014-06-17,20.5,20.49,20.48,20.55,10715
2014-06-19,20.6605,20.79,20.6605,20.79,323
2014-06-22,20.7,20.71,20.58,20.72,17800
2014-06-23,20.6394,20.53,20.4599,20.6394,11201
2014-06-24,20.43,20.56,20.43,20.5701,39696
2014-06-25,20.48,20.49,20.4299,20.6,19700
2014-06-26,20.545,20.4805,20.4,20.56,12636
2014-06-29,20.52,20.6272,20.5099,20.6501,8175
2014-06-30,20.57,20.62,20.5,20.67,14200
2014-07-01,20.61,20.65,20.6,20.6601,7799
2014-07-02,20.7301,20.76,20.6799,20.76,29298
2014-07-06,20.66,20.748,20.6399,20.75,12296
2014-07-07,20.5,20.6,20.4999,20.604,99880
2014-07-08,20.55,20.6099,20.53,20.6301,95425
2014-07-09,20.44,20.6201,20.44,20.64,103373
2014-07-10,20.5099,20.5801,20.47,20.62,60246
2014-07-13,20.5,20.61,20.5,20.7201,85400
2014-07-14,20.79,20.57,20.53,20.79,27196
2014-07-15,20.56,20.5605,20.5599,20.72,7500
2014-07-16,20.57,20.46,20.44,20.64,63636
2014-07-17,20.43,20.55,20.43,20.64,14275
2014-07-20,20.56,20.5709,20.56,20.5709,3171
2014-07-22,20.489,20.46,20.445,20.489,3651
2014-07-23,20.4401,20.4501,20.4099,20.462,63475
2014-07-24,20.3699,20.382,20.357,20.43,17700
2014-07-27,20.3,20.3,20.2299,20.3401,49009
2014-07-28,20.3,20.36,20.28,20.4101,61668
2014-07-29,20.15,20.23,20.11,20.24,25375
