date,open_price,close_price,lowest_price,highest_price,volume
2015-08-03,9.2,9.38,9.09,9.4,64492
2015-08-04,9.4,9.6,9.09,9.6,79206
2015-08-05,9.6,9.44,9.31,9.6,21405
2015-08-06,9.31,9.08,9.04,9.31,18523
2015-08-09,8.97,8.72,7.89,9.15,28585
2015-08-10,8.86,8.89,8.48,8.98,32014
2015-08-11,8.79,8.71,8.46,9.03,15152
2015-08-12,8.85,8.9,8.46,8.95,19706
2015-08-13,8.95,9.26,8.52,9.26,60028
2015-08-16,9.12,9.01,8.88,9.12,5978
2015-08-17,8.8,9.15,8.8,9.24,1584
2015-08-18,9.13,8.76,8.3953,9.25,20520
2015-08-19,8.49,8.65,8.3542,8.95,6636
2015-08-20,8.74,8.77,8.56,9,15993
2015-08-23,8.6,8.8,8.58,8.97,13245
2015-08-24,8.97,8.985,8.91,9.04,13800
2015-08-25,9.05,9.05,8.95,9.1,28949
2015-08-26,9.08,9.05,8.95,9.08,3319
2015-08-27,9.05,8.96,8.7,9.15,17679
2015-08-30,9.05,9.24,9,9.24,13507
2015-08-31,9.0675,8.99,8.95,9.19,3464
2015-09-01,8.8088,8.75,8.75,9.04,15753
2015-09-02,8.88,8.82,8.82,9.15,11219
2015-09-03,8.99,8.83,8.83,9.06,5199
2015-09-07,9,9.05,8.89,9.07,4246
2015-09-08,9.0699,8.97,8.9501,9.0699,2444
2015-09-09,8.7701,8.95,8.77,9.05,12566
2015-09-10,9.04,8.95,8.92,9.04,12709
2015-09-13,8.98,9.05,8.8,9.26,4621
2015-09-14,8.76,9.05,8.76,9.05,2699
2015-09-15,8.91,8.984,8.9,9.04,2960
2015-09-16,9.05,8.96,8.95,9.2,7687
2015-09-17,8.87,8.87,8.83,9.03,11496
2015-09-20,8.96,8.95,8.9,9.04,9415
2015-09-21,8.95,9.03,8.95,9.06,4883
2015-09-22,8.95,9.005,8.95,9.04,7027
2015-09-23,9.1,9.19,8.9092,9.1999,61779
2015-09-24,9.3,9.13,8.99,9.3,7571
2015-09-27,8.81,8.8,8.75,9.1,12931
2015-09-28,8.7501,8.81,8.75,9.04,7460
2015-09-29,9.18,9.0399,8.721,9.2,5800
2015-09-30,8.96,8.97,8.8801,9.05,12706
2015-10-01,8.86,9.15,8.86,9.15,43878
2015-10-04,9.1,9.1,9.05,9.15,18571
2015-10-05,9.05,9.05,8.975,9.1,10701
2015-10-06,9.1,9.15,9.0432,9.27,33283
2015-10-07,9.15,9.24,9.1001,9.4799,11389
2015-10-08,9.21,9.25,9.1609,9.25,6300
2015-10-11,9.33,9.15,9.13,9.33,4144
2015-10-12,9.04,9.1,9.04,9.2,15363
2015-10-13,9.1,9.09,8.938,9.1,6974
2015-10-14,9,9.15,8.9,9.15,13806
2015-10-15,9.15,9.1,9.095,9.15,1500
2015-10-18,9.13,9.35,9.13,9.42,3180
2015-10-19,9.28,9.35,8.97,9.4199,7412
2015-10-20,8.9801,9.3999,8.9801,9.45,2950
2015-10-21,9.32,9.34,9.13,9.47,10337
2015-10-22,9.3,9.21,9.16,9.3,10140
2015-10-25,9.3,9.3,9.13,9.31,8928
2015-10-26,9.3,9.31,9.28,9.35,11065
2015-10-27,9.31,9.31,9.24,9.32,12504
2015-10-28,9.3,9.34,9.1999,9.34,14281
2015-10-29,9.23,9.35,9.23,9.425,11839
2015-11-01,9.35,9.345,9.2911,9.4,3572
2015-11-02,9.292,9.328,9.26,9.328,1051
2015-11-03,9.35,9.44,9.2602,9.55,20652
2015-11-04,9.5,9.75,9.5,9.9,160192
2015-11-05,9.75,9.63,9.6001,9.76,190090
2015-11-08,9.74,9.65,9.63,9.89,17275
2015-11-09,9.64,9.67,9.5152,9.73,14751
2015-11-10,9.69,9.93,9.5171,10,27713
2015-11-11,9.94,10.02,9.62,10.1,44824
2015-11-12,10.07,9.69,9.62,10.08,21998
2015-11-15,9.77,9.9,9.77,9.99,51578
2015-11-16,9.92,10.05,9.798,10.09,35353
2015-11-17,10.1,10.18,10.098,10.2,36788
2015-11-18,10.2,10.3,10.185,10.3,36165
2015-11-19,10.35,10.2999,10.188,10.35,12412
2015-11-22,10.31,10.19,10.1401,10.34,27614
2015-11-23,10.18,10.22,10.18,10.3,6712
2015-11-24,10.26,10.36,10.2325,10.45,24729
2015-11-26,10.4,10.4,10.163,10.45,7273
2015-11-29,10.45,10.5,10.4111,10.52,18944
2015-11-30,10.58,10.6,10.54,10.6,47921
2015-12-01,10.57,10.6,10.5501,10.6,7041
2015-12-02,10.53,10.64,10.53,10.64,6628
2015-12-03,10.69,10.66,10.657,10.75,24148
2015-12-06,10.72,10.52,10.48,10.8,12558
2015-12-07,10.55,10.6,10.55,10.78,16530
2015-12-08,10.67,10.57,10.55,10.8,9103
2015-12-09,10.74,10.51,10.44,10.94,25435
2015-12-10,10.2698,10.25,9.9142,10.729,15405
2015-12-13,10.25,10.24,9.94,10.3,8666
2015-12-14,10.25,10.01,10.01,10.32,18434
2015-12-15,10.03,9.89,9.7,10.27,42109
2015-12-16,9.77,9.62,9.46,9.95,18040
2015-12-17,9.68,9.95,9.6218,9.99,34459
2015-12-20,9.75,9.59,9.41,9.98,24931
2015-12-21,9.67,9.73,9.43,9.74,12597
2015-12-22,9.62,9.82,9.62,9.884,12372
2015-12-23,9.85,9.85,9.78,9.9,8693
2015-12-27,9.9,10.09,9.9,10.38,34521
2015-12-28,10.16,10.17,10.15,10.46,22613
2015-12-29,10.23,10.14,10.14,10.25,5660
2015-12-30,10.185,10.23,10.02,10.35,4896
2016-01-03,10.1,10.04,10.04,10.48,12230
2016-01-04,10.055,10.18,10.02,10.19,10563
2016-01-05,10.0925,10.1,10.02,10.11,5142
2016-01-06,10.01,10.02,9.94,10.0899,24874
2016-01-07,10.1,10.02,9.991,10.13,8473
2016-01-10,10.2229,10.02,10,10.2229,13102
2016-01-11,9.72,10.1,9.72,10.19,30663
2016-01-12,9.8,9.94,9.8,10.13,28673
2016-01-13,9.93,10.03,9.71,10.1399,15415
2016-01-14,9.92,10.04,9.91,10.25,17608
2016-01-18,10.02,10.02,9.9999,10.1,9574
2016-01-19,9.83,10.06,9.83,10.07,24715
2016-01-20,10.05,9.88,9.88,10.1,6732
2016-01-21,10,9.94,9.85,10,5175
2016-01-24,9.93,9.88,9.85,9.99,9301
2016-01-25,9.825,9.92,9.825,10,13440
2016-01-26,9.74,10,9.5601,10,11712
2016-01-27,9.92,9.98,9.518,10.14,15214
2016-01-28,10,9.97,9.97,10.12,22263
2016-01-31,9.91,10,9.89,10.05,17093
2016-02-01,10.01,9.94,9.62,10.02,18735
2016-02-02,10.03,9.99,9.95,10.075,8820
2016-02-03,10.13,10.07,10.01,10.15,9107
2016-02-04,10.0001,10.01,9.98,10.07,12682
