date,open_price,close_price,lowest_price,highest_price,volume
2018-01-24,10,10,10,10.02,2777216.0
2018-01-25,10,10,10,10.01,291225
2018-01-28,10,10,10,10.01,73003
2018-01-29,10.0074,10,10,10.03,456185
2018-01-30,10.01,10,9.9999,10.0101,595310
2018-01-31,10.01,10.01,10,10.01,43150
2018-02-01,10.01,10,10,10.01,44675
2018-02-04,10.02,10,10,10.02,98565
2018-02-05,10,9.97,9.97,10,58932
2018-02-06,10,9.99,9.99,10,1500
2018-02-07,9.98,9.99,9.97,9.99,54301
2018-02-08,9.9701,9.98,9.97,9.98,1000
2018-02-11,9.98,9.98,9.98,9.98,150050
2018-02-12,9.98,9.9799,9.9793,9.98,32900
2018-02-13,9.98,9.99,9.98,9.99,23500
2018-02-14,9.98,9.97,9.97,9.98,10660
2018-02-15,9.99,9.99,9.99,9.99,609
2018-02-19,9.98,9.99,9.98,10.0199,6750
2018-02-22,9.99,9.99,9.99,9.99,100
2018-02-25,10,10,9.9999,10,11000
2018-02-27,9.98,9.99,9.9799,10,29992
2018-02-28,10,9.993,9.98,10.0132,21061
2018-03-01,10.0025,9.9905,9.99,10.0025,6000
2018-03-05,10,10,10,10,2000
2018-03-07,10.01,10,10,10.01,10000
2018-03-08,10,10,10,10,4966
2018-03-11,10.03,10.23,10.02,10.25,524393
2018-03-12,10.15,10.28,10.15,10.28,338115
2018-03-13,10.29,10.28,10.25,10.29,3500
2018-03-14,10.28,10.2701,10.27,10.35,69417
2018-03-19,10.25,10.25,10.25,10.25,200
2018-03-20,10.32,10.34,10.29,10.34,3241
2018-03-25,10.21,10.35,10.21,10.35,23100
2018-03-26,10.2901,10.35,10.25,10.35,12200
2018-03-27,10.3,10.35,10.25,10.35,12000
2018-03-28,10.35,10.3295,10.3295,10.35,2100
2018-04-02,10.35,10.35,10.35,10.35,100
2018-04-03,10.32,10.32,10.32,10.32,100
2018-04-04,10.31,10.31,10.31,10.31,100
2018-04-05,10.33,10.33,10.33,10.33,100
2018-04-10,10.3,10.2,10.2,10.3,1400
2018-04-11,10.2,10.24,10.16,10.24,7200
2018-04-12,10.17,10.17,10.17,10.17,7100
2018-04-16,10.2006,10.2006,10.2006,10.2006,120
2018-04-17,10.17,10.17,10.15,10.17,6800
2018-05-03,10.17,10.2,10.1577,10.2,68779
2018-05-07,10.17,10.15,10.15,10.17,2400
2018-05-08,10.15,10.15,10.15,10.19,8700
2018-05-09,10.15,10.1,10.09,10.15,6000
2018-05-10,10.15,10.15,10.12,10.15,6846
2018-05-14,10.11,10.1252,10.11,10.1252,1500
2018-05-15,10.13,10.13,10.13,10.13,65700
2018-05-16,10.14,10.12,10.12,10.14,3162
2018-05-17,10.14,10.12,10.12,10.14,700
2018-05-20,10.12,10.12,10.12,10.12,170
2018-05-23,10.12,10.12,10.12,10.12,3000
2018-05-24,10.12,10.12,10.12,10.13,9700
2018-05-28,10.17,10.08,10.08,10.18,7546
2018-05-30,10.12,10.1,10.08,10.12,126000
2018-05-31,10.14,10.14,10.14,10.14,400
2018-06-10,10.2,10.2,10.2,10.2,300
2018-06-11,10.2,10.2,10.2,10.2,200
2018-06-13,10.21,10.27,10.21,10.27,105000
2018-06-24,10.22,10.2101,10.2101,10.22,2000
2018-06-25,10.25,10.25,10.25,10.25,1000
2018-07-05,10.3,10.3,10.3,10.3,204000
2018-07-09,10.33,10.34,10.32,10.34,115800
2018-07-11,10.35,10.35,10.35,10.35,11000
2018-07-15,10.38,10.39,10.33,10.39,3464
2018-07-18,10.4,10.4,10.4,10.4,3000
2018-07-29,10.4,10.4,10.4,10.4,24637
2018-08-01,10.4,10.4,10.4,10.4,3500
2018-08-23,10.37,10.37,10.37,10.37,100
2018-09-12,10.4,10.4,10.4,10.4,600
2018-09-16,10.42,10.4301,10.4,10.45,150851
2018-09-17,10.45,10.45,10.45,10.4577,24400
2018-09-24,10.45,10.45,10.45,10.45,10015
2018-09-25,10.5,10.5,10.5,10.5,1400
2018-09-26,10.5,10.5,10.5,10.5,1000
2018-10-02,10.5,10.5,10.5,10.5,1000
2018-10-09,10.45,10.45,10.45,10.45,16700
2018-10-11,10.3689,10.3689,10.3689,10.3689,200
2018-10-14,10.5023,10.5023,10.5023,10.5023,130
2018-10-16,10.5,10.5,10.5,10.5,3300
2018-10-18,10.48,10.48,10.48,10.48,1000
2018-10-21,10.46,10.46,10.46,10.46,200
2018-10-22,10.45,10.45,10.45,10.45,600
2018-11-07,10.47,10.47,10.47,10.47,1000
2018-11-19,10.45,10.45,10.45,10.45,300
2018-11-25,10.44,10.44,10.44,10.44,400
2018-11-26,10.46,10.45,10.45,10.46,400
2018-11-28,10.4327,10.43,10.43,10.4327,400
2018-11-29,10.35,10.48,10.35,10.48,1100
2018-12-09,10.46,10.3507,10.35,10.4601,4485
2018-12-10,10.35,10.35,10.35,10.35,1000
2018-12-11,10.35,10.36,10.35,10.36,800
2018-12-12,10.37,10.37,10.37,10.37,502
2018-12-17,10.41,10.35,10.35,10.41,1200
2018-12-18,10.36,10.36,10.36,10.36,200
2018-12-20,10.36,10.36,10.36,10.36,200
2018-12-25,10.34,10.34,10.34,10.34,500
2018-12-27,10.34,10.34,10.28,10.34,2800
2018-12-30,10.345,10.3795,10.345,10.3795,210
2019-01-01,10.37,10.37,10.37,10.37,200
2019-01-07,10.3351,10.3351,10.3351,10.3351,200
2019-01-08,10.37,10.37,10.37,10.37,100
2019-01-09,10.3599,10.36,10.358,10.36,10200
2019-01-10,10.38,10.38,10.38,10.38,100
2019-01-14,10.3835,10.3504,10.35,10.3835,15700
2019-01-16,10.36,10.38,10.36,10.38,10200
2019-01-22,10.38,10.38,10.38,10.38,650
2019-01-28,10.38,10.38,10.38,10.38,250
2019-01-30,10.48,10.48,10.48,10.48,102
2019-01-31,10.55,10.55,10.55,10.55,2000
2019-02-03,10.55,10.55,10.55,10.55,550
2019-02-04,10.55,10.55,10.53,10.55,30401
2019-02-10,10.55,10.47,10.47,10.55,1670
2019-02-19,10.53,10.53,10.53,10.53,31800
2019-02-20,10.51,10.415,10.36,10.55,14700
2019-02-21,10.51,10.48,10.48,10.51,3600
2019-02-25,10.48,10.4717,10.4717,10.4903,4200
2019-02-27,10.53,10.53,10.53,10.53,200
2019-02-28,10.53,10.33,10.33,10.53,4920
2019-03-10,10.49,10.55,10.49,10.55,2000
2019-03-11,10.55,10.55,10.55,10.55,700
2019-03-20,10.5,10.4801,10.48,10.5,5300
2019-03-21,10.48,10.5,10.47,10.5,4022
2019-03-24,10.5,10.5,10.499,10.5,4400
2019-03-27,10.5,10.5,10.5,10.5,1700
2019-03-28,10.5,10.5,10.5,10.5,1000
2019-04-01,10.5,10.5,10.5,10.5,2100
2019-04-08,10.5,10.5,10.5,10.5,2300
2019-04-21,10.5,10.5,10.5,10.5,2400
2019-04-23,10.5,10.5,10.5,10.5,1213
2019-04-28,10.5,10.5,10.5,10.5,1700
2019-04-29,10.5,10.49,10.49,10.5,5394
2019-04-30,10.5,10.4999,10.4999,10.5,2000
2019-05-01,10.4958,10.5,10.4958,10.5,1500
2019-05-06,10.5,10.4981,10.4981,10.5,1900
2019-05-08,10.4957,10.5153,10.4957,10.5153,6000
2019-05-09,10.5037,10.5037,10.5037,10.5037,1000
2019-05-14,10.5,10.5,10.5,10.5,3092
2019-05-19,10.45,10.45,10.45,10.45,100
2019-05-22,10.5,10.4968,10.4968,10.5,1300
2019-05-23,10.5,10.4999,10.486,10.5,6700
2019-05-29,10.5,10.4967,10.4967,10.5,2000
2019-06-02,10.5,10.5,10.5,10.5,3300
2019-06-04,10.55,10.65,10.55,10.65,2000
2019-06-27,10.63,10.6,10.6,10.63,1600
2019-07-09,10.6,10.6,10.6,10.6,500
2019-07-14,10.61,10.61,10.61,10.61,23500
2019-08-05,10.74,10.75,10.74,10.75,1300
2019-08-13,10.71,10.71,10.71,10.71,1000
2019-09-22,10.7,10.7,10.7,10.7,200
2019-10-06,10.8,10.8,10.8,10.8,2800
2019-10-07,10.9765,10.8,10.8,10.9765,700
2019-10-10,11.563,10.8,10.8,11.563,800
2019-10-16,10.79,10.78,10.78,10.9963,2300
2019-10-20,10.8965,10.77,10.77,11.551,1600
2019-10-21,10.78,10.8,10.78,10.8,1500
2019-10-24,10.75,10.75,10.75,10.75,1000
2019-10-29,10.75,10.75,10.75,10.75,400
2019-11-03,10.8579,10.8579,10.8579,10.8579,200
2019-11-04,10.85,10.85,10.85,10.85,100
2019-11-10,11.79,10.79,10.79,11.79,500
2019-11-11,10.77,10.77,10.77,10.77,100
2019-11-17,10.807,10.72,10.22,11.023,9500
2019-12-04,10.73,10.71,10.71,10.73,300
2019-12-15,10.85,10.85,10.85,10.85,100
2019-12-19,10.76,10.75,10.75,10.76,300
2019-12-30,10.94,10.94,10.94,10.94,200
2020-01-14,10.68,10.68,10.68,10.68,1000
2020-03-29,10.45,10.45,10.45,10.45,150
2020-04-01,10.6,10.6,10.6,10.6,800
2020-04-05,10.25,10.25,10.25,10.25,110
2020-05-12,10.749,10.73,10.73,10.749,490
2020-06-04,11.5,11.5,11.5,11.5,190
2020-06-09,12.08,13.07,12.08,15,9716
2020-06-10,13.06,13.06,13.06,13.06,120
2020-06-11,12.56,12.7,12.56,12.7,4046
2020-06-14,12.7253,12.8677,12.71,13.62,3400
2020-06-15,13.25,13.3,13.04,13.3,3660
2020-06-16,13.55,16.07,13.55,17.98,5836
2020-06-18,13.47,13.47,13.47,13.47,204
2020-06-21,13.5,13.8395,12.15,13.8395,649
2020-06-23,10.76,12.97,10.76,12.98,2730
2020-06-25,13.49,11.66,11.66,14.68,838
2020-06-28,14.2,14.2,14.2,14.2,613
2020-06-30,16.135,14.46,14.4,16.135,1362
