date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,25.2,25.2,25.2,25.2,101
2014-01-05,25.12,25.12,25.12,25.12,130
2014-01-07,25.14,25.1,25.1,25.14,3898
2014-01-12,25.01,25.01,25.01,25.01,4001
2014-01-13,24.82,24.82,24.82,24.82,200
2014-01-14,24.801,24.8,24.8,24.801,1090
2014-01-15,25,25,25,25,4001
2014-01-16,24.81,24.85,24.81,24.85,9300
2014-01-20,24.84,24.84,24.84,24.84,100
2014-01-22,24.51,24.68,24.51,24.8,2300
2014-01-23,24.56,24.56,24.56,24.56,100
2014-01-26,24.52,24.52,24.52,24.52,100
2014-01-29,24.4,24.35,24.35,24.4,701
2014-02-10,24.34,24.4,24.34,24.4,1286
2014-02-13,24.48,24.48,24.48,24.48,445
2014-02-17,24.4,24.4,24.4,24.4,202
2014-02-19,24.43,24.6,24.43,24.6,360
2014-02-20,24.55,24.55,24.55,24.55,307
2014-02-24,24.29,24.43,24.29,24.43,1325
2014-02-25,24.32,24.32,24.32,24.32,1532
2014-03-03,24.415,24.415,24.415,24.415,300
2014-03-04,24.33,24.48,24.33,24.48,987
2014-03-05,24.48,24.48,24.48,24.48,1363
2014-03-06,24.7099,24.7099,24.7099,24.7099,204
2014-03-09,24.7,24.6,24.6,24.7,2950
2014-03-10,24.6,24.6,24.6,24.6,999
2014-03-11,24.55,24.57,24.55,24.58,1300
2014-03-12,24.55,24.49,24.4799,24.55,11001
2014-03-16,24.4099,24.41,24.405,24.41,7100
2014-03-18,24.545,24.545,24.545,24.55,400
2014-03-19,24.705,24.6,24.6,24.705,1014
2014-03-20,24.5,24.6,24.5,24.64,1679
2014-03-23,24.43,24.47,24.38,24.47,1941
2014-03-24,24.46,24.46,24.46,24.46,159
2014-03-25,24.5799,24.5,24.5,24.5799,800
2014-03-26,24.4,24.4,24.39,24.4,1001
2014-03-27,24.3,24.36,24.3,24.39,4702
2014-03-30,24.49,24.49,24.48,24.49,706
2014-03-31,24.4,24.38,24.38,24.4,601
2014-04-02,24.54,24.54,24.54,24.545,2061
2014-04-07,24.38,24.37,24.37,24.38,1100
2014-04-08,24.49,24.49,24.49,24.49,274
2014-04-09,24.39,24.39,24.39,24.39,900
2014-04-10,24.39,24.302,24.302,24.39,2100
2014-04-13,24.3,24.32,24.3,24.32,4525
2014-04-14,24.39,24.39,24.36,24.41,14238
2014-04-15,24.19,24.17,24.17,24.19,900
2014-04-16,24.33,24.14,24.14,24.33,8025
2014-04-20,24.02,23.94,23.93,24.02,5800
2014-04-21,24.121,23.88,23.88,24.121,20614
2014-04-23,24.3099,24.3099,24.3099,24.3099,315
2014-04-27,24.3,24.23,24.23,24.3,407
2014-04-28,23.92,24.22,23.92,24.28,898
2014-05-11,24.1875,24.104,24.104,24.1875,300
2014-05-12,23.99,24.26,23.99,24.26,3122
2014-05-13,24.15,24.123,24.05,24.16,6548
2014-05-14,24.3,24.04,23.99,24.3,10470
2014-05-20,24.05,24.03,24.02,24.07,3400
2014-05-22,24.05,24.0136,24.0136,24.05,550
2014-05-28,23.92,23.81,23.76,23.92,13972
2014-06-04,24.35,24.45,24.34,24.45,19802
2014-06-09,24.57,24.45,24.45,24.57,300
2014-06-19,24.46,24.46,24.46,24.46,1104
2014-06-22,24.48,24.08,23.93,24.48,746
2014-06-25,24.22,24.3,24.22,24.3099,608
2014-06-26,24.16,24.1,24.1,24.16,1401
2014-06-30,23.96,24.05,23.96,24.11,25498
2014-07-06,24.25,24.42,24.25,24.55,15119
2014-07-08,24,24.25,24,24.25,16250
2014-07-09,24,23.9105,23.91,24.02,3861
2014-07-10,24.05,23.88,23.8399,24.05,26183
2014-07-13,23.88,23.85,23.8,23.9301,19828
2014-07-14,23.9801,23.96,23.91,24.028,16841
2014-07-15,23.88,23.83,23.83,23.88,3150
2014-07-16,23.84,23.66,23.62,23.84,40954
2014-07-17,23.6499,23.6499,23.6499,23.65,850
2014-07-20,23.65,23.5425,23.49,23.65,6892
2014-07-21,23.61,23.65,23.5999,23.66,4015
2014-07-22,23.75,23.6,23.59,23.75,5165
2014-07-23,23.85,23.85,23.85,23.85,867
2014-07-27,23.65,23.58,23.5,23.6699,6146
2014-07-28,23.59,23.68,23.59,23.72,5714
2014-07-29,23.67,23.64,23.59,23.7,5600
2014-07-31,23.68,23.62,23.62,23.73,3600
2014-08-03,23.5572,23.45,23.4,23.5572,6231
2014-08-04,23.51,23.51,23.51,23.51,100
2014-08-05,23.385,23.14,23.14,23.6,6000
2014-08-06,23.3999,23.36,23.36,23.3999,900
2014-08-07,23.39,23.18,23.18,23.39,1900
2014-08-10,23.27,23.22,23.22,23.29,883
2014-08-11,23.3078,23.37,23.3078,23.37,2100
2014-08-12,23.57,23.53,23.52,23.57,1800
2014-08-14,23.2,23.1104,23.08,23.2,4847
2014-08-18,23.29,23.2999,23.29,23.2999,430
2014-08-19,23.3,23.23,23.23,23.3,1380
2014-08-21,23.27,23.3194,23.22,23.35,61113
2014-08-24,23.35,23.35,23.35,23.35,430
2014-08-25,23.4,23.4,23.4,23.4,760
2014-08-27,23.27,23.48,23.27,23.48,3526
2014-08-28,23.05,23.35,23.05,23.35,137544
2014-09-01,23.1001,23.1001,23.1001,23.1001,296
2014-09-02,23.4299,23.4299,23.4299,23.4299,119
2014-09-03,23.237,23.237,23.237,23.237,210
2014-09-04,23.16,23.27,23.16,23.42,3212
2014-09-07,23.2999,23.2899,23.225,23.3501,11500
2014-09-08,23.26,23.2,23.2,23.29,100023
2014-09-09,23.276,23.253,23.24,23.28,4229
2014-09-10,23.26,23.25,23.24,23.26,2336
2014-09-11,23.23,23.274,23.226,23.3,18999
2014-09-14,23.349,23.35,23.34,23.397,7980
2014-09-15,23.37,23.382,23.24,23.39,109327
2014-09-16,23.3101,23.31,23.25,23.3399,30093
2014-09-17,23.35,23.4166,23.35,23.4166,4372
2014-09-18,23.4399,23.4,23.398,23.47,60490
2014-09-21,23.23,23.25,23.2,23.25,5105
2014-09-22,23.2001,23.11,23.11,23.26,16351
2014-09-23,23.13,23.1588,23.07,23.1588,7611
2014-09-24,23.0201,22.96,22.9,23.16,21275
2014-09-25,22.96,22.9899,22.96,22.9899,801
2014-09-28,22.86,22.79,22.79,22.87,5905
2014-09-29,22.89,22.89,22.89,22.89,4010
2014-09-30,22.89,22.7213,22.7213,22.89,836
2014-10-01,22.62,22.69,22.61,22.71,3900
2014-10-02,22.88,22.93,22.88,22.93,445
2014-10-05,22.92,22.92,22.92,22.92,300
2014-10-06,22.6456,22.5901,22.59,22.6456,1391
2014-10-07,22.64,22.68,22.58,22.68,42199
2014-10-08,22.6,22.4,22.4,22.6,45761
2014-10-09,22.48,22.4,22.4,22.48,389
2014-10-12,22.36,22.31,22.31,22.36,14731
2014-10-13,22.2699,22.2221,22.2221,22.2699,1247
2014-10-14,22,22,21.96,22,1095
2014-10-15,21.9535,21.89,21.89,21.9799,1945
2014-10-16,21.79,22.12,21.79,22.27,4576
2014-10-19,22.34,22.11,22.1,22.34,8564
2014-10-20,22.27,22.23,22.23,22.33,1934
2014-10-21,22.4,22.45,22.3,22.6653,1351
2014-10-22,22.6133,22.6133,22.6133,22.6133,233
2014-10-23,22.3001,22.58,22.3001,22.58,478
2014-10-27,22.732,22.51,22.51,22.732,690
2014-10-28,22.52,22.47,22.47,22.55,80297
2014-10-29,22.4,22.4,22.4,22.4,438
2014-10-30,22.54,22.54,22.54,22.54,2003
2014-11-02,22.51,22.47,22.47,22.5527,43851
2014-11-03,22.49,22.41,22.41,22.49,8282
2014-11-04,22.56,22.5,22.45,22.56,2193
2014-11-05,22.5554,22.59,22.55,22.6,2543
2014-11-06,22.54,22.5,22.33,22.54,91496
2014-11-09,22.4,22.4,22.4,22.4,203
2014-11-10,22.54,22.54,22.54,22.54,103
2014-11-11,22.48,22.48,22.48,22.48,3709
2014-11-13,22.4799,22.45,22.45,22.48,803
2014-11-17,22.4628,22.47,22.4444,22.49,2766
2014-11-18,22.46,22.59,22.46,22.59,1400
2014-11-19,22.77,22.47,22.36,22.77,898
2014-11-20,22.4,22.4,22.4,22.4,230
2014-11-23,22.331,22.331,22.331,22.331,100
2014-11-24,22.19,22.38,22.19,22.39,23456
2014-11-25,22.18,22.2501,22.18,22.28,2741
2014-11-27,23.25,22.06,22.06,23.25,1035
2014-12-01,22.18,22.3,22.18,22.3,1436
2014-12-02,22.14,22.29,22.14,22.32,20213
2014-12-03,22.11,22.15,22.09,22.22,4550
2014-12-04,22.08,22.04,22.04,22.11,25238
2014-12-07,22.06,21.95,21.95,22.07,671
2014-12-08,21.73,21.8739,21.68,21.8739,103197
2014-12-09,21.52,21.53,21.52,21.53,1065
2014-12-10,21.42,21.41,21.41,21.43,1100
2014-12-11,21.3699,21.19,21.19,21.3699,830
2014-12-14,21,21.2009,21,21.2599,1766
2014-12-15,21.1,21.1,21.1,21.1,326
2014-12-16,21.22,21.22,21.22,21.22,102
2014-12-17,21.07,21.22,21.07,21.23,600
2014-12-18,21.4299,21.43,21.42,21.43,901
2014-12-21,21.315,21.315,21.315,21.315,296
2014-12-22,21.3334,21.0859,21.0859,21.3334,1006
2014-12-23,21.4104,21.25,21.25,21.4104,275
2014-12-29,21.43,21.3101,21.3101,21.43,529
2014-12-30,21.36,21.38,21.08,21.43,20019
2015-01-01,21.42,21.32,21.05,21.42,22507
2015-01-04,21.3,21.12,21.11,21.3,1125
2015-01-05,21.12,21.12,21.105,21.12,9500
2015-01-07,21.06,21.39,20.83,21.39,13300
2015-01-08,21.3,21.238,21.238,21.3,2511
2015-01-11,21.14,21.23,21.14,21.23,1000
2015-01-12,20.92,21.14,20.87,21.2,2001
2015-01-13,20.7835,20.83,20.7835,20.83,560
2015-01-14,20.65,20.77,20.65,20.77,485
2015-01-15,20.67,21.12,20.67,21.12,3726
2015-01-19,20.83,20.83,20.83,20.83,100
2015-01-20,20.55,20.91,20.45,20.91,13902
2015-01-21,20.52,21,20.52,21,622
2015-01-22,20.96,20.92,20.92,20.96,2878
2015-01-26,20.75,20.71,20.71,20.75,1725
2015-01-27,20.8855,20.72,20.72,20.8855,6433
