date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,57.05,56.55,56.39,57.09,96072
2014-01-02,56.79,56.56,56.42,56.79,202234
2014-01-05,56.72,56.46,56.4,56.72,291501
2014-01-06,56.74,56.64,56.53,56.7404,232642
2014-01-07,56.66,56.67,56.51,56.786,257840
2014-01-08,56.68,56.53,56.25,56.68,124637
2014-01-09,56.84,57.129,56.69,57.18,175160
2014-01-12,57.08,56.71,56.54,57.09,382044
2014-01-13,56.91,57.1,56.66,57.1375,56212
2014-01-14,57.05,57.2618,56.94,57.2975,72543
2014-01-15,57.17,57.19,56.9504,57.19,64020
2014-01-16,57.32,57.05,56.96,57.32,64956
2014-01-20,57.41,57.2102,56.94,57.41,166119
2014-01-21,57.32,57.31,57.115,57.33,89581
2014-01-22,57.08,56.69,56.5168,57.08,101272
2014-01-23,56.02,55.3549,55.3006,56.14,92033
2014-01-26,55.38,54.84,54.7197,55.39,67127
2014-01-27,55.25,55.45,55.23,55.509,101702
2014-01-28,55.06,54.886,54.7,55.18,60296
2014-01-29,55.3,55.2,54.9545,55.3,48520
2014-01-30,54.27,54.77,54.03,54.8099,162103
2014-02-02,54.66,53.56,53.41,54.66,221092
2014-02-03,53.71,54.07,53.71,54.1,87692
2014-02-04,53.95,54.06,53.72,54.16,89080
2014-02-05,54.52,54.99,54.52,55.076,141843
2014-02-06,55.48,55.42,55.22,55.68,113836
2014-02-09,55.48,55.43,55.28,55.48,173183
2014-02-10,55.7,56.29,55.65,56.35,97866
2014-02-11,56.36,56.45,56.2906,56.5099,57789
2014-02-12,55.88,56.5356,55.57,56.575,58686
2014-02-13,56.61,56.866,56.61,56.9,115238
2014-02-17,57.05,57.09,56.93,57.2099,65931
2014-02-18,56.97,56.77,56.7001,57.22,90013
2014-02-19,56.72,56.988,56.6,57.01,35135
2014-02-20,57.25,57.0972,57.0518,57.31,34576
2014-02-23,57.29,57.52,57.29,57.77,31298
2014-02-24,57.65,57.2407,57.2,57.65,48346
2014-02-25,57.42,57.13,56.94,57.42,49061
2014-02-26,57.09,57.355,57.06,57.44,17543
2014-02-27,57.64,57.5656,57.41,57.8,30615
2014-03-02,56.76,56.46,56.304,56.85,73214
2014-03-03,57.54,57.52,57.39,57.55,108442
2014-03-04,57.44,57.4366,57.38,57.53,147482
2014-03-05,58.03,58.08,58.0149,58.26,72568
2014-03-06,57.97,57.7,57.42,57.97,46716
2014-03-09,57.51,57.3073,57.0616,57.51,45641
2014-03-10,57.46,56.97,56.925,57.46,86524
2014-03-11,56.49,56.76,56.4,56.77,46589
2014-03-12,57.05,55.86,55.75,57.05,59417
2014-03-13,55.68,55.73,55.63,56.0199,28874
2014-03-16,55.95,56.44,55.95,56.566,44194
2014-03-17,56.53,56.8325,56.49,56.91,141478
2014-03-18,56.78,56.11,55.85,56.78,56450
2014-03-19,55.69,56,55.5154,56.09,76500
2014-03-20,56.34,55.95,55.86,56.436,26805
2014-03-23,56,56.13,55.78,56.26,41496
2014-03-24,56.54,56.66,56.347,56.775,20447
2014-03-25,57.16,56.71,56.69,57.16,61930
2014-03-26,56.91,57.07,56.75,57.07,155148
2014-03-27,57.45,57.44,57.38,57.63,53030
2014-03-30,57.9,57.8,57.73,58.0199,145691
2014-03-31,58.23,58.21,58.0322,58.23,36238
2014-04-01,58.3,58.36,58.05,58.36,105089
2014-04-02,58.15,58.138,57.9499,58.1501,44634
2014-04-03,58.3389,58,57.95,58.5799,53803
2014-04-06,58.11,57.8048,57.6442,58.11,87013
2014-04-07,57.89,57.9186,57.72,58.06,38959
2014-04-08,58.24,58.56,58.1,58.64,46079
2014-04-09,58.34,57.67,57.67,58.46,247231
2014-04-10,57.48,57.4,57.2726,57.64,44831
2014-04-13,57.73,57.53,57.21,57.73,30671
2014-04-14,57.5,57.18,56.74,57.5,74459
2014-04-15,57.7,57.94,57.54,57.94,28222
2014-04-16,58.05,58.26,57.9263,58.319,27436
2014-04-20,58.29,58.24,58.07,58.29,32847
2014-04-21,58.44,58.4,58.339,58.46,86865
2014-04-22,58.43,58.18,58.1,58.43,155483
2014-04-23,58.37,58.27,57.93,58.37,152055
2014-04-24,58.17,57.92,57.68,58.17,56327
2014-04-27,58.18,58.0992,57.64,58.18,25893
2014-04-28,58.42,58.445,58.35,58.5799,39909
2014-04-29,58.4,58.58,58.27,58.59,37409
2014-04-30,58.77,58.71,58.52,58.8085,94964
2014-05-01,58.62,58.77,58.471,58.88,31148
2014-05-04,58.55,58.65,58.26,58.71,90015
2014-05-05,58.69,58.64,58.59,58.82,97473
2014-05-06,58.7,58.78,58.3901,58.78,22959
2014-05-07,58.83,58.74,58.65,58.9999,50598
2014-05-08,58.52,58.53,58.5,58.709,20613
2014-05-11,58.85,59.06,58.84,59.11,32264
2014-05-12,59.19,59.09,59.03,59.21,82738
2014-05-13,59.31,59.15,59.11,59.31,139294
2014-05-14,59.11,58.82,58.5501,59.11,119856
2014-05-15,58.7642,58.99,58.71,58.9994,31745
2014-05-18,58.8,58.96,58.73,58.97,57802
2014-05-19,58.82,58.57,58.4,58.82,136225
2014-05-20,58.85,59,58.79,59.028,39910
2014-05-21,59.17,59.2,59,59.228,30093
2014-05-22,59.23,59.35,59.12,59.37,60829
2014-05-26,59.63,59.52,59.37,59.63,56633
2014-05-27,59.54,59.45,59.32,59.54,59200
2014-05-28,59.68,59.74,59.51,59.75,29243
2014-05-29,59.72,59.68,59.54,59.72,59410
2014-06-01,59.87,59.78,59.6556,59.87,42204
2014-06-02,59.67,59.73,59.58,59.77,325500
2014-06-03,59.54,59.71,59.42,59.74,60114
2014-06-04,59.93,60.06,59.72,60.11,29005
2014-06-05,60.24,60.47,60.19,60.47,37332
2014-06-08,60.34,60.46,60.2403,60.5078,49833
2014-06-09,60.37,60.42,60.23,60.428,107448
2014-06-10,60.29,60.1,60.0883,60.31,33653
2014-06-11,60.27,60.1,60.03,60.4,35025
2014-06-12,60.3,60.23,60.0277,60.4999,28706
2014-06-15,60.2,60.13,60.01,60.26,46673
2014-06-16,60.19,60.15,59.9,60.46,55191
2014-06-17,60.2,60.72,60.08,60.84,83011
2014-06-18,60.98,60.85,60.71,60.98,28527
2014-06-19,60.7,60.77,60.59,60.79,46894
2014-06-22,60.79,60.65,60.37,60.79,74125
2014-06-23,60.61,60.27,60.22,60.84,56004
2014-06-24,59.16,59.37,59.0896,59.38,54260
2014-06-25,59.47,59.47,59.0591,59.489,45462
2014-06-26,59.41,59.51,59.24,59.53,127689
2014-06-29,59.61,59.64,59.48,59.69,113425
2014-06-30,59.86,60.089,59.86,60.175,68820
2014-07-01,60.2,60.25,60.12,60.25,69757
2014-07-02,60.33,60.47,60.19,60.49,55313
2014-07-06,60.17,60.04,59.91,60.17,60636
