date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,5.12,5.29,5.1,5.3,72031
2014-01-02,5.31,5.1,5.06,5.32,48502
2014-01-05,5.13,5.22,5.1,5.3,47939
2014-01-06,5.29,5.1,5,5.57,170085
2014-01-07,5.26,5.01,4.95,5.2699,100428
2014-01-08,5.07,5.102,4.95,5.2,44868
2014-01-09,5.13,5.09,5,5.13,44013
2014-01-12,5.11,5.17,5.06,5.19,42286
2014-01-13,5.2,5.13,5.1,5.2,28808
2014-01-14,5.17,5.15,5.05,5.17,30813
2014-01-15,5.19,5.195,5.0761,5.195,31709
2014-01-16,5.19,5.28,5.16,5.46,118293
2014-01-20,5.32,5.315,5.2403,5.36,46830
2014-01-21,5.35,5.35,5.3,5.36,25004
2014-01-22,5.35,5.28,5.25,5.35,26724
2014-01-23,5.27,5.05,4.9301,5.27,119034
2014-01-26,5.07,4.97,4.95,5.0701,36142
2014-01-27,4.95,4.84,4.8201,5,82491
2014-01-28,4.82,4.96,4.82,5,44560
2014-01-29,5,4.95,4.85,5,51757
2014-01-30,4.88,5.09,4.88,5.1,46474
2014-02-02,4.96,5.06,4.96,5.11,85547
2014-02-03,5.04,5.45,5.01,5.5,169347
2014-02-04,5.47,5.92,5.42,5.969,302862
2014-02-05,6.27,5.83,5.76,6.44,445012
2014-02-06,5.82,5.74,5.51,5.89,141200
2014-02-09,5.74,5.62,5.6,5.838,89848
2014-02-10,5.65,5.94,5.65,5.98,93685
2014-02-11,5.96,5.88,5.78,5.97,49066
2014-02-12,5.88,6.03,5.835,6.219,197718
2014-02-13,6.08,6.03,5.86,6.09,66711
2014-02-17,6.05,6.2,6.05,6.37,214794
2014-02-18,6.2,6.36,6.07,6.43,291907
2014-02-19,6.4,6.28,6.2,6.4297,72102
2014-02-20,6.34,6.26,6.12,6.35,77804
2014-02-23,6.24,6.47,6.24,6.505,184352
2014-02-24,6.5,6.32,6.27,6.5,109907
2014-02-25,6.34,6.2,6.05,6.53,127199
2014-02-26,6.25,6.235,6.12,6.35,46561
2014-02-27,6.25,6.13,6.13,6.34,58097
2014-03-02,6.1,6.27,6.01,6.37,154643
2014-03-03,6.25,6.21,6.16,6.49,171827
2014-03-04,6.25,6.34,6.16,6.4,120508
2014-03-05,6.39,6.31,6.21,6.5,183871
2014-03-06,6.29,6.3,6.27,6.4,56732
2014-03-09,6.35,6.63,6.29,6.83,250428
2014-03-10,6.74,6.57,6.4001,6.74,90295
2014-03-11,6.61,6.75,6.49,6.9,187938
2014-03-12,6.84,6.66,6.65,6.8497,95194
2014-03-13,7.15,7.99,7.1101,8.2,2897874.0
2014-03-16,8.07,7.83,7.62,8.1,609434
2014-03-17,7.79,8.43,7.75,8.58,977770
2014-03-18,8.33,8.04,7.951,8.5,412843
2014-03-19,8.07,8.37,8.06,8.45,268412
2014-03-20,8.4,8.03,7.862,8.43,280248
2014-03-23,8.03,7.82,7.68,8.03,259975
2014-03-24,7.8,7.54,7.5,7.929,222889
2014-03-25,7.49,7.35,7.31,7.699,175148
2014-03-26,7.29,7.49,7.259,7.55,164032
2014-03-27,7.46,7.63,7.4118,7.7,98355
2014-03-30,7.6,7.62,7.4001,7.68,123370
2014-03-31,7.63,7.56,7.52,7.789,78648
2014-04-01,7.48,7.57,7.45,7.6976,58022
2014-04-02,7.51,7.655,7.48,7.7399,67407
2014-04-03,7.75,7.56,7.35,7.75,163859
2014-04-06,7.57,7.52,7.36,7.77,118728
2014-04-07,7.5,8.24,7.5,8.35,512168
2014-04-08,8.39,8.12,7.93,8.39,348471
2014-04-09,8.15,7.79,7.65,8.2039,305206
2014-04-10,7.72,7.64,7.55,7.83,146378
2014-04-13,7.6,7.32,7.26,7.81,292955
2014-04-14,7.31,6.86,6.72,7.46,531653
2014-04-15,6.91,6.9,6.64,6.9999,261005
2014-04-16,6.9,6.93,6.68,7.03,148541
2014-04-20,6.89,6.96,6.8501,7.1,101992
2014-04-21,7.05,7.29,7.05,7.3595,212049
2014-04-22,7.31,7.535,7.15,7.66,243576
2014-04-23,7.55,7.43,7.3,7.64,104639
2014-04-24,7.4,7.29,7.14,7.4287,94872
2014-04-27,7.29,7.19,7.06,7.4,78377
2014-04-28,7.22,7.28,7.1501,7.4,119765
2014-04-29,7.22,7.16,7.05,7.259,86456
2014-04-30,7.13,7.3,7.06,7.339,63120
2014-05-01,7.28,7.44,7.28,7.62,182285
2014-05-04,7.41,7.49,7.343,7.6,81270
2014-05-05,7.44,7.43,7.35,7.61,72194
2014-05-06,7.49,7.36,7.25,7.62,69363
2014-05-07,7.39,7.25,7.15,7.409,79021
2014-05-08,7.17,6.9,6.86,7.28,279553
2014-05-11,6.9,6.92,6.85,7.15,136677
2014-05-12,6.95,7.23,6.95,7.2499,95152
2014-05-13,7.25,7.1,7.02,7.25,76660
2014-05-14,7.08,7.15,6.86,7.23,64438
2014-05-15,7.12,7.21,7.0201,7.25,57615
2014-05-18,7.25,7.2,7.12,7.36,75781
2014-05-19,7.21,7.25,7.02,7.3388,52296
2014-05-20,7.22,7.3,7.15,7.38,65737
2014-05-21,7.26,7.6,7.2,7.6497,152494
2014-05-22,7.65,7.88,7.59,7.99,160230
2014-05-26,7.81,7.91,7.76,8.19,209195
2014-05-27,7.95,7.8,7.71,7.95,40815
2014-05-28,7.85,7.63,7.51,7.98,105897
2014-05-29,7.7,7.58,7.53,7.7,65342
2014-06-01,7.56,7.62,7.45,7.78,49094
2014-06-02,7.5,7.54,7.321,7.59,75749
2014-06-03,7.5,7.83,7.5,7.87,90383
2014-06-04,7.88,7.66,7.61,7.92,62280
2014-06-05,7.671,7.9,7.66,7.93,64389
2014-06-08,7.94,7.79,7.72,8,64615
2014-06-09,7.9,7.31,7.0796,7.95,534478
2014-06-10,7.25,7.24,7.111,7.25,61304
2014-06-11,7.16,7.24,7.1201,7.31,47137
2014-06-12,7.2,7.1,7,7.2,64638
2014-06-15,7.05,6.92,6.55,7.11,150370
2014-06-16,6.88,6.97,6.69,7.02,131554
2014-06-17,6.98,6.93,6.87,6.99,62351
2014-06-18,6.9,6.89,6.77,6.99,85615
2014-06-19,6.89,7.05,6.85,7.0999,71950
2014-06-22,7.03,6.96,6.881,7.05,27936
2014-06-23,6.96,6.89,6.8501,7.03,33145
2014-06-24,6.92,6.9,6.8,7,43258
