date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,12.97,13.01,12.97,13.15,31840
2014-01-02,13.02,13.11,13.001,13.15,9128
2014-01-05,13.2,12.92,12.905,13.2,20446
2014-01-06,12.9853,13.09,12.96,13.15,22653
2014-01-07,13.13,13.13,12.97,13.16,17839
2014-01-08,13.22,12.82,12.8,13.22,10625
2014-01-09,12.85,12.77,12.63,12.9617,29845
2014-01-12,12.69,12.69,12.5,13.1,25388
2014-01-13,12.74,14.03,12.74,14.12,107865
2014-01-14,14.2,14.13,14.0698,14.27,36507
2014-01-15,14.15,14.11,14.08,14.245,15738
2014-01-16,14.06,14,14,14.23,30242
2014-01-20,14.14,14.03,14,14.19,24012
2014-01-21,14.11,14.33,14.05,14.4,170539
2014-01-22,14.23,14.06,14.02,14.25,21725
2014-01-23,13.97,13.76,13.75,14.02,24345
2014-01-26,13.75,13.66,13.58,13.92,18740
2014-01-27,13.65,13.39,13.31,13.65,59612
2014-01-28,13.3,13.17,13.03,13.346,35378
2014-01-29,13.24,13.23,13.18,13.52,28616
2014-01-30,12.97,13.18,12.97,13.65,32225
2014-02-02,13.2,13.21,12.94,13.427,69147
2014-02-03,13.33,13.11,13.02,13.65,25510
2014-02-04,13.1,13.03,12.98,13.266,29352
2014-02-05,13.25,13.04,12.9901,13.4,23152
2014-02-06,13.05,13.21,12.99,13.2501,23706
2014-02-09,13.14,13.26,13.14,13.645,22752
2014-02-10,13.33,13.53,13.28,13.859,19590
2014-02-11,13.53,13.64,13.4323,13.71,17501
2014-02-12,13.6,13.79,13.5,13.82,23590
2014-02-13,13.82,13.98,13.64,14.11,25876
2014-02-17,14.418,14.03,13.93,14.418,26361
2014-02-18,13.92,13.75,13.75,14,20535
2014-02-19,13.23,12.99,12.35,13.436,192630
2014-02-20,13.08,13.08,12.9,13.26,36193
2014-02-23,13.03,12.97,12.96,13.18,25434
2014-02-24,13,12.86,12.7708,13,111222
2014-02-25,12.8,12.93,12.75,13.03,40293
2014-02-26,12.85,12.96,12.79,13,51003
2014-02-27,12.98,12.93,12.79,13.0004,234264
2014-03-02,12.85,12.66,12.57,12.899,35254
2014-03-03,12.75,13,12.66,13.05,120826
2014-03-04,12.93,13.36,12.93,13.4,161231
