date,open_price,close_price,lowest_price,highest_price,volume
2014-04-06,30.46,29.55,28.5,31.5999,1221703.0
2014-04-07,29,27.34,26.56,29.6,1456301.0
2014-04-08,27.01,26.63,26.56,27.79,1277976.0
2014-04-09,26.5,25.98,25.8,26.85,845983
2014-04-10,25.35,26.01,25.35,26.86,1539829.0
2014-04-13,25.56,26.16,25.56,26.85,1214439.0
2014-04-14,25.78,26.09,25.73,26.43,1116362.0
2014-04-15,26.25,25.86,25.7,26.48,316402
2014-04-16,25.75,26.1,25.55,26.3,574891
2014-04-20,26.54,27.36,26.36,27.92,734246
2014-04-21,26.94,27.99,26.85,28.28,550648
2014-04-22,27.99,27.97,27.35,28.14,261924
2014-04-23,27.58,27.69,27.5,28.49,148698
2014-04-24,27.5,27.23,27.13,27.52,176848
2014-04-27,27.18,27.5,26.99,27.79,387726
2014-04-28,27.46,28.03,27.29,28.35,399777
2014-04-29,27.91,27.65,27.49,28.25,278279
2014-04-30,27.55,27.46,27.04,28.2,400778
2014-05-01,27.46,27.33,27.01,28,216311
2014-05-04,27.15,27.22,27.01,27.44,124417
2014-05-05,27.03,26.49,26.44,27.1225,210825
2014-05-06,26.39,26.34,26.04,26.73,200902
2014-05-07,26.17,26.44,26.0301,27.0431,85694
2014-05-08,26.28,26.44,26.12,26.94,123639
2014-05-11,26.74,26.95,26.51,27.37,176164
2014-05-12,26.98,27.02,26.87,27.48,242383
2014-05-13,26.89,27.31,26.86,27.716,322878
2014-05-14,27.2,27.2,26.33,27.52,256933
2014-05-15,27.15,27.3,26.6501,27.42,314136
2014-05-18,27.3,26.87,26.656,27.3,135677
2014-05-19,26.78,26.73,26.52,27.15,340112
2014-05-20,26.7,27.33,26.55,27.38,143823
2014-05-21,27.25,26.96,26.87,27.358,174675
2014-05-22,26.91,26.79,26.6801,27.16,1677686.0
2014-05-26,26.73,26.79,26.56,26.93,108892
2014-05-27,26.87,26.51,26.31,27.01,58427
2014-05-28,26.54,27.14,26.3101,27.52,818455
2014-05-29,27.15,27.76,26.8001,27.988,372656
2014-06-01,27.79,27.53,27.17,28,202109
2014-06-02,27.51,27.57,26.805,27.75,206222
2014-06-03,27.39,27.45,26.95,27.98,1525849.0
2014-06-04,27.46,26.72,26.31,27.47,271698
2014-06-05,26.73,26.91,26.46,27.16,135729
2014-06-08,26.91,27.97,26.76,28.03,308200
2014-06-09,27.97,27.2,26.8801,28.82,520821
2014-06-10,27.18,26.63,26.44,27.35,275629
2014-06-11,29.27,28.81,28.03,31,1277114.0
2014-06-12,29.1,30.5,29.1,30.6999,617034
2014-06-15,30.83,31.9,30.702,31.97,851308
2014-06-16,31.82,32.76,31.53,33.68,508360
2014-06-17,33.36,32.93,32.17,33.94,488015
2014-06-18,33.1,34.87,33.1,34.9371,484843
2014-06-19,34.89,34.62,33.51,35.1,1787794.0
2014-06-22,34.74,33.31,33.02,35.27,511309
2014-06-23,33.39,32.71,32.63,33.75,251192
2014-06-24,32.77,33.33,32.26,33.81,386637
2014-06-25,33.39,34.06,33.098,34.38,410203
2014-06-26,33.83,34.07,33.614,35.185,2389191.0
2014-06-29,34.01,33.58,33.18,34.82,684769
2014-06-30,33.68,34.17,33.3,34.33,370175
2014-07-01,34.19,33.97,33.23,34.41,199393
2014-07-02,34.78,34.33,33.67,34.95,841150
2014-07-06,34.4,34.25,33.85,34.769,590845
2014-07-07,34.16,34.03,33.51,34.345,239278
2014-07-08,34.09,34,33.82,34.22,257470
2014-07-09,33.5,34.02,33.2,34.23,262151
2014-07-10,33.93,34.51,33.47,34.54,307559
2014-07-13,34.75,35.21,33.8871,35.83,365315
