date,open_price,close_price,lowest_price,highest_price,volume
2015-01-28,9.25,8.15,7.85,9.32,1976189.0
2015-01-29,8.23,6.51,6.5,8.3375,189795
2015-02-01,6.7,6.79,6.51,7.03,83889
2015-02-02,6.56,6.56,6.51,7.0399,39830
2015-02-03,6.39,6.34,6.22,6.78,25672
2015-02-04,6.28,6.71,6.28,6.9499,31996
2015-02-05,6.8,6.83,6.7736,7.19,28296
2015-02-08,7.09,6.78,6.69,7.09,24411
2015-02-09,6.81,6.575,6.44,6.96,17238
2015-02-10,6.45,6.63,6.41,6.68,13068
2015-02-11,6.5542,6.67,6.33,6.68,7670
2015-02-12,6.69,6,5.5201,6.69,23654
2015-02-16,6.37,6.6,5.7905,6.6,18910
2015-02-17,6.42,6.55,6.31,6.69,15406
2015-02-18,6.3801,7.09,6.38,7.09,3393
2015-02-19,7.0355,7.125,6.85,7.16,11353
2015-02-22,6.99,6.85,6.57,6.99,114021
2015-02-23,7.0234,6.71,6.6,7.0234,21654
2015-02-24,6.88,7.01,6.88,7.04,35492
2015-02-25,7.09,7,6.71,7.09,2426
2015-02-26,6.9,6.98,6.9,7.05,15827
2015-03-01,7,7,6.6801,7.09,67974
2015-03-02,7.08,6.82,6.72,7.0899,26931
2015-03-03,6.92,6.76,6.5,6.92,29614
2015-03-04,6.5501,7.39,6.5501,7.39,18047
2015-03-05,7.3568,7.3429,7.28,7.4599,8175
2015-03-08,7.24,7.58,7.2201,7.78,16346
2015-03-09,7.43,8.68,7.43,9.0837,60526
2015-03-10,8.72,8.41,8.06,9,18978
2015-03-11,8.39,8.59,8.3301,8.6,9103
2015-03-12,8.41,8.2,8.2,8.63,8426
2015-03-15,8.46,8.63,8.3,8.63,8232
2015-03-16,8.36,8.68,8.28,8.74,23019
2015-03-17,8.65,8.69,8.65,9,12443
2015-03-18,8.67,8.52,8.5,8.73,13746
2015-03-19,8.61,8.26,8,8.85,55025
2015-03-22,8.28,8.15,8,8.48,190669
2015-03-23,8.16,8.25,7.7505,8.25,6821
2015-03-24,7.71,7.45,7.4,7.71,16973
2015-03-25,6.6801,6.87,6.52,7.22,5567
2015-03-26,7,7.51,7,7.69,106249
2015-03-29,7.73,7.64,7.3601,7.73,8165
2015-03-30,7.54,7.39,7.39,7.78,5375
2015-03-31,7.44,7.44,7.32,7.5,85859
2015-04-01,7.5,7.55,6.66,7.59,31573
2015-04-05,7.49,7.88,7.41,7.95,42053
2015-04-06,7.89,7.84,7.58,7.95,8608
2015-04-07,7.3,7.27,7.27,7.51,549
2015-04-08,7.4,7.44,7.4,7.44,2872
2015-04-09,7.3,7.53,7.27,7.8,12130
2015-04-12,7.59,7.87,7.46,7.9,8793
2015-04-13,7.9199,7.94,7.75,8.15,40378
2015-04-14,8,7.7,7.41,8,11678
2015-04-15,7.45,7.57,7.41,7.7099,6805
2015-04-16,7.75,7.6,7.57,7.75,2415
2015-04-19,7.7399,7.51,7.5,8,22017
2015-04-20,7.6499,7.37,7.35,7.6499,36176
2015-04-21,7.5085,8,7.481,8.24,7093
2015-04-23,7.9999,7.38,7.3701,7.9999,2147
2015-04-26,7.54,7.66,7.51,7.76,9347
2015-04-27,7.88,8.02,7.68,8.25,8288
2015-04-28,7.79,7.8,7.79,7.98,1900
2015-04-29,8,7.99,7.93,8.02,315800
2015-04-30,8.219,8.06,8.04,8.22,763
2015-05-04,8.1,8.1,7.8389,8.1,4494
2015-05-05,8.2399,8.2,7.76,8.49,20054
2015-05-06,8.5,8.816,8.45,8.816,256468
2015-05-07,8.39,8.84,7.85,8.85,64952
2015-05-10,8.69,8.92,8.209,9.3,378341
2015-05-11,8.9,8.95,8.6,9.25,69280
2015-05-12,9.03,8.96,8.95,9.195,44551
2015-05-13,8.95,9,8.95,9.15,28514
2015-05-14,9,8.79,8.51,9.11,30381
2015-05-17,8.9,8.5,8.3,9,17558
2015-05-18,8.51,8.6,8.51,8.6,300
2015-05-19,8.8,8.53,8.51,9.03,20059
2015-05-20,8.69,8.51,8.51,9.302,1821
2015-05-21,8.6222,8.74,8.47,8.74,9314
2015-05-25,8.57,8.51,7.83,8.73,26624
2015-05-26,8.53,8.2,7.91,8.62,4600
2015-05-27,8.2,8.45,8.2,8.57,1923
2015-05-28,7.97,8.22,7.9083,8.75,7451
2015-05-31,8.22,8.43,8.1101,8.43,1390
2015-06-01,8.68,8.68,8.68,8.68,155
2015-06-02,8.21,8.2,8.17,8.21,543
2015-06-03,8.24,8.77,8.24,8.77,1506
2015-06-04,8.61,8.61,8.61,8.61,256
2015-06-07,8.4799,8.3,8.3,8.59,5102
2015-06-08,8.5,8.61,8.5,8.98,15874
2015-06-09,8.39,8.5699,8.28,9.377,42230
2015-06-10,8.45,8.5,8.45,8.78,9880
2015-06-11,8.54,8.3,8.3,8.54,7212
2015-06-14,8.29,8.4688,8.2,8.94,4544
2015-06-15,8.56,7.99,7.95,8.81,3667
2015-06-16,8.26,8.3601,8.25,8.6609,1881
2015-06-17,8.25,8.26,7.953,8.5599,3276
2015-06-18,8.28,8.8,8.28,8.87,3232
2015-06-21,8.7,8.36,8.25,8.7,2602
2015-06-22,8.27,7.93,7.93,8.5,1869
2015-06-23,7.99,8.32,7.99,8.36,725
2015-06-24,8.02,8.45,7.75,8.942,42549
2015-06-25,8.66,8.02,8.02,8.758,28950
2015-06-28,7.8,8,7.75,8.08,13306
2015-06-29,8.351,8.22,8.06,8.351,9216
2015-06-30,8,7.66,7.3025,8,24612
2015-07-01,7.75,7.52,7.5,7.75,12591
2015-07-05,7.39,7.35,7.06,7.75,11118
2015-07-06,7.11,6.82,6.73,7.33,34945
2015-07-07,7.2899,7.05,7.02,7.29,12720
