date,open_price,close_price,lowest_price,highest_price,volume
2016-04-24,8.01,8.01,8.01,8.01,100
2016-04-26,8.25,8.25,8.25,8.25,225
2016-04-27,8.325,8.25,8.249,8.325,2263
2016-05-03,8.5,8.5,8.5,8.5,232
2016-05-05,8.25,8.25,8.25,8.25,125
2016-05-09,8.25,8.25,8.25,8.25,125
2016-05-12,9.86,9.8701,9.86,9.8701,511
2016-05-15,10.5,10.4999,10.15,10.5001,1784
2016-05-16,10.7499,10.6395,10.6395,10.7499,405
2016-05-17,11,10.03,10.03,11,860
2016-05-18,10,9.04,9.04,10,896
2016-05-23,8.1,8.75,8.1,8.75,531
2016-05-24,8.9999,9,8.9999,9,1926
2016-05-25,9.8499,9.8,9.5,9.8499,730
2016-05-26,10.5,10.1,10.09,10.5,737
2016-05-31,10.6,10.6,10.6,10.6,2715
2016-06-01,10.5,10.49,10.49,10.8,500
2016-06-02,10.82,10.82,10.82,10.82,420
2016-06-05,11,11.9054,11,11.9054,1801
2016-06-06,12.0101,11.654,11.654,12.0101,1105
2016-06-07,11.4099,11.26,11.16,11.76,30138
2016-06-08,11.3,11.49,11.21,11.74,41806
2016-06-09,11.25,11.01,11.01,11.75,35012
2016-06-12,11.9,11.25,11.22,12.765,12571
2016-06-13,11.15,11.49,10.28,12.3,15343
2016-06-14,11.3013,12,11.001,12,4191
2016-06-15,11.91,12.5,11.02,12.55,13732
2016-06-16,11.2501,11.26,11.2501,12.5,11122
2016-06-19,11.51,11.3201,11.025,11.92,19890
2016-06-20,11.5204,11.3001,11.15,11.91,15168
2016-06-21,11.5,11.23,11.1,11.7001,18154
2016-06-22,11.2866,11.2,11.2,11.8,828
2016-06-23,11.5,13.06,10.98,13.06,11330
2016-06-26,13.1,11.95,11.95,13.1,1513
2016-06-27,12.63,11.29,11.025,12.63,7980
2016-06-29,11.1,11.78,11.1,12.1,1668
2016-06-30,11.005,11.2,11,11.75,7960
2016-07-04,10.65,11.08,10.65,11.319,8679
2016-07-06,11.0001,11.1065,11.0001,11.1065,1475
2016-07-07,11.46,11.1,11.1,11.6,8981
2016-07-10,11.32,11.31,11.02,12.3,2795
2016-07-11,11.1,11.109,11.1,11.55,2930
2016-07-12,11.99,11.2659,11.25,11.99,6694
2016-07-13,11.3,11.15,11.15,11.64,5631
2016-07-14,11.15,11.15,11.14,11.15,843
2016-07-17,11.005,11.01,11.005,11.01,575
2016-07-20,11.3,11.3,11.3,11.3,346
2016-07-21,11.418,11.58,11.418,11.8477,2192
2016-07-24,11.05,11.3601,11.01,11.649,3376
2016-07-25,11.418,11.738,11.418,11.738,602
2016-07-26,12,11.555,11,12,1909
2016-07-27,11.15,11.15,11.15,11.15,102
2016-07-28,11.15,11.3,10.5065,11.35,921
2016-08-07,11.3401,11.6499,11.3401,11.6499,646
2016-08-08,11.2372,10.95,10.5001,11.2372,2059
2016-08-09,10.72,10.81,10.66,10.85,1640
2016-08-14,10.89,10.9505,10.89,10.96,748
2016-08-15,11.16,11.16,11.16,11.16,176
2016-08-18,11.0935,11.0935,11.0935,11.0935,113
2016-08-25,10.8,10.8,10.8,10.8,375
2016-08-29,10.805,10.805,10.805,10.805,182
2016-08-30,10.8,10.7044,10.7044,10.8,200
2016-08-31,10.8405,10.79,10.5,10.8405,2907
2016-09-05,10.88,10.85,10.7325,10.88,1591
2016-09-06,10.85,10.55,10.55,10.88,542
2016-09-07,10.86,10.86,10.86,10.86,804
2016-09-08,10.85,10.85,10.85,10.85,542
2016-09-11,10.51,10.79,10.51,10.8,1210
2016-09-12,10.68,10.85,10.67,10.85,648
2016-09-13,10.84,10.82,10.82,10.84,420
2016-09-14,10.6001,10.59,10.39,10.85,6720
2016-09-15,10.4,10.06,10.06,10.5,5245
2016-09-18,10.07,10.15,10.07,10.16,1060
2016-09-19,10,10,10,10,2048
2016-09-21,10.2,10.2,10.2,10.2,1023
2016-09-22,10.0001,10.0001,10.0001,10.0001,230
2016-09-28,10,10,10,10,101
2016-10-02,10.315,10,10,10.3301,2174
2016-10-04,10.0001,9.75,9.5001,10.0001,2480
2016-10-05,9.98,9.98,9.98,9.98,187
2016-10-10,9.49,10,9.49,10.03,2022
2016-10-12,9.5,9.5,9.5,9.5,407
2016-10-16,9.89,9.6,9.6,9.89,1189
2016-10-17,9.66,9.6845,9.5,9.7,1150
2016-10-18,9.78,10,9.78,10,762
2016-10-20,9.95,9.85,9.85,10,2625
2016-10-25,9.662,9.6066,9.6066,9.662,1411
2016-10-27,9.95,9.97,9.95,10,3203
2016-11-01,9.99,9.99,9.99,9.99,401
2016-11-08,9.5,9.5143,9.5,9.5143,442
2016-11-21,9.2501,9.25,9.25,9.2501,1630
2016-11-22,8.996,8.996,8.996,8.996,103
2016-11-24,8.6,8.6,8.6,8.6,113
2016-11-28,8,8,8,8,556
2016-11-29,8,8,8,8.04,793
2016-11-30,7.99,7.51,7.51,8,2019
2016-12-04,8.008,8.025,8,8.1815,3200
2016-12-05,8.4615,8.45,8.45,8.4615,611
2016-12-06,8.25,8.4417,8.25,8.4417,4893
2016-12-07,8.27,8.36,8.27,8.4999,8713
2016-12-08,8.104,8.104,8.104,8.104,130
2016-12-12,8.4106,8.4106,8.4106,8.4106,212
2016-12-13,8.4,8.35,8.35,8.4,1608
2016-12-15,8.35,8.35,8.35,8.3875,705
2016-12-19,8.34,8.2993,8.2993,8.34,1300
2016-12-20,8.292,8.1006,8.1006,8.292,1080
2016-12-21,8.03,7.6076,7.6,8.03,4608
2016-12-26,7.64,7.01,6.75,8.176,4673
