date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,22.6,22.46,22.23,22.83,680964
2014-01-02,22.51,22.28,22.01,22.88,500991
2014-01-05,22.42,22.59,21.72,22.75,694516
2014-01-06,22.61,22.51,22.5,23,553916
2014-01-07,22.44,22.03,21.933,22.55,544085
2014-01-08,22.14,21.25,21.1,22.3,543667
2014-01-09,21.26,21.21,20.99,21.34,392315
2014-01-12,21.12,21.08,20.87,21.3,398684
2014-01-13,21.09,21.6,21.09,21.9,440832
2014-01-14,21.59,21.58,21.3901,21.88,455438
2014-01-15,21.47,21.49,21.08,21.65,296365
2014-01-16,21.45,21.58,21.34,21.95,309857
2014-01-20,23.53,22.98,22.85,24.24,1031616.0
2014-01-21,22.95,23.71,22.62,24.057,483237
2014-01-22,23.75,23.25,22.93,23.81,421231
2014-01-23,23.13,23.13,22.91,23.25,269779
2014-01-26,23.1,22.68,22.25,23.1299,306188
2014-01-27,22.81,23.54,22.591,23.61,483287
2014-01-28,23.4,23.03,22.86,23.4,400231
2014-01-29,23.1,23.5,23,23.64,349352
2014-01-30,23.02,23.77,23.02,24.01,542695
2014-02-02,23.74,21.53,21.25,23.925,926982
2014-02-03,21.51,21.46,21.212,21.73,513529
2014-02-04,21.28,20.52,20.24,21.34,1172007.0
2014-02-05,20.5,21.29,20.5,21.93,910300
2014-02-06,23.56,24.61,23.08,25.74,2070530.0
2014-02-09,25,24.07,23,25,1321868.0
2014-02-10,24.15,24.31,23.97,24.605,414811
2014-02-11,24.33,24.41,24.13,24.669,532353
2014-02-12,24.15,24.44,24.042,24.64,337958
2014-02-13,24.31,24.57,24.26,24.605,343848
2014-02-17,24.71,24.63,24.382,24.92,327217
2014-02-18,24.99,25.27,24.99,26.29,614609
2014-02-19,25.19,24.98,24.4,25.51,562448
2014-02-20,25.08,24.95,24.82,25.08,436894
2014-02-23,24.88,25.08,24.861,25.42,270541
2014-02-24,25.69,25.33,25.21,25.9,588008
2014-02-25,25.43,26.15,25.3611,26.21,397183
