date,open_price,close_price,lowest_price,highest_price,volume
2017-05-04,9.65,9.65,9.65,9.65,250000
2017-05-15,9.65,9.7,9.65,9.7,1000100.0
2017-05-16,9.675,9.7,9.675,9.7,52370
2017-05-18,9.7,9.72,9.6701,9.72,62600
2017-05-21,9.7,9.7,9.65,9.7,441800
2017-05-23,9.675,9.69,9.675,9.69,500100
2017-05-24,9.68,9.7,9.68,9.7,10100
2017-05-25,9.7,9.7,9.7,9.7,900
2017-05-29,9.71,9.79,9.7,10.02,13300
2017-06-04,9.715,9.6849,9.6849,9.74,10800
2017-06-06,9.73,9.67,9.67,9.8,11070
2017-06-07,9.67,9.67,9.67,9.67,2900
2017-06-08,9.66,9.69,9.65,9.69,162974
2017-06-12,9.66,9.66,9.66,9.66,200
2017-06-13,9.68,9.68,9.68,9.68,300000
2017-06-26,9.71,9.65,9.65,9.75,167500
2017-06-27,9.66,9.65,9.65,9.7,50157
2017-07-02,9.65,9.65,9.65,9.66,8695
2017-07-04,9.69,9.66,9.66,9.7,7927
2017-07-06,9.68,9.68,9.68,9.68,11000
2017-07-09,9.68,9.68,9.68,9.69,3773
2017-07-10,9.68,9.69,9.68,9.69,51727
2017-07-11,9.6799,9.68,9.6799,9.69,8971
2017-07-16,9.66,9.68,9.66,9.68,209258
2017-07-17,9.68,9.68,9.68,9.68,3000
2017-07-18,9.7,9.68,9.67,9.76,173200
2017-07-19,9.67,9.68,9.67,9.68,73600
2017-07-30,9.6594,9.6788,9.6594,9.69,2600
2017-08-01,9.68,9.68,9.6762,9.76,30653
2017-08-02,9.65,9.68,9.65,9.7,6700
2017-08-03,9.69,9.72,9.666,9.72,20900
2017-08-06,9.6919,9.68,9.68,9.6919,17325
2017-08-07,9.68,9.68,9.68,9.68,7246
2017-08-08,9.65,9.72,9.65,9.72,10175
2017-08-09,9.7,9.74,9.675,9.74,13365
2017-08-16,9.72,9.75,9.71,9.75,3482
2017-08-20,9.71,9.7146,9.7,9.7246,9300
2017-08-24,9.7399,9.7399,9.7399,9.7399,1700
2017-08-27,9.71,9.71,9.71,9.71,500
2017-08-30,9.7,9.73,9.7,9.73,200
2017-09-04,9.7,9.7,9.7,9.7,1200
2017-09-06,9.73,9.73,9.7,9.73,441692
2017-09-07,9.71,9.71,9.7,9.71,209908
2017-09-12,9.72,9.72,9.72,9.72,1000
2017-09-13,9.73,9.74,9.73,9.74,2100
