date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,16.88,16.98,16.75,17,4728
2014-01-02,17.12,18,17.08,18.39,78786
2014-01-05,18,17.04,17.02,18,37604
2014-01-06,16.81,16.98,16.5,17.15,28105
2014-01-07,17.29,17.7,17.05,18,310310
2014-01-08,17.82,18.24,17.73,18.3899,146822
2014-01-09,18.2,18.21,17.37,18.5,149104
2014-01-12,18.8,19.9699,18.35,21.3,245766
2014-01-13,19.97,19.97,19.061,20.86,111426
2014-01-14,19.9,21.59,19.5357,21.77,129030
2014-01-15,21.5,21.75,21.36,22.42,127307
2014-01-16,22,22.04,21.455,22.7035,108652
2014-01-20,22.5,18.8,18.01,22.85,200215
2014-01-21,19.44,21.4,18.5,21.56,117855
2014-01-22,20.91,21.84,20.91,22,74036
2014-01-23,21.0101,21.81,21.0101,21.83,61939
2014-01-26,21.99,21.635,20.39,21.99,67577
2014-01-27,21.43,20.31,20.021,21.886,30560
2014-01-28,20.28,19.8,19.78,21.7,19187
2014-01-29,19.75,20.92,19.75,21.219,23904
2014-01-30,20.89,20.82,20.75,21.57,29861
2014-02-02,20.79,21.02,20.29,21.289,47728
2014-02-03,20.7,20.18,19.59,20.968,35413
2014-02-04,19.84,20.9,19.76,20.96,19442
2014-02-05,21,21,20.49,21,8318
2014-02-06,21,20.95,20.239,21.3,42728
2014-02-09,21,21.51,20.38,22,70239
2014-02-10,21.5,21.93,21.27,22.28,51001
2014-02-11,21.94,22,21.7,22.3,40799
2014-02-12,22,21.9,21.62,22.53,80818
2014-02-13,21.95,20.43,20.15,22.54,160238
2014-02-17,20.95,21,20,21.23,95106
2014-02-18,20.9,20.81,20.4,21.209,90205
2014-02-19,20.79,21.39,20.6301,21.44,64320
2014-02-20,21.3,21.62,20.83,21.92,34681
2014-02-23,21.6,23.28,21.6,24.09,122387
2014-02-24,23.23,24.69,23.22,24.84,65204
2014-02-25,24.51,24.8,23.7675,25.9699,148968
2014-02-26,25.1,24.75,23.68,25.14,103608
2014-02-27,23.7901,24.33,23.7901,24.75,46444
2014-03-02,24,22.89,22.6,24.37,51344
2014-03-03,22.86,22.99,22.75,24.368,58951
2014-03-04,23,22.53,22.11,23.2,71408
2014-03-05,22.83,20.99,20.55,22.83,98842
2014-03-06,21,21,20.59,21.65,86857
2014-03-09,21,20.76,20.6,21.38,50019
2014-03-10,20.9,20.91,20.601,21.459,16666
2014-03-11,20.88,21.09,20.87,21.46,31889
2014-03-12,21,21,20.77,21.3599,47005
2014-03-13,21.1,21.62,20.75,21.92,18720
2014-03-16,21.75,21.02,21.02,21.85,24371
2014-03-17,21.16,21.34,21.16,22.65,126115
