date,open_price,close_price,lowest_price,highest_price,volume
2018-02-26,0.6,0.65,0.6,0.65,114574
2018-03-13,0.65,0.6497,0.62,0.7,73630
2018-03-15,0.67,0.64,0.64,0.67,24069
2018-03-19,0.62,0.61,0.61,0.64,10600
2018-03-20,0.69,0.69,0.69,0.69,300
2018-03-21,0.62,0.62,0.62,0.62,90200
2018-04-04,0.62,0.62,0.62,0.62,100000
2018-04-10,0.7,0.7,0.7,0.7,2700
2018-04-15,0.69,0.65,0.6448,0.69,77800
2018-04-16,0.7,0.7,0.7,0.7,10600
2018-04-17,0.68,0.68,0.68,0.68,500
2018-04-18,0.65,0.65,0.65,0.65,25000
2018-04-19,0.68,0.68,0.6752,0.68,8300
2018-04-22,0.67,0.68,0.67,0.68,45500
2018-04-23,0.73,0.73,0.73,0.73,1000
2018-04-26,0.7,0.7,0.6889,0.7,35231
2018-04-29,0.75,0.75,0.75,0.75,1300
2018-05-02,0.77,0.71,0.71,0.77,1610
2018-05-03,0.7,0.7,0.7,0.7321,5800
2018-05-08,0.7,0.7,0.7,0.7,10000
2018-05-13,0.7,0.7,0.67,0.7,153359
2018-05-14,0.95,0.75,0.75,0.95,614
2018-05-15,0.67,0.67,0.67,0.67,11600
2018-05-22,0.76,0.76,0.76,0.76,1314
2018-05-24,0.65,0.67,0.65,0.67,26000
2018-05-30,0.65,0.65,0.65,0.65,100
2018-06-03,0.75,0.75,0.75,0.75,1600
2018-06-05,0.7,0.69,0.67,0.7,59281
2018-06-11,0.67,0.67,0.67,0.67,190500
2018-06-19,0.75,0.7335,0.73,0.7534,19700
2018-06-20,0.7091,0.7091,0.7091,0.7091,136
2018-06-24,0.65,0.65,0.65,0.65,46300
2018-06-25,0.68,0.63,0.63,0.68,7051
2018-06-26,0.67,0.65,0.63,0.67,52400
2018-06-28,0.65,0.65,0.65,0.65,600
2018-07-19,0.7,0.7,0.7,0.7,2300
2018-07-23,0.75,0.75,0.75,0.75,1345
2018-07-24,0.71,0.7,0.7,0.71,17700
2018-07-25,0.7872,0.8,0.7872,0.8,965
2018-07-26,0.73,0.725,0.725,0.73,27795
2018-07-29,0.75,0.75,0.725,0.75,31100
2018-07-30,0.75,0.75,0.75,0.75,36424
2018-08-01,0.73,0.75,0.73,0.75,34568
2018-08-05,0.7856,0.795,0.7856,0.8,3000
2018-08-06,0.77,0.77,0.77,0.77,500
2018-08-07,0.8,0.8,0.8,0.81,79386
2018-08-12,0.81,0.8,0.8,0.81,22944
2018-08-15,0.78,0.78,0.78,0.78,1400
2018-08-22,0.8,0.8,0.78,0.8,19676
2018-08-26,0.9,0.9,0.9,0.9,5000
2018-08-29,0.89,0.9,0.89,0.9,11000
2018-08-30,0.9,0.9,0.8936,0.9,15000
2018-09-05,0.9,1.15,0.9,1.15,169668
2018-09-06,1.16,1.15,1.15,1.16,900
2018-09-13,1.1,1.44,1.1,1.44,17200
2018-09-16,1.2,1.29,1.1,1.4,13800
2018-09-18,1.29,1.26,1.2,1.39,3230
2018-09-19,1.3,1.2923,1.2923,1.38,7800
2018-09-20,1.25,1.25,1.25,1.25,51000
2018-09-23,1.3,1.49,1.27,1.49,83180
2018-09-24,1.49,1.49,1.49,1.49,1000
2018-09-27,1.29,1.48,1.29,1.48,4500
2018-10-02,1.4899,1.4874,1.4873,1.49,1000
2018-10-03,1.46,1.49,1.4547,1.49,22200
2018-10-04,1.44,1.49,1.44,1.49,28500
2018-10-07,1.49,1.49,1.49,1.49,7000
2018-10-08,1.41,1.49,1.4,1.49,92500
2018-10-09,1.4,1.35,1.3,1.49,137575
2018-10-10,1.75,1.542,1.45,2,548763
2018-10-11,1.54,1.55,1.5,1.57,23825
2018-10-14,1.49,1.5,1.49,1.5,3900
2018-10-15,1.5,1.4404,1.4404,1.5,22200
2018-10-16,1.5,1.4,1.25,1.5,228288
2018-10-17,1.5,1.39,1.39,1.5,55599
2018-10-18,1.4,1.35,1.35,1.4,1848
2018-10-21,1.3,1.29,1.1,1.3,15690
2018-10-22,1.215,1.2,1.2,1.24,150762
2018-10-23,1.2,1.26,1.2,1.2621,15563
2018-10-24,1.2097,1.4,1.2,1.4,11288
2018-10-25,1.26,1.36,1.1201,1.39,13900
2018-10-28,1.28,1.29,1.1,1.35,4265
2018-10-29,1.2,1.3,1.2,1.3,4795
2018-10-30,1.23,1.3,1.23,1.3,900
2018-10-31,1.12,1.32,1.1,1.32,7500
2018-11-01,1.2595,1.25,1.23,1.2595,430
2018-11-04,1.29,1.29,1.29,1.29,462
2018-11-05,1.35,1.35,1.35,1.35,600
2018-11-06,1.33,1.31,1.3,1.34,37550
2018-11-08,1.4,1.4,1.3181,1.4,5992
2018-11-11,1.39,1.39,1.384,1.39,4640
2018-11-12,1.2901,1.25,1.24,1.3,7600
2018-11-13,1.3,1.24,1.15,1.3,17191
2018-11-14,1.2,1.23,1.19,1.23,4500
2018-11-15,1.101,1.2,0.91,1.3,25830
2018-11-18,1.2,1.1999,1.1847,1.22,38390
2018-11-19,1.15,1.2,1.1,1.2,31600
2018-11-25,1.1,1.18,1.095,1.2,15700
2018-11-26,1.1,1.0958,1.0958,1.18,72140
2018-11-28,1.1,1.1,1.1,1.1,74814
2018-11-29,1.1,1.09,1.05,1.1,16000
2018-12-02,1.09,1.0217,1,1.09,26850
2018-12-03,1.04,1.0191,1.019,1.08,61100
2018-12-05,0.9651,0.9651,0.9651,0.9651,1000
2018-12-06,0.95,0.9085,0.8975,0.95,65700
2018-12-09,0.94,0.94,0.94,0.94,1950
2018-12-10,0.9,0.89,0.89,0.9,1200
2018-12-11,0.8,0.8,0.8,0.83,5200
2018-12-12,0.8,0.7,0.7,0.8,13287
2018-12-13,0.69,0.62,0.62,0.69,9800
2018-12-16,0.64,0.63,0.6,0.71,93378
2018-12-17,0.7,0.5897,0.57,0.7,47213
2018-12-18,0.6,0.6,0.59,0.6,93000
2018-12-19,0.59,0.55,0.54,0.59,137809
2018-12-20,0.6,0.6,0.6,0.6,14000
2018-12-25,0.5025,0.5,0.5,0.6,33792
2018-12-26,0.51,0.5,0.5,0.555,25033
2018-12-27,0.6,0.6,0.6,0.6,25794
2018-12-30,0.5995,0.5995,0.5995,0.5995,1000
2019-01-01,0.6,0.6,0.6,0.6,300
2019-01-03,0.59,0.4875,0.475,0.59,65414
2019-01-06,0.5,0.5,0.5,0.5,2066
2019-01-07,0.5,0.55,0.45,0.6,155080
2019-01-08,0.6,0.6,0.6,0.62,3500
2019-01-09,0.65,0.65,0.65,0.65,180
2019-01-10,0.65,0.65,0.64,0.66,75250
2019-01-13,0.65,0.6,0.6,0.65,29100
2019-01-14,0.6,0.55,0.55,0.6,7967
2019-01-15,0.51,0.495,0.4824,0.51,51800
2019-01-16,0.55,0.59,0.55,0.675,69118
2019-01-22,0.65,0.65,0.65,0.65,2004
2019-01-23,0.7,0.8,0.7,0.8,35700
2019-01-24,1.2,0.925,0.8,1.2,39900
2019-01-28,0.85,0.76,0.75,0.85,4900
2019-01-29,0.9,0.8915,0.89,0.9,12745
2019-01-30,1.08,0.81,0.75,1.08,1800
2019-01-31,0.79,0.78,0.77,0.79,9200
2019-02-03,0.77,0.805,0.75,0.805,15849
2019-02-04,0.7439,0.79,0.7404,0.79,10984
2019-02-07,0.8,0.7962,0.7962,0.8,9000
2019-02-10,0.8,0.8,0.8,0.8,4376
2019-02-11,0.72,0.72,0.69,0.72,2800
2019-02-12,0.73,0.7686,0.73,0.77,4700
2019-02-13,0.72,0.62,0.62,0.72,14569
2019-02-14,0.68,0.68,0.68,0.68,1200
2019-02-18,0.64,0.68,0.64,0.71,21494
2019-02-19,0.68,0.66,0.6567,0.68,25300
2019-02-20,0.66,0.66,0.66,0.66,39816
2019-02-21,0.6634,0.585,0.55,0.6634,53167
2019-02-24,0.62,0.6,0.58,0.62,22500
2019-02-25,0.6,0.6,0.5975,0.6,15500
2019-02-26,0.55,0.56,0.55,0.57,112035
2019-02-27,0.59,0.57,0.55,0.59,61700
2019-02-28,0.5515,0.53,0.52,0.56,27093
2019-03-03,0.527,0.57,0.527,0.57,68980
2019-03-04,0.6,0.57,0.57,0.6,6800
2019-03-05,0.569,0.57,0.56,0.57,41754
2019-03-06,0.55,0.58,0.5393,0.6,56400
2019-03-07,0.58,0.6,0.5692,0.6,70914
2019-03-10,0.57,0.6,0.5648,0.6,28350
2019-03-11,0.57,0.8,0.56,0.8,28046
2019-03-12,0.9,0.8327,0.8327,0.9,4850
2019-03-13,0.76,0.83,0.76,0.86,3200
2019-03-14,0.76,0.79,0.4258,0.8,6792
2019-03-17,0.75,0.74,0.72,0.76,6250
2019-03-18,0.7639,0.76,0.76,0.7639,7550
2019-03-19,0.77,0.84,0.77,0.85,18046
2019-03-20,0.85,0.83,0.79,0.85,25355
2019-03-21,0.79,0.78,0.75,0.8,1687
2019-03-24,0.84,0.69,0.58,0.84,18125
2019-03-25,0.7538,0.651,0.58,0.7538,14592
2019-03-26,0.66,0.6299,0.59,0.685,16156
2019-03-27,0.65,0.65,0.65,0.65,300
2019-03-28,0.6,0.64,0.5,0.64,32461
2019-03-31,0.6,0.65,0.6,0.65,21346
2019-04-01,0.634,0.649,0.634,0.649,2745
2019-04-02,0.634,0.69,0.6,0.69,12696
2019-04-03,0.6,0.65,0.6,0.66,3397
2019-04-04,0.601,0.645,0.6,0.67,4700
2019-04-07,0.6,0.65,0.6,0.65,3327
2019-04-08,0.6,0.6031,0.51,0.6031,7150
2019-04-09,0.6031,0.59,0.561,0.6031,3759
2019-04-10,0.6031,0.59,0.521,0.6031,1904
2019-04-11,0.59,0.6,0.565,0.6031,26702
2019-04-15,0.58,0.6,0.565,0.6,4835
2019-04-16,0.565,0.6,0.48,0.6,18447
2019-04-17,0.6,0.6,0.5,0.6,5500
2019-04-21,0.52,0.5981,0.52,0.6,18476
2019-04-22,0.6,0.79,0.6,0.8239,24112
2019-04-24,0.79,0.8,0.7564,0.8,10000
2019-04-25,0.7742,0.78,0.75,0.8,15742
2019-04-28,0.777,0.79,0.651,0.8,34040
2019-04-29,0.79,0.79,0.7862,0.79,20650
2019-04-30,0.79,0.72,0.7,0.79,30700
2019-05-01,0.75,0.7,0.66,0.75,3600
2019-05-02,0.7,0.72,0.7,0.72,21061
2019-05-05,0.71,0.68,0.64,0.71,7890
2019-05-06,0.76,0.76,0.76,0.76,500
2019-05-07,0.79,0.79,0.79,0.79,100
2019-05-08,0.72,0.75,0.72,0.79,20890
2019-05-09,0.79,0.7865,0.7865,0.79,3100
2019-05-12,0.75,0.75,0.75,0.75,200
2019-05-13,0.76,0.7,0.5839,0.79,7400
2019-05-14,0.7405,0.7405,0.7405,0.7405,150
2019-05-15,0.77,0.77,0.77,0.77,100
2019-05-16,0.65,0.67,0.65,0.67,200
2019-05-19,0.67,0.7,0.65,0.7,9100
2019-05-20,0.7,0.7,0.7,0.7,5045
2019-05-21,0.69,0.6,0.6,0.7,32050
2019-05-22,0.65,0.625,0.6101,0.65,9225
2019-05-23,0.45,0.7,0.45,0.7,15333
2019-05-28,0.68,0.6799,0.66,0.7,41924
2019-05-29,0.68,0.7,0.603,0.71,85785
2019-05-30,0.7,0.71,0.6971,0.725,79274
2019-06-02,0.78,0.79,0.74,0.79,146340
2019-06-03,0.7899,0.98,0.75,1.1,228366
2019-06-04,0.95,0.95,0.92,1.1,425412
2019-06-05,0.95,1.05,0.949,1.3,203814
2019-06-06,1.15,1.1,1.05,1.15,254887
2019-06-09,1.05,1.0048,1,1.05,25500
2019-06-10,1.05,1.1,1.05,1.1,177783
2019-06-11,1.19,1.18,1.1,1.2,30500
2019-06-12,1.09,1.06,1.06,1.18,4660
2019-06-13,1.05,1.1,1.05,1.1,12057
2019-06-16,1.18,1.4452,1.18,1.93,508556
