date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,9.34,9.4,9.32,9.4487,72968
2014-01-02,9.5,9.74,9.45,9.74,8618
2014-01-05,9.6,9.64,9.6,9.7,8451
2014-01-06,9.68,9.65,9.45,9.7,18139
2014-01-07,9.75,9.7,9.7,9.75,68476
2014-01-08,9.7,9.71,9.53,9.724,23476
2014-01-09,9.75,9.72,9.71,9.75,1277
2014-01-12,9.5101,9.54,9.5101,9.58,903
2014-01-13,9.53,9.55,9.53,9.57,3231
2014-01-14,9.56,9.56,9.56,9.56,283
2014-01-15,9.65,9.5,9.5,9.6501,2707
2014-01-16,9.34,9.49,9.34,9.5,6907
2014-01-20,9.5,9.49,9.4541,9.5,1082
2014-01-21,9.4101,9.41,9.41,9.428,1058
2014-01-22,9.45,9.3,9.279,9.45,1938
2014-01-23,9.37,9.42,9.35,9.49,3716
2014-01-26,9.4,9.32,9.32,9.4,758
2014-01-27,9.4,9.46,9.37,9.56,9072
2014-01-28,9.36,9.37,9.35,9.37,1151
2014-01-29,9.3635,9.3635,9.3635,9.3635,700
2014-01-30,9.5,9.45,9.4016,9.57,8433
2014-02-02,9.69,9.55,9.55,9.69,1608
2014-02-03,9.5,9.45,9.45,9.5,1164
2014-02-04,9.4,9.37,9.37,9.41,5974
2014-02-05,9.3399,9.3,9.3,9.35,6793
2014-02-06,9.27,9.3082,9.24,9.3082,46552
2014-02-09,9.28,9.17,9.145,9.37,8231
2014-02-10,9.2,9.2,9.1892,9.2099,4711
2014-02-11,9.2,9.1601,9.1601,9.2,545
2014-02-12,9.17,9.25,9.17,9.25,514
2014-02-13,9.319,9.4,9.25,9.45,5050
2014-02-17,9.35,9.34,9.34,9.35,550
2014-02-18,9.1901,9.33,9.19,9.34,1673
2014-02-19,9.58,9.33,9.22,9.6,4713
2014-02-20,9.45,9.47,9.211,9.5,611
2014-02-23,9.301,9.35,9.25,9.44,6442
2014-02-24,9.2501,9.3399,9.2501,9.3399,1000
2014-02-25,9.37,9.31,9.26,9.37,1969
2014-02-26,9.319,9.25,9.25,9.3199,398
2014-03-02,9.32,9.39,9.31,9.43,4869
2014-03-03,9.35,9.33,9.33,9.35,460
2014-03-04,9.36,9.25,9.25,9.36,2007
2014-03-05,9.25,9.37,9.25,9.37,9278
2014-03-06,9.39,9.46,9.3,9.48,9787
2014-03-09,9.48,9.25,9.25,9.49,8609
2014-03-10,9.3787,9.28,9.28,9.3787,1400
2014-03-12,9.36,9.36,9.36,9.36,219
2014-03-13,9.2501,9.26,9.25,9.38,15466
2014-03-16,9.26,9.25,9.25,9.26,1155
2014-03-17,9.25,9.25,9.25,9.26,1070
2014-03-18,9.25,9.25,9.25,9.299,1095
2014-03-19,9.29,9.29,9.29,9.3,3108
2014-03-20,9.3,9.5,9.2499,9.5,25359
2014-03-23,9.45,9.26,9.26,9.45,635
2014-03-24,9.42,9.4875,9.42,9.4875,1401
2014-03-26,9.4175,9.414,9.414,9.4175,350
2014-03-27,9.22,9.46,9.22,9.46,631
2014-03-30,9.35,9.36,9.26,9.36,3769
2014-04-01,9.3,9.3,9.3,9.3,112
2014-04-02,9.454,9.454,9.454,9.454,150
2014-04-03,9.27,9.32,9.24,9.32,3347
2014-04-08,9.31,9.31,9.31,9.31,123
2014-04-09,9.34,9.3,9.288,9.34,5661
2014-04-10,9.28,9.35,9.28,9.35,1569
2014-04-13,9.3,9.5505,9.29,9.6,25306
2014-04-14,9.6,9.6,9.6,9.6,900
2014-04-15,9.53,9.32,9.21,9.53,4550
2014-04-16,9.32,9.35,9.32,9.35,317
2014-04-20,9.33,9.38,9.33,9.45,1080
2014-04-21,9.2901,9.6,9.29,9.6,2381
2014-04-22,9.4999,10.0001,9.49,10.06,18500
2014-04-23,9.9,9.5,9.31,9.9,168701
2014-04-24,9.4,9.351,9.31,9.44,47340
2014-04-27,9.4,9.4,9.35,9.411,20534
2014-04-28,9.4,9.64,9.4,9.64,66511
2014-04-29,9.64,9.72,9.6,9.73,32606
2014-04-30,9.71,9.52,9.52,9.77,36023
2014-05-01,9.6632,9.7,9.65,9.7001,23442
2014-05-05,9.67,9.82,9.65,9.87,86400
2014-05-06,9.79,9.8,9.78,9.821,14309
2014-05-07,9.72,9.8,9.7,9.9399,31314
2014-05-08,9.7999,9.9,9.79,9.97,36135
2014-05-11,9.87,9.92,9.8201,10.05,90886
2014-05-12,9.87,10,9.77,10,147400
2014-05-13,9.85,9.75,9.75,9.85,850
2014-05-14,9.8,9.73,9.6,9.8,132081
2014-05-15,9.61,9.61,9.61,9.61,101
2014-05-18,9.7,9.715,9.7,9.74,914
2014-05-19,9.65,9.52,9.36,9.65,7072
2014-05-20,9.45,9.4601,9.45,9.4601,458
2014-05-21,9.51,9.4875,9.45,9.52,4136
2014-05-22,9.4501,9.42,9.42,9.47,12600
2014-05-26,9.35,9.74,9.35,9.74,6904
2014-05-27,9.61,9.75,9.5,9.75,209181
2014-05-28,9.7,9.61,9.55,9.7,115554
2014-05-29,9.61,9.6,9.43,9.65,81608
2014-06-01,9.6,9.7,9.5701,9.7,14741
2014-06-02,9.64,9.51,9.49,9.64,6426
2014-06-03,9.45,9.61,9.45,9.7,7512
2014-06-04,9.5,9.48,9.48,9.69,15754
2014-06-05,9.52,9.56,9.51,9.65,1372
2014-06-08,9.51,9.56,9.5,9.7,4246
2014-06-09,9.51,9.65,9.48,9.65,8627
2014-06-10,9.6,9.56,9.25,9.65,54747
2014-06-11,9.33,9.61,9.33,9.6899,20436
2014-06-12,9.61,9.56,9.55,9.64,15249
2014-06-15,9.46,9.56,9.46,9.68,19217
2014-06-16,9.6399,9.65,9.49,9.65,13843
2014-06-17,9.6125,9.64,9.58,9.68,5185
2014-06-18,9.67,9.58,9.58,9.69,5816
2014-06-19,9.5768,9.73,9.55,9.73,27625
2014-06-22,9.65,9.59,9.501,9.65,14139
2014-06-23,9.67,9.61,9.605,9.7,24185
2014-06-24,9.47,9.51,9.47,9.68,8172
2014-06-25,9.62,9.66,9.52,9.66,4897
2014-06-26,9.48,9.48,9.48,9.48,710
2014-06-29,9.52,9.57,9.48,9.6,12719
2014-06-30,9.5499,9.59,9.5499,9.59,19924
2014-07-01,9.55,9.6,9.5,9.6,6386
2014-07-02,9.546,9.52,9.5,9.6,3723
2014-07-06,9.48,9.57,9.48,9.57,2133
2014-07-07,9.47,9.39,9.36,9.58,5125
2014-07-08,9.29,9.28,9.18,9.48,18110
2014-07-09,9.19,9.35,9.19,9.39,6177
2014-07-10,9.35,9.48,9.28,9.48,7439
2014-07-13,9.47,9.26,9.26,9.47,2748
2014-07-14,9.25,9.28,9.24,9.49,3098
2014-07-15,9.21,9.28,9.21,9.49,8369
2014-07-16,9.301,9.42,9.301,9.5,11018
2014-07-17,9.42,9.45,9.42,9.6,15646
2014-07-20,9.58,9.44,9.44,9.58,3592
2014-07-21,9.4864,9.46,9.46,9.4864,1380
2014-07-22,9.47,9.41,9.32,9.47,2108
2014-07-23,9.45,9.33,9.33,9.46,2097
2014-07-24,9.32,9.41,9.21,9.46,18937
2014-07-27,9.4093,9.33,9.33,9.46,1605
2014-07-28,9.22,9.27,9.22,9.45,3748
2014-07-29,9.2824,9.3465,9.25,9.45,4095
2014-07-30,9.22,9.29,9.2,9.33,12971
2014-07-31,9.39,9.25,9.25,9.39,5588
2014-08-04,9.24,9.24,9.1,9.26,5232
2014-08-05,9.2,9.19,9.19,9.2,423
2014-08-06,9.19,9.23,9.1656,9.24,5127
2014-08-07,9.23,9.25,9.23,9.268,1378
2014-08-10,9.155,9.235,9.15,9.235,1677
2014-08-11,9.147,9.3,9.08,9.3001,3914
2014-08-12,9.39,9.557,9.39,9.58,21166
2014-08-13,9.21,9.52,9.21,9.53,10112
2014-08-14,9.46,9.5,9.46,9.5224,1418
2014-08-17,9.56,9.59,9.54,9.61,10719
2014-08-18,9.5248,9.49,9.49,9.59,3727
2014-08-19,9.56,9.47,9.37,9.56,8839
2014-08-20,9.47,9.47,9.47,9.47,272
2014-08-21,9.45,9.45,9.45,9.45,260
2014-08-24,9.363,9.48,9.363,9.48,3987
2014-08-25,9.459,9.44,9.38,9.46,7959
2014-08-26,9.36,9.45,9.35,9.46,2923
2014-08-27,9.34,9.43,9.25,9.45,5052
2014-08-28,9.3,9.42,9.3,9.43,2050
2014-09-01,9.43,9.46,9.43,9.4799,3574
2014-09-02,9.28,9.375,9.28,9.45,3909
2014-09-03,9.3594,9.35,9.3,9.43,4537
2014-09-04,9.3,9.36,9.255,9.36,2900
2014-09-07,9.25,9.28,9.25,9.4,4174
2014-09-08,9.28,9.28,9.25,9.38,3651
2014-09-09,9.25,9.28,9.25,9.43,5462
2014-09-10,9.25,9.27,9.25,9.38,2081
2014-09-11,9.27,9.25,9.17,9.38,9353
2014-09-14,9.19,9.26,9.19,9.35,5043
2014-09-15,9.16,9.1999,9.16,9.3,4151
2014-09-16,9.16,9.35,9.16,9.35,13990
2014-09-17,9.35,9.27,9.18,9.35,2599
2014-09-18,9.18,9.45,9.18,9.45,7580
2014-09-21,9.38,9.34,9.28,9.47,8290
2014-09-22,9.22,9.3,9.22,9.41,7258
2014-09-24,9.26,9.31,9.22,9.39,5490
2014-09-25,9.26,9.31,9.26,9.37,1515
2014-09-28,9.26,9.24,9.22,9.26,936
2014-09-29,9.23,9.26,9.18,9.27,6694
2014-09-30,9.22,9.08,9.05,9.31,12462
2014-10-01,9.09,9.04,8.99,9.15,4128
2014-10-02,9.05,9.01,8.86,9.1,11600
2014-10-05,8.97,9,8.83,9,4861
2014-10-06,8.9,9.04,8.9,9.04,925
2014-10-07,8.96,8.98,8.76,9,9020
2014-10-08,8.81,8.79,8.79,8.81,200
2014-10-09,8.86,8.8,8.59,8.86,4302
2014-10-12,8.73,9.07,8.73,9.085,3490
2014-10-13,9.05,9.09,9.05,9.09,200
2014-10-14,8.99,8.94,8.8201,8.99,3702
2014-10-15,8.97,9,8.92,9.1,31804
2014-10-16,9,9,9,9,105
2014-10-19,9,9.07,8.89,9.08,7009
2014-10-20,9,9,8.96,9,8325
2014-10-21,9,9,9,9,11431
2014-10-22,8.79,8.94,8.7801,8.94,10501
2014-10-23,8.93,8.9,8.878,8.99,15378
2014-10-26,9.08,8.8,8.8,9.08,15727
2014-10-27,8.94,8.88,8.88,8.96,7913
2014-10-28,8.87,8.9,8.87,8.9,4500
2014-10-29,8.88,8.9,8.88,8.95,12893
2014-10-30,8.98,9.01,8.95,9.01,15951
2014-11-03,8.96,8.87,8.87,9.08,9056
2014-11-04,8.91,8.95,8.91,8.95,5925
2014-11-05,8.9,9,8.89,9,58080
2014-11-06,8.9,8.8957,8.8957,8.9999,14290
2014-11-09,8.92,8.86,8.84,8.92,8000
2014-11-10,8.7601,8.85,8.7601,8.97,7563
2014-11-11,8.84,8.95,8.84,9,39300
2014-11-13,9.03,9.1,8.96,9.18,27678
2014-11-16,9.05,9.115,9.05,9.115,2016
2014-11-17,9.1,9.03,8.93,9.1499,11381
2014-11-19,8.9501,9.03,8.9501,9.03,5519
2014-11-20,9.118,9.05,9.05,9.118,5404
2014-11-23,9.05,9.23,9.05,9.25,18940
2014-11-24,9.24,9.22,9.2,9.24,3100
2014-11-25,9.1999,9.12,9.12,9.23,7550
2014-11-30,9.11,9.13,9.09,9.23,13139
2014-12-01,9.1001,9.18,9.09,9.19,6086
2014-12-02,9.1,9.09,9.09,9.15,2187
2014-12-03,9.19,9.11,9.09,9.19,5597
2014-12-04,9.17,9.13,9.1,9.17,52164
2014-12-07,9.14,9.1298,9.11,9.15,318243
2014-12-08,9.12,9.15,9.12,9.1501,4983
2014-12-09,9.17,9.1,9.1,9.2,10769
2014-12-10,9.15,9.15,9.1,9.33,7688
2014-12-11,9.09,9.14,9.09,9.23,7061
2014-12-14,9.25,9.14,9.12,9.26,50058
2014-12-15,9.01,9.15,9.01,9.15,29977
2014-12-16,9.02,9.15,9,9.2,5835
2014-12-17,9.24,9.15,9.14,9.24,11387
2014-12-18,9.15,9.06,9.06,9.17,4520
2014-12-21,9.11,9.26,9.11,9.26,2705
2014-12-23,9.26,9.47,9.21,9.5,16050
2014-12-25,9.56,9.51,9.5,9.69,11611
2014-12-28,9.7039,9.65,9.6301,9.7039,3580
2014-12-29,9.62,9.68,9.62,9.73,474
2014-12-30,9.68,9.64,9.56,9.68,2802
2015-01-01,9.54,9.73,9.52,9.74,3000
2015-01-04,9.651,9.6,9.53,9.71,2596
2015-01-05,9.61,9.6,9.54,9.62,4234
2015-01-06,9.5,9.65,9.5,9.7,4405
2015-01-07,9.54,9.65,9.52,9.68,1340
2015-01-08,9.64,9.6,9.59,9.64,4697
2015-01-11,9.57,9.65,9.57,9.74,790
2015-01-12,9.5816,9.5,9.46,9.5816,4925
2015-01-13,9.54,9.55,9.54,9.55,205
2015-01-14,9.42,9.42,9.42,9.42,200
2015-01-15,9.3882,9.28,9.23,9.3882,8696
2015-01-19,9.22,9.22,9.22,9.22,140
2015-01-20,9.25,9.17,9.145,9.27,4720
2015-01-21,9.18,9.11,9.01,9.2501,4800
2015-01-25,9.0001,9.07,9.0001,9.35,7754
2015-01-26,9.18,9.15,9.13,9.24,3751
2015-01-27,9.049,9,9,9.07,3710
2015-01-28,9.01,8.93,8.86,9.09,7735
2015-01-29,8.96,8.98,8.95,9,5850
2015-02-01,9,8.99,8.88,9.05,17841
2015-02-02,8.91,9,8.91,9.04,9189
2015-02-03,8.92,8.92,8.92,8.92,420
2015-02-04,9.3643,9.25,9.25,9.3643,1000
2015-02-09,8.97,9.08,8.97,9.08,1999
2015-02-10,9.09,9.42,9.09,9.42,331
2015-02-11,9.4299,9.4,9.35,9.4299,1872
2015-02-12,9.31,9.45,9.3,9.45,2962
2015-02-16,9.3694,9.45,9.31,9.45,3550
2015-02-17,9.32,9.45,9.3,9.45,5844
2015-02-18,9.42,9.4292,9.35,9.44,2500
2015-02-19,9.4399,9.18,9.1,9.44,4550
2015-02-22,9.12,9.32,9.12,9.32,1591
2015-02-23,9.25,9.36,9.12,9.36,2073
2015-02-24,9.1708,9.14,9.14,9.1708,801
2015-02-25,9.12,9.18,9.12,9.24,616
2015-02-26,9.11,9.41,9.11,9.42,4934
2015-03-01,9.44,9.44,9.44,9.44,353
2015-03-02,9.44,9.44,9.43,9.45,1801
2015-03-04,9.41,9.26,9.26,9.41,1470
2015-03-05,9.26,9.42,9.19,9.42,5202
2015-03-08,9.23,9.31,9.18,9.3957,8643
2015-03-09,9.26,9.295,9.25,9.34,1511
2015-03-10,9.18,9.22,9.13,9.3,15439
2015-03-11,9.25,9.22,9.12,9.425,31227
2015-03-12,9.2201,9.35,9.17,9.4,8710
2015-03-15,9.21,9.21,9.2,9.37,7514
2015-03-16,9.26,9.2,9.2,9.3399,3446
2015-03-17,9.33,9.25,9.239,9.3446,5442
2015-03-18,9.345,9.34,9.34,9.35,5323
2015-03-19,9.18,9.4,9.18,9.4,10806
2015-03-22,9.2,9.25,9.2,9.316,1712
2015-03-23,9.2101,9.4,9.2101,9.4,1306
2015-03-24,9.31,9.29,9.29,9.31,1524
2015-03-25,9.26,9.4,9.22,9.4,3692
2015-03-29,9.265,9.37,9.265,9.37,2152
2015-03-30,9.25,9.23,9.15,9.26,9432
2015-03-31,9.16,9.21,9.16,9.28,2161
2015-04-01,9.21,9.21,9.21,9.21,100
2015-04-05,9.161,9.21,9.16,9.28,3478
2015-04-06,9.24,9.24,9.24,9.24,119
2015-04-07,9.1401,9.1401,9.1401,9.1401,551
2015-04-09,9.19,9.23,9.14,9.23,4951
2015-04-13,9.221,9.45,9.221,9.45,9510
2015-04-14,9.5,9.45,9.37,9.5,16397
2015-04-15,9.478,9.443,9.433,9.478,6473
2015-04-16,9.4032,9.41,9.4,9.41,10190
2015-04-19,9.41,9.388,9.3201,9.489,7137
2015-04-20,9.44,9.32,9.32,9.44,4722
2015-04-21,9.34,9.33,9.3,9.5,5585
2015-04-22,9.4782,9.42,9.42,9.4782,3515
2015-04-23,9.4,9.41,9.4,9.41,6569
2015-04-26,9.3,9.37,9.3,9.5,6600
2015-04-28,9.4,9.3499,9.3499,9.4,2451
2015-04-29,9.349,9.3499,9.34,9.35,3700
2015-04-30,9.4,9.498,9.3982,9.52,13144
2015-05-03,9.5,9.7,9.5,9.7,3406
2015-05-04,9.48,9.48,9.48,9.48,159
2015-05-05,9.47,9.4101,9.4001,9.56,13180
2015-05-06,9.4,9.25,9.25,9.42,11192
2015-05-07,9.36,9.5,9.35,9.5,13540
2015-05-10,9.5,9.58,9.4,9.58,51284
2015-05-11,9.58,9.6,9.52,9.6,7600
2015-05-12,9.61,9.73,9.5501,9.75,13268
2015-05-13,9.75,9.71,9.69,9.76,12874
2015-05-14,9.75,9.95,9.75,9.966,14941
2015-05-17,10,10.25,10,10.4399,6298
2015-05-18,10.0682,9.8,9.8,10.0682,9074
2015-05-19,9.982,10.06,9.95,10.15,22515
2015-05-20,10.4399,10.05,10.05,10.4399,1675
2015-05-21,10.039,10.14,10.024,10.14,1853
2015-05-25,10.14,9.9,9.9,10.14,5165
2015-05-26,10,9.97,9.97,10.15,10846
2015-05-27,9.93,9.901,9.8,10.1499,17570
2015-05-28,9.7,9.9,9.7,9.9199,17701
2015-05-31,10.01,9.9,9.8046,10.01,4427
