date,open_price,close_price,lowest_price,highest_price,volume
2014-06-30,48,48.4,48,51.04,365899.75
2014-07-01,48.8,48,48,49.1992,43636.25
2014-07-02,48.24,49.04,48,49.76,14994.125
2014-07-06,49.92,47.2,46,49.92,40654.125
2014-07-07,46.4,47.76,46.4,48.64,24444.25
2014-07-08,47.44,47.44,47.44,48.48,5382.375
2014-07-09,46.8,53.44,46.4,60.3192,93414.125
2014-07-10,56.8,52.88,51.28,57.04,34551.75
2014-07-13,52.88,54.4,50.88,56,13422.875
2014-07-14,54.4,46.8,46,54.4008,66693.625
2014-07-15,47.2,48.72,44.5608,48.72,24920.125
2014-07-16,48,50.8,46.4,51.2,17009
2014-07-17,50.8,51.2,48.884,51.2,12122.5
2014-07-20,51.2,50.64,48.88,51.2,7038.375
2014-07-21,50.56,49.2,48.4,50.56,10662.25
2014-07-22,50.08,48.8,48.4,50.3976,5243.875
2014-07-23,48.8,52.48,48.4,53.6,24638
2014-07-24,50.24,54.24,50.24,54.8,35428
2014-07-27,55.92,60.24,54.56,63.12,71345.25
2014-07-28,63.2,57.52,57.2,63.2,12706.625
2014-07-29,56.24,52.24,52.08,56.78,16779.375
2014-07-30,52,50.48,48.8,54.8,10358.125
2014-07-31,50.48,50.08,49.2,50.48,9862.75
2014-08-03,53.92,53.04,50.4,53.92,6168.25
2014-08-04,51.6,49.92,49.76,54.4,4081.75
2014-08-05,49.2,54.56,49.2,54.64,11006.125
2014-08-06,54.8,56,52.912,56,15577.25
2014-08-07,50.08,52.08,50.08,54.776,5003.125
2014-08-10,52.4,52.32,52.0808,55.28,4558
2014-08-11,54.16,55.8,52.96,56.8,11247.25
2014-08-12,56.7992,54.88,54.528,56.7992,776.75
2014-08-13,55.92,55.92,55.2,59.36,11674.75
2014-08-14,58.64,58.32,54.912,58.72,7828.375
2014-08-17,57.2,55.76,55.68,58.4,2367.75
2014-08-18,55.7608,55.68,54.88,57.2,3212.625
2014-08-19,54.64,53.36,53.36,55.52,2143.5
2014-08-20,53.9656,54,53.304,55.68,1580
2014-08-21,55.28,54,54,55.36,1505.5
2014-08-24,54.32,54.08,53.44,54.64,3342.625
2014-08-25,53.28,54.4,53.28,54.64,3825.375
2014-08-26,54.64,55.2,53.7976,57.6,4536.875
2014-08-27,55.92,55.52,53.2056,57.6,4619.875
