date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,40.19,40.18,39.59,40.22,186975
2014-01-02,40.03,40.14,40.03,40.65,181786
2014-01-05,39.91,39.24,39.141,40.07,259421
2014-01-06,39.29,39.33,39.24,39.5699,189419
2014-01-07,39.27,39.11,39.01,39.42,192979
2014-01-08,38.97,39.27,38.8525,39.52,173880
2014-01-09,39.2,39.76,39.1,39.99,222844
2014-01-12,39.81,40.31,39.81,40.743,177861
2014-01-13,40.4,40.93,40.3174,41,247227
2014-01-14,40.9,41.12,40.83,41.16,442204
2014-01-15,41.2,42.43,41.2,42.55,222894
2014-01-16,42.41,42.04,41.79,42.41,291930
2014-01-20,41.76,41.64,41.25,41.93,213120
2014-01-21,41.62,41.57,41.4,41.97,139012
2014-01-22,41.51,40.99,40.94,41.67,252054
2014-01-23,40.81,40.58,40.376,40.93,143908
2014-01-26,40.62,40.17,40.09,40.754,159238
2014-01-27,40.09,40.1,39.94,40.49,229121
2014-01-28,39.5,39.9,39.43,40.17,180990
2014-01-29,39.8,39.74,39.44,39.8,211721
2014-01-30,39.4,39.45,39.23,39.89,140230
2014-02-02,39.22,38.55,38.4501,39.44,193153
2014-02-03,38.82,38.66,38.45,38.96,153508
2014-02-04,38.85,38.45,38.33,39.61,620338
2014-02-05,38.43,37.9,37.79,38.45,241347
2014-02-06,38.03,38.2,37.8,38.4,387148
2014-02-09,38.06,39.04,38.06,39.21,193080
2014-02-10,39.24,39.48,39.14,39.57,237720
2014-02-11,39.33,38.72,38.5,39.61,328462
2014-02-12,38.49,39.37,38.4,39.62,141894
2014-02-13,39.25,39.45,39.25,39.77,235059
2014-02-17,39.55,39.47,39.43,39.85,301108
2014-02-18,39.13,39,38.82,39.38,567689
2014-02-19,39.06,39.54,38.9,39.65,159648
2014-02-20,39.56,39.58,39.52,40.01,241020
2014-02-23,39.4,39.36,38.98,39.4,292788
2014-02-24,39.13,39.38,39.04,39.68,289041
2014-02-25,39.48,39.9,39.355,40,181512
2014-02-26,40,40.95,39.91,41.04,259467
2014-02-27,40.9,41.08,40.62,41.33,344462
2014-03-02,40.5,40.66,40.31,41.14,190852
2014-03-03,41.09,41.24,41.01,41.48,119492
2014-03-04,41.1,40.99,40.9,41.16,161736
2014-03-05,41.18,41.04,40.98,41.255,125192
2014-03-06,41,41.01,40.51,41.07,184743
2014-03-09,41.24,41.21,40.76,41.44,200036
2014-03-10,41.22,40.63,40.52,41.22,114539
2014-03-11,40.51,40.69,40.38,41.14,233184
2014-03-12,40.99,40.48,40.48,41,204903
2014-03-13,40.39,40.7,40.3,40.71,239668
2014-03-16,41,41.43,41,41.51,145531
2014-03-17,41.91,42.2,41.83,42.3599,281351
2014-03-18,42.5,41.61,41.235,42.59,188632
2014-03-19,41.55,41.8,41.35,42.05,158166
2014-03-20,41.86,41.7,41.6001,42,157524
2014-03-23,41.93,41.64,41.33,41.93,171362
