date,open_price,close_price,lowest_price,highest_price,volume
2018-01-24,56.6,59.5,55,59.5,6209.2
2018-01-25,59.5,57.5,56.7,59.502,2549.1
2018-01-28,60,52.6,52.51,60,1633
2018-01-29,52.7,52.5,52.5,53.5,1362.4
2018-01-30,50.601,56.3,50.51,64.999,7852.3
2018-01-31,60,62.124,55.991,64,11294.9
2018-02-01,66,62.635,62.635,68,5707.4
2018-02-04,62.285,58.874,57.62,62.285,2243.5
2018-02-05,59.5,58,56,59.5,2404.8
2018-02-06,59,56.5,55,59,1030.9
2018-02-07,55,54.101,50,55.99,1625.3
2018-02-08,60,52.801,52.6,60,988.1
2018-02-11,52.1,52.5,52.1,59.895,1092.5
2018-02-12,54.5,53.5,53,54.5,880.7
2018-02-13,52.5,52.5,52.25,53.499,958.6
2018-02-14,54.4,52.19,51.5,54.4,805
2018-02-15,51.5,57.9,51.5,57.9,2654.4
2018-02-19,57.5,52.878,52.878,58,968.1
2018-02-20,55,53.5,52.873,55,864.7
2018-02-21,55.5,52,52,55.5,424.5
2018-02-22,53.499,56,50.5,56,994
2018-02-25,51.6,53.1,51.2,55.722,607.2
2018-02-26,52.5,52.4,52.4,52.5,213.2
2018-02-27,51.4,51.5,51.3,51.8,567
2018-02-28,53.224,50.4,50.4,53.224,1145.9
2018-03-01,50.4,51.51,50.4,54.899,1202.1
2018-03-04,55,53.3,50.2,55,1565.7
2018-03-05,53,51,50.5,53.599,1442
2018-03-06,50.51,50.3,50,51.95,610.3
2018-03-07,50.5,51.8,50.5,54.649,623
2018-03-08,52.4,53.5,51,53.5,3159.2
2018-03-11,54.6,52.9,51.3,54.6,4775.9
2018-03-12,52.5,51.7,51.2,52.747,1111
2018-03-13,52.3,51.2,51.2,52.3,951.1
2018-03-14,51.7,51.5,51.2,51.7,928
2018-03-15,51.2,50.2,50.1,51.25,592.6
2018-03-18,50.1,50.2,50,51,941.9
2018-03-19,50.401,50,50,51.15,938.8
2018-03-20,50.328,50.15,50,50.6,1547
2018-03-21,50.8,50,50,50.8,650.6
2018-03-22,51.5,50.5,50.1,51.5,827.1
2018-03-25,50,50.2,50,50.8,869.3
2018-03-26,50.001,50,50,50.7,860.1
2018-03-27,50.897,47.7,47.7,52,1990.3
2018-03-28,48.5,45.5,45,48.6,3286.5
2018-04-01,45,45.798,45,45.798,514.9
2018-04-02,45.4,46.2,44.001,47.4,1219.3
2018-04-03,46,42.1,42,46,607.3
2018-04-04,42,40,40,42.3,1543.7
2018-04-05,39.6,34.448,32.572,39.6,2621.8
2018-04-08,34,42.5,34,42.5,3371.3
2018-04-09,50,42.6,42.4,50,2549
2018-04-10,49.49,43,42.8,49.49,2305.8
2018-04-11,44,42.5,42.5,44.5,1178.4
2018-04-12,42.9,41.1,41,42.9,1386.3
2018-04-15,40,38.77,38.5,40.5,608.1
2018-04-16,39.9,37.8,37.8,39.9,765.4
2018-04-17,37.7,40.2,37.7,40.785,452.9
2018-04-18,36.2,37.348,36.2,38.8,1387
2018-04-19,37.5,38.298,37.37,39,1537.2
2018-04-22,38.4,37.201,37.2,38.5,510.5
2018-04-23,37.1,37.201,37.1,38.5,1041.1
2018-04-24,37.212,36.9,36.9,37.4,924.1
2018-04-25,34.1,33.5,33.1,36.2,3205.4
2018-04-26,33.3,33.4,32.211,33.9,2248.7
2018-04-29,33.4,33,33,33.4,447.7
2018-04-30,35,39.3,31.434,39.3,5119.3
2018-05-01,38,33.4,33.4,38,1416.5
2018-05-02,33.6,32.5,32.5,34,1201
2018-05-03,32.1,31.85,31.7,32.1,681.2
2018-05-06,31.6,30.1,30.1,31.8,1522.5
2018-05-07,30.8,30.3,30.3,32,484
2018-05-08,30.7,30.2,30,30.7,385
2018-05-09,30.6,30.5,30.5,30.9,1080
2018-05-10,30.8,31,30.8,31.201,629.5
2018-05-13,31,30.5,30.5,31.2,550.9
2018-05-14,30.351,30.2,30.2,30.4,194.6
2018-05-15,31,30.2,30.2,31,1310
2018-05-16,30.15,30.196,30.15,30.301,522.2
2018-05-17,30.3,30.191,30,30.301,763.8
2018-05-20,30.1,30,30,30.2,533.2
2018-05-21,29.8,29.1,29.1,29.8,32.2
2018-05-22,29.676,30.199,29.4,30.391,3446.1
2018-05-23,33.6,28,28,34.499,4220.2
2018-05-24,28,28,27.95,28.743,1973.1
2018-05-28,29.7,27.7,27.7,29.7,805.6
2018-05-29,27.839,27.79,27.55,28,1003.4
2018-05-30,29.4,28,27.9,29.4,1222.4
2018-05-31,28.1,29.1,28,29.891,2104.8
2018-06-03,29.5,29.6,29.5,32,1020
2018-06-04,29.69,28.7,28.5,29.69,121
2018-06-05,28.6,28.8,28.6,29.9,374.8
2018-06-06,29.5,28.7,28.7,29.5,791.9
2018-06-07,28.1,28,28,28.5,809.1
2018-06-10,27.6,27.9,26.75,27.9,1669.3
2018-06-11,27.7,25.6,25.6,27.8,1048.6
2018-06-12,26.1,27.9,26,28.542,1209.3
2018-06-13,27,27,27,27.5,1210.8
2018-06-14,27,25.799,25.799,27.1,1040.8
2018-06-17,29.2,25.6,25.1,29.2,3126
2018-06-18,25.7,25.2,25.1,26.3,2097.5
2018-06-19,25.873,25.8,25.8,27.9,578.7
2018-06-20,26.945,26.9,26.8,26.945,830
2018-06-21,27,26.9,26.8,27.4,382.4
2018-06-24,27,26.416,26.416,27.135,1161.6
2018-06-25,26.4,27.5,26.4,31,3404.4
2018-06-26,27.5,28,27.5,28.797,819
2018-06-27,30.759,29.8,27.94,30.759,341.7
2018-06-28,31,28,26.331,31.1,3824.1
2018-07-01,28.5,26.3,26.3,28.5,1081.2
2018-07-02,28.5,27,26.6,29,1470
2018-07-04,27.9,26.5,26.2,27.9,952.4
2018-07-05,26.5,26.4,26.4,26.9,434
2018-07-08,26.5,25.2,25.2,27.4,1027.2
2018-07-09,25.3,23,20.8,25.3,5529.6
2018-07-10,21.6,21.1,21.1,22,2501
2018-07-11,21.1,21.548,21.1,21.85,2179.8
2018-07-12,21.2,21.3,21.2,22,1573.7
2018-07-15,21.024,22.373,20.82,25.525,3924.3
2018-07-16,28.8,25.4,24.3,29,11446.3
2018-07-17,27.3,28.5,25.501,29.5,10441.5
2018-07-18,29,30.909,29,32.261,12282.3
2018-07-19,32,25.7,25,32.8,12108.2
2018-07-22,25.5,24.1,23,28.501,6052.8
2018-07-23,24.28,23.658,23.133,24.735,4414.7
2018-07-24,23.9,23.5,22.7,25.653,2189.3
2018-07-25,24,21.9,21.9,24,2420.2
2018-07-26,21.9,22.277,21.546,22.39,3153.5
2018-07-29,23,21.6,20.9,23.1,2603.5
2018-07-30,25.5,23.1,22.5,25.5,8013
2018-07-31,25,27.75,24.15,30,14244.5
2018-08-01,29.4,25.7,24.8,29.4,8083.8
2018-08-02,26.532,25,25,27,1869.7
2018-08-05,25.3,25.5,24.3,25.6,3251.1
2018-08-06,25.5,25,25,25.552,4461.1
2018-08-07,25.8,24,24,25.8,1858.6
2018-08-08,24.1,23.1,23,24.374,1801.1
2018-08-09,23.1,22.8,22.5,23.1,2217.2
2018-08-12,22.801,22.944,22,23.616,2295.6
2018-08-13,22.501,22,21.8,23.946,6894.1
2018-08-14,23.215,21.1,21,24.846,2548.8
2018-08-15,23.3,21.2,21.1,23.496,4383.7
2018-08-16,21.5,22.806,21.353,23,4208.7
2018-08-19,22.9,21.919,21.5,23,4571
2018-08-20,25,22.571,21.8,25,2145.8
