date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,9.99,9.93,9.93,9.99,2416
2014-01-02,9.95,9.95,9.95,9.95,135
2014-01-05,10.18,9.94,9.94,10.43,3136
2014-01-06,9.92,10.11,9.92,10.472,7714
2014-01-07,9.96,10.08,9.96,10.15,761
2014-01-08,9.89,10.04,9.89,10.05,948
2014-01-12,10,10,10,10,550
2014-01-13,10,10.4999,10,10.4999,566
2014-01-14,9.85,9.91,9.85,9.91,819
2014-01-15,9.88,9.62,9.6001,9.88,8234
2014-01-20,9.7965,9.86,9.7965,9.91,1011
2014-01-21,9.75,9.75,9.75,9.75,355
2014-01-23,9.7,10,9.7,10,1235
2014-01-26,10.06,9.72,9.7,10.06,3505
2014-01-27,9.73,8.85,8.85,9.73,4169
2014-01-28,9.0501,9.0501,9.0501,9.0501,300
2014-01-30,9.03,9.05,8.93,9.1,2430
2014-02-02,8.9,9.06,8.82,9.218,7353
2014-02-03,9.11,9.03,8.99,9.216,1354
2014-02-04,9.12,9.25,9.12,9.6757,1949
2014-02-05,8.82,8.829,8.82,8.829,2400
2014-02-06,8.82,8.84,8.82,8.9,3300
2014-02-10,8.9785,8.84,8.84,8.9785,1044
2014-02-12,8.82,8.96,8.48,8.96,3047
2014-02-17,7.92,7.95,7.92,8.185,902
2014-02-18,8.19,8.6,8.19,8.6,4891
2014-02-19,8.9399,8.9399,8.22,8.94,1367
2014-02-20,8.4999,8.58,8.4999,8.58,1959
2014-02-23,8.69,8.7,8.69,8.7,745
2014-02-26,9.36,8.95,8.9,9.8,3487
2014-03-02,9.0501,9.05,9.05,9.06,1304
2014-03-03,9.11,9.11,9.11,9.11,102
2014-03-04,9.15,9.16,9.15,9.16,200
2014-03-05,9.35,10.05,9.35,10.2799,2704
2014-03-06,10.02,9.9996,9.25,10.02,1857
2014-03-09,9.99,10.05,9.99,10.7499,18389
2014-03-10,10.052,10.2499,10.052,10.2499,1732
2014-03-11,10.497,10.497,10.497,10.497,210
2014-03-12,10.499,10.49,10.38,10.5,1914
2014-03-13,10.4994,10.4994,10.4994,10.4994,1018
2014-03-16,10.5,10.47,10.47,10.5,778
2014-03-17,10.49,10.25,10.25,10.49,7750
2014-03-18,10.25,9.67,9.67,10.2501,7204
2014-03-19,9.61,9.5001,9.5001,9.61,437
2014-03-20,10.65,10.65,10.65,10.65,188
2014-03-27,10.61,10,9.8899,10.61,19443
2014-03-30,10.04,10.03,10.03,10.04,394
2014-03-31,10,9.7001,9.7,10,1938
