date,open_price,close_price,lowest_price,highest_price,volume
2014-09-10,0.3,0.43,0.29,0.5,84722
2014-09-11,0.39,0.35,0.32,0.39,55995
2014-09-14,0.37,0.37,0.37,0.4,17010
2014-09-15,0.44,0.42,0.4,0.46,10500
2014-09-16,0.36,0.36,0.36,0.36,2140
2014-09-17,0.35,0.36,0.35,0.4,28473
2014-09-18,0.34,0.32,0.32,0.3401,9600
2014-09-21,0.4,0.475,0.3999,0.676,69493
2014-09-22,0.72,0.56,0.56,1,169000
2014-09-23,0.57,0.6,0.55,0.8,46385
2014-09-24,0.35,0.6196,0.35,0.679,110538
2014-09-25,0.62,0.58,0.4502,0.62,10041
2014-09-28,0.6,0.488,0.45,0.6,3983
2014-09-29,0.68,0.68,0.45,0.68,45417
2014-09-30,0.72,0.75,0.5,0.8383,27660
2014-10-01,0.75,0.75,0.65,0.75,20400
2014-10-02,0.76,1.44,0.76,2,399820
2014-10-05,1.85,1.25,1.07,1.85,104983
2014-10-06,1.1,1.04,0.9999,1.3349,47663
2014-10-07,1.04,1,0.96,1.1376,15840
2014-10-08,1.13,1.2977,0.9501,1.36,63060
2014-10-09,1.25,1.31,1.25,1.45,55891
2014-10-12,1.75,1.06,0.875,1.75,85721
2014-10-13,1.2,0.99,0.85,1.2,60581
2014-10-14,0.9,1.03,0.78,1.03,42608
2014-10-15,1.18,1,1,1.18,2000
2014-10-16,1.15,1.0001,1,1.24,11305
2014-10-19,1.1,1.05,0.85,1.1,3130
2014-10-20,0.85,0.881,0.85,1,13020
2014-10-21,0.9,0.92,0.9,0.99,10811
2014-10-22,1,0.9,0.8,1.15,19175
2014-10-23,0.86,0.7,0.66,0.99,49458
2014-10-26,0.96,0.74,0.66,0.96,11410
2014-10-27,0.85,0.7579,0.72,0.85,6862
2014-10-28,0.7,0.7,0.65,0.774,5292
2014-10-29,0.73,0.804,0.65,0.85,49536
2014-10-30,0.81,0.79,0.74,0.81,2000
2014-11-02,0.8,0.735,0.7,0.8,7000
2014-11-03,0.735,0.735,0.735,0.78,15600
2014-11-04,0.78,0.7799,0.7799,0.78,5000
2014-11-05,0.69,0.8,0.69,0.8,22299
2014-11-06,0.7917,0.73,0.73,0.7917,2060
2014-11-09,0.7,0.7,0.7,0.7,205
2014-11-10,0.78,0.75,0.73,0.8,15245
2014-11-11,0.75,0.75,0.75,0.75,125
2014-11-12,0.78,0.6821,0.68,0.78,2595
2014-11-13,0.68,0.8799,0.68,0.88,6300
2014-11-16,0.8,0.86,0.8,0.86,1200
2014-11-17,0.8407,0.85,0.7,0.85,11972
2014-11-18,0.77,0.85,0.77,0.85,450
2014-11-19,0.68,0.744,0.68,0.76,5860
2014-11-20,0.68,0.81,0.68,0.81,1500
2014-11-23,0.77,0.77,0.7699,0.77,2209
2014-11-24,0.85,0.8001,0.77,1.29,31869
2014-11-25,0.8,0.71,0.7,0.8,8700
2014-11-27,0.77,0.718,0.718,0.77,2200
2014-11-30,0.82,0.75,0.75,0.82,9200
2014-12-01,1.2,0.92,0.75,1.2,10876
2014-12-02,0.96,0.8372,0.8372,1.04,1900
2014-12-03,0.8501,0.86,0.76,0.86,1673
2014-12-04,0.845,0.75,0.75,0.845,1200
2014-12-07,0.84,0.8256,0.8256,0.84,700
2014-12-08,0.7605,0.7872,0.7605,0.79,2000
2014-12-09,0.8297,0.8299,0.8297,0.83,1200
2014-12-10,0.83,0.8,0.75,0.83,2840
2014-12-11,0.75,0.83,0.75,0.83,1450
2014-12-15,0.84,0.839,0.839,0.84,615
2014-12-16,0.8391,0.839,0.839,0.8391,1120
2014-12-17,0.84,0.84,0.84,0.84,200
2014-12-18,0.84,0.84,0.84,0.84,5000
2014-12-21,0.89,0.85,0.8499,0.9,3100
2014-12-22,0.89,0.84,0.84,0.89,5400
2014-12-23,0.82,0.85,0.75,0.85,6001
2014-12-25,0.77,0.89,0.75,0.89,10109
2014-12-28,0.75,0.75,0.75,0.75,450
2014-12-29,0.74,0.7,0.7,0.74,3000
2014-12-30,0.67,0.7175,0.67,0.7175,1605
2015-01-01,0.71,0.74,0.71,0.74,200
2015-01-04,0.88,0.83,0.6002,0.88,12685
2015-01-05,0.83,0.7799,0.6311,0.83,7180
2015-01-06,0.65,0.65,0.65,0.65,245
2015-01-07,0.7518,0.65,0.51,0.7598,14370
2015-01-08,0.74,0.83,0.7399,0.83,7150
2015-01-11,0.88,0.7075,0.7075,0.88,3417
2015-01-12,0.9,0.94,0.85,1.15,55810
2015-01-13,0.941,0.898,0.78,0.941,5525
2015-01-14,0.905,0.905,0.905,0.905,435
2015-01-15,0.71,0.85,0.71,0.85,200
2015-01-19,0.85,0.88,0.7,0.9001,7400
2015-01-20,0.935,1.28,0.935,1.36,68272
2015-01-21,1.5,1.28,1.28,1.5,49394
2015-01-22,1.28,1.24,1.24,1.32,11205
2015-01-25,1,1.1,0.62,1.25,3500
2015-01-26,1.18,1.18,1.18,1.18,200
2015-01-27,1.13,1.15,1.05,1.15,1300
2015-01-28,1.1499,1.15,0.99,1.15,9252
2015-01-29,1.1328,1.11,1.1,1.1328,460
2015-02-01,1.08,1.08,1.08,1.08,210
2015-02-02,0.8,1.04,0.8,1.05,3605
2015-02-03,0.9147,1.03,0.9,1.03,10200
2015-02-04,1.03,1.01,0.8502,1.03,1400
2015-02-05,0.99,0.99,0.99,0.9901,306
2015-02-09,0.98,0.99,0.98,0.99,1575
2015-02-10,0.8809,0.971,0.8809,1.05,14940
2015-02-11,0.98,1.0071,0.98,1.02,1000
2015-02-12,0.96,0.96,0.96,0.96,200
2015-02-16,0.9873,0.9865,0.9865,0.9873,1200
2015-02-17,1,1,1,1,380
2015-02-18,1.03,0.95,0.85,1.03,950
2015-02-19,1.01,1,0.8642,1.01,3100
2015-02-25,1.24,1,1,1.3,19702
2015-02-26,1.06,1,1,1.06,2100
2015-03-01,0.9401,0.95,0.9401,0.95,2000
2015-03-02,0.95,0.95,0.95,1,11950
2015-03-03,0.9975,0.9,0.85,0.9975,4735
2015-03-04,0.8001,0.8,0.75,0.8999,2300
2015-03-05,0.8,0.8,0.8,0.8,162
2015-03-08,0.76,0.8,0.75,0.8,6494
2015-03-09,0.84,0.85,0.84,0.85,1071
2015-03-10,0.95,1.012,0.9499,1.05,6514
2015-03-11,1.1,1.1085,1.08,1.1085,2147
2015-03-12,0.9425,1.0985,0.9425,1.0985,330
2015-03-16,1.18,1.1485,1.11,1.18,7247
2015-03-17,1.05,1.19,1.05,1.2,10875
2015-03-18,0.98,1.14,0.98,1.2,27959
2015-03-19,1.19,1.39,1.19,1.5154,36174
2015-03-22,1.5,1.24,1.1,1.5,41472
