date,open_price,close_price,lowest_price,highest_price,volume
2017-10-17,7.12,9,7.0255,9.06,71521
2017-10-18,8.99,8.81,8.7101,8.99,52463
2017-10-19,8.81,9.04,8.81,9.06,111837
2017-10-22,9,8.9,8.7,9,41665
2017-10-23,8.86,8.94,8.8,9.03,100060
2017-10-24,8.87,8.89,8.801,8.91,35417
2017-10-25,8.92,8.8402,8.78,8.935,36987
2017-10-26,8.8,8.92,8.75,8.95,52634
2017-10-29,8.87,8.94,8.8,8.99,66233
2017-10-30,8.94,8.96,8.7,9.02,112451
2017-10-31,8.94,8.87,8.8,8.949,33718
2017-11-01,8.87,8.76,8.7101,8.87,74013
2017-11-02,8.7,8.72,8.35,8.7729,133862
2017-11-05,8.7,8.6564,8.51,8.73,58218
2017-11-06,8.57,8.66,8.56,8.7099,69392
2017-11-07,8.65,8.68,8.6,8.72,94590
2017-11-08,8.66,8.6,8.59,8.725,50701
2017-11-09,8.58,8.6,8.55,8.65,42938
2017-11-12,8.6,8.55,8.42,8.7,64075
2017-11-13,8.33,8.5,8.33,8.58,116254
2017-11-14,8.32,8.4,8.32,8.46,67221
2017-11-15,8.34,8.41,8.34,8.5212,55331
2017-11-16,8.36,8.55,8.36,8.56,81893
2017-11-19,8.55,8.47,8.41,8.66,65199
2017-11-20,8.48,8.52,8.41,8.66,79949
2017-11-21,8.55,8.59,8.4001,8.59,65633
2017-11-23,8.58,8.6,8.58,8.71,38087
2017-11-26,8.61,8.47,8.4201,8.61,46635
2017-11-27,8.49,8.4,8.3303,8.5,100100
2017-11-28,8.49,8.49,8.4,8.8,380514
2017-11-29,8.5,8.4,8.27,8.62,236225
2017-11-30,8.36,8.62,8.36,8.7,99666
2017-12-03,8.65,8.45,8.34,8.68,122805
2017-12-04,8.43,8.27,8.21,8.45,193033
2017-12-05,8.22,8.29,8.16,8.46,126572
2017-12-06,8.28,8.32,8.2025,8.35,93842
2017-12-07,8.35,8.32,8.27,8.49,156565
2017-12-10,8.3,8.3,8.3,8.54,72212
2017-12-11,8.34,8.33,8.22,8.545,108977
2017-12-12,8.26,8.63,8.26,8.74,236985
2017-12-13,8.45,8.51,8.33,8.52,90729
2017-12-14,8.44,8.51,8.4,8.68,113346
2017-12-17,8.56,8.72,8.55,8.8,142286
2017-12-18,8.63,8.65,8.55,8.77,117018
2017-12-19,8.7,8.66,8.65,8.72,76367
2017-12-20,8.66,8.54,8.508,8.67,69743
2017-12-21,8.55,8.6,8.4,8.61,102866
2017-12-25,8.6,8.57,8.47,8.6302,101597
2017-12-26,8.6,8.51,8.38,8.6,122454
2017-12-27,8.52,8.48,8.46,8.56,56331
2017-12-28,8.49,8.4,8.38,8.49,217959
2018-01-01,8.43,8.43,8.4,8.52,83272
2018-01-02,8.45,8.43,8.38,8.45,58440
2018-01-03,8.44,8.45,8.39,8.51,152650
2018-01-04,8.47,8.55,8.42,8.57,69159
2018-01-07,8.52,8.53,8.4,8.57,44516
2018-01-08,8.5,8.44,8.38,8.5,55966
2018-01-09,8.44,8.41,8.29,8.46,97650
2018-01-10,8.42,8.46,8.3689,8.4758,46345
2018-01-11,8.48,8.45,8.4,8.54,42265
2018-01-15,8.45,8.38,8.37,8.4771,63071
2018-01-16,8.38,8.3,8.26,8.414,104372
2018-01-17,8.28,8.3,8.26,8.3838,59075
2018-01-18,8.26,8.26,8.24,8.37,66572
2018-01-21,8.28,8.36,8.24,8.37,56584
2018-01-22,8.3,8.29,8.25,8.4036,65157
2018-01-23,8.31,8.26,8.21,8.38,130095
2018-01-24,8.27,8.29,8.22,8.33,54765
2018-01-25,8.3,8.3,8.27,8.342,37742
2018-01-28,8.28,8.28,8.25,8.34,51981
2018-01-29,8.23,8.27,8.2,8.33,50282
2018-01-30,8.31,8.16,8.15,8.31,124354
2018-01-31,8.15,8.28,8.15,8.32,58202
2018-02-01,8.25,8.18,8.115,8.25,51571
2018-02-04,8.1,8.02,7.92,8.15,124363
2018-02-05,7.95,8,7.95,8.1793,84938
2018-02-06,7.95,7.98,7.9416,8.0809,95818
2018-02-07,8.01,7.68,7.64,8.01,76451
2018-02-08,7.55,7.73,7.44,7.78,345964
2018-02-11,7.75,7.73,7.63,7.77,77067
2018-02-12,7.8,7.74,7.64,7.8,144482
2018-02-13,7.68,7.71,7.51,7.82,133598
2018-02-14,7.68,7.72,7.62,7.76,83056
2018-02-15,7.7,7.81,7.6,7.8539,53002
2018-02-19,7.83,7.77,7.61,7.83,110484
2018-02-20,7.77,7.74,7.73,7.88,55173
2018-02-21,7.77,7.73,7.65,7.77,71794
2018-02-22,7.72,7.7,7.69,7.81,99933
2018-02-25,7.71,7.74,7.65,7.84,137538
2018-02-26,7.73,7.78,7.73,7.85,101261
2018-02-27,7.8,7.78,7.77,7.9,86770
2018-02-28,7.78,7.71,7.66,7.84,78547
2018-03-01,7.7,7.72,7.61,7.75,91492
2018-03-04,7.73,7.75,7.73,7.8875,38353
2018-03-05,7.75,7.76,7.7,7.78,107153
2018-03-06,7.73,7.77,7.71,7.83,197913
2018-03-07,7.75,7.96,7.75,8,115561
2018-03-08,7.98,7.88,7.8,7.98,100954
2018-03-11,7.83,7.85,7.83,7.9,57497
2018-03-12,7.85,7.9,7.84,7.9202,54086
2018-03-13,7.73,7.8,7.73,7.83,86677
2018-03-14,7.8,7.76,7.73,7.81,42665
2018-03-15,7.75,7.81,7.72,7.8232,73503
2018-03-18,7.81,7.97,7.8,7.97,72915
2018-03-19,7.98,7.99,7.9,8.035,66204
2018-03-20,7.97,7.91,7.9,8.0324,40788
2018-03-21,7.86,8,7.86,8.08,34629
2018-03-22,8,7.97,7.95,8.09,49471
2018-03-25,8,7.88,7.8676,8,79164
2018-03-26,7.8604,7.82,7.81,7.879,62109
2018-03-27,7.81,7.77,7.77,7.89,75610
2018-03-28,7.82,7.89,7.82,8.04,153065
2018-04-01,7.89,8.03,7.855,8.05,33368
2018-04-02,8.04,8.1,7.99,8.12,44164
2018-04-03,8.05,7.88,7.85,8.07,52558
2018-04-04,7.88,8.01,7.84,8.035,32520
2018-04-05,7.99,7.92,7.88,8.04,33272
2018-04-08,7.95,7.93,7.87,8,39692
2018-04-09,7.98,8.06,7.88,8.07,311506
2018-04-10,8.01,7.94,7.91,8.03,29115
2018-04-11,7.93,7.94,7.93,8.04,35464
2018-04-12,7.95,7.89,7.85,7.98,48518
2018-04-15,7.91,7.87,7.86,7.9399,39120
2018-04-16,7.87,7.93,7.87,7.94,44132
2018-04-17,7.92,8.07,7.92,8.08,94787
2018-04-18,8.02,8.07,7.96,8.1,99512
2018-04-19,8.08,8.06,8.0288,8.09,12063
2018-04-22,8.08,8.035,7.9001,8.09,23873
2018-04-23,8.07,8.04,8,8.1,37696
2018-04-24,7.97,8.07,7.9,8.1,56045
2018-04-25,8.07,8.13,8.07,8.2,102364
2018-04-26,8.15,8.15,8.1095,8.18,25238
2018-04-29,8.13,8.25,8.13,8.3395,93269
2018-04-30,8.21,8.24,8.05,8.3,39835
2018-05-01,8.22,8.17,8.1,8.24,29104
2018-05-02,8.3,8.13,8.07,8.3,49476
2018-05-03,8.13,8.18,8.12,8.25,41261
2018-05-06,8.2,8.2,8.125,8.25,34663
2018-05-07,8.26,8.42,8.26,8.6,132609
2018-05-08,8.38,8.31,8.1237,8.38,85277
2018-05-09,8.29,8.34,8.21,8.36,112025
2018-05-10,8.31,8.48,8.3,8.53,39374
2018-05-13,8.47,8.46,8.37,8.53,51703
2018-05-14,8.41,8.5,8.41,8.54,50261
2018-05-15,8.47,8.45,8.35,8.5,50042
2018-05-16,8.45,8.44,8.35,8.5,26375
2018-05-17,8.41,8.39,8.16,8.43,102051
2018-05-20,8.39,8.45,8.35,8.5,44245
2018-05-21,8.44,8.45,8.35,8.49,50747
2018-05-22,8.44,8.48,8.33,8.53,47844
2018-05-23,8.46,8.48,8.39,8.53,27586
2018-05-24,8.47,8.42,8.33,8.47,20274
2018-05-28,8.4,8.38,8.36,8.4,50489
2018-05-29,8.4,8.3,8.25,8.4,78743
2018-05-30,8.28,8.36,8.25,8.41,54213
2018-05-31,8.38,8.37,8.24,8.39,32222
2018-06-03,8.38,8.39,8.24,8.41,42499
2018-06-04,8.38,8.37,8.26,8.43,130788
2018-06-05,8.36,8.32,8.26,8.4,55227
2018-06-06,8.33,8.3,8.28,8.371,48082
2018-06-07,8.3,8.33,8.27,8.35,42541
2018-06-10,8.35,8.33,8.27,8.35,59336
2018-06-11,8.32,8.32,8.28,8.389,31239
2018-06-12,8.32,8.43,8.3,8.43,43993
2018-06-13,8.43,8.38,8.3,8.43,43043
2018-06-14,8.35,8.22,8.18,8.4,14664
2018-06-17,8.15,8.18,8.13,8.25,54422
2018-06-18,8.15,8.18,8.12,8.1891,43669
2018-06-19,8.21,8.18,8.05,8.2766,73557
2018-06-20,8.19,8.23,8.19,8.33,40391
2018-06-21,8.25,8.18,8.155,8.25,31810
2018-06-24,8.18,8.18,8.1601,8.28,27554
2018-06-25,8.17,8.39,8.17,8.44,35979
2018-06-26,8.4,8.37,8.307,8.46,27375
2018-06-27,8.36,8.46,8.32,8.5,38708
2018-06-28,8.5,8.5,8.2822,8.52,118855
2018-07-01,8.49,8.39,8.3412,8.49,26241
2018-07-02,8.41,8.11,8.08,8.41,58794
2018-07-04,8.13,8.27,8.13,8.27,9865
2018-07-05,8.19,8.49,8.19,8.5,63398
2018-07-08,8.49,8.46,8.42,8.49,31647
2018-07-09,8.39,8.33,8.2339,8.43,44517
2018-07-10,8.29,8.35,8.28,8.45,39872
2018-07-11,8.38,8.47,8.2,8.47,12193
2018-07-12,8.44,8.41,8.25,8.476,8058
2018-07-15,8.43,8.48,8.35,8.49,21156
2018-07-16,8.49,8.47,8.305,8.49,20162
2018-07-17,8.49,8.48,8.3,8.6,66776
2018-07-18,8.42,8.43,8.4,8.526,26743
2018-07-19,8.45,8.46,8.3797,8.58,151585
2018-07-22,8.46,8.48,8.36,8.49,39948
2018-07-23,8.48,8.45,8.22,8.5,31327
2018-07-24,8.45,8.4,8.28,8.45,15363
2018-07-25,8.4,8.43,8.31,8.45,17964
2018-07-26,8.45,8.41,8.3,8.45,18084
2018-07-29,8.35,8.42,8.31,8.46,76070
2018-07-30,8.44,8.5,8.32,8.5,54461
2018-07-31,8.5,8.45,8.44,8.59,21801
2018-08-01,8.45,8.53,8.45,8.551,30811
2018-08-02,8.55,8.6,8.51,8.6,36676
2018-08-05,8.5001,8.69,8.5001,8.75,41876
2018-08-06,8.69,8.65,8.6,8.75,80472
2018-08-07,8.67,8.59,8.551,8.75,70218
2018-08-08,8.57,8.59,8.5001,8.59,71598
2018-08-09,8.61,8.75,8.5933,8.75,38529
2018-08-12,8.74,8.8,8.601,8.87,119962
2018-08-13,8.8,8.81,8.7201,8.81,25592
2018-08-14,8.8337,8.79,8.74,8.8337,27953
2018-08-15,8.68,8.75,8.68,8.78,77220
2018-08-16,8.78,8.78,8.73,8.81,31079
2018-08-19,8.75,8.78,8.73,8.8,35510
2018-08-20,8.74,8.75,8.73,8.83,38863
2018-08-21,8.8,8.8,8.61,8.83,203811
2018-08-22,8.72,8.74,8.71,8.765,31008
2018-08-23,8.68,8.76,8.68,8.78,40477
2018-08-26,8.73,8.73,8.66,8.82,33342
2018-08-27,8.76,8.7,8.65,8.81,152359
2018-08-28,8.67,8.71,8.67,8.74,65972
2018-08-29,8.71,8.7,8.66,8.72,36574
2018-08-30,8.69,8.6,8.59,8.7,156837
2018-09-03,8.58,8.67,8.58,8.76,63347
2018-09-04,8.69,8.62,8.59,8.69,68308
2018-09-05,8.62,8.61,8.59,8.7,44172
2018-09-06,8.61,8.63,8.56,8.69,47333
2018-09-09,8.63,8.595,8.58,8.63,48081
2018-09-10,8.58,8.62,8.51,8.6561,37177
2018-09-11,8.595,8.62,8.5825,8.62,88054
2018-09-12,8.45,8.46,8.45,8.54,66534
2018-09-13,8.46,8.5,8.46,8.54,31850
2018-09-16,8.48,8.6,8.47,8.65,31869
2018-09-17,8.6,8.6,8.55,8.61,58074
2018-09-18,8.61,8.61,8.52,8.62,141837
2018-09-19,8.521,8.64,8.521,8.66,71041
2018-09-20,8.66,8.61,8.61,8.71,69169
2018-09-23,8.62,8.61,8.6,8.6925,24247
2018-09-24,8.6,8.6,8.6,8.68,32167
2018-09-25,8.65,8.65,8.57,8.68,34874
2018-09-26,8.61,8.58,8.47,8.62,49537
2018-09-27,8.52,8.65,8.52,8.6799,75893
2018-09-30,8.57,8.65,8.52,8.68,28513
2018-10-01,8.5793,8.62,8.57,8.65,36124
2018-10-02,8.62,8.62,8.61,8.67,34419
2018-10-03,8.62,8.6,8.6,8.66,52737
2018-10-04,8.62,8.6,8.54,8.64,91401
2018-10-07,8.57,8.56,8.5,8.59,33178
2018-10-08,8.58,8.63,8.48,8.63,24817
2018-10-09,8.64,8.52,8.52,8.65,34101
2018-10-10,8.52,8.52,8.49,8.6,65340
2018-10-11,8.54,8.53,8.5,8.59,46135
2018-10-14,8.58,8.5,8.5,8.58,13848
2018-10-15,8.48,8.58,8.48,8.58,37955
2018-10-16,8.6,8.52,8.5,8.6,27212
2018-10-17,8.5,8.48,8.46,8.51,21648
2018-10-18,8.48,8.44,8.44,8.5224,16918
2018-10-21,8.43,8.4,8.4,8.5,54522
2018-10-22,8.36,8.39,8.3283,8.4,58956
2018-10-23,8.36,8.19,8.17,8.3876,19799
2018-10-24,8.2,8.245,8.2,8.2865,29444
2018-10-25,8.2599,8.36,8.21,8.4,28975
