date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,20.48,20.46,20.32,20.65,2726
2014-01-02,20.48,20.41,20.31,20.5,2019
2014-01-05,20.6,20.17,20.06,20.6,2990
2014-01-06,20.05,20.14,19.96,20.14,2235
2014-01-07,20,19.91,19.91,20.05,2028
2014-01-08,19.91,20.04,19.91,20.33,2933
2014-01-09,20.4,20.25,19.75,20.5299,2977
2014-01-12,20.08,19.99,19.93,20.3999,3541
2014-01-13,20.5596,20.27,20.27,20.5596,768
2014-01-14,20.3,20.25,20.04,20.3,1793
2014-01-15,20.31,20.14,19.86,20.31,2767
2014-01-16,20.1,20.08,20.08,20.29,1726
2014-01-20,20.1,20.43,20.1,20.4899,2137
2014-01-21,20.23,20.47,20.23,20.47,1090
2014-01-22,20.47,20.35,20.285,20.69,1842
2014-01-23,20.38,20.13,20.13,20.49,2162
2014-01-26,20.49,20.05,19.9001,20.49,6547
2014-01-27,20.6299,20.3,20.18,20.6299,4657
2014-01-28,20.25,20.25,20.14,20.52,23569
2014-01-29,20.22,20.31,20.15,20.31,5447
2014-01-30,19.99,19.96,19.87,20.04,3243
2014-02-02,19.72,19.85,19.52,20.074,14702
2014-02-03,19.88,19.95,19.76,19.95,1252
2014-02-04,19.91,19.71,19.71,19.91,1977
2014-02-05,19.6552,19.78,19.6552,19.8,3187
2014-02-06,19.76,19.6,19.56,19.97,4247
2014-02-09,19.87,20.12,19.59,20.29,15452
2014-02-10,19.77,20.02,19.56,20.02,3025
2014-02-11,20.38,20.15,20.02,20.39,2437
2014-02-12,20.04,20.4,20.04,20.4,1479
2014-02-13,20.41,20.25,20.14,20.41,1967
2014-02-17,20.52,20.44,20.3,20.52,2566
2014-02-18,20.47,20.2,20.1501,20.54,3244
2014-02-19,20.32,20.49,20.16,20.49,2510
2014-02-20,21,20.27,20.21,21,11155
2014-02-23,20.15,20.31,19.88,20.45,2715
2014-02-24,20.35,20.61,20.35,20.61,2738
2014-02-25,20.75,20.97,20.47,20.97,5788
2014-02-26,20.98,21.85,20.96,21.85,3658
2014-02-27,21.88,22.35,21.88,23.45,3948
2014-03-02,22.33,23.1,22.06,23.2999,15146
2014-03-03,23.5,24.19,23.5,24.99,13685
2014-03-04,24.02,23.2,23.131,24.02,5050
2014-03-05,23.39,23.15,22.99,23.39,5007
2014-03-06,23.32,22.92,22.8201,23.32,9685
2014-03-09,22.76,22.85,22.27,23.236,5718
2014-03-10,22.86,22.68,22.62,23.25,6384
2014-03-11,22.96,22.87,22.87,22.96,1519
2014-03-12,22.26,22.38,22.26,22.9399,4335
2014-03-13,22.2568,22.85,22.2568,22.85,1253
2014-03-16,22.9399,22.76,22.45,22.9399,5046
2014-03-17,22.3,22.71,22.3,22.71,1393
2014-03-18,22.6,22.66,22.6,22.66,1316
2014-03-19,22.35,22.82,22.35,23.1499,4468
2014-03-20,22.84,22.4,22.29,22.84,5607
2014-03-23,22.4,22.3,22.3,22.89,2890
2014-03-24,22.2875,22.36,22.24,22.36,1447
