date,open_price,close_price,lowest_price,highest_price,volume
2015-05-28,1738,1749,1606,1848,1777.3591
2015-05-31,1749,1628,1575.2,1804,878.1591
2015-06-01,1606,1507,1443.2,1628,770.2682
2015-06-02,1485,1322.2,1298,1497.21,1786.4955
2015-06-03,1322.2,1368.4,1313.4,1449.8,605.9682
2015-06-04,1386,1445.4,1386,1451.78,456.5773
2015-06-07,1509.2,1489.4,1408,1529,894.7864
2015-06-08,1493.8,1430,1408,1513.38,932.15
2015-06-09,1419,1463,1412.4,1484.846,515.7636
2015-06-10,1474,1458.6,1436.6,1507,646.4773
2015-06-11,1487.2,1469.6,1441,1489.422,296.9773
2015-06-14,1507,1489.4,1445.4,1509.2,442.6682
2015-06-15,1540,1544.4,1489.4,1584,1890.9546
2015-06-16,1562,1460.8,1441,1562,620.2727
2015-06-17,1474,1504.8,1464.76,1504.8,506.8046
2015-06-18,1520.2,1531.2,1509.2,1601.6,1175.5909
2015-06-21,1606,1586.2,1568.6,1630.2,1988.4591
2015-06-22,1597.2,1590.6,1584,1623.314,830.4864
2015-06-23,1599.4,1573,1529,1599.4,1301.2273
2015-06-24,1650,1553.2,1542.2,1652.2,829.5455
2015-06-25,1544.4,1518,1443.2,1562,1337.9864
2015-06-28,1441,1412.4,1377.2,1474,880.7182
2015-06-29,1471.8,1392.6,1361.8,1471.8,542.4727
2015-06-30,1434.4,1452,1405.8,1480.6,375.2227
2015-07-01,1478.4,1397,1386,1478.4,209.7636
2015-07-05,1353,1346.4,1335.4,1410.178,422.8682
2015-07-06,1379.4,1324.4,1291.4,1403.6,729.8909
2015-07-07,1309,1300.2,1265,1322.2,711.7182
2015-07-08,1320,1278.2,1267.2,1357.4,468.6955
2015-07-09,1320,1265,1210.022,1320,682.2909
2015-07-12,1265,1254,1254,1318.9,354.1318
2015-07-13,1258.4,1419,1214.4,1522.4,1393.8136
2015-07-14,1452,1403.6,1322.2,1489.378,826.8273
2015-07-15,1379.4,1366.2,1331,1408,499.95
2015-07-16,1331,1351.9,1309,1364,435.7136
2015-07-19,1342,1313.4,1298.11,1396.978,369.8636
2015-07-20,1322.2,1293.6,1280.466,1370.6,782.9773
2015-07-21,1287.726,1342,1282.6,1349.92,742.0546
2015-07-22,1350.8,1372.8,1322.2,1385.78,277.2727
2015-07-23,1386,1397,1353,1419,527.1636
2015-07-26,1383.8,1326.6,1309,1405.8,425.9955
2015-07-27,1324.4,1379.4,1324.4,1419,811.7455
2015-07-28,1364,1357.4,1355.2,1392.6,315.9091
2015-07-29,1357.4,1342,1326.6,1375,261.8636
2015-07-30,1342,1333.2,1289.2,1366.2,435.2636
2015-08-02,1320,1315.6,1289.2,1348.6,345.3773
2015-08-03,1300.2,1273.8,1243,1309,270.3454
2015-08-04,1265,1225.4,1220.78,1276,678.1864
2015-08-05,1214.4,1111,1009.8,1229.8,1379.2136
2015-08-06,1113.2,1080.2,1040.6,1119.8,436.9182
2015-08-09,1084.6,1245.2,1080.2,1251.558,1016.8318
2015-08-10,1243,1221,1146.2,1251.778,649.9
2015-08-11,1269.4,1317.8,1254,1349.854,1583.1136
2015-08-12,1322.2,1342,1278.024,1399.2,900.8773
2015-08-13,1337.6,1311.2,1300.2,1351.9,205.9909
2015-08-16,1320,1317.8,1287,1320,406.5546
2015-08-17,1381.6,1304.6,1280.4,1381.6,511.2636
2015-08-18,1304.6,1267.2,1243.022,1304.6,305.1636
2015-08-19,1269.4,1247.4,1242.12,1320,333.0591
2015-08-20,1221,1267.2,1221,1306.8,262.0227
2015-08-23,1221,1172.6,1113.2,1221,1167.1591
2015-08-24,1232,1137.4,1122.022,1247.4,623.3864
2015-08-25,1155,1126.4,1100,1170.84,225.45
2015-08-26,1166,1138.5,1126.224,1170.356,255.2136
2015-08-27,1133,1144,1100,1161.6,355.6955
2015-08-30,1150.6,1183.6,1133,1183.6,194.5409
2015-08-31,1172.6,1269.4,1150.094,1284.8,1172.4136
2015-09-01,1269.4,1267.2,1221,1289.2,939.5909
2015-09-02,1225.4,1278.2,1225.4,1287,330.9818
2015-09-03,1273.8,1287,1236.4,1287,288.3046
2015-09-07,1287,1317.8,1265,1331,472.8091
2015-09-08,1320,1357.4,1320,1383.8,567.5364
2015-09-09,1361.8,1346.4,1331,1363.978,373.4
2015-09-10,1345.3,1392.6,1335.4,1408,910.8318
2015-09-13,1405.8,1386,1344.2,1412.4,370.2455
2015-09-14,1381.6,1366.2,1355.2,1381.6,219.4046
2015-09-15,1364,1375,1357.4,1377.2,237.0954
2015-09-16,1375,1388.2,1339.8,1408,386.05
2015-09-17,1381.6,1447.6,1359.6,1452,2049.05
2015-09-20,1463,1498.2,1418.12,1518,792.9318
2015-09-21,1507,1515.8,1467.422,1522.4,716.7091
2015-09-22,1526.8,1504.8,1467.4,1526.8,252.3636
2015-09-23,1493.8,1487.2,1427.8,1507,451.2091
2015-09-24,1496,1480.6,1405.8,1496,621.3364
2015-09-27,1518,1271.6,1100,1526.8,2112.1546
2015-09-28,1284.8,1166,1135.2,1284.8,998.2046
2015-09-29,1166,1133,1069.2,1188,1061.0091
2015-09-30,1137.4,842.6,741.4,1137.4,2049.3046
2015-10-01,836,893.2,787.6,899.8,1166.7136
2015-10-04,935,928.4,891,954.8,837.6864
2015-10-05,913,921.8,873.62,954.272,368.85
2015-10-06,913,895.4,862.4,935,578.7182
2015-10-07,897.6,954.8,871.442,968,392.6182
2015-10-08,961.4,946,908.6,961.4,266.7727
2015-10-11,946,897.6,884.4,950.4,449.2227
2015-10-12,888.8,910.8,880,932.8,325.9909
2015-10-13,910.8,913,882.2,935,353.6136
2015-10-14,882.2,893.2,869,921.8,523.8136
2015-10-15,899.8,948.2,882.2,987.8,584.7409
2015-10-18,950.4,954.8,939.4,1014.2,422.5318
2015-10-19,959.2,943.8,926.2,979,187.1136
2015-10-20,937.2,926.2,886.6,943.8,202.0046
2015-10-21,928.84,895.4,884.4,928.84,238.6909
2015-10-22,902,886.6,871.2,904.2,450.2818
2015-10-25,895.4,880,869,910.8,398.9955
2015-10-26,888.8,908.6,882.53,928.4,629.0864
2015-10-27,917.4,943.8,891,950.4,351.9864
2015-10-28,952.6,957,952.6,979,403.2091
2015-10-29,948.2,937.2,928.4,976.778,244.1682
2015-11-01,943.8,952.6,920.81,968,242.6455
2015-11-02,948.2,943.8,932.8,972.18,185.5046
2015-11-03,836,847,787.6,847,1888.0182
2015-11-04,847,805.2,803,847,581.1546
2015-11-05,809.6,767.8,732.6,814,924.3091
2015-11-08,776.6,756.8,737,778.58,437.1546
2015-11-09,752.4,752.4,748,762.74,328.7864
2015-11-10,759,699.6,699.6,759,734.0546
2015-11-11,693,693,693,739.2,477.6091
2015-11-12,693,699.6,682,719.378,523.8636
2015-11-15,706.2,701.8,679.8,716.1,423.5591
2015-11-16,693,690.8,684.2,701.8,309.7727
2015-11-17,686.4,664.4,624.8,695.2,1005.9364
2015-11-18,660,660,655.6,682,339.4091
2015-11-19,660,699.6,659.34,708.4,245.3955
2015-11-22,704,697.4,686.4,715,388.8318
2015-11-23,693,704,660,715,725.1636
2015-11-24,701.8,717.2,701.8,756.8,521.1636
2015-11-26,715,721.6,697.4,721.6,181.55
2015-11-29,715,721.6,715,750.2,485.9227
2015-11-30,715,717.2,690.822,721.6,280.2727
2015-12-01,717.2,706.2,684.2,717.2,224.1227
2015-12-02,706.2,666.6,660,706.2,497.8909
2015-12-03,668.8,662.2,616,672.76,670.2773
2015-12-06,664.4,649,634.7,664.4,206.8727
2015-12-07,644.6,644.6,605,662.2,328.8409
2015-12-08,635.8,609.4,585.2,638,604.5864
2015-12-09,611.6,611.6,594,624.778,359.9591
2015-12-10,616,583,580.8,638,442.1591
2015-12-13,572,554.4,543.4,605.88,561.6364
2015-12-14,550,547.8,547.8,580.8,568.7273
2015-12-15,528,521.4,510.4,539,1413.8818
2015-12-16,530.2,501.6,501.6,567.578,526.2046
2015-12-17,508.2,490.6,490.6,528,873.0773
2015-12-20,506,545.6,506,572,568.3136
2015-12-21,556.6,596.2,547.8,649,1241.4318
2015-12-22,585.2,613.8,565.4,633.6,352.7591
2015-12-23,613.8,627,607.09,627,124.3136
2015-12-27,627,600.6,591.8,629.2,393.7546
2015-12-28,602.8,572,541.2,609.422,470.4318
2015-12-29,550,523.6,519.904,550,668.0409
2015-12-30,514.8,521.4,501.6,536.8,497.1727
2016-01-03,506,534.6,506,556.6,156.3227
2016-01-04,536.8,514.8,508.222,536.8,136.25
2016-01-05,519.2,497.2,473,530.2,502.9909
2016-01-06,481.8,464.2,462,499.4,586.1091
2016-01-07,457.6,479.6,457.6,503.8,168.6318
2016-01-10,492.8,420.2,418,492.8,637.0227
2016-01-11,418,407,396,439.978,606.5182
2016-01-12,413.6,365.2,358.6,444.4,602.8364
2016-01-13,363,369.6,345.4,377.52,698.3864
2016-01-14,371.8,358.6,343.2,401.544,826.3546
2016-01-18,354.2,334.4,321.2,383.372,450.1318
2016-01-19,327.8,336.6,299.2,341.748,733.6091
2016-01-20,334.4,374,334.4,404.8,380.5409
2016-01-21,354.2,380.6,352,390.72,206.9046
2016-01-24,380.6,367.4,358.6,385,214.9136
2016-01-25,352.022,374,352,377.96,417.9636
2016-01-26,354.2,354.2,352,426.8,1657.5636
2016-01-27,360.8,352,336.6,377.388,480.8909
2016-01-28,350.328,349.8,345.4,382.822,330.8818
2016-01-31,349.8,374,341,374,332.1182
2016-02-01,367.422,360.8,347.6,374,244.3773
2016-02-02,415.58,376.2,334.136,415.58,488.3091
2016-02-03,382.8,374,371.8,413.6,174.4864
2016-02-04,374,371.8,352,385,133.2682
2016-02-07,352,343.2,330,369.578,428.0727
2016-02-08,330.22,330,319,360.8,324.0864
2016-02-09,336.6,325.6,315.7,336.6,142.2591
2016-02-10,314.6,332.2,314.6,365.2,127.9818
2016-02-11,336.6,369.6,334.4,371.8,394.3546
