date,open_price,close_price,lowest_price,highest_price,volume
2014-04-15,30,29.33,29.25,30.24,2437464.0
2014-04-16,29.25,29.44,29.25,29.5,259247
2014-04-20,29.43,29.31,29.25,29.49,46130
2014-04-21,29.5,29.8,29.5,29.9,152184
2014-04-22,29.94,30,29.71,30.07,165687
2014-04-23,30.05,30.03,29.77,30.09,86491
2014-04-24,29.88,29.93,29.2501,30,61872
2014-04-27,29.9801,29.99,29.87,30.25,181840
2014-04-28,30.03,29.76,29.11,30.07,143045
2014-04-29,29.5,30.03,29.5,30.04,49505
2014-04-30,29.2,30.02,29.2,30.04,26405
2014-05-01,30,30.04,29.8701,30.05,63215
2014-05-04,29.99,30,29.94,30.03,25242
2014-05-05,29.95,30.02,29.7601,30.03,43821
2014-05-06,29.85,30,29.76,30.25,15972
2014-05-07,30,30,29.84,30.19,46563
2014-05-08,29.81,30.61,29.81,30.69,17052
2014-05-11,30.82,30.6,30.36,30.97,18320
2014-05-12,32.66,30.73,30.056,32.66,51906
2014-05-13,30.91,30.77,30.48,30.98,31203
2014-05-14,31.14,30.59,30.26,31.14,21991
2014-05-15,30.59,30.43,30.0749,30.645,15905
2014-05-18,30.46,30.26,30.25,30.49,6629
2014-05-19,30.17,30.19,28.67,30.5,108374
2014-05-20,30.32,30.25,29.71,30.575,33245
2014-05-21,30.25,30.11,29.8,30.45,28558
2014-05-22,30.15,30.15,29.84,30.45,18457
2014-05-26,30.1,30.06,29.7301,30.24,28268
2014-05-27,30.2,30.05,29.63,30.2,17982
2014-05-28,30.1,30,29.75,30.24,47749
2014-05-29,30.06,30,29.64,30.29,28493
2014-06-01,30.09,30.31,30,30.94,45130
2014-06-02,30.3,30.37,30.02,30.4699,50700
2014-06-03,30.49,30.35,30.21,30.5,43761
2014-06-04,30.34,30.52,30.15,30.68,52562
2014-06-05,30.47,30.39,30.12,30.47,24264
2014-06-08,30.3,30.06,29.51,30.44,89180
2014-06-09,29.91,30,29.62,30.49,61450
2014-06-10,29.91,29.9,29.54,30,20929
2014-06-11,30.1,29.74,29.49,30.1,52733
2014-06-12,30.24,30,29.76,30.42,24612
2014-06-15,29.92,29.84,29.63,30.24,75925
2014-06-16,30.16,29.92,28.86,30.16,53847
2014-06-17,30.24,30,29.53,30.24,74084
2014-06-18,29.654,29.87,29.4301,30,89628
2014-06-19,29.95,29.04,28.53,30.23,335811
2014-06-22,29.18,28.68,28.2801,29.18,67117
2014-06-23,28.57,28.89,28.57,29.2,38596
2014-06-24,28.39,29.88,28.39,30.05,72747
2014-06-25,29.68,29.74,29,30.05,31145
2014-06-26,29.83,28.97,28.75,30.05,886680
2014-06-29,29.11,29.06,28.56,29.23,151168
2014-06-30,29.44,28.82,28.19,29.44,94252
2014-07-01,28.78,29.5,28.78,29.55,65101
2014-07-02,29.5,29.5,29.12,29.75,52982
2014-07-06,29.38,29.21,28.97,30.19,50034
2014-07-07,29.13,29.13,28.41,30.21,56629
2014-07-08,29.26,28.98,28.78,29.26,38788
2014-07-09,28.63,29.05,28.38,29.25,63622
2014-07-10,29.19,29.49,28.8,29.55,92128
2014-07-13,29.5,29.75,29.49,30.07,97567
2014-07-14,29.85,29.43,29.14,29.99,256844
2014-07-15,29.61,29.83,29.45,29.96,367363
2014-07-16,29.82,29.9,29.66,29.97,63648
2014-07-17,30,30,29.92,30.1,50697
2014-07-20,29.88,29.9,29.64,30.06,49105
2014-07-21,29.95,30.14,29.68,30.33,87904
2014-07-22,30.02,30.1,29.93,30.245,25737
2014-07-23,30.1,29.91,29.52,30.56,81560
2014-07-24,29.75,29.91,29.602,30.14,102452
2014-07-27,29.9,29.3,28.9,30.304,54513
2014-07-28,29.23,29.72,29,32.91,166120
2014-07-29,30,29.8,29.58,30.408,71435
2014-07-30,29.72,29.7,29.23,29.944,34149
2014-07-31,29.7,29.8,29.03,29.99,19776
2014-08-03,29.85,30.38,29.2,30.48,41340
2014-08-04,30.38,30.57,30.09,30.82,57705
2014-08-05,30.57,30.68,30.355,30.932,74577
2014-08-06,30.7,30.52,30.345,30.72,42320
2014-08-07,30.52,30.52,30.46,31.272,88446
2014-08-10,30.37,30.51,30.3,30.665,34249
2014-08-11,30.55,30.53,30.04,30.55,37273
2014-08-12,30.42,30.32,30.32,30.55,27797
2014-08-13,30.53,30.35,30.29,30.53,23613
2014-08-14,30.4,30.38,30.22,30.5,29618
2014-08-17,30.4,30.66,30.23,30.7,83801
2014-08-18,30.7,30.7,30.6,30.8,109676
2014-08-19,30.7,30.82,30.59,31,30783
2014-08-20,30.34,31,30.34,31.16,50577
2014-08-21,30.86,31.3,30.85,31.36,10062
2014-08-24,31.01,31.66,31.01,31.88,35154
2014-08-25,32.03,31.57,31.44,32.05,59679
2014-08-26,30.96,31.68,30.96,31.68,16498
2014-08-27,31.5,31.45,31.33,31.725,20417
2014-08-28,31.51,31.69,31.395,32.1099,58997
2014-09-01,31.6,31.3,31.29,31.97,128057
2014-09-02,31.21,31.74,31.21,31.79,30018
2014-09-03,31.67,31.3,31.25,31.75,16592
2014-09-04,31.36,31.38,31.27,31.5,14758
2014-09-07,31.54,31.38,31.3,31.54,4939
2014-09-08,31.02,31.4,31.02,31.5,11693
2014-09-09,31.05,31.5,31.05,31.5,13399
2014-09-10,31.33,31.49,31.24,31.5,37141
2014-09-11,31.33,31.31,30.865,31.677,73475
2014-09-14,31.6,31.5,31.32,31.9,18130
2014-09-15,31.4,31.73,31.4,31.75,28372
2014-09-16,31.75,31.49,31.37,32.13,92456
2014-09-17,31.55,31.45,31.25,31.92,32256
2014-09-18,31.42,31.57,31.14,32.2,54186
2014-09-21,31.42,31.04,30.9,31.7184,49406
