date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,6.67,6.63,6.57,6.67,162178
2014-01-02,6.61,6.55,6.4,6.67,882378
2014-01-05,6.62,7.1,6.5601,7.15,767085
2014-01-06,7.15,7.3,7.09,7.3499,296585
2014-01-07,7.27,7.24,7.17,7.32,130865
2014-01-08,7.23,7.27,7.22,7.3175,147501
2014-01-09,7.3,7.31,7.25,7.33,89300
2014-01-12,7.32,7.27,7.2,7.42,204619
2014-01-13,7.3,7.27,7.23,7.33,50845
2014-01-14,7.3,7.27,7.25,7.33,37733
2014-01-15,7.3,7.24,7.2,7.33,67039
2014-01-16,7.25,7.16,7.15,7.3,122744
2014-01-20,7.16,7.08,6.9971,7.1625,126155
2014-01-21,7.06,7.19,7.04,7.21,152137
2014-01-22,7.15,7.21,7.05,7.21,109008
2014-01-23,7.15,7.04,6.9,7.2,126107
2014-01-26,7.08,6.77,6.75,7.08,119967
2014-01-27,6.82,6.68,6.55,6.82,192546
2014-01-28,6.6,6.62,6.58,6.71,70924
2014-01-29,6.65,6.86,6.57,6.93,104471
2014-01-30,6.76,6.66,6.61,6.83,89303
2014-02-02,6.66,6.48,6.37,6.66,138643
2014-02-03,6.48,6.46,6.36,6.48,121289
2014-02-04,6.4,6.35,6.2,6.45,95739
2014-02-05,6.42,6.42,6.345,6.52,305184
2014-02-06,6.42,6.45,6.32,6.52,103763
2014-02-09,6.42,6.48,6.29,6.51,176485
2014-02-10,6.51,6.6,6.38,6.61,88097
2014-02-11,6.58,6.58,6.46,6.62,60858
2014-02-12,6.56,6.67,6.46,6.71,80933
2014-02-13,6.69,6.68,6.58,6.7,47428
2014-02-17,6.72,6.65,6.6,6.73,101466
2014-02-18,6.65,6.46,6.43,6.65,68130
2014-02-19,6.43,6.45,6.35,6.5,180019
2014-02-20,6.56,6.46,6.39,6.57,120217
2014-02-23,6.44,6.39,6.35,6.52,164136
2014-02-24,6.26,6.19,5.95,6.27,1106786.0
2014-02-25,6.16,6.17,6.105,6.23,121341
2014-02-26,6.12,6.04,6.03,6.165,154194
2014-02-27,6.07,6.04,6.01,6.18,178722
2014-03-02,5.95,6.11,5.86,6.25,171072
2014-03-03,6.2,6.38,6.13,6.46,250608
2014-03-04,6.33,6.4,6.22,6.43,131131
2014-03-05,6.38,6.39,6.33,6.54,99810
2014-03-06,6.46,6.88,6.46,6.95,301894
2014-03-09,6.85,7.06,6.61,7.07,241593
2014-03-10,7.04,7.01,6.9401,7.1,206633
2014-03-11,7,6.99,6.87,7.034,89459
2014-03-12,6.98,6.85,6.77,7,106100
2014-03-13,6.87,6.92,6.83,6.9798,122596
2014-03-16,6.98,6.95,6.9,6.98,91080
2014-03-17,6.95,7.02,6.93,7.04,60517
2014-03-18,7.04,7.01,6.9876,7.09,58411
2014-03-19,7,7.02,6.97,7.04,100247
2014-03-20,7.02,7.11,7.01,7.11,299391
2014-03-23,7.14,7.07,6.98,7.24,234828
2014-03-24,7.12,7,6.99,7.18,133717
2014-03-25,7.07,6.75,6.72,7.11,106385
2014-03-26,6.77,6.62,6.59,6.855,100461
2014-03-27,6.65,6.67,6.62,6.916,108972
2014-03-30,6.68,6.93,6.68,7.08,298150
2014-03-31,6.9,6.75,6.7,6.9,128483
2014-04-01,6.74,6.7,6.62,6.772,113586
2014-04-02,6.66,6.65,6.62,6.749,112273
2014-04-03,6.71,6.63,6.57,6.71,142410
2014-04-06,6.6,6.5,6.442,6.65,99326
2014-04-07,6.53,6.47,6.43,6.65,90556
2014-04-08,6.51,6.55,6.45,6.58,46270
2014-04-09,6.52,6.36,6.275,6.575,117887
2014-04-10,6.29,6.3,6.27,6.37,69497
2014-04-13,6.38,6.32,6.2,6.38,67087
2014-04-14,6.33,6.23,6.12,6.34,276778
2014-04-15,6.25,6.41,6.2301,6.42,127931
2014-04-16,6.38,6.51,6.36,6.55,46390
2014-04-20,6.48,6.61,6.3,6.61,207000
2014-04-21,6.61,6.65,6.56,6.74,48010
2014-04-22,6.61,6.56,6.48,6.67,75811
2014-04-23,6.58,6.5,6.45,6.58,32254
2014-04-24,6.45,6.41,6.41,6.5,102672
2014-04-27,6.44,6.52,6.359,6.65,94937
2014-04-28,5.95,6.3,5.95,6.45,223592
2014-04-29,6.3,6.43,6.1601,6.47,150737
2014-04-30,6.43,6.36,6.3,6.5,174454
2014-05-01,6.39,6.44,6.39,6.5,80290
2014-05-04,6.37,6.48,6.25,6.55,96617
2014-05-05,6.44,6.31,6.3,6.51,126067
2014-05-06,6.3,6.34,6.29,6.39,90317
2014-05-07,6.35,6.31,6.28,6.38,100343
2014-05-08,6.26,6.37,6.26,6.405,127468
2014-05-11,6.37,6.49,6.37,6.55,141638
2014-05-12,6.45,6.34,6.31,6.5,146091
2014-05-13,6.3,6.32,6.3,6.45,131635
2014-05-14,6.26,6.34,6.26,6.39,164704
2014-05-15,6.34,6.41,6.28,6.47,101941
2014-05-18,6.38,6.43,6.31,6.45,96331
2014-05-19,6.39,6.5,6.34,6.52,210163
2014-05-20,6.51,6.44,6.4,6.52,164878
2014-05-21,6.45,6.44,6.38,6.485,172145
2014-05-22,6.46,6.43,6.39,6.53,107806
2014-05-26,6.43,6.35,6.34,6.47,147490
2014-05-27,6.36,6.36,6.31,6.4,99391
2014-05-28,6.39,6.34,6.34,6.44,92207
2014-05-29,6.37,6.38,6.31,6.4325,98831
2014-06-01,6.36,6.32,6.28,6.37,89435
2014-06-02,6.3,6.26,6.21,6.36,86480
2014-06-03,6.25,6.29,6.21,6.36,68563
2014-06-04,6.28,6.39,6.26,6.4,100873
2014-06-05,6.4,6.39,6.35,6.425,135103
2014-06-08,6.36,6.4,6.36,6.41,165689
2014-06-09,6.4,6.49,6.39,6.5,111823
2014-06-10,6.49,6.6,6.47,6.6,134872
2014-06-11,6.6,6.65,6.54,6.77,82434
2014-06-12,6.69,6.49,6.49,6.748,68976
2014-06-15,6.48,6.4,6.35,6.61,235469
2014-06-16,6.4,6.45,6.4,6.5,74408
2014-06-17,6.455,6.42,6.38,6.49,49408
2014-06-18,6.46,6.4,6.4,6.505,74576
2014-06-19,6.44,6.45,6.41,6.5,157965
2014-06-22,6.43,6.45,6.38,6.5,80762
2014-06-23,6.42,6.36,6.3157,6.5,328924
2014-06-24,6.31,6.43,6.31,6.46,69495
2014-06-25,6.47,6.3,6.24,6.47,102114
2014-06-26,6.25,6.36,6.11,6.41,185523
2014-06-29,6.3,6.39,6.3,6.42,88783
2014-06-30,6.43,6.67,6.43,6.71,143453
2014-07-01,6.64,6.8,6.62,6.89,91922
2014-07-02,6.81,6.85,6.76,6.88,34473
2014-07-06,6.8,6.75,6.71,6.84,66140
2014-07-07,6.71,6.74,6.69,6.79,78908
2014-07-08,6.74,6.65,6.61,6.74,77989
2014-07-09,6.52,6.5,6.47,6.59,52949
2014-07-10,6.47,6.41,6.39,6.538,42956
2014-07-13,6.49,6.58,6.41,6.67,66945
2014-07-14,6.59,6.51,6.46,6.63,55999
2014-07-15,6.54,6.43,6.37,6.54,74964
2014-07-16,6.36,6.37,6.32,6.5099,251502
2014-07-17,6.34,6.66,6.33,6.74,73490
2014-07-20,6.6,6.67,6.54,6.74,45730
2014-07-21,6.68,6.75,6.66,6.8,33373
2014-07-22,6.74,6.68,6.68,6.8,17817
2014-07-23,6.7,6.58,6.55,6.78,35729
2014-07-24,6.51,6.53,6.5,6.62,44152
2014-07-27,6.53,6.42,6.34,6.61,59311
2014-07-28,5.91,6.08,5.91,6.25,247439
2014-07-29,6.11,6.14,6.02,6.16,57244
2014-07-30,6.12,6.02,5.98,6.13,122371
2014-07-31,6.02,5.99,5.98,6.128,136438
2014-08-03,6,6.05,5.92,6.07,70431
2014-08-04,6,6.06,5.97,6.158,45532
2014-08-05,6,6.01,6,6.1,308177
2014-08-06,6,6.16,6,6.17,90269
2014-08-07,6.13,6.3,6.13,6.33,75844
2014-08-10,6.33,6.46,6.28,6.6,69240
2014-08-11,6.4,6.33,6.29,6.49,336150
2014-08-12,6.32,6.54,6.28,6.59,93164
2014-08-13,6.5,6.37,6.32,6.58,74535
2014-08-14,6.44,6.34,6.24,6.45,78871
2014-08-17,6.36,6.3,6.2,6.4,318069
2014-08-18,6.27,6.17,6.13,6.332,60314
2014-08-19,6.16,6.13,6.05,6.16,40671
2014-08-20,6.1,6.11,6.035,6.11,45259
2014-08-21,6.08,6.12,6.04,6.19,58901
2014-08-24,6.13,6.14,6.06,6.25,64312
2014-08-25,6.14,6.11,6.06,6.21,68129
2014-08-26,6.12,6.11,6.06,6.15,53564
2014-08-27,6.08,6.02,5.98,6.08,177640
2014-08-28,6.03,6.22,6.03,6.27,345396
2014-09-01,6.25,6.29,6.16,6.367,96502
2014-09-02,6.3,6.22,6.18,6.3,62325
2014-09-03,6.22,6.19,6.16,6.31,53513
2014-09-04,6.15,6.05,6.05,6.21,50286
2014-09-07,6.06,6.05,6.01,6.14,59280
2014-09-08,6,5.97,5.94,6.03,104087
2014-09-09,5.97,5.92,5.82,6.0025,78416
2014-09-10,5.88,6.04,5.821,6.06,119328
2014-09-11,6.06,5.96,5.82,6.06,91774
2014-09-14,5.96,5.85,5.79,5.99,46635
2014-09-15,5.85,5.85,5.85,5.88,66426
2014-09-16,5.85,5.88,5.85,5.9,44112
2014-09-17,5.88,6.13,5.88,6.22,89993
2014-09-18,6.13,6.21,5.98,6.36,253846
2014-09-21,6.18,6.13,6.09,6.23,77192
2014-09-22,6.09,6,5.96,6.09,88057
2014-09-23,5.99,5.95,5.945,6.04,68470
2014-09-24,5.935,5.86,5.84,6,51279
2014-09-25,5.86,5.96,5.5,5.97,70695
2014-09-28,5.91,6.06,5.85,6.07,60242
2014-09-29,6.03,5.86,5.85,6.03,124845
2014-09-30,5.81,5.91,5.76,5.94,76982
2014-10-01,5.89,5.94,5.89,6.03,34142
2014-10-02,6.02,5.94,5.9,6.03,36438
2014-10-05,5.93,5.85,5.73,5.96,49192
2014-10-06,5.79,5.62,5.62,5.81,37004
2014-10-07,5.63,5.85,5.62,5.86,47901
2014-10-08,5.85,5.71,5.62,5.97,40237
2014-10-09,5.65,5.66,5.65,5.89,67006
2014-10-12,5.68,5.55,5.53,5.91,87068
2014-10-13,5.63,5.69,5.57,5.74,169740
2014-10-14,5.64,5.73,5.45,5.75,116163
2014-10-15,5.64,6,5.64,6.04,120976
2014-10-16,6.05,5.88,5.84,6.05,49064
2014-10-19,5.85,5.67,5.616,5.9,72749
2014-10-20,5.68,5.65,5.62,5.685,578853
2014-10-21,5.65,5.69,5.61,5.96,210225
