date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,25.21,24.96,24.69,25.49,1924125.0
2014-01-02,25.01,25.29,24.974,25.37,2063713.0
2014-01-05,24.83,24.88,24.6,25.1375,2257936.0
2014-01-06,24.99,25.03,24.6,25.09,1997801.0
2014-01-07,25.42,24.99,24.85,25.52,3384550.0
2014-01-08,25.02,24.88,24.66,25.16,1733736.0
2014-01-09,24.82,25.37,24.76,25.59,2484912.0
2014-01-12,25.26,24.76,24.71,25.49,1816326.0
2014-01-13,24.83,25.11,24.83,25.28,1464704.0
2014-01-14,25.12,25.22,25.01,25.5,1560669.0
2014-01-15,25.12,24.98,24.83,25.3,1846739.0
2014-01-16,24.9,25.03,24.65,25.18,2262230.0
2014-01-20,25.18,25.29,25.01,25.56,1557959.0
2014-01-21,25.39,25.92,25.09,26.07,3203230.0
2014-01-22,25.83,25.75,25.53,25.91,2607665.0
2014-01-23,25.55,25.22,24.8,25.628,2552014.0
2014-01-26,25.17,25.01,24.63,25.2,2159379.0
2014-01-27,24.71,25.37,24.63,25.505,2799116.0
2014-01-28,25.13,25.26,24.88,25.32,3158983.0
2014-01-29,25.63,25.7,25.37,25.84,2148249.0
2014-01-30,25.34,25.69,25.1,26.06,2393408.0
2014-02-02,25.69,24.58,24.54,25.9,4619454.0
2014-02-03,24.74,24.75,24.49,24.9,3673914.0
2014-02-04,24.82,24.58,24.37,24.84,3067647.0
2014-02-05,25.8,27.87,25.04,28.255,10480952.0
2014-02-06,28,28.14,27.95,28.64,5396382.0
2014-02-09,28.26,27.8,27.73,28.43,3774976.0
2014-02-10,27.79,28.32,27.5,28.54,3092348.0
2014-02-11,28.3,28.22,28.17,28.79,2119601.0
2014-02-12,27.98,28.53,27.7701,28.81,4060614.0
2014-02-13,28.46,28.32,28.14,28.67,2674317.0
2014-02-17,28.52,29.31,28.4,29.68,3661613.0
2014-02-18,29.2,29.39,29.01,29.8,2523198.0
2014-02-19,29.39,29.4,29.195,30.1,2431537.0
2014-02-20,29.59,29.62,28.97,29.65,3433917.0
2014-02-23,29.75,30.4,29.69,30.67,3330685.0
2014-02-24,30.23,30.45,29.78,30.47,2210575.0
2014-02-25,30.37,29.21,29.07,30.6,4503392.0
2014-02-26,29.12,29,28.9,29.36,3102820.0
2014-02-27,28.75,29.11,28.75,29.32,8823592.0
2014-03-02,29,28.57,28.37,29.44,4996138.0
2014-03-03,28.96,29.71,28.74,29.93,5494414.0
2014-03-04,29.71,28.66,28.2,29.97,5202029.0
2014-03-05,28.73,29.56,28.53,29.68,3901130.0
2014-03-06,29.95,29.24,29.005,29.95,2338049.0
2014-03-09,29.17,29.38,28.78,29.57,2037752.0
2014-03-10,29.43,28.8,28.55,29.79,2053536.0
2014-03-11,28.66,29.13,28.37,29.15,2363157.0
2014-03-12,29.11,28.77,28.51,29.14,4449861.0
2014-03-13,28.69,28.79,28.49,29.13,4170212.0
2014-03-16,30.05,30.11,29.65,30.38,5137396.0
2014-03-17,30.15,30.68,29.94,30.72,3375652.0
2014-03-18,30.92,31.035,30.75,31.52,3673043.0
2014-03-19,30.91,30.74,30.58,31.03,2954702.0
