date,open_price,close_price,lowest_price,highest_price,volume
2015-08-10,5.49,5.1,4.8,5.49,24752
2015-08-11,5,5.11,5,5.3899,16678
2015-08-12,5.35,5.15,5.15,5.35,12947
2015-08-13,5.15,4.92,4.5,5.15,17063
2015-08-16,4.49,4.1,3.38,4.49,80945
2015-08-17,4,3.66,3.65,4.07,30566
2015-08-18,3.683,3.8999,3.44,3.96,70767
2015-08-19,3.9,3.74,3.65,4.1801,125979
2015-08-20,3.36,2.5399,2.49,3.87,112817
2015-08-23,2.75,3.1199,2.75,3.14,78425
2015-08-24,3.5,3.37,3.1403,3.94,44149
2015-08-25,3.5,3.44,3.19,3.5,10093
2015-08-26,3.52,3.47,3.26,3.77,10491
2015-08-27,3.46,3.45,3.41,3.5301,8508
2015-08-30,3.49,3.63,3.46,3.66,9158
2015-08-31,3.5,3.49,3.36,3.5562,7098
2015-09-01,3.3614,3.45,3.29,3.85,95674
2015-09-02,3.44,3.5,3.2062,3.5102,20897
2015-09-03,3.41,3.53,3.38,3.53,1824
2015-09-07,3.3,3.45,3.28,3.64,29280
2015-09-08,3.4,3.51,3.4,3.64,7686
2015-09-09,3.48,3.6,3.3001,3.6,8979
2015-09-10,3.58,3.68,3.5,3.7,11414
2015-09-13,3.7,3.7,3.6501,3.74,16547
2015-09-14,3.69,3.72,3.63,3.75,12738
2015-09-15,3.7,3.66,3.6,3.7,4937
2015-09-16,3.7,3.78,3.65,3.8,14105
2015-09-17,3.79,2.84,2.84,3.79,65094
2015-09-20,3.28,3.45,3.135,3.58,43339
2015-09-21,3.54,3.26,3.16,3.54,21252
2015-09-22,3.35,3.29,3.122,3.4399,12709
2015-09-23,3.31,3.29,3.16,3.31,8088
2015-09-24,3.3,3.11,2.98,3.31,8931
2015-09-27,3.04,2.91,2.91,3.15,8575
2015-09-28,2.91,2.94,2.91,3,10782
2015-09-29,2.88,3.01,2.88,3.0799,8176
2015-09-30,2.95,2.949,2.949,3.03,5957
2015-10-01,2.98,2.916,2.88,3,14917
2015-10-04,2.9452,2.9499,2.9199,2.95,3034
2015-10-05,2.886,2.9499,2.886,2.95,5116
2015-10-06,2.95,2.9,2.9,2.98,10497
2015-10-07,2.9,2.82,2.8,2.91,12348
2015-10-08,2.83,2.8,2.7999,2.8792,5338
2015-10-11,2.7996,2.78,2.7601,2.7996,1564
2015-10-12,2.898,2.81,2.8,2.898,3625
2015-10-13,2.81,2.7496,2.7496,2.966,4268
2015-10-14,2.85,2.8519,2.75,2.9,16445
2015-10-15,2.95,2.84,2.7924,2.96,16700
2015-10-18,2.85,2.7926,2.76,2.9,14843
2015-10-19,2.82,2.8275,2.82,2.89,10033
2015-10-20,2.771,2.8089,2.77,2.8089,1606
2015-10-21,2.8399,2.8,2.8,2.8399,1609
2015-10-22,2.83,2.82,2.8,2.85,4846
2015-10-25,2.8499,2.7332,2.65,2.8499,28500
2015-10-26,2.674,2.73,2.64,2.754,3866
2015-10-27,2.72,2.7299,2.6,2.77,3943
2015-10-28,2.7499,2.75,2.7499,2.8,12782
2015-10-29,2.74,2.715,2.56,2.74,7949
2015-11-01,2.67,2.72,2.67,2.73,13676
2015-11-02,2.75,2.7561,2.7463,2.76,6279
2015-11-03,2.8,2.8,2.79,2.81,13092
2015-11-04,2.8,2.8091,2.7797,2.8091,1298
2015-11-05,2.7201,2.6433,2.51,2.7685,32225
2015-11-08,2.69,2.64,2.59,2.69,7905
2015-11-09,2.6,2.59,2.53,2.61,7848
2015-11-10,2.55,2.57,2.511,2.6,5045
2015-11-11,2.5501,2.46,2.3728,2.5501,17458
2015-11-12,2.41,2.43,2.4,2.4499,8103
2015-11-15,2.4,2.39,2.3,2.41,9543
2015-11-16,2.39,2.35,1.83,2.39,12568
2015-11-17,2.21,2.21,2.006,2.358,18539
2015-11-18,2.23,2.147,2.11,2.23,16353
2015-11-19,2.19,2.35,2.17,2.38,9969
2015-11-22,2.3018,2.1701,2.15,2.35,7979
2015-11-23,2.2001,2.08,2.071,2.2001,18818
2015-11-24,2.122,2.1,2.05,2.122,10908
2015-11-26,2.06,2.06,2,2.11,6933
2015-11-29,2.08,2.17,2,2.18,14497
2015-11-30,2.18,2.01,2,2.18,8820
2015-12-01,2,2.07,2,2.131,19847
2015-12-02,2.12,2.05,2.0101,2.12,15599
2015-12-03,2.01,2.05,2.01,2.07,14328
2015-12-06,2.06,2.07,2.0356,2.07,9918
2015-12-07,2.1,2.05,2.02,2.12,67965
2015-12-08,2.09,2.05,2.04,2.09,70078
2015-12-09,2.02,2.1,2.02,2.1,35831
2015-12-10,2.07,2.04,2.03,2.12,48332
2015-12-13,2.02,2.07,2.02,2.07,15468
2015-12-14,2.07,2.07,2.03,2.07,34025
2015-12-15,2.1,2.12,2.07,2.12,44021
2015-12-16,2.09,2.02,1.96,2.09,38664
2015-12-17,2.07,1.86,1.78,2.07,54933
2015-12-20,1.92,1.989,1.87,2.04,21107
2015-12-21,2.04,2.05,1.9027,2.07,20933
2015-12-22,2.1,2.05,2.05,2.14,75266
2015-12-23,2.06,2.05,2.05,2.06,23040
2015-12-27,2.07,2.05,2.05,2.11,71359
2015-12-28,2.05,2.05,2.01,2.09,35474
2015-12-29,2.05,2.06,2,2.07,52506
2015-12-30,2.04,1.99,1.99,2.05,28531
2016-01-03,1.99,1.9899,1.9899,2.15,61215
2016-01-04,2.04,2.05,2.03,2.06,24605
2016-01-05,2.029,1.98,1.98,2.029,501
2016-01-06,1.97,1.95,1.95,2.03,27166
2016-01-07,2.06,2.05,2,2.06,38987
2016-01-10,2.05,2.05,2.01,2.05,4408
2016-01-11,2.12,2.0899,2.06,2.17,84550
2016-01-12,2.1,2.05,1.969,2.1,30620
2016-01-13,2.07,2.06,1.91,2.07,56372
2016-01-14,2.07,2.1,1.99,2.15,79207
2016-01-18,2.13,2.0289,2.01,2.142,58483
2016-01-19,2.07,1.94,1.9,2.07,33797
2016-01-20,2.08,1.99,1.99,2.08,34204
2016-01-21,2.07,2.1,2.07,2.16,35071
2016-01-24,2.03,2.06,2.03,2.1,25771
2016-01-25,1.9985,2.07,1.9985,2.07,3356
2016-01-26,2.07,2.14,1.96,2.295,83110
2016-01-27,2.12,2.1,2.08,2.12,6226
2016-01-28,2.12,2.11,2.0538,2.16,67267
2016-01-31,2.14,2.13,1.95,2.14,47373
2016-02-01,2.12,2.14,2.11,2.2,18653
2016-02-02,2.15,2.15,2.13,2.16,42546
2016-02-03,2.1588,2.17,2.0701,2.17,36123
2016-02-04,2.15,2.1299,2.1001,2.15,17081
2016-02-07,2.0101,1.96,1.9402,2.067,11530
2016-02-08,1.945,1.95,1.945,2.0899,5766
2016-02-09,2.0153,1.94,1.88,2.03,19804
2016-02-10,1.8831,1.8299,1.78,1.9258,32089
2016-02-11,1.88,1.99,1.88,1.99,11145
2016-02-15,1.9799,1.9,1.878,1.9799,4296
2016-02-16,1.9,1.9332,1.9,1.947,2164
2016-02-17,1.904,1.9599,1.9001,1.9599,6429
2016-02-18,1.9797,2.07,1.95,2.09,96972
2016-02-21,2.1,2.061,1.9911,2.1,39806
2016-02-22,2.059,2.05,2.01,2.07,14894
2016-02-23,2,2.05,1.9965,2.07,30093
2016-02-24,2.07,2.08,2.06,2.08,31384
2016-02-25,2.07,2.06,2.03,2.07,34847
2016-02-28,2.06,2.02,2.02,2.08,27719
2016-02-29,2.07,2.06,2.025,2.07,7489
2016-03-01,2.07,2.11,2.068,2.2,74372
2016-03-02,2.1,2.08,2.05,2.18,44158
2016-03-03,2.1,2.1199,2.0501,2.13,63872
2016-03-06,2.1079,2.07,2.07,2.12,34428
2016-03-07,2.05,2.067,2.0301,2.09,30283
2016-03-08,2.059,2.0099,1.98,2.059,16149
2016-03-09,2.01,1.9699,1.94,2.07,17100
2016-03-10,2.04,2.08,2.02,2.08,15860
2016-03-13,2,2.08,2,2.09,35926
2016-03-14,2.04,2.05,2.04,2.08,30765
2016-03-15,2.07,2.07,2.041,2.1,27295
2016-03-16,2.05,2.1,2.05,2.1304,66847
2016-03-17,2.09,2.08,2.06,2.14,65607
2016-03-20,2.05,2.06,2.05,2.0699,2014
2016-03-21,2.07,2.09,2.0317,2.14,79918
2016-03-22,2.09,2.0804,2.08,2.09,1299
2016-03-23,2.08,2.07,2,2.08,32649
2016-03-27,1.98,1.74,1.55,1.98,107069
2016-03-28,1.75,1.86,1.7499,1.9429,16605
2016-03-29,1.85,1.79,1.743,1.9199,5106
2016-03-30,1.791,1.7,1.69,1.808,10783
2016-03-31,1.74,1.82,1.7,1.88,18269
2016-04-03,1.86,1.84,1.75,1.86,18729
2016-04-04,1.8,1.81,1.79,1.84,3851
2016-04-05,1.8,1.77,1.77,1.8,7675
2016-04-06,1.77,1.78,1.77,1.8,8488
2016-04-07,1.8,1.77,1.77,1.8,297
2016-04-10,1.7,1.7,1.7,1.7299,3029
2016-04-11,1.7,1.71,1.7,1.7495,8349
2016-04-12,1.7,2.1,1.7,2.1,197073
2016-04-13,2.1,1.98,1.9345,2.1,99799
2016-04-14,1.99,1.96,1.96,2.07,21881
2016-04-17,2.0336,1.9875,1.9011,2.04,14573
2016-04-18,2.03,1.95,1.93,2.06,37138
2016-04-19,1.9912,1.98,1.9785,1.9912,933
2016-04-20,1.96,1.9457,1.9,1.9785,15586
2016-04-21,1.96,1.95,1.94,1.98,10886
2016-04-24,1.95,1.96,1.93,1.96,4115
2016-04-25,1.9501,1.94,1.94,1.98,1106
2016-04-26,1.9401,1.936,1.9101,1.98,13023
2016-04-27,1.94,1.97,1.94,1.98,800
2016-04-28,1.95,1.9475,1.9084,1.95,1045
2016-05-01,1.9283,1.9,1.9,1.95,4364
2016-05-02,1.9599,1.9,1.9,1.9599,10317
2016-05-03,1.9201,1.96,1.9201,1.96,2985
2016-05-04,1.9568,1.95,1.94,1.9568,1268
2016-05-05,1.95,1.91,1.91,1.96,6204
2016-05-08,1.9336,1.9499,1.8915,1.95,3192
2016-05-09,1.9,1.84,1.75,1.95,16840
2016-05-10,1.84,1.7,1.5875,1.8401,16750
2016-05-11,1.705,1.7,1.7,1.8,6501
2016-05-12,1.7535,1.71,1.7,1.7594,2936
