date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,6.93,6.93,6.93,6.99,22398
2014-01-02,6.89,6.92,6.89,6.95,9078
2014-01-05,6.97,6.98,6.92,7,31311
2014-01-06,6.97,6.94,6.9308,7.02,15177
2014-01-07,7.0399,7.01,6.9665,7.04,16771
2014-01-08,7.04,6.94,6.9,7.04,29029
2014-01-09,6.99,6.9,6.89,6.99,4507
2014-01-12,6.79,6.85,6.79,6.862,16086
2014-01-13,6.86,6.8,6.65,6.873,28917
2014-01-14,6.8,6.89,6.64,6.89,9860
2014-01-15,6.9,6.89,6.6964,6.9,11210
2014-01-16,6.8155,6.94,6.8001,6.98,18971
2014-01-20,6.94,6.97,6.94,6.98,20212
2014-01-21,7,7.01,6.9764,7.03,22254
2014-01-22,7.03,7,6.98,7.0635,11779
2014-01-23,7.07,6.97,6.94,7.219,24866
2014-01-26,6.9,6.74,6.6,6.9,55323
2014-01-27,7.08,6.94,6.88,7.09,43005
2014-01-28,6.99,6.82,6.82,7,20267
2014-01-29,7.09,6.81,6.78,7.09,21052
2014-01-30,6.71,6.73,6.71,6.81,14402
2014-02-02,6.82,6.81,6.741,6.97,32998
2014-02-03,6.9,6.76,6.7504,6.97,15687
2014-02-04,6.64,6.39,6.39,6.79,35486
2014-02-05,6.28,6.22,6.0241,6.309,47565
2014-02-06,6.28,6.34,6.24,6.42,11224
2014-02-09,6.25,6.28,6.15,6.3,14964
2014-02-10,6.34,6.67,6.3,6.68,27971
2014-02-11,6.7096,6.59,6.2201,6.71,22272
2014-02-12,6.63,6.65,6.61,6.75,11204
2014-02-13,6.69,6.43,6.27,7.09,103959
2014-02-17,6.48,6.48,6.4,6.56,22973
2014-02-18,6.48,6.69,6.44,6.69,10119
2014-02-19,6.6,6.85,6.6,6.98,5109
2014-02-20,6.92,6.95,6.8646,6.99,4628
2014-02-23,7.05,6.92,6.9,7.05,34708
2014-02-24,6.92,6.86,6.7783,6.93,7019
2014-02-25,6.82,6.8701,6.82,6.9725,7044
2014-02-26,6.92,6.81,6.77,6.93,54878
2014-02-27,6.8,6.91,6.8,6.93,33603
2014-03-02,6.8,6.77,6.53,6.87,25500
2014-03-03,6.7719,6.88,6.7655,6.92,8976
2014-03-04,6.84,6.85,6.68,6.86,16561
2014-03-05,6.83,6.78,6.78,6.83,12178
2014-03-06,6.77,6.91,6.73,6.92,14956
2014-03-09,7,6.92,6.82,7,14978
2014-03-10,6.97,6.8,6.7201,6.97,4744
2014-03-11,6.64,6.75,6.64,6.8855,1772
2014-03-12,6.69,6.61,6.58,6.69,7840
2014-03-13,6.56,6.54,6.51,6.62,20317
2014-03-16,6.45,6.56,6.33,6.63,20999
2014-03-17,6.62,6.86,6.6,6.86,15056
2014-03-18,6.8,6.78,6.75,6.8102,11595
2014-03-19,6.762,6.82,6.762,6.8899,6234
2014-03-20,6.82,6.81,6.76,6.85,6381
2014-03-23,6.82,6.81,6.7,6.82,8965
2014-03-24,6.82,6.72,6.601,6.83,10194
2014-03-25,6.7,6.68,6.68,6.82,7671
2014-03-26,6.75,6.55,6.5,6.75,22546
2014-03-27,6.73,6.59,6.56,6.73,9050
2014-03-30,6.6,6.74,6.6,6.7499,6924
2014-03-31,6.75,6.74,6.69,6.75,9724
2014-04-01,6.674,6.69,6.664,6.7,5528
2014-04-02,6.67,6.75,6.6499,6.75,4539
2014-04-03,6.75,6.81,6.74,6.81,2209
2014-04-06,6.83,6.67,6.57,6.83,8275
2014-04-07,6.511,6.829,6.511,6.83,11582
2014-04-08,6.44,6.555,6.44,6.66,49104
2014-04-09,6.55,6.56,6.53,6.7003,10427
2014-04-10,6.5726,6.42,6.281,6.5726,18997
2014-04-13,6.49,6.39,6.33,6.5099,5628
2014-04-14,6.3,6.33,6.14,6.5,27194
2014-04-15,6.5,6.44,6.21,6.5,5840
2014-04-16,6.5,6.5,6.32,6.5,3936
2014-04-20,6.34,6.46,6.28,6.48,7873
2014-04-21,6.38,6.65,6.35,6.65,16399
2014-04-22,6.65,6.86,6.63,6.87,8788
2014-04-23,6.8,6.9,6.49,6.9,19301
2014-04-24,6.6504,6.8,6.65,6.89,7407
2014-04-27,6.87,6.88,6.8,6.95,12187
2014-04-28,6.8,6.8101,6.8,6.89,8186
2014-04-29,6.85,6.78,6.7,6.88,15022
2014-04-30,6.8,6.71,6.57,6.81,13384
2014-05-01,6.63,6.5,6.4999,6.86,26109
2014-05-04,6.5,6.64,6.43,6.7,9667
2014-05-05,6.56,6.65,6.51,6.739,5546
2014-05-06,6.56,6.64,6.5,6.72,23619
2014-05-07,6.59,6.55,6.51,6.67,12554
2014-05-08,6.55,6.61,6.43,6.71,6315
2014-05-11,6.67,6.4446,6.35,6.68,50759
2014-05-12,6.41,6.41,6.03,6.52,21271
2014-05-13,6.394,6.35,6.35,6.42,3055
2014-05-14,6.27,6.2,6.2,6.33,6413
2014-05-15,6.3,6.1,6.1,6.31,16754
2014-05-18,6.1699,6.3,6.16,6.3995,22994
2014-05-19,6.24,6.28,6.1,6.365,5475
2014-05-20,6.27,6.23,6.17,6.34,8211
