date,open_price,close_price,lowest_price,highest_price,volume
2017-10-19,16,16.61,16,17.86,11544677.0
2017-10-22,17.19,15.14,14.71,17.4972,2586788.0
2017-10-23,15.32,14.27,13.55,15.32,2166070.0
2017-10-24,14.33,12.21,11.1,14.65,3772132.0
2017-10-25,11.73,12.3,11.67,13.12,1746286.0
2017-10-26,12.44,13.74,12.36,13.94,1584115.0
2017-10-29,13.79,14.36,13.7,14.39,873364
2017-10-30,14.35,14.14,14.05,14.49,658098
2017-10-31,14.03,12.92,12.26,14.36,1758904.0
2017-11-01,12.9,12.85,12.39,13.42,587611
2017-11-02,12.9,13.33,12.9,13.42,145125
2017-11-05,13.24,13.57,12.5,13.64,568495
2017-11-06,13.51,12.75,12.4,13.73,472685
2017-11-07,13.19,12.31,12.2,13.19,276096
2017-11-08,12.19,12.13,12.01,12.39,278362
2017-11-09,12.12,11.42,11.05,12.18,1004237.0
2017-11-12,11.42,10.81,10.63,11.42,842426
2017-11-13,11.11,10.32,10.21,11.18,694259
2017-11-14,10.23,9.72,9.595,10.23,790037
2017-11-15,9.91,9.89,9.6,10.2972,1186943.0
2017-11-16,9.91,10.69,9.85,10.8499,642270
2017-11-19,10.61,9.78,9.62,10.72,678791
2017-11-20,9.72,9.75,9.5,10.02,539967
2017-11-21,9.76,10.06,9.75,10.14,271908
2017-11-23,9.75,9.63,9.52,9.8,683529
2017-11-26,9.85,10.59,9.75,10.71,653540
2017-11-27,10.73,9.92,9.5,10.79,851833
2017-11-28,10,9.97,9.8,10.2272,405166
2017-11-29,10.05,10.17,9.81,10.2,365805
2017-11-30,10.17,10.06,9.92,10.33,366435
2017-12-03,10.09,10.07,9.9895,10.125,223235
2017-12-04,10.01,10.37,10.01,10.5,188108
2017-12-05,10.36,10.56,10.2,10.7,240292
2017-12-06,10.56,10.81,10.56,10.97,227762
2017-12-07,10.88,11.15,10.86,11.28,224423
2017-12-10,11.24,11.76,11.24,11.98,542496
2017-12-11,11.76,12.3,11.5,12.31,555870
2017-12-12,12.15,11.97,11.9099,12.67,398588
2017-12-13,12.07,12.2,11.75,12.595,356612
2017-12-14,12.07,12.36,11.985,12.75,206698
2017-12-17,12.46,12.34,11.95,12.64,459235
2017-12-18,12.43,12.61,12.19,12.73,196864
2017-12-19,12.79,12.53,12.31,12.79,297856
2017-12-20,12.46,12.55,12.02,12.65,363415
2017-12-21,12.47,12.5,12.19,12.6,151531
2017-12-25,12.4,12.8,12.31,12.96,130677
2017-12-26,12.91,14.24,12.91,14.4,932758
2017-12-27,14.2,14.62,13.92,14.68,325838
2017-12-28,14.29,14.79,14.19,15.19,402039
2018-01-01,14.9,14.88,14.5296,15.06,297887
2018-01-02,14.76,15.31,14.4,15.425,467821
2018-01-03,15.43,15.11,14.85,15.665,361075
2018-01-04,15,15,14.8,15.225,272448
2018-01-07,15.09,14.94,14.6,15.31,237294
2018-01-08,14.96,14.49,14.46,15.03,281461
2018-01-09,14.65,14.91,14.65,15.05,304579
2018-01-10,14.91,14.98,14.77,15.1,380942
2018-01-11,15.03,14.96,14.486,15.11,197215
2018-01-15,15.06,14.64,14.56,15.06,470693
2018-01-16,14.71,14.96,14.59,15.08,204193
2018-01-17,14.85,14.95,14.73,15.06,229425
2018-01-18,15,16.3,14.9385,16.7,726093
2018-01-21,16.5,16.3,16.18,16.72,438591
2018-01-22,16.17,16.06,15.67,16.32,338847
2018-01-23,15.98,16.4,15.7,16.71,419946
2018-01-24,16.53,16.34,16.24,16.53,330314
2018-01-25,16.37,16.3,16.11,16.59,395286
2018-01-28,16.25,16.5,16.25,16.57,318548
2018-01-29,16.5,16.45,16,16.55,288945
2018-01-30,16.45,16.45,16.26,16.56,339108
2018-01-31,16.5,16.45,16.14,16.5,375976
2018-02-01,16.49,16,15.79,16.5,376935
2018-02-04,15.83,14,13.05,15.83,500168
2018-02-05,13.72,15.61,13.121,15.65,545829
2018-02-06,14.88,15.8,14.0811,15.92,375529
2018-02-07,15.91,15.27,15.01,16.1,257056
2018-02-08,15.2,15.54,14.6067,15.6,337035
2018-02-11,15.65,15.97,15.44,16,220278
2018-02-12,15.86,16,15.67,16.01,233033
2018-02-13,16,16.34,15.75,16.38,192468
2018-02-14,16.42,16.47,16.18,16.5,75929
2018-02-15,16.5,16.39,16.14,16.5,56812
2018-02-19,16.4,16.38,16.1,16.6,144603
2018-02-20,16.42,16.31,16,16.42,163395
2018-02-21,16.37,16.06,15.81,16.37,113796
2018-02-22,16.19,16.48,16.025,16.6,68858
2018-02-25,16.5,15.92,15.9,16.5,117596
2018-02-26,15.89,16.49,15.77,16.585,98363
2018-02-27,16.37,16.49,16.061,16.5,271979
2018-02-28,16.44,15.55,15.55,16.44,113511
2018-03-01,15.65,15.38,14.23,15.65,244622
2018-03-04,15.21,15.39,15.13,15.46,33473
2018-03-05,15.49,15.84,15.14,15.99,74370
2018-03-06,15.71,15.81,15.41,15.93,33029
2018-03-07,15.79,15.65,15.455,15.94,51977
2018-03-08,15.71,15.67,15.45,16.14,73976
2018-03-11,15.76,17.08,15.52,17.24,436557
2018-03-12,17.12,17.41,17.0799,18.6,341781
2018-03-13,17.5,17.08,16.9,17.5,201591
2018-03-14,17.36,16.34,16.13,18,218724
2018-03-15,16.88,14.34,14.12,17.85,319359
2018-03-18,14.41,16.48,14.41,16.5,488206
2018-03-19,16.39,16.98,16.03,17.25,432544
2018-03-20,17,17.03,16.19,17.14,141125
2018-03-21,16.85,15.47,15.25,16.85,148664
2018-03-22,15.34,15.83,15.3166,16.4,183570
2018-03-25,16.02,14.94,14.731,16.02,128682
2018-03-26,15.04,15.06,14.92,15.629,82145
2018-03-27,15.01,15.1,14.97,15.48,106330
2018-03-28,15.1,15.31,14.9112,15.52,53375
2018-04-01,15.18,15.02,14.7,15.3,68831
2018-04-02,14.97,14.88,14.67,15.3,58462
2018-04-03,14.59,15.06,14.52,15.21,33249
2018-04-04,15.17,15.28,14.7,15.67,39192
2018-04-05,15.15,14.95,14.84,15.24,21625
2018-04-08,15.09,15.36,15.09,16,72403
2018-04-09,15.52,14.98,14.98,15.69,120164
2018-04-10,15.08,15.39,14.671,15.6,38279
2018-04-11,15.5,15.36,15.19,15.93,19315
2018-04-12,15.33,15.04,14.7,15.33,30369
2018-04-15,15.07,14.93,14.81,15.2,16803
2018-04-16,15,14.97,14.9,15.265,20167
2018-04-17,14.95,15.09,14.91,15.1942,27836
2018-04-18,15.09,15.82,15.09,15.9,46506
2018-04-19,15.91,16.1,15.21,16.1,19645
2018-04-22,15.98,16.03,15.4,16.1,56359
2018-04-23,15.99,16.24,15.6702,16.59,47522
