date,open_price,close_price,lowest_price,highest_price,volume
2015-12-14,13,13,12.5,16.05,1174901.0
2015-12-15,14.7,13.28,13.01,15.04,404360
2015-12-16,13.03,14.44,13.01,14.58,148488
2015-12-17,14.49,16.76,14.49,17.65,570755
2015-12-20,16.1,14.05,14,16.7,768851
2015-12-21,13.63,13.32,13.2,14.07,516317
2015-12-22,13,13.43,13,13.91,312981
2015-12-23,13.4,13.45,13.4,13.62,146966
2015-12-27,13.45,13.98,13.4,14.89,399286
2015-12-28,13.95,14.4,13.9,14.47,150972
2015-12-29,14.32,14.44,14.3,14.63,198189
2015-12-30,14.44,14.41,14.08,14.71,247204
2016-01-03,14.22,15.67,14,15.89,235385
2016-01-04,15.85,15.82,15.38,16.2893,370073
2016-01-05,15.8,15.97,15.7,16.2217,83445
2016-01-06,15.95,15.71,15.51,16.25,262776
2016-01-07,15.69,15.88,15.54,16.06,166980
2016-01-10,15.94,16.43,15.94,16.7,133801
2016-01-11,16.53,17.19,16.53,17.4298,283216
2016-01-12,17.14,17.81,17.14,17.87,193563
2016-01-13,18.08,20.11,17.85,20.25,184742
2016-01-14,19.59,19.2,18.45,19.85,153170
2016-01-18,19.33,19.37,18.57,19.46,174438
2016-01-19,19.36,18.99,17.45,19.3981,195454
2016-01-20,18.99,19.02,18.52,19.44,107342
2016-01-21,19.2,21.51,19,21.58,189857
2016-01-24,21.51,21.63,20.88,22,96690
2016-01-25,22.07,22.42,21.89,22.75,173882
2016-01-26,22.51,21.02,21.01,22.51,82154
2016-01-27,20.95,20.62,20.02,20.95,53980
2016-01-28,20.63,20.85,20.11,20.95,158233
2016-01-31,20.76,19.94,19.77,20.76,129454
2016-02-01,19.79,19,18.7,19.8,134909
2016-02-02,18.93,19.77,18.75,19.88,75701
2016-02-03,19.79,21.26,19.79,21.34,297055
2016-02-04,21.31,21.75,21.31,21.79,106825
2016-02-07,21.82,21.7,21.5,21.94,88615
2016-02-08,21.55,21.42,21.27,21.9999,113205
2016-02-09,21.4,21.32,20.9901,21.6364,56918
2016-02-10,21.04,20.85,20.76,21.56,32267
2016-02-11,20.05,20.39,20.05,21.25,89880
2016-02-15,20.41,20.69,20.31,20.8,80216
2016-02-16,20.92,21.79,20.92,21.94,105376
2016-02-17,21.9,22.11,21.783,22.38,76244
2016-02-18,22.13,23.02,22,23.04,96990
2016-02-21,23.05,23.74,23.05,24.53,133566
2016-02-22,23.85,23.66,23.6001,24.05,135330
2016-02-23,23.6,23.07,23,23.8,128599
2016-02-24,23.2,23.19,22.9,23.5,64409
2016-02-25,23.09,23.09,23,23.17,47478
2016-02-28,23,22.56,22.5503,23.08,69073
2016-02-29,22.53,23.18,22.5001,23.2,45074
2016-03-01,23.24,23.34,23.12,23.47,46696
2016-03-02,23.27,23.95,23.27,24,46895
2016-03-03,24,23.71,23.36,24,50795
2016-03-06,23.55,23.07,22.5616,23.55,50450
2016-03-07,23.35,23.27,23.23,23.49,34181
2016-03-08,23.22,23.27,23.12,23.3,22956
2016-03-09,23.31,23.6,23.1701,23.85,53503
2016-03-10,23.7,23.9,23.6,23.92,41774
2016-03-13,23.95,23.88,23.76,24,32564
2016-03-14,23.77,23.85,23.635,23.9,67916
2016-03-15,23.72,23.95,23.72,24,23290
2016-03-16,23.91,24.87,23.82,24.92,40174
2016-03-17,24.91,24.88,24.562,25,144701
2016-03-20,25,24.63,24.13,25,49530
2016-03-21,24.5,24.46,24.2222,24.82,29384
2016-03-22,24.35,24.37,23.9,24.48,46779
2016-03-23,24.29,24.36,24.06,24.42,29636
2016-03-27,24.49,24.79,24.3481,24.93,34366
2016-03-28,24.69,24.98,24.42,25.1186,43023
2016-03-29,25.05,25.04,24.86,25.905,124790
2016-03-30,25.13,25.01,24.91,25.13,43211
2016-03-31,24.76,24.04,24.04,25.06,112621
2016-04-03,24,24.06,23.88,24.64,95064
2016-04-04,23.89,24.39,23.88,24.43,29244
2016-04-05,24.33,24.32,24.02,24.68,32951
2016-04-06,24.16,24.16,23.99,24.33,45638
2016-04-07,24.17,24.13,23.9,24.19,51074
2016-04-10,24.06,24.9,24,25.01,38598
2016-04-11,24.82,24.79,24.66,24.9,32377
2016-04-12,24.8,25.08,24.702,25.655,43766
2016-04-13,25.2,25.25,25.02,25.38,40497
2016-04-14,25.14,24.72,24.72,25.2616,30629
2016-04-17,24.73,24.5,24.46,25,47582
2016-04-18,24.62,24.86,24.45,24.9899,26926
2016-04-19,24.76,24.76,24.69,24.9696,30435
2016-04-20,24.61,24.01,23.79,24.6162,31259
2016-04-21,24.12,25.01,24.12,25.1,48355
2016-04-24,24.89,25.01,24.49,25.08,23675
2016-04-25,24.97,25.48,24.7235,25.5,27528
2016-04-26,25.48,25.24,24.8688,25.48,37590
2016-04-27,25.07,25.15,25.04,25.4399,32334
2016-04-28,25.24,24.92,24.69,25.4,30308
