date,open_price,close_price,lowest_price,highest_price,volume
2017-11-16,14.25,14.1,13.78,14.94,997203
2017-11-19,14.05,14.15,14,14.45,86476
2017-11-20,14.19,14,13.98,14.19,75188
2017-11-21,14.02,14.16,13.8,14.935,56110
2017-11-23,14.35,14.07,14.07,14.7,24699
2017-11-26,14.25,14.36,14.16,14.65,25220
2017-11-27,14.41,15.01,14.41,15.44,65973
2017-11-28,15.01,15.85,14.948,15.99,46641
2017-11-29,15.84,16.42,15.83,16.66,36992
2017-11-30,16.5,16.58,16.5,17.3999,38651
2017-12-03,17.09,17.31,17.0071,18.17,54901
2017-12-04,17.32,15.6,15.41,17.32,56384
2017-12-05,15.55,14.38,14.38,15.55,34403
2017-12-06,14.39,13.86,13.02,14.65,108404
2017-12-07,13.46,14.61,13.46,15,48223
2017-12-10,14.4,14.92,14.4,15.75,50849
2017-12-11,14.65,14.51,14.5,15,58343
2017-12-12,14.5,14.18,14.03,14.55,24012
2017-12-13,14.29,13.96,13.9,14.335,30229
2017-12-14,14.01,13.5,13.5,14.39,35663
2017-12-17,13.58,13.11,13.01,13.7799,16433
2017-12-18,13.1,12.4,12.04,14,67456
2017-12-19,12.5,12.11,12.1,12.5101,14356
2017-12-20,12.13,11.8,11.8,12.255,44973
2017-12-21,11.75,12.96,11.75,13.24,33662
2017-12-25,13.3548,13.33,12.816,13.3548,16632
2017-12-26,13.34,13.39,12.67,13.39,29112
2017-12-27,13.1887,12.63,12.6,13.1887,33257
2017-12-28,12.89,12.09,12.09,13,38973
2018-01-01,12.21,12.17,11.8211,13.04,31679
2018-01-02,12.24,11.7814,11.5,12.6754,48039
2018-01-03,11.72,11.78,11.72,11.88,4127
2018-01-04,11.87,11.82,11.8,11.979,8431
2018-01-07,11.91,12.49,11.83,12.5,34628
2018-01-08,12.29,12.11,11.9733,12.9,52247
2018-01-09,12.9159,12.25,11.9,12.9159,14287
2018-01-10,12.32,12.25,12.205,12.75,32160
2018-01-11,12.18,12,11.9,12.5649,17557
2018-01-15,12.3,12.23,12.1073,12.47,52798
2018-01-16,12.23,12.23,12.22,12.4999,20685
2018-01-17,12.315,12.21,12.13,12.36,5922
2018-01-18,12.21,12.19,12.1,12.2101,29160
2018-01-21,12.01,12.26,12.01,12.49,17992
2018-01-22,12.3,12.74,12.21,12.785,36813
2018-01-23,12.63,12.62,12.4,12.93,18957
2018-01-24,12.725,12.88,12.6396,12.93,18969
2018-01-25,12.8468,12.7,12.01,12.9004,65995
2018-01-28,12.75,12.78,12.51,12.88,20675
2018-01-29,12.64,12.75,12.23,12.94,38068
2018-01-30,12.85,12.75,12.5323,12.92,42961
2018-01-31,12.4546,12.51,12.38,12.95,33040
2018-02-01,12.6,12.28,12.201,12.6,13144
2018-02-04,12.31,12.67,12.27,12.94,22287
2018-02-05,12.38,11.98,11.84,12.78,17853
2018-02-06,12.16,12.1,12.07,12.7,17049
2018-02-07,12.23,11.98,11.521,12.3657,9450
2018-02-08,11.97,12,11.97,12.43,17738
2018-02-11,12.4,12.14,12.07,12.7468,106201
2018-02-12,12.2,12.46,12.2,12.6,12003
2018-02-13,12.6,13.39,12.45,13.49,5713
2018-02-14,12.4731,13.93,12.4731,14.35,52627
2018-02-15,14.1,13.85,13.6356,14.6715,34648
2018-02-19,14.0628,15.19,14.0628,15.95,37201
2018-02-20,15.3,15.19,14.53,15.5296,29603
2018-02-21,15.33,15,14.7,15.33,28374
2018-02-22,14.95,15.35,14.9,15.38,19809
2018-02-25,15.71,15.58,15.3,15.71,14742
2018-02-26,15.75,15.485,15.13,15.75,15820
2018-02-27,14.81,15.99,14.8,16,21497
2018-02-28,15.9,15.88,15.57,16,22988
2018-03-01,15.48,15.36,15.35,15.69,22463
2018-03-04,15.25,15.72,15.25,15.89,23930
2018-03-05,15.82,15.79,15.15,16,35062
2018-03-06,15.3176,15.94,15.3176,15.94,23698
2018-03-07,15.8,15.94,15.44,16,35785
2018-03-08,16,16.07,15.1,16.1,51431
2018-03-11,16.1,16.72,15.375,17.9553,78803
2018-03-12,16.4238,17.32,16.4238,17.74,77708
2018-03-13,17.22,15.8,15.12,17.5,125317
2018-03-14,15.5033,14.73,14.47,16.25,105611
