date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,14.49,14.55,14.375,14.615,155094
2014-01-02,14.56,14.69,14.56,14.775,60480
2014-01-05,14.695,14.42,14.38,14.72,141304
2014-01-06,14.545,14.32,14.29,14.875,101900
2014-01-07,14.25,13.93,13.865,14.25,77310
2014-01-08,13.93,13.665,13.47,13.93,78964
2014-01-09,12.745,12.96,12.695,13.225,574870
2014-01-12,12.935,12.685,12.405,13.015,356938
2014-01-13,12.69,12.4,12.375,12.705,115306
2014-01-14,12.39,12.41,12.325,12.495,79010
2014-01-15,12.385,12.21,12.13,12.595,89954
2014-01-16,12.225,12.19,12.02,12.225,83590
2014-01-20,12.22,12.16,12.045,12.26,89952
2014-01-21,12.185,12.075,12.075,12.185,34942
2014-01-22,12.055,11.99,11.875,12.145,76202
2014-01-23,11.88,12.015,11.795,12.065,155026
2014-01-26,12.01,11.965,11.945,12.145,207770
2014-01-27,11.925,12.1,11.925,12.125,148628
2014-01-28,12.17,12.025,11.925,12.17,105068
2014-01-29,12.18,12.72,12.13,12.955,297946
2014-01-30,12.525,12.35,12.305,12.75,254006
2014-02-02,12.375,12.09,12.005,12.4938,171736
2014-02-03,12.1,12.065,11.98,12.11,84958
2014-02-04,11.995,11.955,11.85,12.085,99132
2014-02-05,12.03,12.19,11.8,12.235,121104
2014-02-06,12.19,12.185,12.075,12.355,89468
2014-02-09,12.145,12.055,11.875,12.2,69202
2014-02-10,12.095,12.295,11.837,12.32,60122
2014-02-11,12.34,12.325,12.215,12.46,73258
2014-02-12,12.205,12.69,12.205,12.73,123774
2014-02-13,12.675,12.66,12.45,12.7,78128
2014-02-17,12.65,12.925,12.645,12.955,74642
2014-02-18,12.845,12.685,12.535,13.04,64792
2014-02-19,12.56,12.775,12.56,12.985,66752
2014-02-20,12.86,12.88,12.715,13.133,89896
2014-02-23,12.86,12.75,12.71,12.955,44106
2014-02-24,12.78,12.72,12.62,12.8475,57084
2014-02-25,12.71,12.915,12.62,13.09,83748
2014-02-26,12.855,12.945,12.708,13.005,65592
2014-02-27,12.985,12.92,12.845,13.075,140972
2014-03-02,12.84,12.87,12.59,12.9,78920
2014-03-03,13.04,13.425,12.995,13.57,358788
2014-03-04,13.36,13.26,13.06,13.4,52962
2014-03-05,13.256,13.34,12.99,13.425,66104
2014-03-06,13.435,13.575,13.22,13.62,53714
2014-03-09,13.51,13.48,13.3658,13.72,69232
2014-03-10,13.46,13.195,13.09,13.46,47112
2014-03-11,13.095,13.13,13.07,13.225,46160
2014-03-12,13.13,13.125,12.945,13.26,107692
2014-03-13,13.05,13.075,13.01,13.25,25322
2014-03-16,13.15,13.04,12.9952,13.25,80006
2014-03-17,13.085,12.9175,12.81,13.135,109126
2014-03-18,12.885,12.695,12.6,12.885,81844
2014-03-19,12.615,12.47,12.355,12.725,302634
2014-03-20,12.575,11.85,11.85,13.1,550644
2014-03-23,11.9,11.765,11.5,12.025,303466
2014-03-24,11.83,11.685,11.465,11.83,247418
2014-03-25,11.7,11.405,11.405,11.795,133834
2014-03-26,11.425,11.505,11.37,11.565,161824
2014-03-27,11.48,11.5,11.425,11.57,115158
2014-03-30,11.495,11.52,11.425,11.595,287474
2014-03-31,11.5,11.535,11.42,11.56,268636
2014-04-01,11.5,11.63,11.48,11.8,405692
2014-04-02,11.55,11.56,11.5,11.625,176442
2014-04-03,11.66,11.305,11.195,11.825,131530
2014-04-06,11.26,11.305,10.963,11.375,109058
2014-04-07,11.355,11.315,11.275,11.53,74224
2014-04-08,11.35,11.31,11.16,11.3868,120966
2014-04-09,11.26,11.13,11.055,11.31,112096
2014-04-10,11.085,10.915,10.855,11.105,115586
2014-04-13,11.055,11.19,10.995,11.5825,362650
2014-04-14,11.18,11.175,10.965,11.465,180546
2014-04-15,11.29,11.22,11.175,11.325,52392
2014-04-16,11.165,11.375,11.165,11.465,99930
2014-04-20,11.43,11.425,11.36,11.485,110912
2014-04-21,11.475,11.47,11.425,11.5809,64248
2014-04-22,11.435,11.36,11.285,11.625,348348
2014-04-23,11.455,11.41,11.315,11.485,60800
2014-04-24,11.39,11.285,11.19,11.45,108034
2014-04-27,11.365,11.29,11.165,11.505,62798
2014-04-28,11.37,11.41,11.29,11.485,240090
2014-04-29,11.4,11.42,11.2325,11.455,116960
2014-04-30,11.365,11.21,11.07,11.4,121212
2014-05-01,11.26,11.23,11.135,11.45,64426
2014-05-04,11.155,11.12,11.02,11.185,85916
2014-05-05,11.05,10.935,10.925,11.12,161058
2014-05-06,10.915,10.975,10.745,11.015,106706
2014-05-07,10.98,10.95,10.81,11.27,67326
2014-05-08,10.87,11.245,10.87,11.315,87894
2014-05-11,11.35,11.375,11.2201,11.445,133632
2014-05-12,11.35,11.14,11.12,11.39,112020
2014-05-13,11.075,10.91,10.875,11.15,115248
2014-05-14,10.825,11.01,10.7,11.085,105058
2014-05-15,10.97,11.245,10.92,11.25,71698
2014-05-18,11.25,11.375,11.205,11.405,52230
2014-05-19,11.285,10.945,10.805,11.49,174736
2014-05-20,11.005,10.985,10.795,11.13,94110
2014-05-21,10.955,10.815,10.75,11.05,222836
2014-05-22,10.02,9.45,9.325,10.02,623978
2014-05-26,9.5,9.275,9.22,9.5347,418682
2014-05-27,9.22,9.055,9.025,9.29,204376
2014-05-28,9.11,9.04,9.02,9.124,184324
2014-05-29,9.08,9.35,9.0409,9.4075,158886
2014-06-01,9.33,9.31,9.25,9.45,121822
2014-06-02,9.31,9.275,9.26,9.425,177308
2014-06-03,9.27,9.31,9.115,9.385,211682
2014-06-04,9.33,9.35,9.25,9.415,280428
2014-06-05,9.405,9.545,9.3705,9.575,154488
2014-06-08,9.53,9.715,9.53,9.735,128906
2014-06-09,9.735,9.965,9.735,10.015,445162
2014-06-10,9.91,9.885,9.83,9.99,78332
2014-06-11,9.91,9.72,9.685,9.91,97346
2014-06-12,9.73,9.75,9.63,9.76,61972
2014-06-15,9.75,9.705,9.66,9.835,112492
2014-06-16,9.735,9.9,9.735,9.915,123186
2014-06-17,9.86,9.97,9.795,10.04,67710
2014-06-18,10.005,10.085,9.995,10.15,85314
2014-06-19,10.145,10.185,10.0875,10.25,218088
2014-06-22,10.15,10.255,10.075,10.3,150668
2014-06-23,10.215,10.275,9.9602,10.475,213532
2014-06-24,10.19,10.41,10.19,10.455,225024
2014-06-25,10.37,10.28,10.2,10.375,205362
2014-06-26,10.28,10.315,10.161,10.39,218504
2014-06-29,10.3,10.325,10.2,10.38,110464
2014-06-30,10.325,10.495,10.325,10.59,115972
2014-07-01,10.475,10.305,10.25,10.58,928458
2014-07-02,10.35,10.25,10.22,10.35,177862
2014-07-06,10.265,10.13,10.045,10.36,102480
2014-07-07,10.075,10.105,9.94,10.17,77026
2014-07-08,10.125,10,9.9,10.16,81688
2014-07-09,9.825,9.87,9.75,9.99,299804
2014-07-10,9.855,9.605,9.575,9.855,104322
2014-07-13,9.645,9.515,9.5,9.715,90076
2014-07-14,9.54,9.44,9.425,9.66,90066
2014-07-15,9.47,9.3,9.2701,9.5,82370
2014-07-16,9.265,9.175,9.155,9.38,88278
2014-07-17,9.135,9.325,9.135,9.36,140008
2014-07-20,9.24,9.24,9.19,9.32,92790
2014-07-21,9.25,9.135,9.125,9.5,50942
2014-07-22,9.165,9.19,9.125,9.22,52740
2014-07-23,9.185,9.27,9.185,9.375,162158
2014-07-24,9.25,9.085,9.06,9.295,57628
2014-07-27,9.06,8.905,8.89,9.115,98642
2014-07-28,8.915,9.015,8.89,9.0948,125366
2014-07-29,9.06,9.035,8.955,9.1,70016
2014-07-30,8.945,8.9,8.83,9.03,439766
2014-07-31,8.93,8.7,8.65,8.9613,137384
2014-08-03,8.815,8.75,8.7,8.85,265220
2014-08-04,8.73,8.965,8.73,9.4025,176890
2014-08-05,8.935,9.23,8.935,9.32,120576
2014-08-06,9.59,9.755,9.52,9.815,765662
2014-08-07,9.725,9.95,8.91,10.01,221136
2014-08-10,10.03,9.845,9.835,10.433,138486
2014-08-11,9.85,9.725,9.67,9.89,81952
2014-08-12,9.75,9.785,9.59,9.81,155462
2014-08-13,9.76,9.87,9.725,9.9198,88468
2014-08-14,9.95,9.975,9.83,10.03,255746
2014-08-17,10.135,10.265,9.99,10.29,152584
2014-08-18,10.305,10.425,10.235,10.47,179064
2014-08-19,10.4,10.57,10.35,10.65,129356
2014-08-20,10.515,10.575,10.495,10.7,135024
2014-08-21,10.59,10.71,10.555,10.77,113854
2014-08-24,10.755,10.81,10.71,10.9,77604
2014-08-25,10.855,10.91,10.706,10.995,205578
2014-08-26,10.945,10.925,10.7925,10.9775,119664
2014-08-27,10.633,10.79,10.633,10.905,123938
2014-08-28,10.79,10.765,10.705,10.92,91656
2014-09-01,10.85,11.005,10.85,11.04,149146
2014-09-02,11.075,11.08,11.005,11.295,360864
2014-09-03,10,9.925,9.77,10.075,1228010.0
2014-09-04,9.85,9.705,9.64,9.86,139716
2014-09-07,9.705,9.655,9.555,9.785,121846
2014-09-08,9.65,9.355,9.345,9.65,113022
2014-09-09,9.315,9.37,9.25,9.415,136098
2014-09-10,9.335,9.62,9.335,9.625,157992
2014-09-11,9.625,9.48,9.365,9.625,98882
2014-09-14,9.51,9.325,9.275,9.52,148862
2014-09-15,9.305,9.405,9.285,9.495,143826
2014-09-16,9.435,9.445,9.37,9.5,127940
2014-09-17,9.47,9.525,9.435,9.535,88744
2014-09-18,9.56,9.38,9.365,9.605,137758
2014-09-21,9.305,9.095,9.065,9.315,133322
2014-09-22,9.08,9.13,9.08,9.22,131912
2014-09-23,9.16,9.235,9.1125,9.29,73712
2014-09-24,9.154,9.01,8.975,9.17,111774
2014-09-25,9.01,8.88,8.82,9.145,164188
2014-09-28,8.775,8.96,8.775,9.01,113154
2014-09-29,8.975,8.905,8.89,8.995,164972
2014-09-30,8.875,8.735,8.71,8.925,156786
2014-10-01,8.695,8.765,8.695,8.885,80342
2014-10-02,8.865,8.765,8.75,8.865,77162
2014-10-05,8.75,8.655,8.635,8.82,106596
2014-10-06,8.595,8.54,8.515,8.64,100098
2014-10-07,8.525,8.595,8.365,8.61,142340
2014-10-08,8.55,8.52,8.34,8.585,146274
2014-10-09,8.465,8.835,8.465,8.895,173346
2014-10-12,8.795,9.03,8.755,9.185,133610
2014-10-13,9.08,9.36,9.08,9.375,137996
2014-10-14,9.215,9.315,9.055,9.42,240054
2014-10-15,9.2,9.455,9.2,9.575,131658
2014-10-16,9.59,9.05,9.005,9.63,183616
2014-10-19,9.045,8.98,8.88,9.095,115026
2014-10-20,8.995,8.995,8.84,9.09,156512
2014-10-21,9.03,8.87,8.845,9.135,126598
2014-10-22,8.965,8.94,8.895,9.015,62128
2014-10-23,8.975,8.805,8.6725,8.975,71484
2014-10-26,8.73,8.72,8.57,8.745,62088
2014-10-27,8.73,9.02,8.62,9.035,148718
2014-10-28,9.01,8.935,8.785,9.025,77644
2014-10-29,8.925,8.995,8.818,9.035,72764
2014-10-30,9.17,9.2,9.09,9.225,113368
2014-11-02,9.2,9.21,9.15,9.28,128116
2014-11-03,9.205,9.345,9.18,9.56,154904
2014-11-04,9.43,9.37,9.33,9.525,57546
2014-11-05,9.385,9.49,9.35,9.51,50208
2014-11-06,9.415,9.52,9.4,9.52,56302
2014-11-09,9.495,9.41,9.275,9.5,44630
2014-11-10,9.4,9.465,9.305,9.495,49480
2014-11-11,9.41,9.545,9.385,9.6276,103782
2014-11-12,9.56,9.505,9.365,9.675,53218
2014-11-13,9.545,9.515,9.42,9.56,32830
2014-11-16,9.475,9.355,9.325,9.495,31370
2014-11-17,9.395,9.375,9.24,9.395,44226
2014-11-18,9.38,9.26,9.195,9.38,44304
2014-11-19,9.245,9.62,9.245,9.6665,103282
2014-11-20,9.76,9.61,9.565,9.7923,73634
2014-11-23,9.61,9.765,9.61,9.875,54936
2014-11-24,9.825,9.735,9.605,9.825,88856
2014-11-25,9.85,10.04,9.6454,10.045,104714
2014-11-27,10.005,10.13,9.9905,10.345,94938
2014-11-30,10.13,9.81,9.76,10.165,192286
2014-12-01,10.8,11.685,10.663,11.75,974654
