date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,5,5.1,4.9,5.1,13720
2014-01-02,5.04,5.13,4.93,5.13,20446
2014-01-05,5.08,4.97,4.85,5.0899,34842
2014-01-06,4.91,4.97,4.91,5,12561
2014-01-07,4.93,4.9,4.89,4.93,8634
2014-01-08,4.9,4.92,4.89,4.93,6646
2014-01-09,4.9399,5.21,4.9399,5.21,26296
2014-01-12,5.22,5.21,5.102,5.22,8045
2014-01-13,5.2,5.25,5.11,5.25,26713
2014-01-14,5.25,5.24,5.2,5.25,10274
2014-01-15,5.16,5.23,5.11,5.24,15798
2014-01-16,5.22,5.24,5.17,5.25,10603
2014-01-20,5.25,5.26,5.21,5.26,10031
2014-01-21,5.21,5.33,5.21,5.33,7902
2014-01-22,5.35,5.36,5.3,5.4,19536
2014-01-23,5.37,5.38,5.31,5.44,18997
2014-01-26,5.42,5.36,5.36,5.45,8881
2014-01-27,5.33,5.36,5.3,5.4,5005
2014-01-28,5.33,5.42,5.33,5.459,4563
2014-01-29,5.41,5.4,5.4,5.57,19064
2014-01-30,5.46,5.7,5.46,5.94,61077
2014-02-02,5.7,5.59,5.59,5.84,41425
2014-02-03,5.5809,5.58,5.58,5.71,14985
2014-02-04,5.58,5.45,5.436,5.74,17386
2014-02-05,5.4406,5.56,5.4406,5.64,10726
2014-02-06,5.62,5.57,5.56,5.65,16812
2014-02-09,5.62,5.65,5.59,5.65,54384
2014-02-10,5.65,5.89,5.6499,5.95,38464
2014-02-11,5.9,5.85,5.7501,5.91,15396
2014-02-12,5.92,5.97,5.73,5.97,19193
2014-02-13,5.97,5.97,5.9001,5.97,4149
2014-02-17,5.97,6,5.75,6,24026
2014-02-18,6,5.9,5.88,6,10282
2014-02-19,5.9525,6.04,5.82,6.1,24285
2014-02-20,6.08,6.08,5.98,6.0999,26684
2014-02-23,6.1,6.05,6,6.1,23899
2014-02-24,6.02,6.01,6,6.06,13057
2014-02-25,5.97,5.54,5.2,5.97,80006
2014-02-26,5.56,5.98,5.56,5.98,17157
2014-02-27,5.91,5.7,5.6154,5.91,8744
2014-03-02,5.82,5.74,5.73,5.95,18524
2014-03-03,5.72,5.71,5.6,5.82,9974
2014-03-04,5.69,5.77,5.641,5.77,6660
2014-03-05,5.82,5.83,5.77,5.84,3916
