date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,2.31,2.3,2.2901,2.35,7294
2014-01-02,2.3,2.34,2.27,2.34,2457
2014-01-05,2.33,2.29,2.29,2.35,16142
2014-01-06,2.27,2.36,2.27,2.42,49616
2014-01-07,2.38,2.43,2.29,2.43,21260
2014-01-08,2.46,2.37,2.3232,2.46,25926
2014-01-09,2.429,2.4,2.39,2.482,51646
2014-01-12,2.4,2.37,2.33,2.43,34518
2014-01-13,2.37,2.34,2.34,2.37,55233
2014-01-14,2.36,2.35,2.348,2.44,60067
2014-01-15,2.36,2.35,2.3348,2.38,96264
2014-01-16,2.3499,2.36,2.34,2.3852,195596
2014-01-20,2.42,2.58,2.37,2.62,198445
2014-01-21,2.6,2.59,2.55,2.66,89759
2014-01-22,2.5699,2.555,2.43,2.58,66565
2014-01-23,2.5,2.48,2.45,2.569,48923
2014-01-26,2.38,2.2,2.02,2.38,386939
2014-01-27,2.1,2.15,2.1,2.22,38363
2014-01-28,2.13,2.16,2.1,2.26,91226
2014-01-29,2.18,2.18,2.17,2.2,33035
2014-01-30,2.14,2.17,2.13,2.19,23002
2014-02-02,2.14,2.07,2.02,2.15,83331
2014-02-03,2.0701,2.07,2.05,2.09,23058
2014-02-04,2.04,2.04,1.9,2.06,47332
2014-02-05,2.1181,2.05,2.0499,2.1181,8898
2014-02-06,2.0785,2.07,2.05,2.09,24735
2014-02-09,2.1,1.9899,1.96,2.1,81653
2014-02-10,2.0746,1.97,1.9,2.0746,63657
2014-02-11,1.95,2.04,1.95,2.1,127916
2014-02-12,2.041,2.04,2,2.06,80078
2014-02-13,2.01,2.09,1.98,2.1404,187589
2014-02-17,2.04,2.07,2.03,2.0801,28897
2014-02-18,2.04,2.09,2.02,2.1,43008
2014-02-19,2.035,2.075,2.035,2.09,7390
2014-02-20,2.12,2.19,2.11,2.1999,52135
2014-02-23,2.1673,2.11,2.1,2.19,48454
2014-02-24,2.17,2.19,2.16,2.235,184244
2014-02-25,2.2,2.2,2.19,2.23,95625
2014-02-26,2.2,2.2,2.1801,2.22,40136
2014-02-27,2.2,2.2,2.1901,2.2162,39546
2014-03-02,2.2,2.205,2.19,2.24,27320
2014-03-03,2.22,2.21,2.21,2.24,59065
2014-03-04,2.24,2.24,2.21,2.24,37560
2014-03-05,2.25,2.22,2.21,2.25,50083
2014-03-06,2.25,2.3999,2.2399,2.53,449037
2014-03-09,2.39,2.35,2.2801,2.4,93390
2014-03-10,2.34,2.27,2.2,2.4,39394
2014-03-11,2.29,2.33,2.29,2.33,11200
2014-03-12,2.2601,2.24,2.21,2.2948,51290
2014-03-13,2.2301,2.17,2.12,2.2599,87968
2014-03-16,2.175,2.09,2.09,2.175,72942
2014-03-17,2.1,2.08,2.03,2.15,71437
2014-03-18,2.09,2.07,2.068,2.1,23295
2014-03-19,2.0501,2.03,2.02,2.2,87609
2014-03-20,2.03,2.05,2.03,2.12,38508
2014-03-23,2.05,1.96,1.92,2.06,62466
2014-03-24,1.98,2.0499,1.98,2.15,71028
2014-03-25,2.02,1.93,1.92,2.02,63006
2014-03-26,1.91,1.94,1.9099,1.9799,16014
2014-03-27,1.9101,1.95,1.9101,1.96,9546
2014-03-30,1.93,1.99,1.9299,2,14893
2014-03-31,1.968,2.03,1.968,2.03,2802
2014-04-01,1.95,2.01,1.95,2.0499,12371
2014-04-02,2.02,1.96,1.94,2.04,62272
2014-04-03,2.0946,2.03,1.95,2.0946,45038
2014-04-06,2,1.99,1.97,2.08,10148
2014-04-07,1.9999,2,1.98,2,5175
2014-04-08,1.9846,2.02,1.97,2.0399,6280
2014-04-09,2.07,1.9997,1.9799,2.07,19329
2014-04-10,2,1.96,1.9,2,28130
2014-04-13,1.95,1.52,1.43,1.95,842536
2014-04-14,1.55,1.54,1.4801,1.58,174105
2014-04-15,1.54,1.57,1.54,1.59,74980
2014-04-16,1.58,1.569,1.53,1.58,36995
2014-04-20,1.6,1.53,1.51,1.6,87602
2014-04-21,1.5499,1.51,1.5,1.5601,76502
2014-04-22,1.52,1.53,1.52,1.5799,63015
2014-04-23,1.61,1.5,1.49,1.61,80136
2014-04-24,1.57,1.51,1.49,1.57,57609
2014-04-27,1.49,1.49,1.49,1.511,57862
2014-04-28,1.548,1.5,1.49,1.548,25331
2014-04-29,1.53,1.53,1.5,1.53,41545
2014-04-30,1.51,1.49,1.49,1.51,18176
2014-05-01,1.6,1.6496,1.54,1.74,340995
2014-05-04,1.647,1.65,1.62,1.65,4838
2014-05-05,1.6499,1.57,1.57,1.6499,68644
2014-05-06,1.61,1.67,1.6,1.67,100405
2014-05-07,1.64,1.67,1.61,1.69,49985
2014-05-08,1.72,1.76,1.7,1.79,83247
2014-05-11,1.7899,1.8,1.76,1.8366,96907
2014-05-12,1.77,1.78,1.75,1.84,123352
2014-05-13,1.8001,1.75,1.73,1.807,40913
2014-05-14,1.7501,1.75,1.7456,1.767,22729
2014-05-15,1.76,1.77,1.74,1.7896,18361
2014-05-18,1.8,1.79,1.761,1.8,16656
2014-05-19,1.74,1.7812,1.72,1.79,20535
2014-05-20,1.8,1.78,1.7501,1.8,30021
2014-05-21,1.7501,1.7677,1.75,1.8,14776
2014-05-22,1.74,1.76,1.74,1.7999,8832
2014-05-26,1.771,1.78,1.77,1.79,26022
2014-05-27,1.76,1.76,1.76,1.78,1976
2014-05-28,1.7501,1.75,1.75,1.78,25126
2014-05-29,1.78,1.81,1.7501,1.81,12880
2014-06-01,1.77,1.7788,1.76,1.805,1867
2014-06-02,1.77,1.78,1.72,1.81,9054
2014-06-03,1.75,1.81,1.75,1.81,1724
2014-06-04,1.77,1.81,1.77,1.82,4600
2014-06-05,1.79,1.7993,1.79,1.8,12620
2014-06-08,1.8,1.89,1.76,1.92,80374
2014-06-09,1.9,1.87,1.86,1.947,32151
2014-06-10,1.82,1.85,1.82,1.87,7002
2014-06-11,1.8001,1.83,1.77,1.87,27705
2014-06-12,1.81,1.83,1.81,1.85,1016
2014-06-15,1.85,1.81,1.8,1.85,13188
2014-06-16,1.8199,1.81,1.8,1.82,5018
2014-06-17,1.8292,1.83,1.81,1.85,13448
2014-06-18,1.86,1.83,1.82,1.86,5176
2014-06-19,1.81,1.83,1.81,1.84,1500
2014-06-22,1.78,1.82,1.78,1.84,13254
2014-06-23,1.81,1.82,1.8,1.84,26220
2014-06-24,1.82,1.8,1.8,1.82,1600
2014-06-25,1.8,1.82,1.8,1.92,17600
2014-06-26,1.81,1.8,1.8,1.846,103431
2014-06-29,1.78,1.82,1.78,1.84,10463
2014-06-30,1.85,1.8,1.78,1.9,68592
2014-07-01,1.8,1.8316,1.8,1.84,10396
2014-07-02,1.839,1.83,1.82,1.9,18310
2014-07-06,1.85,1.86,1.83,1.88,57916
2014-07-07,1.83,1.85,1.809,1.88,68366
2014-07-08,1.9,1.84,1.82,1.9,38481
2014-07-09,1.86,1.85,1.82,1.91,23650
2014-07-10,1.81,1.82,1.81,1.8201,8940
2014-07-13,1.85,1.82,1.82,1.88,43310
2014-07-14,1.82,1.85,1.78,1.88,96297
2014-07-15,1.82,1.87,1.81,1.92,23257
2014-07-16,1.97,1.93,1.87,1.97,50063
2014-07-17,1.99,1.91,1.9,1.99,20109
2014-07-20,1.92,1.87,1.86,1.97,18967
2014-07-21,1.97,1.91,1.87,1.97,82203
2014-07-22,1.94,1.94,1.87,1.95,113665
2014-07-23,1.92,1.96,1.92,1.96,1265
