date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,22.26,22.1,21.9,22.26,1595963.0
2014-01-02,22.13,22.21,22.05,22.36,1193971.0
2014-01-05,22.33,22.35,22.18,22.47,2342732.0
2014-01-06,22.15,22.29,22.1,22.335,2429755.0
2014-01-07,22.3,22,21.96,22.3,2294870.0
2014-01-08,21.67,21.55,21.31,21.79,2247300.0
2014-01-09,21.66,22.07,21.66,22.1,1652700.0
2014-01-12,22.09,21.89,21.87,22.0999,1875606.0
2014-01-13,21.95,22.22,21.94,22.32,1698994.0
2014-01-14,22.25,22.23,22.23,22.43,1177403.0
2014-01-15,22.21,22.41,22.21,22.42,886915
2014-01-16,22.41,22.14,21.97,22.44,2075808.0
2014-01-20,22.24,22.39,22.22,22.56,1715174.0
2014-01-21,22.52,22.71,22.47,22.71,1262969.0
2014-01-22,22.62,22.91,22.51,22.95,1848128.0
2014-01-23,22.77,22.49,22.42,22.84,1646447.0
2014-01-26,22.57,22.22,22.21,22.6245,1486818.0
2014-01-27,22.22,22.45,22.22,22.49,1635292.0
2014-01-28,22.4,22.22,22.15,22.48,1587916.0
2014-01-29,22.38,22.54,22.3301,22.62,2035307.0
2014-01-30,22.31,22.52,22.23,22.72,1809621.0
2014-02-02,22.52,21.89,21.87,22.52,2941139.0
2014-02-03,22.01,22.05,21.79,22.13,2022469.0
2014-02-04,22,21.74,21.65,22.05,1513955.0
2014-02-05,21.74,21.75,21.675,21.87,1809493.0
2014-02-06,21.88,21.92,21.685,21.94,1315722.0
2014-02-09,21.94,21.99,21.87,22.17,1709846.0
2014-02-10,21.91,21.75,21.16,21.92,4908324.0
2014-02-11,21.54,21.36,21.29,21.66,3614971.0
2014-02-12,21.31,21.38,21.21,21.68,2680666.0
2014-02-13,21.37,21.08,21.04,21.39,2569999.0
2014-02-17,21.11,21.05,20.7,21.196,3531494.0
2014-02-18,20.97,21.15,20.97,21.475,2604796.0
2014-02-19,21.2,21.01,20.98,21.43,2387995.0
2014-02-20,21.12,21.43,20.96,21.45,1989609.0
2014-02-23,21.41,21.34,21.34,21.68,1922361.0
2014-02-24,21.37,21.24,21.16,21.43,2127100.0
2014-02-25,21.68,21.89,21.49,21.985,2255094.0
2014-02-26,22.09,22.16,21.82,22.31,2001805.0
2014-02-27,22.1,22.3,22.0201,22.4,2721131.0
2014-03-02,22.19,22.62,22.12,22.6749,2242124.0
2014-03-03,22.79,22.85,22.65,22.88,2340773.0
2014-03-04,22.84,22.78,22.54,22.96,1422056.0
2014-03-05,22.76,22.33,22.25,22.765,1444066.0
2014-03-06,22.25,22.1,21.9,22.25,1707560.0
2014-03-09,22.07,22.18,21.99,22.21,1255401.0
2014-03-10,22.18,22.35,22.12,22.42,1125554.0
2014-03-11,22.29,22.52,22.27,22.56,1451636.0
2014-03-12,22.55,22.28,22.21,22.56,1493716.0
2014-03-13,22.29,22.54,22.27,22.58,1364825.0
2014-03-16,22.6,22.27,22.23,22.6,999513
2014-03-17,22.26,22.27,22.13,22.32,1251574.0
2014-03-18,22.3,21.88,21.81,22.49,1329578.0
2014-03-19,21.88,21.74,21.62,21.94,1156588.0
2014-03-20,21.85,22.05,21.8,22.11,1912963.0
2014-03-23,22.06,22.04,21.8,22.14,1300130.0
2014-03-24,22.06,22.15,21.86,22.27,1085019.0
2014-03-25,22.21,21.97,21.93,22.27,1103565.0
2014-03-26,21.94,22.18,21.86,22.195,1038081.0
2014-03-27,22.22,22.4,22.18,22.49,1804920.0
2014-03-30,22.5,22.47,22.23,22.61,1245612.0
2014-03-31,22.48,22.41,22.12,22.54,1317942.0
2014-04-01,22.37,22.4,22.32,22.48,1004955.0
2014-04-02,22.42,22.45,22.3,22.565,1328076.0
2014-04-03,22.55,22.61,22.45,22.74,1417106.0
2014-04-06,22.64,23.02,22.6,23.19,1881967.0
2014-04-07,23.04,23.24,22.93,23.25,1427139.0
2014-04-08,23.3,23.04,22.875,23.3,1703523.0
2014-04-09,22.76,22.44,22.42,22.88,1754914.0
2014-04-10,22.39,22.45,22.32,22.75,1576925.0
2014-04-13,22.55,22.59,22.36,22.665,1130342.0
2014-04-14,22.59,22.87,22.56,22.89,1553334.0
2014-04-15,22.98,22.78,22.73,22.98,955814
2014-04-16,22.1,22.54,21.82,22.625,14053160.0
2014-04-20,22.5,22.97,22.42,23.01,2198145.0
2014-04-21,23,23.01,22.66,23.05,1823162.0
2014-04-22,23,23,22.71,23,2086264.0
2014-04-23,23.05,23.37,22.96,23.39,2258515.0
2014-04-24,23.3,23.45,23.18,23.46,2814087.0
2014-04-27,23.44,23.71,23.44,23.95,3339629.0
