date,open_price,close_price,lowest_price,highest_price,volume
2016-01-18,1790,1600,1506,1800,76.42
2016-01-19,1200,1653.09,1200,1748,64.84
2016-01-20,1650,1637,1350,1729,72
2016-01-21,1640,1574,1534.07,1675,85.59
2016-01-24,1134,1406,1134,1466,25.95
2016-01-25,1430.1,1415,1410,1430.1,20.27
2016-01-26,1357.34,1357.34,1357.34,1357.34,3.2
2016-01-27,1399,1400,1399,1400,5.96
2016-01-28,1390,1390,1390,1390,3.43
2016-01-31,1325,1240,1227,1398.99,168.25
2016-02-01,1270,1183,1047,1270,45.72
2016-02-02,1075,800,780,1075,196.34
2016-02-03,800,627.52,565,800,408.19
2016-02-04,626,728,624,740,280.55
2016-02-07,829,786,706,829,80.22
2016-02-08,802.4,800.4,800.15,815.01,38.86
2016-02-09,800,790,790,801,16.14
2016-02-10,794,695,695,794,64.02
2016-02-11,625,685,625,685,14.86
2016-02-15,742.99,764.08,742.99,829,33.28
2016-02-16,829.99,787,784.4,830,50.68
2016-02-17,830,831,830,853,46.79
2016-02-18,880,837.17,825.54,880,25.16
2016-02-21,837,886.4,837,890,94.72
2016-02-22,886,885,870.01,891.6,21.94
2016-02-23,810.65,890,803,890,161.56
2016-02-24,832,862.15,814,890,174.64
2016-02-25,895,896.3,895,897.9,17.01
2016-02-28,889,888,838.34,890,70.18
2016-02-29,821,801,801,841,12.01
2016-03-01,810.4,832.84,806,842,53.4
2016-03-02,826,806,806,830,24.35
2016-03-03,818,818,818,818,5.9
2016-03-06,820,789.49,770,820,15.67
2016-03-07,792.14,799,792.14,799,13.1
2016-03-08,770,780.8,731,786,59.38
2016-03-09,770.01,752,745,773,26.95
2016-03-10,765,717.71,708.01,775,126.68
2016-03-13,706,677.05,666,726.8,191.22
2016-03-14,624.01,630,624.01,671,25.59
2016-03-15,651.78,652.22,631,660,24.38
2016-03-16,656,620,600,656,104.25
2016-03-17,677,629,628,678,26.39
2016-03-20,630,635,600,635,113.7
2016-03-21,640,620,620,700,85.57
2016-03-22,600,611.24,600,637.88,11.84
2016-03-23,600,639,600,639,93.83
2016-03-27,638,607,585,650,424.25
2016-03-28,600,580,580,600,183.62
2016-03-29,598.01,605,567.77,605,82.55
2016-03-30,600,543,502,600,73.73
2016-03-31,506,553,506,568,100.7
2016-04-03,540,540,494,578,435.69
2016-04-04,560,545,531,605,163.34
2016-04-05,563,545.47,466,563,100.92
2016-04-06,537,542,505,598,263.06
2016-04-07,535,553,497.99,589,352.78
2016-04-10,578,501,498,578,165.26
2016-04-11,534,500,500,553.75,117.31
2016-04-12,517,503,503,535,170.68
2016-04-13,500,505,500,560,321.75
2016-04-14,510,519,503,560,770.4
2016-04-17,536,530,506,560,719.79
2016-04-18,548.9,556,543.04,584,691.61
2016-04-19,576,575,553.01,598,285.34
2016-04-20,553,577,547,612,561.93
2016-04-21,571,586,561,620,686.28
2016-04-24,599,611,562.01,618,1735.51
2016-04-25,610,564,551.71,620,330.57
2016-04-26,553,550,537,566,219.9
2016-04-27,547,500,495,590,464.56
2016-04-28,499,502,495,560,984.77
2016-05-01,496,675,496,758.99,2689.13
2016-05-02,620,698,620,748.99,2247.92
2016-05-03,719,918,687,949,3196.97
2016-05-04,900,930,848,979,2819.6
2016-05-05,940,759,739.5,940,625.87
2016-05-08,748,870,648.79,890,1805.98
2016-05-09,867,785,780,880.01,796.79
2016-05-10,764,800,764,830,2013.47
2016-05-11,780,782,750,834.5,333.77
2016-05-12,762,813,762,849,531.59
2016-05-15,806,800,775.5,812,264.18
2016-05-16,795,760,750,795,28.61
2016-05-17,780,742,735,829,931.12
2016-05-18,754,639,638,760,806.41
2016-05-19,632,620,614.52,700,1081.71
2016-05-22,619,530,482.01,625.99,2288.52
2016-05-23,500,499,466,549,1079.87
2016-05-24,501,500,499,530,729.72
2016-05-25,500,501,485,528,856.83
2016-05-26,500,500,500,556.01,920.4
2016-05-30,501,500,496,524,1091.25
2016-05-31,500,500,497.5,510,515.51
2016-06-01,506.5,500,498.99,506.99,766.75
2016-06-02,500,487,480,501,181.93
2016-06-05,508,545,502,550,518.03
2016-06-06,538,622,538,649.5,1551.03
2016-06-07,631,637,631,700,784.98
2016-06-08,643,640,623,688.9,227.64
2016-06-09,675,615,615,679,63.38
2016-06-12,612,599,580,704,529.85
2016-06-13,599,598.99,577.01,647,117.65
2016-06-14,600,568,568,617,74.97
2016-06-15,600,596,596,606.99,57.64
2016-06-16,619,600,551.5,625,174.12
2016-06-19,598,624,579.2,679,2556.17
2016-06-20,616,599,582,653,1423.14
2016-06-21,633,605,600,657.99,958.57
2016-06-22,607,610,593,639,406.55
2016-06-23,602,595,586.01,652,1313.56
2016-06-26,641,662,600,720,3614.95
2016-06-27,653,680,622,708,2871.48
2016-06-28,684,680,667,700,1366.8
2016-06-29,674,610,601,687.5,1263.41
2016-06-30,605,577,528.01,661.99,1150.74
2016-07-04,570,600,565.01,634.99,1296.02
2016-07-05,600,588,583,616.04,1419.96
2016-07-06,588,595,588,630,245.45
2016-07-07,600,597,590,610,249.59
2016-07-10,609,589,568,627,465.36
2016-07-11,585,590,577,594,212.66
2016-07-12,583,575,563,583,730.81
2016-07-13,575,576,573.1,604,229.31
2016-07-14,574,543,543,580,435.1
2016-07-17,543,489,487,599,1267.56
2016-07-18,486,489,486,547,355.52
2016-07-19,499,550,499,560,1307.02
2016-07-20,540,550,532.8,577.92,442.37
2016-07-21,550,550,534,596,876.53
2016-07-24,544,518,516,555,70.99
2016-07-25,519,510,500,550,1148.71
2016-07-26,495,470,440,534,771.46
2016-07-27,471,495,470,506.89,223.51
2016-07-28,493,477,477,513,25.06
2016-07-31,499,413,404,509.84,574.77
2016-08-01,419,336,329,419.99,896.53
2016-08-02,331,314,300,360,940.71
2016-08-03,304,290,283,335,611.55
2016-08-04,287,298,285,301.51,395.84
2016-08-07,320,286,285,333,293.85
2016-08-08,287,298,287,299.99,117.86
2016-08-09,308.54,290,278,313,197.6
2016-08-10,290,293,288,311.99,121.84
2016-08-11,290,293,290,301,71.82
2016-08-14,293,291,290,302,95.69
2016-08-15,295,295,290,315,539.33
2016-08-16,296,296,295,301,25.83
2016-08-17,300,296,296,300,154.6
2016-08-18,295,297,290,297,84.2
2016-08-21,292,299,292,300,197.05
2016-08-22,299.99,295,294,300,194.6
2016-08-23,299.99,299,297,301,320.13
2016-08-24,299.99,307,299.99,320,311.75
2016-08-25,307,300,290,307,311.21
2016-08-28,302,270,242,302,479.94
2016-08-29,264,266,250,268,418.15
2016-08-30,266,262,251.01,275,719.35
2016-08-31,257,269,249,269,419.83
2016-09-01,269.25,258,255,269.25,298.18
2016-09-05,259,270,259,286,1777.73
2016-09-06,271,261,260,278,350.89
2016-09-07,259,249,249,268,300.31
2016-09-08,245.01,256,245.01,270,408.8
2016-09-11,263,270,255,295,883.06
2016-09-12,275,277,258,285.9,1346.57
2016-09-13,283,292,274,292,680.98
