date,open_price,close_price,lowest_price,highest_price,volume
2017-07-16,1.77,1.9,1.77,1.989,11162
2017-07-17,1.88,1.86,1.82,1.8965,18421
2017-07-18,1.95,1.9,1.84,1.95,46924
2017-07-19,1.9035,2.1,1.88,2.1182,315576
2017-07-20,2.15,2.03,2.03,2.2499,74647
2017-07-23,1.99,2.01,1.9,2.1,35313
2017-07-24,2.0695,2.01,1.91,2.0695,50768
2017-07-25,2.03,2.07,2,2.13,78326
2017-07-26,2.09,2.17,2.08,2.2,111722
2017-07-27,2.2,2.12,2.1,2.2,42578
2017-07-30,2.12,2.04,1.99,2.14,59331
2017-07-31,2.17,2.01,1.96,2.17,36965
2017-08-01,1.9902,1.91,1.9,1.9999,51123
2017-08-02,1.93,1.91,1.88,1.94,19385
2017-08-03,1.93,1.9,1.9,1.96,23583
2017-08-06,1.86,1.92,1.86,1.99,77076
2017-08-07,1.952,1.9,1.86,1.952,51081
2017-08-08,1.879,1.82,1.81,1.88,87261
2017-08-09,1.85,1.86,1.82,1.9,26364
2017-08-10,1.84,1.87,1.76,1.9195,122361
2017-08-13,1.8,1.61,1.26,1.8,412194
2017-08-14,1.62,1.57,1.51,1.62,100872
2017-08-15,1.57,1.5801,1.5,2.1,557968
2017-08-16,1.64,1.46,1.46,1.64,143538
2017-08-17,1.5,1.5,1.45,1.56,74033
2017-08-20,1.5,1.45,1.37,1.5,74644
2017-08-21,1.4514,1.45,1.42,1.47,18621
2017-08-22,1.49,1.5,1.42,1.55,76423
2017-08-23,1.51,1.57,1.49,1.6,64585
2017-08-24,1.571,1.59,1.56,1.62,72394
2017-08-27,1.6,1.58,1.57,1.6052,30775
2017-08-28,1.59,1.52,1.51,1.5939,35850
2017-08-29,1.59,1.55,1.52,1.59,18629
2017-08-30,1.56,1.45,1.45,1.56,32251
2017-08-31,1.44,1.5,1.44,1.52,15575
2017-09-04,1.45,1.47,1.45,1.578,35657
2017-09-05,1.51,1.52,1.49,1.5689,26434
2017-09-06,1.5,1.51,1.5,1.57,32483
2017-09-07,1.51,1.47,1.47,1.58,27379
2017-09-10,1.54,1.47,1.47,1.54,9789
2017-09-11,1.5,1.45,1.44,1.5,14097
2017-09-12,1.45,1.39,1.39,1.47,75396
2017-09-13,1.38,1.4,1.31,1.47,108951
2017-09-14,1.41,1.41,1.37,1.45,26646
2017-09-17,1.3738,1.38,1.3738,1.44,34377
2017-09-18,1.39,1.4,1.39,1.44,50360
2017-09-19,1.45,1.57,1.45,1.89,631798
2017-09-20,1.57,1.74,1.5,1.74,134220
2017-09-21,1.74,2.21,1.65,2.31,734186
2017-09-24,2.38,2.05,1.9569,2.4,399103
2017-09-25,2.02,2.64,2.02,2.65,665186
2017-09-26,2.74,2.533,2.45,2.89,762881
2017-09-27,2.53,2.67,2.4,2.8,533933
2017-09-28,2.8,2.65,2.29,2.8,397628
2017-10-01,2.67,2.55,2.4601,2.71,186645
2017-10-02,2.5,2.29,2.23,2.5,182306
2017-10-03,2.22,2.3,2.13,2.51,232340
2017-10-04,2.25,2.29,2.21,2.34,155430
2017-10-05,2.28,2.12,2.08,2.35,180852
2017-10-08,2.05,2.14,2.03,2.22,237443
2017-10-09,2.13,2.41,2.12,2.52,194868
2017-10-10,2.43,2.41,2.28,2.485,63126
2017-10-11,2.41,2.37,2.3301,2.47,70199
2017-10-12,2.35,2.4,2.35,2.49,31732
2017-10-15,2.48,2.33,2.31,2.529,63143
2017-10-16,2.33,2.28,2.24,2.4673,49703
2017-10-17,2.28,2.3,2.28,2.39,44811
2017-10-18,2.36,2.22,2.13,2.75,323466
2017-10-19,2.25,2.18,2.17,2.3287,73360
2017-10-22,2.35,2.2714,2.26,2.6,241910
2017-10-23,2.27,2.21,2.18,2.27,104756
2017-10-24,2.22,2.06,2.05,2.26,118773
2017-10-25,2.09,1.98,1.98,2.09,73095
2017-10-26,1.99,1.91,1.8,1.99,197148
2017-10-29,1.93,1.79,1.7374,1.985,308654
2017-10-30,1.73,2.02,1.71,2.1,456968
2017-10-31,2.04,1.9099,1.81,2.0521,55331
2017-11-01,1.87,1.8767,1.8256,2,33835
2017-11-02,1.92,1.91,1.86,1.9699,31859
2017-11-05,1.93,2.23,1.93,2.319,157244
2017-11-06,2.25,2.21,2.1,2.27,50634
2017-11-07,2.15,2.25,2.07,2.3,63713
2017-11-08,2.28,2.24,2.08,2.28,49710
2017-11-09,2.27,2.06,1.86,2.27,344289
2017-11-12,2.1,2.09,2.005,2.2,76545
2017-11-13,2.08,2.07,2,2.15,75497
2017-11-14,2.021,2.09,1.9813,2.1528,50761
2017-11-15,2.08,2.05,2.03,2.11,33680
2017-11-16,2.05,2.18,2.05,2.22,89300
2017-11-19,2.25,2.18,2.18,2.28,95845
2017-11-20,2.17,2.48,2.17,2.65,1079621.0
2017-11-21,2.31,2.49,2.21,2.56,694882
2017-11-23,2.8,3.14,2.7,3.35,4280640.0
2017-11-26,4.27,2.99,2.91,4.84,8106337.0
2017-11-27,2.97,2.74,2.63,3.24,1791779.0
2017-11-28,3.02,2.77,2.53,3.15,1339907.0
2017-11-29,2.64,2.65,2.3347,2.77,644971
2017-11-30,2.77,2.59,2.59,2.96,1201286.0
2017-12-03,2.7,2.52,2.4,2.74,1023756.0
2017-12-04,2.42,2.39,2.3301,2.519,454263
2017-12-05,2.37,2.35,2.2099,2.48,585576
2017-12-06,2.3,2.529,2.28,2.65,488409
2017-12-07,2.5,2.45,2.35,2.5697,232956
2017-12-10,2.6,3.61,2.53,3.65,3666577.0
2017-12-11,3.95,3.47,3.2,4.02,3443078.0
2017-12-12,3.76,3.3,3.2101,3.76,1115221.0
2017-12-13,3.08,3.3,3.02,3.65,836431
2017-12-14,3.2,4.2,3.2,5.33,10948940.0
2017-12-17,4.68,4.82,3.88,5.4,9986717.0
2017-12-18,4.85,4.33,4.2,5.25,5073091.0
2017-12-19,6.21,5.57,5.0362,7,14156252.0
2017-12-20,6.1,5.3,5,6.33,5513386.0
2017-12-21,4.16,5.34,4,5.4,3361879.0
2017-12-25,5.5,5.92,5.4401,6,2814487.0
2017-12-26,6,5.18,5.15,6,1827815.0
2017-12-27,4.86,4.78,4.5,5.2199,2360251.0
2017-12-28,4.85,4.61,4.54,4.98,939444
2018-01-01,4.69,4.85,4.56,4.95,1055721.0
2018-01-02,5,4.55,4.45,5.04,920043
2018-01-03,4.45,4.23,4.15,4.7,1292225.0
2018-01-04,4.5,4.31,4.217,4.5,860160
2018-01-07,4.38,4.15,4.05,4.4,841100
2018-01-08,4.29,4.29,4.1,4.51,883821
2018-01-09,4.41,4.68,4.4,5.15,3310117.0
2018-01-10,4.61,4.83,4.5,5.05,1891593.0
2018-01-11,5.03,4.97,4.8,5.3,2173773.0
2018-01-15,4.75,4.29,4.16,4.75,1709008.0
2018-01-16,4.25,4.63,4.1,4.75,904155
2018-01-17,4.58,4.53,4.5,4.89,537613
2018-01-18,4.6,4.4,4.31,4.6999,610233
2018-01-21,4.31,4.56,4.2,4.6,458733
2018-01-22,4.61,4.38,4.32,4.61,712040
2018-01-23,4.4,4.29,4.2,4.6,628151
2018-01-24,4.21,4.13,4.02,4.33,681425
