date,open_price,close_price,lowest_price,highest_price,volume
2018-01-10,9.75,9.75,9.75,9.75,500
2018-01-17,9.8,9.8,9.8,9.8,500
2018-01-22,9.8,9.7,9.7,9.8,3100
2018-01-28,9.8,9.8,9.8,9.8,100
2018-02-14,9.95,9.95,9.95,9.95,645
2018-02-20,9.95,9.95,9.95,9.95,250
2018-03-05,9.63,9.63,9.63,9.63,25000
2018-03-06,10.14,9.65,9.65,10.14,400
2018-03-07,9.62,9.62,9.62,9.62,100
2018-03-08,9.63,9.63,9.63,9.63,100
2018-03-11,9.63,9.725,9.6,9.725,251599
2018-03-14,9.88,9.88,9.88,9.88,200
2018-03-15,9.6,9.6,9.6,9.6,100
2018-03-20,9.62,9.62,9.62,9.62,393210
2018-03-26,9.7,9.72,9.6987,9.72,1135
2018-04-01,9.6,9.6182,9.6,9.6182,500
2018-04-02,9.73,9.73,9.7182,9.73,2936
2018-04-15,10.025,10.025,10.025,10.025,154
2018-04-18,9.7799,9.81,9.74,9.81,9392
2018-04-19,9.81,9.68,9.68,9.81,1474
2018-04-22,9.6501,9.6501,9.6501,9.6501,2365
2018-04-30,9.71,9.7,9.7,9.71,9784
2018-05-06,9.71,9.71,9.71,9.71,737100
2018-05-22,9.72,9.72,9.72,9.72,200
2018-05-29,9.72,9.7,9.7,9.72,12600
2018-05-31,9.71,9.71,9.71,9.71,200000
2018-06-17,9.73,9.73,9.73,9.73,175000
2018-06-25,9.7598,9.7598,9.7407,9.7608,1400
2018-06-27,9.78,9.85,9.78,9.85,9981
2018-07-11,9.79,9.81,9.79,9.81,15600
2018-07-12,9.84,9.86,9.84,9.875,20700
2018-07-15,9.785,9.81,9.785,9.81,350
2018-07-16,9.81,9.81,9.8,9.81,27900
2018-07-18,9.89,9.89,9.89,9.89,200
2018-07-19,9.85,9.85,9.85,9.85,16600
2018-07-23,9.84,9.85,9.84,9.85,5500
2018-07-30,9.85,9.85,9.85,9.86,50600
2018-08-06,9.8412,9.8412,9.8412,9.8412,900
2018-08-08,9.8198,9.8198,9.8198,9.8198,100
2018-08-16,9.81,9.8125,9.81,9.8125,3990
2018-08-19,9.81,9.81,9.81,9.81,39999
2018-08-22,9.81,9.81,9.81,9.81,100
2018-08-26,9.82,9.82,9.82,9.82,3900
2018-08-27,9.81,9.81,9.81,9.84,14725
2018-09-05,9.82,9.82,9.82,9.82,10000
2018-09-06,9.85,9.85,9.85,9.85,2000
2018-09-17,9.84,9.84,9.84,9.84,50000
2018-09-18,9.83,9.82,9.82,9.83,15400
2018-09-20,9.88,9.9,9.82,9.9293,4600
2018-09-23,9.9,9.9,9.9,9.9,200
2018-09-24,11.84,9.9,9.8691,14.21,3150
2018-09-25,9.85,9.9,9.85,9.9,6392
2018-09-26,9.82,9.82,9.82,9.82,150
2018-09-30,9.83,9.83,9.83,9.83,100
2018-10-02,9.9,9.9,9.9,9.9,580
2018-10-03,9.86,9.86,9.86,9.86,133320
2018-10-07,9.83,9.83,9.83,9.83,283
2018-10-09,9.86,9.9,9.86,9.9,102000
2018-10-16,9.83,9.85,9.83,9.8792,17500
2018-10-18,10.18,10.19,10.14,10.2,1796148.0
2018-10-21,10.19,10.19,10.17,10.2,327555
2018-10-22,10.18,10.2,10.1367,10.2,64137
2018-10-23,10.2,10.15,10.06,10.2,509624
2018-10-24,10.1,10.15,10.0897,10.16,45797
2018-10-25,10.17,10.1499,10.141,10.17,1504
2018-10-28,10.1401,10.15,10.1,10.15,1649
2018-10-29,10.12,10.1,10.03,10.15,961143
2018-10-30,10.07,10.06,10.03,10.1,592600
2018-10-31,10.08,10.04,10.03,10.08,11389
2018-11-01,10.08,10.03,10.0217,10.08,7922
2018-11-04,10.03,10.04,10.02,10.04,128400
2018-11-05,10.04,10.01,10.01,10.05,215458
2018-11-06,10.01,10,10,10.03,621858
2018-11-07,10,10,10,10,281
2018-11-08,10.029,10.029,10.029,10.029,300
2018-11-11,10.0347,10.0347,10.0347,10.0347,200
2018-11-13,10.05,10.03,10.03,10.05,3170
2018-11-14,10.02,10.01,10.01,10.02,7403
2018-11-15,10.0329,10.05,10.0329,10.05,601
2018-11-18,10.02,10.01,10.01,10.03,111527
2018-11-19,10.04,10.0223,10,10.04,26552
2018-11-20,10,10.0108,10,10.0108,103150
2018-11-22,10.01,10,10,10.01,1300
2018-11-25,10,10,10,10,100326
2018-11-26,10.02,10,10,10.02,310401
2018-11-27,9.9999,9.98,9.98,9.9999,2594
2018-11-28,10,10.039,10,10.039,226620
2018-11-29,10,10,10,10,386027
2018-12-02,10.04,10,10,10.04,1009096.0
2018-12-03,10.03,10.01,10,10.03,5515
2018-12-05,10.01,9.99,9.98,10.01,55689
2018-12-06,10.01,9.98,9.91,10.01,87686
2018-12-09,10.01,10.01,9.955,10.01,506792
2018-12-10,10.04,10.01,9.97,10.04,154998
2018-12-11,10.03,10.01,10,10.03,17454
2018-12-12,10.03,10.05,10.03,10.05,4883
2018-12-13,10,10.02,10,10.02,47744
2018-12-16,10.02,10.01,10.01,10.03,339237
2018-12-17,10.01,10.02,10.01,10.02,656517
2018-12-19,10,9.99,9.96,10.02,189100
2018-12-23,10,10.02,10,10.03,53742
2018-12-25,10.0198,10.03,10.0198,10.03,26214
2018-12-26,10.01,10.01,10.0099,10.03,351681
2018-12-27,10.02,10.03,10.01,10.03,262332
2018-12-30,10.03,10.02,10.01,10.03,77882
2019-01-01,10.01,10.04,10.01,10.04,71847
2019-01-02,10.03,10.02,10.02,10.04,34897
2019-01-03,10.03,10.02,10.02,10.03,178821
2019-01-06,10.02,10.01,10.01,10.04,349206
2019-01-07,10,10.03,10,10.04,113603
2019-01-08,10.04,10.03,10.02,10.05,16592
2019-01-09,10.04,10.02,10.02,10.04,76068
2019-01-10,10.04,10.06,10.04,10.07,312138
2019-01-13,10.04,10.06,10.04,10.08,254186
2019-01-14,10.0623,10.06,10.05,10.0623,120093
2019-01-15,10.08,10.09,10.08,10.15,86351
2019-01-16,10.08,10.08,10.08,10.11,33514
2019-01-17,10.12,10.08,10.05,10.15,671456
2019-01-21,10.15,10.12,10.1,10.15,181153
2019-01-22,10.11,10.12,10.11,10.14,1446507.0
2019-01-23,10.14,10.11,10.11,10.14,63987
2019-01-24,10.12,10.11,10.08,10.12,2903965.0
2019-01-27,10.1,10.09,10.08,10.1,159582
2019-01-28,10.09,10.06,9.98,10.09,17006
2019-01-29,10,10.06,10,10.1,339387
2019-01-30,10.08,10.18,10.06,10.2,139581
2019-01-31,10.18,10.04,10.03,10.18,18422
2019-02-03,10.0412,10.12,10.02,10.12,8081
2019-02-04,10.12,10.08,10.06,10.12,11265
2019-02-05,10.05,10.06,10.05,10.1,129658
2019-02-07,10.05,10.056,10.05,10.056,1159
2019-02-10,10.04,10.1,10.016,10.1,8006
2019-02-11,10.11,10.07,10.07,10.11,5124
2019-02-12,10.04,10.0437,10,10.05,1539930.0
2019-02-13,10.03,10.04,10.03,10.05,107870
2019-02-14,10.03,10.01,10,10.03,699912
2019-02-18,10,10.02,10,10.03,57707
2019-02-19,10.02,10.02,10.02,10.029,8208
2019-02-20,10.023,10.05,10.02,10.05,32418
2019-02-24,10.01,10.04,10.01,10.05,50060
2019-02-25,10.03,10.03,10.03,10.03,1303
2019-02-27,10.01,10.01,10.01,10.04,608284
2019-02-28,10.02,10.01,10.01,10.03,176335
2019-03-06,10.02,10.02,10.02,10.02,50003
2019-03-10,10.01,10.02,10.01,10.05,136749
2019-03-11,10.03,10.05,10.03,10.05,1821
2019-03-13,10.02,10.02,10.02,10.02,167757
2019-03-14,10.01,10.02,10.01,10.05,736
2019-03-17,10.02,10.02,10.02,10.02,2320
2019-03-19,10.0465,10.05,10.03,10.05,42242
2019-03-21,10.0279,10.02,10.02,10.031,29578
2019-03-24,10.03,10.03,10.02,10.03,62297
2019-03-25,10.05,10.02,10.02,10.05,13259
2019-03-26,10.02,10.02,10.02,10.05,13957
2019-03-27,10.04,10.05,10.04,10.05,552085
2019-03-28,10.05,10.04,10.04,10.05,100317
2019-03-31,10.04,10.0466,10.04,10.0467,7884
2019-04-03,10.05,10.05,10.05,10.06,112717
2019-04-07,10.0633,10.0633,10.0633,10.0633,1509
2019-04-10,10.07,10.06,10.06,10.07,25420
2019-04-11,10.08,10.08,10.08,10.08,136
2019-04-15,10.0601,10.05,10.05,10.0601,500
2019-04-16,10.05,10.05,10.05,10.05,41422
2019-04-21,10.08,10.08,10.08,10.08,26414
2019-04-22,10.06,10.06,10.06,10.06,1726
2019-04-23,10.06,10.06,10.06,10.06,600
2019-04-28,10.1,10.12,10.1,10.13,407300
2019-04-30,10.111,10.1,10.1,10.111,5203
2019-05-01,10.1,10.1,10.1,10.1,1000
2019-05-02,10.11,10.11,10.1,10.12,392701
2019-05-05,10.1,10.11,10.1,10.11,189940
2019-05-06,10.11,10.11,10.11,10.11,250341
2019-05-09,10.11,10.11,10.11,10.11,5140
2019-05-14,10.11,10.12,10.1,10.13,1030300.0
2019-05-15,10.12,10.15,10.12,10.15,733280
2019-05-16,10.12,10.15,10.12,10.15,25851
2019-05-19,10.12,10.12,10.12,10.15,363451
2019-05-20,10.12,10.14,10.12,10.15,25057
2019-05-21,10.12,10.12,10.12,10.12,628
2019-05-22,10.12,10.129,10.12,10.13,3663
2019-05-23,10.13,10.14,10.13,10.14,5203
2019-05-27,10.13,10.13,10.13,10.13,2006
2019-05-28,10.13,10.13,10.13,10.13,232
2019-05-29,10.14,10.15,10.14,10.15,8001
2019-05-30,10.16,10.14,10.14,10.16,914749
2019-06-02,10.16,10.15,10.15,10.17,225040
2019-06-03,10.1501,10.15,10.15,10.1501,482
2019-06-04,10.17,10.17,10.17,10.17,5005
2019-06-05,10.17,10.17,10.17,10.17,132
2019-06-06,10.17,10.17,10.17,10.17,200120
2019-06-09,10.19,10.16,10.15,10.19,210808
2019-06-10,10.17,10.16,10.16,10.17,500584
2019-06-11,10.17,10.17,10.17,10.17,51041
2019-06-13,10.16,10.18,10.15,10.18,2476
2019-06-16,10.18,10.18,10.15,10.18,1993
2019-06-17,10.14,10.15,10.14,10.18,18806
2019-06-18,10.15,10.15,10.15,10.18,173892
2019-06-19,10.15,10.15,10.15,10.15,110157
2019-06-20,10.15,10.16,10.15,10.16,55156
2019-06-23,10.16,10.17,10.14,10.17,2140056.0
2019-06-24,10.14,10.17,10.14,10.17,30328
2019-06-26,10.15,10.15,10.15,10.17,3639
2019-06-27,10.16,10.15,10.15,10.17,11178
2019-06-30,10.17,10.17,10.17,10.17,707
2019-07-01,10.18,10.16,10.15,10.18,2404
2019-07-02,10.16,10.16,10.15,10.16,1163399.0
2019-07-04,10.16,10.17,10.16,10.17,32915
2019-07-07,10.18,10.16,10.16,10.18,354032
2019-07-08,10.16,10.16,10.16,10.16,229
2019-07-09,10.16,10.18,10.16,10.18,3282
2019-07-10,10.18,10.18,10.16,10.18,8386
2019-07-11,10.18,10.18,10.18,10.18,491
2019-07-14,10.18,10.18,10.18,10.18,87165
2019-07-15,10.2,10.2,10.2,10.2,415
2019-07-17,10.18,10.18,10.18,10.2,1780673.0
2019-07-18,10.22,10.19,10.19,10.22,640
2019-07-21,10.18,10.18,10.18,10.2,13523
2019-07-22,10.18,10.18,10.18,10.18,4510
2019-07-23,10.21,10.2,10.18,10.22,25621
2019-07-24,10.19,10.19,10.19,10.19,10035
2019-07-25,10.2,10.21,10.2,10.22,1302
2019-07-28,10.2,10.2,10.2,10.2,151036
2019-07-29,10.2,10.205,10.19,10.22,370732
2019-07-30,10.24,10.21,10.19,10.24,329754
2019-07-31,10.22,10.18,10.18,10.22,521
2019-08-01,10.19,10.18,10.18,10.2,836
2019-08-04,10.18,10.18,10.18,10.18,521
2019-08-05,10.22,10.22,10.22,10.22,2703
2019-08-06,10.22,10.22,10.18,10.22,3885
2019-08-07,10.19,10.19,10.19,10.19,4319
2019-08-08,10.22,10.22,10.22,10.22,112
2019-08-11,10.22,10.22,10.2,10.23,1486248.0
2019-08-12,10.23,10.23,10.22,10.23,8310
2019-08-13,10.22,10.23,10.22,10.24,865197
2019-08-14,10.24,10.23,10.23,10.25,533957
2019-08-15,10.24,10.25,10.23,10.25,140307
2019-08-18,10.26,10.25,10.245,10.26,81583
2019-08-19,10.25,10.24,10.24,10.26,200820
2019-08-20,10.26,10.24,10.24,10.26,3894
2019-08-21,10.25,10.26,10.25,10.26,24169
2019-08-22,10.26,10.24,10.24,10.26,255
2019-08-25,10.25,10.26,10.23,10.26,277452
2019-08-26,10.25,10.25,10.25,10.25,100215
2019-08-27,10.25,10.24,10.24,10.26,866944
2019-08-28,10.24,10.25,10.24,10.26,143426
2019-08-29,10.26,10.24,10.24,10.26,81508
2019-09-02,10.23,10.23,10.23,10.27,18458
2019-09-03,10.24,10.23,10.23,10.24,509
2019-09-04,10.27,10.27,10.27,10.27,4232
2019-09-05,10.27,10.27,10.27,10.27,1382
2019-09-10,10.26,10.26,10.26,10.28,119841
2019-09-11,10.26,10.26,10.26,10.26,7055
2019-09-12,10.26,10.27,10.26,10.27,15658
2019-09-15,10.25,10.26,10.25,10.26,36590
2019-09-16,10.28,10.27,10.25,10.28,212449
2019-09-17,10.25,10.26,10.25,10.28,174134
2019-09-18,10.26,10.26,10.26,10.26,439
2019-09-19,10.29,10.29,10.27,10.29,28129
2019-09-23,10.28,10.28,10.26,10.28,711058
2019-09-24,10.28,10.28,10.28,10.28,145
2019-09-30,10.28,10.28,10.27,10.29,2392926.0
2019-10-01,10.28,10.27,10.27,10.28,50304
2019-10-02,10.28,10.29,10.27,10.295,1489604.0
2019-10-03,10.28,10.28,10.28,10.29,2613742.0
2019-10-06,10.28,10.28,10.28,10.28,761366
2019-10-07,10.29,10.29,10.29,10.29,300094
2019-10-08,10.28,10.3,10.28,10.3,5373
2019-10-09,10.3,10.28,10.25,10.3,405778
2019-10-10,10.3,10.3,10.29,10.3,731
2019-10-13,10.3,10.3,10.3,10.3,889
2019-10-14,10.26,10.32,10.26,10.32,3288
2019-10-15,10.31,10.3,10.29,10.31,13349
2019-10-16,10.29,10.3,10.29,10.3,676
2019-10-17,10.291,10.29,10.2801,10.3,557315
2019-10-20,10.29,10.29,10.29,10.29,364
2019-10-22,10.31,10.3,10.29,10.31,56679
2019-10-23,10.3,10.3,10.275,10.3,3915781.0
2019-10-24,10.29,10.3,10.29,10.31,26883
2019-10-27,10.3,10.28,10.28,10.31,189012
2019-10-28,10.29,10.28,10.28,10.29,486059
2019-10-29,10.2835,10.28,10.28,10.29,61510
2019-10-30,10.28,10.27,10.27,10.29,689308
2019-10-31,10.29,10.29,10.2569,10.29,7538
2019-11-03,10.29,10.26,10.21,10.29,8077
2019-11-04,10.24,10.25,10.24,10.25,3759
2019-11-05,10.31,10.3,10.29,10.31,2173985.0
2019-11-06,10.31,10.31,10.29,10.31,35321
