date,open_price,close_price,lowest_price,highest_price,volume
2017-07-19,25.36,25.36,25.36,25.36,2000
2017-07-23,25.356,25.366,25.356,25.366,2785
2017-07-24,25.27,25.23,24.88,25.9,3556
2017-07-30,25.29,25.29,25.29,25.29,16000
2017-07-31,25.32,25.39,25.32,25.39,1400
2017-08-09,25.283,25.283,25.283,25.283,106
2017-08-13,25.299,25.2978,25.2978,25.3,1260
2017-08-14,25.26,25.27,25.26,25.27,600
2017-08-16,25.35,25.35,25.35,25.35,856
2017-08-23,25.409,25.409,25.409,25.409,574
2017-09-06,25.47,25.47,25.47,25.47,5000
2017-09-07,25.41,25.42,25.3962,25.4221,2260
2017-09-11,25.3,25.3,25.3,25.3,20060
2017-09-13,25.32,25.2985,25.2985,25.33,1635
2017-09-14,25.35,25.35,25.3499,25.35,9600
2017-09-17,25.31,25.33,25.31,25.33,595
2017-09-18,25.34,25.34,25.34,25.34,353
2017-09-20,25.32,25.33,25.32,25.33,680
2017-09-24,25.38,25.39,25.3748,25.39,567
2017-09-26,25.296,25.2873,25.2873,25.32,10715
2017-09-27,25.29,25.33,25.2751,25.33,11903
2017-09-28,25.359,25.37,25.3471,25.37,459
2017-10-01,25.32,25.3,25.3,25.32,2179
2017-10-02,25.35,25.4,25.35,25.4,54216
2017-10-03,25.4,25.41,25.38,25.41,2982
2017-10-04,25.38,25.38,25.3404,25.38,1942
2017-10-10,25.41,25.39,25.39,25.41,452
2017-10-11,25.394,25.41,25.394,25.41,1749
2017-10-12,25.479,25.485,25.479,25.49,3928
2017-10-16,25.4239,25.4239,25.4239,25.4239,313
2017-10-17,25.41,25.42,25.3904,25.42,11014
2017-10-22,25.4045,25.42,25.3378,25.42,5240
2017-10-23,25.3284,25.3284,25.3284,25.3284,280
2017-10-24,25.31,25.31,25.298,25.31,6318
2017-10-26,25.35,25.38,25.35,25.38,965
2017-10-29,25.45,25.45,25.45,25.45,222
2017-10-30,25.45,25.3719,25.3645,25.45,1564
2017-10-31,25.41,25.38,25.375,25.41,92101
2017-11-01,25.37,25.4,25.33,25.418,280775
2017-11-02,25.43,25.43,25.3422,25.43,28609
2017-11-05,25.43,25.44,25.389,25.44,3823
2017-11-06,25.4,25.3638,25.3638,25.415,1784
2017-11-07,25.4,25.3572,25.3572,25.4,296
2017-11-08,25.35,25.36,25.35,25.36,1039
2017-11-09,25.23,25.23,25.23,25.25,2655
2017-11-12,25.1579,25.1579,25.1579,25.1579,2046
2017-11-14,25.28,25.28,25.28,25.28,3078
2017-11-19,25.309,25.309,25.309,25.309,435
2017-11-20,25.28,25.34,25.28,25.38,3855
2017-11-21,25.4299,25.435,25.4299,25.46,6980
2017-11-27,25.45,25.45,25.45,25.47,460
2017-11-29,25.37,25.255,25.255,25.37,1580
2017-11-30,25.3473,25.41,25.3473,25.41,1580
2017-12-03,25.265,25.265,25.265,25.265,105
2017-12-04,25.36,25.349,25.301,25.41,5000
2017-12-05,25.46,25.46,25.46,25.46,412
2017-12-07,25.3441,25.3441,25.3441,25.3441,185
2017-12-10,25.36,25.311,25.311,25.36,384
2017-12-11,25.36,25.36,25.3506,25.36,4923
2017-12-12,25.36,25.449,25.36,25.449,2538
2017-12-13,25.49,25.465,25.465,25.49,513
2017-12-18,25.3223,25.3223,25.3223,25.3223,486
2017-12-19,25.17,25.2917,25.17,25.2917,2663
2017-12-20,25.23,25.27,25.23,25.27,7950
2017-12-21,25.238,25.1917,25.17,25.27,4057
2017-12-25,25.3,25.3,25.3,25.3,307
2017-12-26,25.355,25.355,25.355,25.355,194
2017-12-27,25.3506,25.3506,25.3506,25.3506,280
2017-12-28,25.43,25.46,25.43,25.46,3191
2018-01-01,25.35,25.31,25.3099,25.35,6831
