date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,17.87,17.47,17.42,17.87,231777
2014-01-02,17.46,17.51,17.25,17.66,192320
2014-01-05,17.6,17.65,17.55,17.85,126078
2014-01-06,17.8,17.9,17.8,17.94,97270
2014-01-07,17.92,18.43,17.92,18.47,129534
2014-01-08,18.11,17.62,17.16,18.17,702426
2014-01-09,17.98,18,17.72,18.07,515562
2014-01-12,18,18.01,17.76,18.06,207478
2014-01-13,18.02,18,17.86,18.025,231656
2014-01-14,18,18.02,17.96,18.12,194842
2014-01-15,17.93,17.96,17.81,18.08,84819
2014-01-16,17.95,17.76,17.75,17.99,113503
2014-01-20,17.9,17.69,17.65,17.93,184361
2014-01-21,17.7,17.93,17.41,18.03,129226
2014-01-22,17.83,17.62,17.44,17.83,134477
2014-01-23,18.21,18.9,17.94,19.24,570190
2014-01-26,18.62,19.25,18.62,19.86,367608
2014-01-27,19.25,19.23,18.83,19.3,238238
2014-01-28,19.02,18.94,18.63,19.1,360477
2014-01-29,19.07,19.17,18.8,19.39,239885
2014-01-30,18.85,19.05,18.85,19.17,144758
2014-02-02,19.06,18.58,18.28,19.114,194522
2014-02-03,18.69,18.76,18.5,19.03,114834
2014-02-04,18.64,18.72,18.45,18.82,168177
2014-02-05,18.79,18.52,18.5,18.86,126705
2014-02-06,18.55,18.55,18.47,18.63,141698
2014-02-09,18.58,18.41,18.17,18.735,123990
2014-02-10,18.39,19,18.29,19.0296,148919
2014-02-11,18.97,19.24,18.83,19.3,161828
2014-02-12,19.13,19.24,18.97,19.43,88355
2014-02-13,19.27,19.54,19.04,19.65,232485
2014-02-17,19.61,19.42,19.37,19.77,135776
2014-02-18,19.3,18.88,18.81,19.49,127686
2014-02-19,18.94,18.73,18.62,19.15,378537
2014-02-20,18.84,19.1,18.65,19.25,237185
2014-02-23,19.1,19.27,18.79,19.46,167135
2014-02-24,19.26,19.03,18.86,19.26,176184
2014-02-25,19.11,19.24,19.04,19.4,99788
2014-02-26,19.18,19.2,18.93,19.324,72420
2014-02-27,19.26,19.15,18.9603,19.595,149542
2014-03-02,18.97,19.32,18.8,19.33,146751
2014-03-03,19.56,19.9,19.56,20.2425,338054
2014-03-04,19.85,19.55,19.5,19.85,218313
2014-03-05,19.5,19.26,19.25,19.6,150616
2014-03-06,19.38,19.56,19.31,19.67,142422
2014-03-09,19.53,19.44,19.27,19.64,92865
2014-03-10,19.48,19.31,19.06,19.48,153085
2014-03-11,19.12,19.6,19.12,19.61,154592
2014-03-12,19.68,19.56,19.36,19.736,136131
2014-03-13,19.45,19.98,19.45,20.1,209885
2014-03-16,20.05,19.98,19.88,20.08,290448
2014-03-17,20,19.93,19.81,20.01,203734
2014-03-18,19.9,19.97,19.63,20.03,199646
2014-03-19,19.95,20.05,19.92,20.1,262918
2014-03-20,20.14,19.74,19.49,20.14,1891947.0
2014-03-23,19.7,19.46,19.15,19.82,194237
2014-03-24,19.55,19.46,19.36,19.755,149542
2014-03-25,19.59,18.9,18.9,19.64,118448
2014-03-26,18.85,18.34,18.29,18.85,154699
2014-03-27,18.31,18.54,18.14,18.64,273058
2014-03-30,18.63,18.81,18.57,19.025,156598
2014-03-31,18.85,19.34,18.68,19.44,206511
2014-04-01,19.43,19.51,19.2025,19.7,102622
2014-04-02,19.6,19.54,19.25,19.715,106945
2014-04-03,19.69,19.21,19.12,19.69,197042
2014-04-06,19.2,19.01,18.77,19.21,180126
2014-04-07,19.03,19.1,19.015,19.31,126135
2014-04-08,19.14,19.11,19,19.22,122126
2014-04-09,19.09,18.63,18.52,19.25,192052
2014-04-10,18.45,17.98,17.89,18.866,136789
2014-04-13,18.19,18.2,17.9,18.25,116799
2014-04-14,18.21,18.16,17.95,18.3,204939
2014-04-15,18.32,18.23,18.12,18.41,160317
2014-04-16,18.24,18.57,18.12,18.63,150913
2014-04-20,18.51,18.65,18.41,18.718,90563
2014-04-21,18.61,18.82,18.525,19.02,104369
2014-04-22,18.74,18.6,18.51,18.87,106092
2014-04-23,15.54,15.835,15.5,16.46,1503702.0
2014-04-24,15.81,15.92,15.445,16.98,679526
2014-04-27,15.88,15.61,15.56,16.04,535197
2014-04-28,15.64,15.55,15.45,15.692,452028
2014-04-29,15.86,15.82,15.49,15.99,236797
2014-04-30,15.76,15.78,15.54,15.86,240262
2014-05-01,15.83,15.77,15.69,16.1,232428
2014-05-04,15.71,15.57,15.49,15.71,119985
2014-05-05,15.51,15.4,15.35,15.75,148013
2014-05-06,15.3,15.49,15.27,15.64,271831
2014-05-07,15.48,15.42,15.32,15.72,146807
2014-05-08,15.32,15.63,15.27,15.65,151360
2014-05-11,15.74,15.91,15.7,16.02,151428
2014-05-12,15.88,15.69,15.62,15.88,255948
2014-05-13,15.64,15.4,15.4,15.64,192125
2014-05-14,15.3,15.26,15,15.35,176301
2014-05-15,15.2,15.1,14.95,15.3,211884
2014-05-18,15.06,15.245,15.06,15.392,93893
2014-05-19,15.2,14.93,14.87,15.266,199846
2014-05-20,14.96,14.89,14.78,15.094,114367
2014-05-21,14.96,14.87,14.72,14.98,208355
2014-05-22,14.91,15.07,14.85,15.08,99812
2014-05-26,15.18,15.72,14.97,15.73,171532
2014-05-27,15.64,15.81,15.51,15.96,221833
2014-05-28,15.83,15.6,15.465,15.83,174819
2014-05-29,15.57,15.7,15.57,15.86,156771
2014-06-01,15.67,15.81,15.61,15.95,120697
2014-06-02,15.8,15.71,15.625,16,255162
2014-06-03,15.72,15.8,15.7,15.93,99893
2014-06-04,15.9,16.31,15.75,16.39,192186
2014-06-05,16.37,16.32,16.26,16.64,143643
2014-06-08,16.29,16.36,15.9,16.4,163482
2014-06-09,16.3,16.2,16.08,16.53,148034
2014-06-10,10.98,11.54,9.88,12,7744943.0
2014-06-11,11.55,11.4,10.98,11.8,1502132.0
2014-06-12,11.37,11.37,11.29,11.6,1286458.0
2014-06-15,11.45,11.64,11.4,11.79,860136
2014-06-16,11.61,11.98,11.55,12,655312
