date,open_price,close_price,lowest_price,highest_price,volume
2018-08-15,10.08,10.04,10.04,10.08,1414379.0
2018-08-16,10.04,10.03,10.03,10.05,109550
2018-08-19,10.03,10.04,10.03,10.04,276103
2018-08-20,10.04,10.02,10.02,10.04,253307
2018-08-21,10.03,10.02,10.02,10.04,145722
2018-08-22,10.04,10.03,10.03,10.045,137091
2018-08-23,10.04,10.03,10.02,10.04,133181
2018-08-26,10.04,10.02,10,10.04,220740
2018-08-27,10.038,10.0215,10.02,10.0397,7565
2018-08-28,10.04,10.04,10.04,10.05,258886
2018-08-29,10.05,10.05,10.04,10.06,55000
2018-08-30,10.05,10.06,10.05,10.07,67170
2018-09-03,10.07,10.06,10.05,10.07,56320
2018-09-04,10.06,10.06,10.06,10.06,2600
2018-09-05,10.06,10.06,10.05,10.06,73818
2018-09-06,10.05,10.06,10.049,10.06,62561
2018-09-09,10.06,10.07,10.06,10.07,261080
2018-09-10,10.09,10.1,10.09,10.1,217140
2018-09-11,10.16,10.18,10.16,10.19,1852181.0
2018-09-12,10.2,10.17,10.17,10.2,177160
2018-09-13,10.16,10.16,10.16,10.17,15400
2018-09-16,10.16,10.15,10.14,10.1812,108140
2018-09-17,10.1325,10.15,10.1311,10.15,1325
2018-09-19,10.135,10.12,10.12,10.15,109265
2018-09-20,10.1,10.1,10.1,10.1,2220
2018-09-23,10.14,10.086,10.0798,10.14,53000
2018-09-24,10.1475,10.1427,10.14,10.15,2175
2018-09-25,10.13,10.1,10.085,10.13,209200
2018-09-26,10.1,10.1,10.1,10.1,76700
2018-09-30,10.08,10.0801,10.08,10.0801,2504
2018-10-02,10.08,10.1137,10.08,10.1137,8096
2018-10-09,10.1499,10.1499,10.1499,10.1499,2997
2018-10-10,10.09,10.12,10.06,10.12,26314
2018-10-11,10.1,10.12,10.1,10.12,500
2018-10-14,10.02,10.11,10.02,10.12,76907
2018-10-16,10.04,10.11,10.04,10.12,59927
2018-10-17,10.05,10.12,10.04,10.12,2700
2018-10-18,10.13,10.15,10.13,10.15,6935
2018-10-21,10.14,10.14,10.14,10.15,56331
2018-10-22,10.15,10.13,10.085,10.15,59700
2018-10-23,10.14,10.14,10.14,10.14,300
2018-10-24,10.15,10.17,10.04,10.2,7300
2018-10-25,10.02,10.14,10,10.14,930
2018-10-28,10.19,10.19,10.19,10.19,600
2018-10-29,10.16,10.18,10.16,10.18,1200
2018-10-30,10.16,10.16,10.16,10.16,416
2018-10-31,10.16,10.18,10.16,10.18,1130
2018-11-01,10.17,10.17,10.17,10.17,277
2018-11-05,10.13,10.11,10.05,10.14,8245
2018-11-07,10.1,10.1,10.1,10.1,100
2018-11-08,10.1,10.0999,10.0999,10.1,1138
2018-11-11,10.13,10.09,10.05,10.13,2650
2018-11-12,10.05,10.07,10.05,10.1,8200
2018-11-13,10.08,10.08,10.04,10.08,850
2018-11-14,10.05,10.07,10.04,10.07,1437
2018-11-18,10.15,10.15,10.15,10.15,100
2018-11-19,10.17,10.17,10.17,10.17,214
2018-11-20,10.14,10.14,10.14,10.14,200
2018-11-22,10.14,10.14,10.05,10.14,1026
2018-11-25,10.14,10.13,10.04,10.14,7348
2018-11-26,10.08,10.1,10.08,10.1,280
2018-11-28,10.05,10.12,10.05,10.13,4802
2018-11-29,10.1,10.13,10.08,10.13,4328
2018-12-02,10.14,10.14,10.14,10.14,100
2018-12-03,10.05,10.13,10.05,10.1457,5373
2018-12-05,10.14,10.14,10.14,10.14,200
2018-12-09,10.12,10.12,10.12,10.12,300
2018-12-11,10.13,10.13,10.13,10.13,200
2018-12-12,10.13,10.13,10.13,10.13,200
2018-12-13,10.06,10.13,10.06,10.13,749
2018-12-16,10.12,10.12,10.12,10.12,181
2018-12-17,10.06,10.12,10.06,10.12,300
2018-12-18,10.09,10.08,10.06,10.1176,116046
2018-12-20,10.08,10.08,10.08,10.08,400
2018-12-25,10.08,10.06,10.05,10.1,900
2018-12-26,10.1,10.1,10.1,10.1,3500
2018-12-27,10.1,10.09,10.09,10.1,400
2018-12-30,10.09,10.09,10.09,10.09,200
2019-01-03,10.09,10.09,10.09,10.09,200
2019-01-06,10.01,10.08,10.01,10.08,8904
2019-01-08,10.07,10.07,10.07,10.07,200
2019-01-13,10.07,10.07,10.07,10.07,10400
2019-01-14,10.05,10.07,10.04,10.07,349
2019-01-16,10.09,10.09,10.09,10.09,50000
2019-01-17,10.09,10.09,10.09,10.09,2500
2019-01-21,10.09,10.09,10.09,10.09,300
2019-01-22,10.04,10.09,10.04,10.09,1370
2019-01-28,10.09,10.09,10.09,10.09,300
2019-01-29,10.14,10.14,10.14,10.14,12900
2019-01-30,10.14,10.14,10.13,10.17,11162
2019-01-31,10.13,10.13,10.13,10.13,13300
2019-02-03,10.13,10.13,10.13,10.13,650
2019-02-05,10.15,10.15,10.15,10.15,1078
2019-02-10,10.15,10.15,10.15,10.15,3000
2019-02-12,10.15,10.2,10.15,10.2,37497
2019-02-14,10.2,10.2,10.2,10.2,100
2019-02-18,10.15,10.19,10.15,10.25,56589
2019-02-19,10.19,10.19,10.19,10.19,54828
2019-02-21,10.2,10.2,10.2,10.2,2000
2019-02-24,10.2,10.2,10.2,10.2,300
2019-02-25,10.2,10.2,10.2,10.2,2100
2019-02-26,10.2,10.2027,10.2,10.2027,1200
2019-02-27,10.22,10.22,10.22,10.22,100
2019-02-28,10.22,10.22,10.22,10.22,6300
2019-03-03,10.2,10.199,10.199,10.2,2000
2019-03-04,10.2,10.17,10.17,10.2,300
2019-03-06,10.19,10.19,10.19,10.19,2000
2019-03-07,10.18,10.18,10.18,10.18,500
2019-03-11,10.19,10.19,10.19,10.19,1300
2019-03-17,10.2,10.25,10.2,10.25,26000
2019-03-19,10.24,10.21,10.21,10.24,1000
2019-03-20,10.24,10.24,10.24,10.24,12606
2019-03-24,10.24,10.24,10.24,10.24,2200
2019-03-27,10.3,10.3,10.3,10.3,3700
2019-04-03,10.33,10.33,10.33,10.33,5400
2019-04-07,10.325,10.325,10.325,10.325,50000
2019-04-08,10.33,10.33,10.33,10.33,4100
2019-04-09,10.32,10.32,10.32,10.32,12500
2019-04-14,10.35,10.35,10.35,10.35,1000
2019-04-16,10.29,10.34,10.28,10.34,2522
2019-04-21,10.34,10.34,10.34,10.34,3800
