date,open_price,close_price,lowest_price,highest_price,volume
2018-08-09,3.75,3.69,3.5,4.49,131443
2018-08-12,4.1,3.65,3.6,4.1,116367
2018-08-13,3.85,3.44,3.25,3.85,126188
2018-08-14,3.6,3.2,3.15,3.6,127086
2018-08-15,3.28,2.83,2.63,3.3028,310443
2018-08-16,2.92,3.07,2.9047,3.19,142714
2018-08-19,3.21,3.16,3.01,3.23,100007
2018-08-20,3.26,3.15,3.1141,3.36,224401
2018-08-21,3.14,3.15,3.14,3.25,37426
2018-08-22,3.2,3.04,2.95,3.2,114996
2018-08-23,3,3.12,2.981,3.15,135150
2018-08-26,3.15,3.45,3.15,3.58,269044
2018-08-27,3.48,3.5,3.39,3.56,121856
2018-08-28,3.53,3.32,3.13,3.53,146235
2018-08-29,3.3,3.31,3.16,3.315,88702
2018-08-30,3.37,3.37,3.13,3.4,83834
2018-09-03,3.4,3.45,3.251,3.45,95148
2018-09-04,3.45,3.32,3.3,3.45,75187
2018-09-05,3.32,3.3,3.2,3.355,71387
2018-09-06,3.36,3.255,3.22,3.36,67256
2018-09-09,3.23,3.7,3.23,3.7,238149
2018-09-10,3.65,3.99,3.591,4,338065
2018-09-11,4.09,4.18,4.02,4.29,310825
2018-09-12,4.25,4.35,4.08,4.35,385291
2018-09-13,4.42,4.63,4.4,4.74,430593
2018-09-16,4.7,4.58,4.31,4.73,392746
2018-09-17,4.7,4.95,4.591,4.95,435025
2018-09-18,5.05,4.82,4.77,5.33,690535
2018-09-19,4.78,4.93,4.35,5.19,415840
2018-09-20,5.06,4.73,4.73,5.149,859909
2018-09-23,4.75,4.54,4.5,4.8,246258
2018-09-24,4.53,4.07,4.06,4.53,379303
2018-09-25,4.05,4.12,4.05,4.2915,148858
2018-09-26,4.08,3.96,3.6,4.2399,458608
2018-09-27,3.84,3.67,3.66,3.9783,136684
2018-09-30,3.67,3.83,3.67,3.87,83756
2018-10-01,3.8,3.93,3.75,3.97,46491
2018-10-02,3.9,4.01,3.8184,4.1,90106
2018-10-03,4.01,3.81,3.81,4.1,111626
2018-10-04,3.89,3.9,3.81,3.99,53408
2018-10-07,3.88,3.89,3.76,3.91,69870
2018-10-08,3.89,3.86,3.77,3.9026,96591
2018-10-09,3.83,3.7,3.65,3.91,164839
2018-10-10,3.55,3.46,3.39,3.62,144421
2018-10-11,3.5,3.88,3.5,3.9,51085
2018-10-14,3.91,3.86,3.7,3.9693,54323
2018-10-15,3.88,3.69,3.52,3.88,70889
2018-10-16,3.69,3.81,3.69,3.92,50175
2018-10-17,3.78,3.99,3.77,4.0037,46903
2018-10-18,3.96,3.99,3.71,3.995,46241
2018-10-21,3.96,4.05,3.96,4.25,64949
2018-10-22,4.01,3.91,3.73,4.03,82672
2018-10-23,3.8,3.85,3.75,3.9,76619
2018-10-24,3.81,3.8,3.77,3.89,36727
2018-10-25,3.83,3.95,3.77,3.98,61450
2018-10-28,3.9,3.79,3.7507,3.95,45985
2018-10-29,3.81,3.93,3.76,3.945,28676
2018-10-30,3.98,3.98,3.88,3.98,29938
2018-10-31,3.99,4,3.91,4,33646
2018-11-01,4.02,4.26,4.02,4.47,300812
2018-11-04,4.37,3.89,3.89,4.44,215000
2018-11-05,3.82,3.5,3.4,3.9188,271203
2018-11-06,3.54,3.66,3.5,3.8,87266
2018-11-07,3.6,3.57,2.9401,3.62,338533
2018-11-08,3.57,3.86,3.54,3.86,52850
2018-11-11,3.8,3.82,3.8,3.95,39018
2018-11-12,3.86,3.85,3.8195,4.09,167014
2018-11-13,4,3.8,3.8,4,81506
2018-11-14,3.81,3.7701,3.75,3.83,23684
2018-11-15,3.83,3.76,3.75,3.84,19550
2018-11-18,3.75,3.87,3.62,4,115272
2018-11-19,3.88,3.67,3.51,3.88,55169
2018-11-20,3.7,3.68,3.65,3.75,33566
2018-11-22,3.65,3.8,3.65,3.89,17187
2018-11-25,3.81,3.74,3.7101,3.8815,22441
2018-11-26,3.72,3.672,3.63,3.79,15776
2018-11-27,3.67,3.62,3.55,3.7,50872
2018-11-28,3.62,3.68,3.62,3.68,21782
2018-11-29,3.68,3.64,3.63,3.685,30286
2018-12-02,3.65,3.63,3.5101,3.6997,72222
2018-12-03,3.67,3.6,3.6,3.8,90439
2018-12-05,3.62,3.6,3.6,3.7,38132
2018-12-06,3.64,3.62,3.62,3.6701,35891
2018-12-09,3.61,3.51,3.51,3.64,54693
2018-12-10,3.59,3.53,3.51,3.65,56819
2018-12-11,3.5,3.59,3.5,3.65,40056
2018-12-12,3.6,3.58,3.5,3.65,21156
2018-12-13,3.52,3.59,3.5,3.65,28687
2018-12-16,3.5,3.49,3.44,3.57,70860
2018-12-17,3.49,3.35,3.3,3.52,44554
2018-12-18,3.35,3.41,3.35,3.48,46911
2018-12-19,3.47,3.42,3.4,3.47,43102
2018-12-20,3.39,3.48,3.33,3.48,110346
2018-12-23,3.46,3.35,3.35,3.48,21728
2018-12-25,3.33,3.29,3.27,3.4,59510
2018-12-26,3.33,3.2,3.15,3.33,42494
2018-12-27,3.23,3.35,3.23,3.4602,63058
2018-12-30,3.399,3.52,3.395,3.58,29498
2019-01-01,3.55,3.58,3.53,3.6,40387
2019-01-02,3.61,3.58,3.5201,3.61,47165
2019-01-03,3.57,3.59,3.46,3.59,39404
2019-01-06,3.59,3.55,3.53,3.59,28140
2019-01-07,3.58,3.58,3.51,3.58,32189
2019-01-08,3.58,3.57,3.52,3.58,31750
2019-01-09,3.56,3.53,3.521,3.59,65173
2019-01-10,3.45,3.58,3.45,3.6,36852
2019-01-13,3.6,3.565,3.5614,3.63,53352
2019-01-14,3.59,3.59,3.5101,3.6,63502
2019-01-15,3.57,3.65,3.521,3.68,36260
2019-01-16,3.62,3.91,3.56,4.09,219870
2019-01-17,3.95,4.18,3.95,4.25,293106
2019-01-21,4.3,4.1,4.1,4.3119,76584
2019-01-22,4.11,4.29,4.06,4.3568,122250
2019-01-23,4.35,4.31,4.25,4.36,68111
2019-01-24,4.38,4.55,4.36,4.69,182729
2019-01-27,4.59,4.82,4.55,4.95,360554
2019-01-28,4.92,4.55,4.32,4.92,235852
2019-01-29,4.65,4.65,4.57,4.7567,66759
2019-01-30,4.67,4.58,4.5,4.6899,621789
2019-01-31,4.51,4.72,4.44,4.75,1274501.0
2019-02-03,4.4,4.46,4.26,4.59,214252
2019-02-04,4.5,4.71,4.5,4.74,289025
2019-02-05,4.72,4.92,4.7138,5,221914
2019-02-06,5.06,6.95,5.06,7.18,3104566.0
2019-02-07,6.98,7.1,6.32,7.11,932400
2019-02-10,7.1,7.62,6.66,7.8399,1113265.0
2019-02-11,7.83,7.25,6.74,7.83,841042
2019-02-12,7.22,7.42,7.16,7.62,330719
2019-02-13,7.54,7.23,6.9,7.54,542518
2019-02-14,7.21,7.76,7.0741,8,470595
2019-02-18,7.9,8.14,7.76,8.21,528659
2019-02-19,8.1,7.34,7.11,8.1355,534416
2019-02-20,7.46,7.64,7.4,7.87,152821
2019-02-21,7.67,7.5,7.38,7.8,139869
2019-02-24,7.5,7.25,7.25,7.56,147842
2019-02-25,7.26,7.32,7.25,7.58,172843
2019-02-26,7.29,7.51,7.26,7.595,114327
2019-02-27,7.5,7.36,7.23,7.5226,59770
2019-02-28,7.37,7.61,7.37,7.95,217521
2019-03-03,7.95,8.29,7.8148,8.29,486159
2019-03-04,8.38,8.25,8.08,8.49,260655
2019-03-05,8.27,8.01,8,8.35,150045
2019-03-06,7.96,7.95,7.62,8.01,160467
2019-03-07,7.86,7.67,7.61,8.01,187938
2019-03-10,7.7,7.83,7.65,8.1,274934
2019-03-11,7.94,7.5,6.76,8.01,587797
2019-03-12,7.65,7.7,7.52,7.85,210142
2019-03-13,7.7,7.71,7.46,7.75,99493
2019-03-14,7.71,7.24,7.08,7.71,429494
2019-03-17,7.23,7.16,7.07,7.25,212934
2019-03-18,7.14,7.44,7.1173,7.55,150944
2019-03-19,7.45,7.09,7.03,7.5,154644
2019-03-20,7.06,6.91,6.8,7.38,329956
2019-03-21,6.89,6.98,6.85,7.06,182915
2019-03-24,6.98,7.67,6.91,7.71,575488
2019-03-25,7.83,7.83,7.61,8,381234
2019-03-26,7.83,7.93,7.7501,8.09,408917
2019-03-27,7.94,7.76,7.63,7.965,249869
2019-03-28,7.76,7.95,7.76,8.25,1162261.0
2019-03-31,8.01,7.96,7.54,8.09,427040
2019-04-01,7.96,7.7,7.63,7.96,349391
2019-04-02,7.71,7.73,7.68,7.8,107159
2019-04-03,7.71,7.83,7.68,7.88,150786
2019-04-04,7.85,7.5,7.34,7.89,176103
2019-04-07,7.35,7.16,7.15,7.4072,326674
2019-04-08,7.14,7.37,7.05,7.41,149166
2019-04-09,7.37,7.75,7.29,7.85,266242
2019-04-10,7.74,7.75,7.61,7.83,101986
2019-04-11,7.77,7.73,7.575,7.913,125391
2019-04-14,7.75,7.54,7.35,7.8854,123792
2019-04-15,7.52,7.65,7.52,7.74,144313
2019-04-16,7.62,8.83,7.6,8.9,1542743.0
2019-04-17,8.8,8.24,8.04,8.95,805296
2019-04-21,8.26,8.34,7.96,8.57,322996
2019-04-22,8.34,8.68,8.3,8.89,319212
2019-04-23,8.69,8.99,8.655,9.09,340100
2019-04-24,9.08,9.04,8.7,9.15,344327
2019-04-25,9.15,9.29,9.07,9.29,380454
