date,open_price,close_price,lowest_price,highest_price,volume
2017-09-13,17.75,17.29,16.6,17.94,1450084.0
2017-09-14,17.22,16.4,16.28,17.3725,230624
2017-09-17,16.4,16.51,16.21,16.72,172233
2017-09-18,16.49,16.56,16.35,16.65,64018
2017-09-19,16.52,16.87,16.35,17.1,86918
2017-09-20,16.71,16.95,16.45,17.0999,60923
2017-09-21,17,16.61,16.521,17,26217
2017-09-24,16.65,16.62,16.4,16.7,45531
2017-09-25,16.6,16.56,16.5,16.65,24677
2017-09-26,16.5,16.57,16.5,16.9299,61295
2017-09-27,16.53,16.3,16.26,16.726,62537
2017-09-28,16.3,16.7,16.12,16.78,35631
2017-10-01,16.7,16.55,16.55,16.89,16180
2017-10-02,16.5,16.4,16.15,16.624,49008
2017-10-03,16.27,16.21,15.9,16.46,74139
2017-10-04,16.27,16.3,16.02,16.44,37825
2017-10-05,16.1478,16.55,15.7,16.6899,96705
2017-10-08,16.06,16.11,16.04,16.4975,13110
2017-10-09,16.34,16.31,15.86,16.55,123300
2017-10-10,16.74,16.45,16.14,16.74,63238
2017-10-11,16.52,16.91,16.5,17.28,150432
2017-10-12,17.28,16.95,16.2,17.28,64948
2017-10-15,16.86,17,16.73,17,45656
2017-10-16,16.7701,16.83,16.77,17.09,47901
2017-10-17,16.55,16.6,16.5,16.95,32901
2017-10-18,17.03,16.5,16.5,17.03,32920
2017-10-19,16.55,16.64,16.5,16.8874,26349
2017-10-22,16.9,16.64,16.62,16.94,7866
2017-10-23,16.55,16.61,16.38,16.89,26480
2017-10-24,16.36,16.29,15.85,16.88,45849
2017-10-25,16.49,16.1,16.07,16.64,17086
2017-10-26,16.1,15.96,15.7815,16.233,25422
2017-10-29,16.44,16.398,16.194,16.59,10715
2017-10-30,16.3,16.39,16.3,16.48,10792
2017-10-31,16.59,16.01,15.97,16.59,33200
2017-11-01,15.95,16.24,15.95,16.27,17118
2017-11-02,16.43,15.9,15.75,16.43,18997
2017-11-05,16.39,16.24,15.75,16.39,8397
2017-11-06,16,15.83,15.75,16.15,21138
2017-11-07,16,16.24,15.8582,16.24,17204
2017-11-08,16,16.01,16,16.19,9680
2017-11-09,16.01,15.9,15.85,16.15,4817
2017-11-12,15.86,15.87,15.85,16.25,6601
2017-11-13,16.03,15.56,15.56,16.04,27561
2017-11-14,15.55,16.02,15.55,16.02,23731
2017-11-15,15.8,15.96,15.65,16,2566
2017-11-16,15.66,15.77,15.6,16,25465
2017-11-19,15.7771,15.79,15.65,15.8,5017
2017-11-20,15.65,15.91,15.5,15.99,30197
2017-11-21,15.6,15.62,15.54,15.95,10094
2017-11-23,16,15.85,15.68,16.14,2407
2017-11-26,16.02,15.55,15.55,16.02,14928
2017-11-27,15.65,15.48,15.02,15.7005,49539
2017-11-28,15.9,15.34,15.11,15.9,11270
2017-11-29,15.2,15.24,15,15.44,28170
2017-11-30,15.04,15.24,14.95,15.34,52417
2017-12-03,15.101,15.09,15,15.25,34920
2017-12-04,15,15.125,14.9,15.21,36613
2017-12-05,15,15.03,15,15.22,14113
2017-12-06,15.03,15.01,14.8,15.19,45236
2017-12-07,15.1,14.95,14.75,15.28,55349
2017-12-10,15.03,15.44,14.9,15.44,58272
2017-12-11,15.41,14.95,14.84,15.425,33827
2017-12-12,15.05,14.98,14.4,15.05,92896
2017-12-13,14.9,14.89,14.75,15.49,95274
2017-12-14,14.9,14.65,14.51,15.05,106482
2017-12-17,14.7,14.62,14.5,14.8725,105014
2017-12-18,14.71,14.76,14.5,14.7996,41720
2017-12-19,14.6,14.68,14.55,14.75,23037
2017-12-20,14.6,14.88,14.6,14.88,45324
2017-12-21,14.668,14.7,14.6,15,35084
2017-12-25,14.8,14.82,14.5,14.82,15971
2017-12-26,14.65,14.65,14.58,14.9,17675
2017-12-27,14.6,14.87,14.59,14.98,26993
2017-12-28,14.81,14.69,14.5,14.9838,45088
2018-01-01,14.69,14.46,14.45,14.7975,20230
2018-01-02,14.63,14.46,14.23,14.63,31715
2018-01-03,14.33,14.575,14.33,14.6,26262
2018-01-04,14.51,14.8,14.34,14.8,15463
2018-01-07,15,14.7,14.595,15,6918
2018-01-08,14.72,14.85,14.55,14.879,8219
2018-01-09,14.86,14.93,14.72,14.9999,11088
2018-01-10,14.98,14.99,14.65,15,19785
2018-01-11,15,14.73,14.6735,15.05,22019
2018-01-15,15.01,15.14,14.82,15.29,12604
2018-01-16,15.02,15.5,14.84,15.69,13485
2018-01-17,15.15,15.02,14.97,15.5,14978
2018-01-18,14.895,14.7,14.535,15.32,16822
2018-01-21,15,14.79,14.75,15,2163
2018-01-22,14.75,15.17,14.75,15.17,6087
2018-01-23,15,15.16,15,15.16,5559
2018-01-24,15.13,15.3899,15.08,15.3899,1873
2018-01-25,15.05,14.94,14.76,15.2,17195
2018-01-28,14.75,14.68,14.5,15.05,5382
2018-01-29,14.5,14.49,14.47,14.9495,9003
